Thrust (N),0.0,2.0,4.0,6.0,8.0,10.0,12.0,14.0,16.0,18.0,20.0,22.0,24.0,26.0,28.0,30.0,32.0,34.0,36.0,38.0,40.0,42.0,44.0,46.0,48.0,50.0,52.0,54.0,56.0,58.0,60.0,62.0,64.0,66.0,68.0,70.0,72.0,74.0,76.0,78.0,80.0,82.0,84.0,86.0,88.0,90.0,92.0,94.0,96.0,98.0,100.0,102.0,104.0,106.0,108.0,110.0,112.0,114.0,116.0,118.0,120.0,122.0,124.0,126.0,128.0,130.0,132.0,134.0,136.0,138.0,140.0,142.0,144.0,146.0,148.0,150.0,152.0,154.0,156.0,158.0,160.0,162.0,164.0,166.0,168.0,170.0,172.0,174.0,176.0,178.0,180.0
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PER3_11x38SF,PER3_13x45MR,PER3_15x4E,PER3_10x38MRF-RH,PER3_10x38SF,PER3_19x8E,PER3_12x45MR,PER3_13x55MR,PER3_11x46SF,PER3_9x44SFR,PER3_12x58SF,PER3_21x10PN,PER3_10x45MR,PER3_16x8E,PER3_9x41SF,PER3_14x7E,PER3_95x5MR,PER3_78x4,PER3_9x45MRF-RH,PER3_8625x375,PER3_95x45,PER3_17x10,PER3_8x47SF,PER3_181x12,PER3_115x6,PER3_10x58EP(F2B),PER3_9x5F,PER3_1575x13-3,PER3_14x10F,PER3_12x8E,PER3_15x10,PER3_20x15C,PER3_9x6E,PER3_13x10F,PER3_16x13,PER3_15x12,PER3_925x60,PER3_14x11,PER3_12x10E,PER3_11x8,PER3_10x8E,PER3_13x11,PER3_9x7,PER3_9x75E,PER3_7x6SF,PER3_12x11,PER3_14x14N,PER3_9x75,PER3_13x135N,PER3_13x135N,PER3_9x8
9.89,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_5x11E,PER3_18x55MR,PER3_14x47SF,PER3_12x38SF,PER3_15x4E,PER3_15x4W,PER3_15x55MR,PER3_14x4W,PER3_9x39SFR-PC,PER3_12x45MRF-RH,PER3_22x10E,PER3_13x4,PER3_9x44SFR,PER3_12x4,PER3_11x45EP,PER3_9x47SF,PER3_15x7,PER3_13x65E,PER3_78x4,PER3_8625x375,PER3_8x4F,PER3_13x8E,PER3_9x5,PER3_10x6,PER3_6x41SF,PER3_7x5,PER3_9x6N,PER3_7x6SF,PER3_875x75NN,PER3_11x12W,PER3_12x13N,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_7x11E,PER3_7x11E,PER3_7x11E,PER3_7x11E,PER3_7x11E,PER3_7x11E,PER3_7x11E,PER3_7x11E,PER3_7x11E,PER3_7x11E,PER3_7x11E,PER3_7x11E,PER3_7x11E
14.83,PER3_7x11E,PER3_4x4E-3,PER3_5x5E,PER3_47x42E,PER3_52x60E,PER3_525x55E,PER3_525x55E,PER3_525x55E,PER3_525x55E,PER3_525x55E,PER3_525x55E,PER3_46x3,PER3_46x3,PER3_525x475E,PER3_51x45E,PER3_51x45E,PER3_5x41SF,PER3_5x3,PER3_5x4E-3,PER3_6x2,PER3_65x75,PER3_6x6E,PER3_7x9,PER3_6x3,PER3_9x39SFR-PC,PER3_8x42SFR,PER3_65x37,PER3_7x7E,PER3_74x75C,PER3_17x6,PER3_8x47SF,PER3_10x46SF,PER3_875x875NN,PER3_10x58EP(F2B),PER3_20x12WE,PER3_16x10,PER3_12x11,PER3_13x14,PER3_16x16,PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_14x14E,PER3_14x14E,PER3_14x14E,PER3_14x14E,PER3_14x14E,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_12x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14
19.78,PER3_6x4,PER3_65x50,PER3_6x41SF,PER3_6x41SF,PER3_74x77C,PER3_74x75C,PER3_8x37SFR-PC,PER3_7x6SF,PER3_7x6SF,PER3_88x925,PER3_7x4E,PER3_875x90NN,PER3_875x875NN,PER3_88x85,PER3_8x5,PER3_8x4E,PER3_875x70N,PER3_11x14,PER3_10x10,PER3_15x4E,PER3_10x5E,PER3_11x11,PER3_11x85E,PER3_12x10W,PER3_13x9,PER3_14x14E,PER3_22x12E,PER3_20x13E,PER3_20x15C,PER3_20x18(F1-GT),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x15(WCAR-T6),PER3_20x15(WCAR-T6),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_14x14E,PER3_14x14E,PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14
24.72,PER3_78x4,PER3_8x4E,PER3_11x12E,PER3_11x12E,PER3_11x12,PER3_9x8E-3,PER3_9x45E,PER3_9x41SF,PER3_10x7E,PER3_10x6-4,PER3_12x12N,PER3_11x8E,PER3_13x14,PER3_12x85F,PER3_125x6,PER3_14x13N,PER3_14x7,PER3_15x8,PER3_155x12-4,PER3_17x12W,PER3_20x11E,PER3_20x18(F1-GT),PER3_26x15E,PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_16x16,PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_14x14E,PER3_14x14E,PER3_14x14E,PER3_14x14E,PER3_14x14E,PER3_14x14E,PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_135x14,PER3_135x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14,PER3_11x14
29.66,PER3_11x9-4,PER3_11x7,PER3_11x4,PER3_12x9,PER3_125x10,PER3_13x10E,PER3_13x4W,PER3_14x12,PER3_13x55MR,PER3_14x8,PER3_15x6,PER3_16x55MR,PER3_16x8E,PER3_18x8W,PER3_181x12,PER3_22x10E,PER3_24x12E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_14x14E,PER3_14x14E,PER3_135x14,PER3_135x14,PER3_135x14,PER3_135x14,PER3_135x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14,PER3_12x14
34.61,PER3_13x45EP(F2B),PER3_14x85E,PER3_15x12,PER3_16x14,PER3_16x12E,PER3_17x4W,PER3_17x12E,PER3_17x8E,PER3_18x8W,PER3_19x8E,PER3_20x105PN,PER3_22x10E,PER3_22x13EPN,PER3_26x13E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_14x14E,PER3_14x14E,PER3_14x14E,PER3_14x14E,PER3_14x14E,PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_135x14,PER3_135x14,PER3_135x14,PER3_135x14,PER3_12x14,PER3_12x14,PER3_12x14
39.55,PER3_205x205E(CD),PER3_16x55MR,PER3_17x7E,PER3_18x8,PER3_181x10,PER3_19x11,PER3_20x10PN,PER3_22x10,PER3_22x13EPN,PER3_24x12E,PER3_27x13E,PER3_27x13E,PER3_27x13E,PER3_27x13E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_14x14E,PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_135x14,PER3_135x14,PER3_135x14,PER3_135x14,PER3_135x14,PER3_12x14
44.5,PER3_19x10E,PER3_20x11E,PER3_21x13E,PER3_21x10PN,PER3_22x12WE,PER3_22x12WE,PER3_25x125E,PER3_26x15E,PER3_27x13E,PER3_27x13E,PER3_27x13E,PER3_27x13E,PER3_27x13E,PER3_27x13E,PER3_27x13E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_26x15E,PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_26x15E,PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_205x205E(CD),PER3_205x205E(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_20x225EP(CD),PER3_14x14E,PER3_14x14E,PER3_14x14E,PER3_135x14,PER3_135x14,PER3_135x14
