weight_g,450.000000
thrust_N,velocity_m_s,power_W
20.000000,0.000000,860.019798
21.000000,0.000000,914.797898
22.000000,0.000000,971.170637
23.000000,0.000000,1029.138014
24.000000,0.000000,1088.700030
25.000000,0.000000,1149.856684
26.000000,0.000000,1211.906252
27.000000,0.000000,1272.356211
28.000000,0.000000,1334.188590
29.000000,0.000000,1397.403388
30.000000,0.000000,1462.000605
31.000000,0.000000,1527.980242
32.000000,0.000000,1593.182022
33.000000,0.000000,1659.378466
34.000000,0.000000,1726.836831
35.000000,0.000000,1795.557118
36.000000,0.000000,1865.424878
37.000000,0.000000,1934.179449
38.000000,0.000000,2004.094617
39.000000,0.000000,2075.170384
40.000000,0.000000,2147.406747
41.000000,0.000000,2220.033146
42.000000,0.000000,2293.015277
43.000000,0.000000,2367.098032
44.000000,0.000000,2442.281411
45.000000,0.000000,2518.327274
46.000000,0.000000,2594.639473
47.000000,0.000000,2672.013719
48.000000,0.000000,2750.450014
49.000000,0.000000,2829.632711
50.000000,0.000000,2908.384198
51.000000,0.000000,2988.134693
52.000000,0.000000,3068.884195
53.000000,0.000000,3150.562886
54.000000,0.000000,3233.070096
55.000000,0.000000,3316.564561
56.000000,0.000000,3401.046280
57.000000,0.000000,3486.139813
58.000000,0.000000,3571.955474
59.000000,0.000000,3658.729319
60.000000,0.000000,3746.478654
61.000000,0.000000,3835.385154
62.000000,0.000000,3925.248205
63.000000,0.000000,4016.067808
64.000000,0.000000,4108.336580
65.000000,0.000000,4201.759986
66.000000,0.000000,4296.132807
67.000000,0.000000,4391.455046
68.000000,0.000000,4487.726700
69.000000,0.000000,4584.947772
70.000000,0.000000,4684.443704
71.000000,0.000000,4786.727641
72.000000,0.000000,4889.989199
73.000000,0.000000,4994.652581
74.000000,0.000000,5100.637528
75.000000,0.000000,5207.606128
76.000000,0.000000,5315.558382
77.000000,0.000000,5424.494289
78.000000,0.000000,5535.098675
79.000000,0.000000,5652.469741
80.000000,0.000000,5770.890365
81.000000,0.000000,5890.953425
82.000000,0.000000,6012.371661
83.000000,0.000000,6134.847900
84.000000,0.000000,6258.382142
85.000000,0.000000,6382.974386
20.000000,0.500000,861.209021
21.000000,0.500000,916.061683
22.000000,0.500000,972.511405
23.000000,0.500000,1030.558186
24.000000,0.500000,1090.202026
25.000000,0.500000,1151.442926
26.000000,0.500000,1213.455212
27.000000,0.500000,1274.010387
28.000000,0.500000,1335.951328
29.000000,0.500000,1399.278034
30.000000,0.500000,1463.990505
31.000000,0.500000,1530.088742
32.000000,0.500000,1595.230060
33.000000,0.500000,1661.458031
34.000000,0.500000,1728.947889
35.000000,0.500000,1797.699633
36.000000,0.500000,1867.510484
37.000000,0.500000,1936.347609
38.000000,0.500000,2006.347052
39.000000,0.500000,2077.508813
40.000000,0.500000,2149.832892
41.000000,0.500000,2222.475073
42.000000,0.500000,2295.530485
43.000000,0.500000,2369.687821
44.000000,0.500000,2444.947082
45.000000,0.500000,2521.019543
46.000000,0.500000,2597.393785
47.000000,0.500000,2674.831015
48.000000,0.500000,2753.331232
49.000000,0.500000,2832.498584
50.000000,0.500000,2911.308634
51.000000,0.500000,2991.118259
52.000000,0.500000,3071.927460
53.000000,0.500000,3153.656876
54.000000,0.500000,3236.227604
55.000000,0.500000,3319.786481
56.000000,0.500000,3404.333508
57.000000,0.500000,3489.446373
58.000000,0.500000,3575.301756
59.000000,0.500000,3662.115483
60.000000,0.500000,3749.913489
61.000000,0.500000,3838.851723
62.000000,0.500000,3928.746804
63.000000,0.500000,4019.598732
64.000000,0.500000,4111.948282
65.000000,0.500000,4205.425004
66.000000,0.500000,4299.851511
67.000000,0.500000,4395.227802
68.000000,0.500000,4491.553879
69.000000,0.500000,4588.829740
70.000000,0.500000,4688.492065
71.000000,0.500000,4790.762356
72.000000,0.500000,4894.009977
73.000000,0.500000,4998.726411
74.000000,0.500000,5104.748940
75.000000,0.500000,5211.755224
76.000000,0.500000,5319.745264
77.000000,0.500000,5428.719059
78.000000,0.500000,5539.626821
79.000000,0.500000,5656.934706
80.000000,0.500000,5775.291321
81.000000,0.500000,5895.415058
82.000000,0.500000,6016.887096
83.000000,0.500000,6139.417449
84.000000,0.500000,6263.006118
20.000000,1.000000,862.398445
21.000000,1.000000,917.325705
22.000000,1.000000,973.852446
23.000000,1.000000,1031.978669
24.000000,1.000000,1091.704375
25.000000,1.000000,1153.029562
26.000000,1.000000,1215.004378
27.000000,1.000000,1275.664838
28.000000,1.000000,1337.714414
29.000000,1.000000,1401.153105
30.000000,1.000000,1465.980912
31.000000,1.000000,1532.197834
32.000000,1.000000,1597.278486
33.000000,1.000000,1663.537986
34.000000,1.000000,1731.059338
35.000000,1.000000,1799.842541
36.000000,1.000000,1869.596336
37.000000,1.000000,1938.516054
38.000000,1.000000,2008.599811
39.000000,1.000000,2079.847609
40.000000,1.000000,2152.259447
41.000000,1.000000,2224.917334
42.000000,1.000000,2298.046066
43.000000,1.000000,2372.278024
44.000000,1.000000,2447.613207
45.000000,1.000000,2523.712221
46.000000,1.000000,2600.148544
47.000000,1.000000,2677.648794
48.000000,1.000000,2756.212971
49.000000,1.000000,2835.364857
50.000000,1.000000,2914.233474
51.000000,1.000000,2994.102235
52.000000,1.000000,3074.971139
53.000000,1.000000,3156.751257
54.000000,1.000000,3239.385541
55.000000,1.000000,3323.008869
56.000000,1.000000,3407.621242
57.000000,1.000000,3492.753349
58.000000,1.000000,3578.648454
59.000000,1.000000,3665.502065
60.000000,1.000000,3753.348721
61.000000,1.000000,3842.318722
62.000000,1.000000,3932.245864
63.000000,1.000000,4023.130149
64.000000,1.000000,4115.560399
65.000000,1.000000,4209.090441
66.000000,1.000000,4303.570636
67.000000,1.000000,4399.000984
68.000000,1.000000,4495.381486
69.000000,1.000000,4592.712142
70.000000,1.000000,4692.540800
71.000000,1.000000,4794.797476
72.000000,1.000000,4898.031188
73.000000,1.000000,5002.800671
74.000000,1.000000,5108.860782
75.000000,1.000000,5215.904751
76.000000,1.000000,5323.932578
77.000000,1.000000,5432.944263
78.000000,1.000000,5544.155354
79.000000,1.000000,5661.400084
80.000000,1.000000,5779.692715
81.000000,1.000000,5899.877131
82.000000,1.000000,6021.402974
83.000000,1.000000,6143.987446
84.000000,1.000000,6267.630547
20.000000,1.500000,863.589598
21.000000,1.500000,918.591758
22.000000,1.500000,975.195834
23.000000,1.500000,1033.401827
24.000000,1.500000,1093.209737
25.000000,1.500000,1154.619563
26.000000,1.500000,1216.560264
27.000000,1.500000,1277.325649
28.000000,1.500000,1339.483453
29.000000,1.500000,1403.033677
30.000000,1.500000,1467.976321
31.000000,1.500000,1534.247394
32.000000,1.500000,1599.319875
33.000000,1.500000,1665.612721
34.000000,1.500000,1733.167477
35.000000,1.500000,1801.984142
36.000000,1.500000,1871.690647
37.000000,1.500000,1940.692013
38.000000,1.500000,2010.859112
39.000000,1.500000,2082.191946
40.000000,1.500000,2154.690513
41.000000,1.500000,2227.362038
42.000000,1.500000,2300.565118
43.000000,1.500000,2374.872748
44.000000,1.500000,2450.284929
45.000000,1.500000,2526.408434
46.000000,1.500000,2602.906356
47.000000,1.500000,2680.469133
48.000000,1.500000,2759.096764
49.000000,1.500000,2838.232174
50.000000,1.500000,2917.159370
51.000000,1.500000,2997.087278
52.000000,1.500000,3078.015897
53.000000,1.500000,3159.847735
54.000000,1.500000,3242.546548
55.000000,1.500000,3326.235319
56.000000,1.500000,3410.914048
57.000000,1.500000,3496.060951
58.000000,1.500000,3581.995782
59.000000,1.500000,3668.889280
60.000000,1.500000,3756.782883
61.000000,1.500000,3845.784098
62.000000,1.500000,3935.742738
63.000000,1.500000,4026.658805
64.000000,1.500000,4119.173464
65.000000,1.500000,4212.756833
66.000000,1.500000,4307.290724
67.000000,1.500000,4402.775137
68.000000,1.500000,4499.210072
69.000000,1.500000,4596.595530
70.000000,1.500000,4696.578223
71.000000,1.500000,4798.822486
72.000000,1.500000,4902.043506
73.000000,1.500000,5006.875523
74.000000,1.500000,5112.973220
75.000000,1.500000,5220.054876
76.000000,1.500000,5328.120493
77.000000,1.500000,5437.170069
78.000000,1.500000,5548.666185
79.000000,1.500000,5665.847372
80.000000,1.500000,5784.075621
81.000000,1.500000,5904.340177
82.000000,1.500000,6025.919836
83.000000,1.500000,6148.558437
84.000000,1.500000,6272.255980
20.000000,2.000000,864.780956
21.000000,2.000000,919.858052
22.000000,2.000000,976.539500
23.000000,2.000000,1034.825302
24.000000,2.000000,1094.715456
25.000000,2.000000,1156.209963
26.000000,2.000000,1218.116365
27.000000,2.000000,1278.986740
28.000000,2.000000,1341.252844
29.000000,2.000000,1404.914675
30.000000,2.000000,1469.972235
