weight_g,230.000000
thrust_N,velocity_m_s,power_W
20.000000,0.000000,952.008996
21.000000,0.000000,1011.011829
22.000000,0.000000,1071.701328
23.000000,0.000000,1134.077495
24.000000,0.000000,1198.140328
25.000000,0.000000,1263.889827
26.000000,0.000000,1330.517870
27.000000,0.000000,1395.160005
28.000000,0.000000,1461.254531
29.000000,0.000000,1528.801448
30.000000,0.000000,1597.800756
31.000000,0.000000,1668.252454
32.000000,0.000000,1737.621453
33.000000,0.000000,1807.994921
34.000000,0.000000,1879.686910
35.000000,0.000000,1952.697419
36.000000,0.000000,2026.896434
37.000000,0.000000,2099.718309
38.000000,0.000000,2173.748359
39.000000,0.000000,2248.986584
40.000000,0.000000,2325.432985
41.000000,0.000000,2402.195632
42.000000,0.000000,2479.237515
43.000000,0.000000,2557.421737
44.000000,0.000000,2636.748298
45.000000,0.000000,2716.940673
46.000000,0.000000,2797.308123
47.000000,0.000000,2878.775562
48.000000,0.000000,2961.342989
49.000000,0.000000,3044.639503
50.000000,0.000000,3127.284086
51.000000,0.000000,3210.959251
52.000000,0.000000,3295.664996
53.000000,0.000000,3381.303683
54.000000,0.000000,3467.736380
55.000000,0.000000,3555.186075
56.000000,0.000000,3643.652768
57.000000,0.000000,3732.619985
58.000000,0.000000,3822.244814
59.000000,0.000000,3912.853279
60.000000,0.000000,4004.456653
61.000000,0.000000,4097.172173
62.000000,0.000000,4190.868267
63.000000,0.000000,4285.544936
64.000000,0.000000,4381.513479
65.000000,0.000000,4478.581604
66.000000,0.000000,4576.618573
67.000000,0.000000,4675.624384
68.000000,0.000000,4775.599039
69.000000,0.000000,4876.542536
70.000000,0.000000,4979.657167
71.000000,0.000000,5085.406355
72.000000,0.000000,5192.147104
73.000000,0.000000,5300.263566
74.000000,0.000000,5409.682470
75.000000,0.000000,5520.097641
76.000000,0.000000,5631.509079
77.000000,0.000000,5743.916783
78.000000,0.000000,5857.967039
79.000000,0.000000,5978.469189
80.000000,0.000000,6100.026285
81.000000,0.000000,6223.197305
82.000000,0.000000,6347.710969
83.000000,0.000000,6473.287009
84.000000,0.000000,6599.925423
85.000000,0.000000,6727.626212
20.000000,0.500000,953.199445
21.000000,0.500000,1012.278699
22.000000,0.500000,1073.047124
23.000000,0.500000,1135.504718
24.000000,0.500000,1199.651482
25.000000,0.500000,1265.487416
26.000000,0.500000,1332.061454
27.000000,0.500000,1396.813011
28.000000,0.500000,1463.020453
29.000000,0.500000,1530.683780
30.000000,0.500000,1599.802993
31.000000,0.500000,1670.378091
32.000000,0.500000,1739.670033
33.000000,0.500000,1810.074906
34.000000,0.500000,1881.798271
35.000000,0.500000,1954.840128
36.000000,0.500000,2028.969495
