weight_g,550.000000
thrust_N,velocity_m_s,power_W
27.000000,0.000000,1106.866888
28.000000,0.000000,1155.231924
29.000000,0.000000,1204.582027
30.000000,0.000000,1254.917198
31.000000,0.000000,1306.237436
32.000000,0.000000,1358.542742
33.000000,0.000000,1411.833116
34.000000,0.000000,1465.809362
35.000000,0.000000,1517.223918
36.000000,0.000000,1569.477666
37.000000,0.000000,1622.570606
38.000000,0.000000,1676.502737
39.000000,0.000000,1731.274059
40.000000,0.000000,1786.884573
41.000000,0.000000,1843.315525
42.000000,0.000000,1897.425635
43.000000,0.000000,1952.271951
44.000000,0.000000,2007.854473
45.000000,0.000000,2064.173201
46.000000,0.000000,2121.228134
47.000000,0.000000,2179.019272
48.000000,0.000000,2236.602880
49.000000,0.000000,2293.783462
50.000000,0.000000,2351.638636
51.000000,0.000000,2410.168402
52.000000,0.000000,2469.372760
53.000000,0.000000,2529.251710
54.000000,0.000000,2589.245733
55.000000,0.000000,2648.960448
56.000000,0.000000,2709.306352
57.000000,0.000000,2770.283445
58.000000,0.000000,2831.891726
59.000000,0.000000,2894.131197
60.000000,0.000000,2957.039491
61.000000,0.000000,3020.583743
62.000000,0.000000,3084.743468
63.000000,0.000000,3149.518666
64.000000,0.000000,3214.909336
65.000000,0.000000,3281.768839
66.000000,0.000000,3350.290839
67.000000,0.000000,3419.436945
68.000000,0.000000,3489.207157
69.000000,0.000000,3559.601476
70.000000,0.000000,3631.687455
71.000000,0.000000,3704.716821
72.000000,0.000000,3778.381253
73.000000,0.000000,3852.680749
74.000000,0.000000,3929.931383
75.000000,0.000000,4010.776204
76.000000,0.000000,4092.301827
77.000000,0.000000,4174.508251
78.000000,0.000000,4257.515943
79.000000,0.000000,4341.263986
80.000000,0.000000,4425.694668
81.000000,0.000000,4511.221701
82.000000,0.000000,4607.579776
83.000000,0.000000,4704.722372
84.000000,0.000000,4802.649488
85.000000,0.000000,4901.361124
86.000000,0.000000,5000.857280
87.000000,0.000000,5101.269516
88.000000,0.000000,5204.724814
89.000000,0.000000,5308.990012
90.000000,0.000000,5417.315828
91.000000,0.000000,5536.230556
92.000000,0.000000,5656.091212
93.000000,0.000000,5776.897795
94.000000,0.000000,5898.650305
95.000000,0.000000,6021.348741
96.000000,0.000000,6144.993105
27.000000,0.500000,1112.049831
28.000000,0.500000,1160.605792
29.000000,0.500000,1210.150309
30.000000,0.500000,1260.683382
31.000000,0.500000,1312.205011
32.000000,0.500000,1364.715197
33.000000,0.500000,1418.213939
34.000000,0.500000,1471.945660
35.000000,0.500000,1523.583739
36.000000,0.500000,1576.064849
37.000000,0.500000,1629.388989
38.000000,0.500000,1683.556161
39.000000,0.500000,1738.566362
40.000000,0.500000,1794.419595
41.000000,0.500000,1850.637440
42.000000,0.500000,1904.924873
43.000000,0.500000,1959.950692
44.000000,0.500000,2015.714897
