weight_g,60.000000
thrust_N,velocity_m_s,power_W
26.000000,0.000000,704.120350
27.000000,0.000000,747.034800
28.000000,0.000000,791.142885
29.000000,0.000000,836.444607
30.000000,0.000000,882.939964
31.000000,0.000000,930.628957
32.000000,0.000000,979.511587
33.000000,0.000000,1029.587852
34.000000,0.000000,1079.519090
35.000000,0.000000,1130.521905
36.000000,0.000000,1182.636387
37.000000,0.000000,1235.862537
38.000000,0.000000,1290.200355
39.000000,0.000000,1345.649840
40.000000,0.000000,1402.156025
41.000000,0.000000,1459.073194
42.000000,0.000000,1517.060701
43.000000,0.000000,1576.118545
44.000000,0.000000,1636.246726
45.000000,0.000000,1697.445245
46.000000,0.000000,1759.714102
47.000000,0.000000,1822.833589
48.000000,0.000000,1886.925832
49.000000,0.000000,1952.067292
50.000000,0.000000,2018.257971
51.000000,0.000000,2085.497868
52.000000,0.000000,2153.786983
53.000000,0.000000,2224.148894
54.000000,0.000000,2295.799064
55.000000,0.000000,2368.523945
56.000000,0.000000,2442.323536
57.000000,0.000000,2517.197838
58.000000,0.000000,2594.085659
59.000000,0.000000,2673.830045
60.000000,0.000000,2754.713194
61.000000,0.000000,2836.735106
62.000000,0.000000,2919.895782
63.000000,0.000000,3006.393625
64.000000,0.000000,3099.155345
65.000000,0.000000,3193.234053
66.000000,0.000000,3288.629748
67.000000,0.000000,3385.342431
68.000000,0.000000,3489.826775
69.000000,0.000000,3597.492003
70.000000,0.000000,3706.680153
71.000000,0.000000,3817.391224
72.000000,0.000000,3936.004248
73.000000,0.000000,4058.574030
74.000000,0.000000,4182.887236
26.000000,0.500000,708.421058
27.000000,0.500000,751.559952
28.000000,0.500000,795.898266
29.000000,0.500000,841.436000
30.000000,0.500000,888.173153
31.000000,0.500000,936.109726
32.000000,0.500000,985.245719
33.000000,0.500000,1035.452865
34.000000,0.500000,1085.627622
35.000000,0.500000,1136.899701
36.000000,0.500000,1189.289232
37.000000,0.500000,1242.796213
38.000000,0.500000,1297.420646
39.000000,0.500000,1353.162530
40.000000,0.500000,1409.848092
41.000000,0.500000,1466.986831
42.000000,0.500000,1525.198917
43.000000,0.500000,1584.484349
44.000000,0.500000,1644.843129
45.000000,0.500000,1706.275255
46.000000,0.500000,1768.779905
47.000000,0.500000,1832.079148
48.000000,0.500000,1896.391507
49.000000,0.500000,1961.755480
50.000000,0.500000,2028.171065
51.000000,0.500000,2095.638264
52.000000,0.500000,2164.219393
53.000000,0.500000,2234.888555
54.000000,0.500000,2306.740753
55.000000,0.500000,2379.669096
56.000000,0.500000,2453.673584
57.000000,0.500000,2528.754219
58.000000,0.500000,2606.187102
59.000000,0.500000,2686.069958
60.000000,0.500000,2767.090946
61.000000,0.500000,2849.250068
62.000000,0.500000,2932.547323
63.000000,0.500000,3020.199764
64.000000,0.500000,3113.101175
65.000000,0.500000,3207.318258
66.000000,0.500000,3302.851014
67.000000,0.500000,3399.978570
68.000000,0.500000,3505.262072
69.000000,0.500000,3612.892558
70.000000,0.500000,3722.039557
71.000000,0.500000,3832.716586
72.000000,0.500000,3952.554496
73.000000,0.500000,4075.241355
74.000000,0.500000,4199.668603
26.000000,1.000000,712.732895
27.000000,1.000000,756.096799
28.000000,1.000000,800.665920
29.000000,1.000000,846.440257
30.000000,1.000000,893.419812
31.000000,1.000000,941.604584
32.000000,1.000000,990.994573
33.000000,1.000000,1041.332199
34.000000,1.000000,1091.750959
35.000000,1.000000,1143.292968
36.000000,1.000000,1195.958227
37.000000,1.000000,1249.746734
38.000000,1.000000,1304.658490
39.000000,1.000000,1360.693496
40.000000,1.000000,1417.558214
41.000000,1.000000,1474.918920
42.000000,1.000000,1533.355987
43.000000,1.000000,1592.869415
44.000000,1.000000,1653.459202
45.000000,1.000000,1715.125350
46.000000,1.000000,1777.866203
47.000000,1.000000,1841.345010
48.000000,1.000000,1905.877828
49.000000,1.000000,1971.464657
50.000000,1.000000,2038.105497
51.000000,1.000000,2105.800346
52.000000,1.000000,2174.673972
53.000000,1.000000,2245.650834
54.000000,1.000000,2317.705278
55.000000,1.000000,2390.837304
56.000000,1.000000,2465.046911
57.000000,1.000000,2540.334100
58.000000,1.000000,2618.313312
59.000000,1.000000,2698.334561
60.000000,1.000000,2779.493313
61.000000,1.000000,2861.789568
62.000000,1.000000,2945.223325
63.000000,1.000000,3034.033756
64.000000,1.000000,3127.074676
65.000000,1.000000,3221.429953
66.000000,1.000000,3317.099588
67.000000,1.000000,3414.642805
68.000000,1.000000,3520.727563
69.000000,1.000000,3628.322433
70.000000,1.000000,3737.427417
71.000000,1.000000,3848.069597
72.000000,1.000000,3969.135776
73.000000,1.000000,4091.939312
74.000000,1.000000,4216.480208
26.000000,1.500000,717.082109
27.000000,1.500000,760.671923
28.000000,1.500000,805.472748
29.000000,1.500000,851.484583
30.000000,1.500000,898.707429
31.000000,1.500000,947.141285
32.000000,1.500000,996.786152
33.000000,1.500000,1047.239766
34.000000,1.500000,1097.927197
35.000000,1.500000,1149.743819
36.000000,1.500000,1202.689631
37.000000,1.500000,1256.764632
38.000000,1.500000,1311.968824
39.000000,1.500000,1368.302206
40.000000,1.500000,1425.310944
41.000000,1.500000,1482.895157
42.000000,1.500000,1541.558773
43.000000,1.500000,1601.301791
44.000000,1.500000,1662.124211
45.000000,1.500000,1724.026033
46.000000,1.500000,1786.955892
47.000000,1.500000,1850.653921
48.000000,1.500000,1915.408375
49.000000,1.500000,1981.219254
50.000000,1.500000,2048.086557
51.000000,1.500000,2116.010285
52.000000,1.500000,2185.265470
53.000000,1.500000,2256.444348
54.000000,1.500000,2328.702268
55.000000,1.500000,2402.039231
56.000000,1.500000,2476.455237
57.000000,1.500000,2551.950285
58.000000,1.500000,2630.436413
59.000000,1.500000,2710.600607
60.000000,1.500000,2791.901803
61.000000,1.500000,2874.340002
62.000000,1.500000,2957.915204
63.000000,1.500000,3047.876470
64.000000,1.500000,3141.056374
65.000000,1.500000,3235.549318
66.000000,1.500000,3331.355304
67.000000,1.500000,3430.043786
68.000000,1.500000,3536.099810
69.000000,1.500000,3643.659642
70.000000,1.500000,3752.723280
71.000000,1.500000,3864.519534
72.000000,1.500000,3985.704302
73.000000,1.500000,4108.623395
74.000000,1.500000,4233.276813
25.000000,2.000000,678.843123
26.000000,2.000000,721.442596
27.000000,2.000000,765.258887
28.000000,2.000000,810.291995
29.000000,2.000000,856.541921
30.000000,2.000000,904.008665
31.000000,2.000000,952.692227
32.000000,2.000000,1002.592607
33.000000,2.000000,1053.161658
34.000000,2.000000,1104.118429
35.000000,2.000000,1156.210346
36.000000,2.000000,1209.437410
37.000000,2.000000,1263.799619
38.000000,2.000000,1319.296975
39.000000,2.000000,1375.929477
40.000000,2.000000,1433.081855
41.000000,2.000000,1490.889978
42.000000,2.000000,1549.780549
43.000000,2.000000,1609.753568
44.000000,2.000000,1670.809036
45.000000,2.000000,1732.946952
46.000000,2.000000,1796.065657
47.000000,2.000000,1859.983249
48.000000,2.000000,1924.959683
49.000000,2.000000,1990.994959
50.000000,2.000000,2058.089077
51.000000,2.000000,2126.242036
52.000000,2.000000,2195.879420
53.000000,2.000000,2267.260534
54.000000,2.000000,2339.722153
55.000000,2.000000,2413.264277
56.000000,2.000000,2487.886907
57.000000,2.000000,2563.590041
58.000000,2.000000,2642.584194
59.000000,2.000000,2722.891274
60.000000,2.000000,2804.334857
61.000000,2.000000,2886.914942
62.000000,2.000000,2970.631531
63.000000,2.000000,3061.746971
64.000000,2.000000,3155.065675
65.000000,2.000000,3249.696105
66.000000,2.000000,3345.638259
67.000000,2.000000,3445.475392
68.000000,2.000000,3551.501813
69.000000,2.000000,3659.025748
70.000000,2.000000,3768.047195
71.000000,2.000000,3881.000749
72.000000,2.000000,4002.303706
73.000000,2.000000,4125.337959
74.000000,2.000000,4250.103506
25.000000,2.500000,683.066585
26.000000,2.500000,725.882332
27.000000,2.500000,769.920351
28.000000,2.500000,815.180643
29.000000,2.500000,861.663208
30.000000,2.500000,909.368046
31.000000,2.500000,958.295158
32.000000,2.500000,1008.444542
33.000000,2.500000,1059.134247
34.000000,2.500000,1110.365002
35.000000,2.500000,1162.737004
36.000000,2.500000,1216.250254
37.000000,2.500000,1270.904752
38.000000,2.500000,1326.700498
39.000000,2.500000,1383.637492
40.000000,2.500000,1440.896051
41.000000,2.500000,1498.929644
42.000000,2.500000,1558.048760
43.000000,2.500000,1618.253398
44.000000,2.500000,1679.543560
45.000000,2.500000,1741.919245
46.000000,2.500000,1805.217818
47.000000,2.500000,1869.356146
48.000000,2.500000,1934.555750
49.000000,2.500000,2000.816629
50.000000,2.500000,2068.138783
51.000000,2.500000,2136.522214
52.000000,2.500000,2206.524178
53.000000,2.500000,2278.108753
54.000000,2.500000,2350.775320
55.000000,2.500000,2424.523880
56.000000,2.500000,2499.354433
57.000000,2.500000,2575.502858
58.000000,2.500000,2654.732971
59.000000,2.500000,2735.187568
60.000000,2.500000,2816.778299
61.000000,2.500000,2899.505164
62.000000,2.500000,2983.925980
63.000000,2.500000,3075.626004
64.000000,2.500000,3169.082984
65.000000,2.500000,3263.850371
66.000000,2.500000,3359.928164
67.000000,2.500000,3460.814793
68.000000,2.500000,3566.812122
69.000000,2.500000,3674.300760
70.000000,2.500000,3783.280707
71.000000,2.500000,3897.469944
72.000000,2.500000,4018.889970
73.000000,2.500000,4142.038260
74.000000,2.500000,4266.914812
25.000000,3.000000,687.301145
26.000000,3.000000,730.333692
27.000000,3.000000,774.593980
28.000000,3.000000,820.082007
29.000000,3.000000,866.797775
30.000000,3.000000,914.741283
31.000000,3.000000,963.912531
32.000000,3.000000,1014.311519
33.000000,3.000000,1065.121340
34.000000,3.000000,1116.626765
35.000000,3.000000,1169.279554
36.000000,3.000000,1223.079710
37.000000,3.000000,1278.027231
38.000000,3.000000,1334.122117
39.000000,3.000000,1391.364369
40.000000,3.000000,1448.728557
41.000000,3.000000,1506.988027
42.000000,3.000000,1566.336098
43.000000,3.000000,1626.772772
44.000000,3.000000,1688.298047
45.000000,3.000000,1750.911925
46.000000,3.000000,1814.390168
47.000000,3.000000,1878.749576
48.000000,3.000000,1944.172696
49.000000,3.000000,2010.659529
50.000000,3.000000,2078.210073
51.000000,3.000000,2146.824330
52.000000,3.000000,2217.191442
53.000000,3.000000,2288.979702
54.000000,3.000000,2361.851444
55.000000,3.000000,2435.806668
56.000000,3.000000,2510.845372
57.000000,3.000000,2587.440044
58.000000,3.000000,2666.906356
59.000000,3.000000,2747.508432
60.000000,3.000000,2829.246273
61.000000,3.000000,2912.119877
62.000000,3.000000,2997.246773
63.000000,3.000000,3089.532757
64.000000,3.000000,3183.127829
65.000000,3.000000,3278.031991
66.000000,3.000000,3374.245242
67.000000,3.000000,3476.184376
68.000000,3.000000,3582.151759
69.000000,3.000000,3689.604260
70.000000,3.000000,3798.541876
71.000000,3.000000,3913.970266
72.000000,3.000000,4035.506962
73.000000,3.000000,4158.768892
74.000000,3.000000,4283.756055
25.000000,3.500000,692.070766
26.000000,3.500000,735.286454
27.000000,3.500000,779.732873
28.000000,3.500000,825.410023
29.000000,3.500000,872.317904
30.000000,3.500000,920.456515
31.000000,3.500000,969.825857
32.000000,3.500000,1020.425930
33.000000,3.500000,1071.335022
34.000000,3.500000,1123.091970
35.000000,3.500000,1176.001207
36.000000,3.500000,1230.062733
37.000000,3.500000,1285.276549
38.000000,3.500000,1341.642654
39.000000,3.500000,1399.102012
40.000000,3.500000,1456.596080
41.000000,3.500000,1515.084866
42.000000,3.500000,1574.665385
43.000000,3.500000,1635.337635
44.000000,3.500000,1697.101616
45.000000,3.500000,1759.957329
46.000000,3.500000,1823.606225
47.000000,3.500000,1888.187784
48.000000,3.500000,1953.835488
49.000000,3.500000,2020.549335
50.000000,3.500000,2088.329326
51.000000,3.500000,2157.175461
52.000000,3.500000,2227.890302
53.000000,3.500000,2299.883492
54.000000,3.500000,2372.961677
55.000000,3.500000,2447.124857
56.000000,3.500000,2522.373032
57.000000,3.500000,2599.466122
58.000000,3.500000,2679.084867
59.000000,3.500000,2759.839138
60.000000,3.500000,2841.728933
61.000000,3.500000,2924.754254
62.000000,3.500000,3011.022983
63.000000,3.500000,3103.447852
64.000000,3.500000,3197.180491
65.000000,3.500000,3292.220898
66.000000,3.500000,3388.569075
67.000000,3.500000,3491.463267
68.000000,3.500000,3597.401241
69.000000,3.500000,3704.818228
70.000000,3.500000,3813.714227
71.000000,3.500000,3930.458182
72.000000,3.500000,4052.110426
73.000000,3.500000,4175.484873
25.000000,4.000000,696.854289
26.000000,4.000000,740.253453
27.000000,4.000000,784.886342
28.000000,4.000000,830.752955
29.000000,4.000000,877.853294
30.000000,4.000000,926.187358
31.000000,4.000000,975.755147
32.000000,4.000000,1026.556660
33.000000,4.000000,1077.564314
34.000000,4.000000,1129.573356
35.000000,4.000000,1182.739621
36.000000,4.000000,1237.063110
37.000000,4.000000,1292.543823
38.000000,4.000000,1349.181759
39.000000,4.000000,1406.858426
40.000000,4.000000,1464.482074
41.000000,4.000000,1523.200589
42.000000,4.000000,1583.013968
43.000000,4.000000,1643.922214
44.000000,4.000000,1705.925325
45.000000,4.000000,1769.023302
46.000000,4.000000,1832.842607
47.000000,4.000000,1897.646661
48.000000,4.000000,1963.519293
49.000000,4.000000,2030.460503
50.000000,4.000000,2098.470292
51.000000,4.000000,2167.548659
52.000000,4.000000,2238.611723
53.000000,4.000000,2310.810071
54.000000,4.000000,2384.094930
55.000000,4.000000,2458.466298
56.000000,4.000000,2533.924177
57.000000,4.000000,2611.516774
58.000000,4.000000,2691.287932
59.000000,4.000000,2772.194377
60.000000,4.000000,2854.236107
61.000000,4.000000,2937.413122
62.000000,4.000000,3024.827030
63.000000,4.000000,3117.390601
64.000000,4.000000,3211.260622
65.000000,4.000000,3306.437092
66.000000,4.000000,3402.920013
67.000000,4.000000,3506.771909
68.000000,4.000000,3612.679637
69.000000,4.000000,3720.060284
70.000000,4.000000,3828.913852
71.000000,4.000000,3946.977071
72.000000,4.000000,4068.744465
73.000000,4.000000,4192.231033
25.000000,4.500000,701.693110
26.000000,4.500000,745.285720
27.000000,4.500000,790.115542
28.000000,4.500000,836.182577
29.000000,4.500000,883.486824
30.000000,4.500000,932.028284
31.000000,4.500000,981.806956
32.000000,4.500000,1032.769808
33.000000,4.500000,1083.934072
34.000000,4.500000,1136.181592
35.000000,4.500000,1189.590646
36.000000,4.500000,1244.161236
37.000000,4.500000,1299.893361
38.000000,4.500000,1356.787021
39.000000,4.500000,1414.552256
40.000000,4.500000,1472.413102
41.000000,4.500000,1531.372327
42.000000,4.500000,1591.429930
43.000000,4.500000,1652.585911
44.000000,4.500000,1714.840272
45.000000,4.500000,1778.172273
46.000000,4.500000,1842.180207
47.000000,4.500000,1907.217274
48.000000,4.500000,1973.325608
49.000000,4.500000,2040.505207
50.000000,4.500000,2108.756071
51.000000,4.500000,2178.178393
52.000000,4.500000,2249.464967
53.000000,4.500000,2321.863739
54.000000,4.500000,2395.350302
55.000000,4.500000,2469.924654
56.000000,4.500000,2545.586797
57.000000,4.500000,2623.631134
58.000000,4.500000,2703.537926
59.000000,4.500000,2784.579255
60.000000,4.500000,2866.755122
61.000000,4.500000,2950.065526
62.000000,4.500000,3038.618197
63.000000,4.500000,3131.339397
64.000000,4.500000,3225.366192
65.000000,4.500000,3320.698583
66.000000,4.500000,3417.934872
67.000000,4.500000,3522.064716
68.000000,4.500000,3627.953659
69.000000,4.500000,3735.309718
70.000000,4.500000,3844.427689
71.000000,4.500000,3963.581195
72.000000,4.500000,4085.444479
73.000000,4.500000,4209.023338
25.000000,5.000000,706.546093
26.000000,5.000000,750.332541
27.000000,5.000000,795.359694
28.000000,5.000000,841.627552
29.000000,5.000000,889.136114
30.000000,5.000000,937.885382
31.000000,5.000000,987.875354
32.000000,5.000000,1038.999468
33.000000,5.000000,1090.320125
34.000000,5.000000,1142.806637
35.000000,5.000000,1196.459003
36.000000,5.000000,1251.277224
37.000000,5.000000,1307.261300
38.000000,5.000000,1364.411230
39.000000,5.000000,1422.264406
40.000000,5.000000,1480.362908
41.000000,5.000000,1539.563307
42.000000,5.000000,1599.865604
43.000000,5.000000,1661.269797
44.000000,5.000000,1723.775888
45.000000,5.000000,1787.342202
46.000000,5.000000,1851.538709
47.000000,5.000000,1916.809171
48.000000,5.000000,1983.153589
49.000000,5.000000,2050.571963
50.000000,5.000000,2119.064293
51.000000,5.000000,2188.831118
52.000000,5.000000,2260.341437
53.000000,5.000000,2332.940828
54.000000,5.000000,2406.629290
55.000000,5.000000,2481.406823
56.000000,5.000000,2557.273427
57.000000,5.000000,2635.770403
58.000000,5.000000,2715.812731
59.000000,5.000000,2796.988848
60.000000,5.000000,2879.298754
61.000000,5.000000,2962.742448
62.000000,5.000000,3052.437178
63.000000,5.000000,3145.315887
64.000000,5.000000,3239.499337
65.000000,5.000000,3334.987529
66.000000,5.000000,3432.979170
67.000000,5.000000,3537.387205
68.000000,5.000000,3643.256563
69.000000,5.000000,3750.587244
70.000000,5.000000,3859.969814
71.000000,5.000000,3980.216535
72.000000,5.000000,4102.175232
73.000000,5.000000,4225.845906
25.000000,5.500000,711.400117
26.000000,5.500000,755.384837
27.000000,5.500000,800.613945
28.000000,5.500000,847.087442
29.000000,5.500000,894.805326
30.000000,5.500000,943.767598
31.000000,5.500000,993.974259
32.000000,5.500000,1045.196586
33.000000,5.500000,1096.753793
34.000000,5.500000,1149.481212
35.000000,5.500000,1203.378843
36.000000,5.500000,1258.446686
37.000000,5.500000,1314.684741
38.000000,5.500000,1372.093008
39.000000,5.500000,1430.026348
40.000000,5.500000,1488.364608
41.000000,5.500000,1547.808333
42.000000,5.500000,1608.357521
43.000000,5.500000,1670.012174
44.000000,5.500000,1732.772291
45.000000,5.500000,1796.520823
46.000000,5.500000,1860.952926
47.000000,5.500000,1926.461830
48.000000,5.500000,1993.047535
49.000000,5.500000,2060.710042
50.000000,5.500000,2129.449349
51.000000,5.500000,2199.561309
52.000000,5.500000,2271.272014
53.000000,5.500000,2344.073124
54.000000,5.500000,2417.964638
55.000000,5.500000,2492.946556
56.000000,5.500000,2569.087404
57.000000,5.500000,2647.917454
58.000000,5.500000,2728.086451
59.000000,5.500000,2809.388299
60.000000,5.500000,2891.822997
61.000000,5.500000,2975.443834
62.000000,5.500000,3066.284194
63.000000,5.500000,3159.371052
64.000000,5.500000,3253.763164
65.000000,5.500000,3349.460529
66.000000,5.500000,3448.470869
67.000000,5.500000,3552.927516
68.000000,5.500000,3658.841345
69.000000,5.500000,3766.212355
70.000000,5.500000,3877.019494
71.000000,5.500000,3997.406080
72.000000,5.500000,4119.502029
73.000000,5.500000,4243.307341
25.000000,6.000000,716.268299
26.000000,6.000000,760.451700
27.000000,6.000000,805.883177
28.000000,6.000000,852.562732
29.000000,6.000000,900.490363
30.000000,6.000000,949.666070
31.000000,6.000000,1000.089854
32.000000,6.000000,1051.409651
33.000000,6.000000,1103.203921
34.000000,6.000000,1156.172769
35.000000,6.000000,1210.316193
36.000000,6.000000,1265.634195
37.000000,6.000000,1322.126775
38.000000,6.000000,1379.793931
39.000000,6.000000,1437.806768
40.000000,6.000000,1496.385253
41.000000,6.000000,1556.072775
42.000000,6.000000,1616.869334
43.000000,6.000000,1678.774930
44.000000,6.000000,1741.789563
45.000000,6.000000,1805.720124
46.000000,6.000000,1870.388225
47.000000,6.000000,1936.135975
48.000000,6.000000,2002.963376
49.000000,6.000000,2070.870426
50.000000,6.000000,2139.857127
51.000000,6.000000,2210.314719
52.000000,6.000000,2282.226015
53.000000,6.000000,2355.229050
54.000000,6.000000,2429.323822
55.000000,6.000000,2504.510333
56.000000,6.000000,2580.925837
57.000000,6.000000,2660.089469
58.000000,6.000000,2740.385012
59.000000,6.000000,2821.812467
60.000000,6.000000,2904.371834
61.000000,6.000000,2988.169869
62.000000,6.000000,3080.159189
63.000000,6.000000,3173.454274
64.000000,6.000000,3268.055125
65.000000,6.000000,3363.961742
66.000000,6.000000,3463.993756
67.000000,6.000000,3568.498430
68.000000,6.000000,3674.456149
