weight_g,450.000000
thrust_N,velocity_m_s,power_W
26.000000,0.000000,961.777218
27.000000,0.000000,1006.868749
28.000000,0.000000,1052.937413
29.000000,0.000000,1099.983211
30.000000,0.000000,1148.006142
31.000000,0.000000,1197.006206
32.000000,0.000000,1246.983404
33.000000,0.000000,1297.937735
34.000000,0.000000,1346.376280
35.000000,0.000000,1395.537954
36.000000,0.000000,1445.528347
37.000000,0.000000,1496.347459
38.000000,0.000000,1547.995291
39.000000,0.000000,1600.471842
40.000000,0.000000,1653.602781
41.000000,0.000000,1705.365661
42.000000,0.000000,1757.873461
43.000000,0.000000,1811.126182
44.000000,0.000000,1865.123823
45.000000,0.000000,1919.866385
46.000000,0.000000,1975.353867
47.000000,0.000000,2030.224643
48.000000,0.000000,2085.296744
49.000000,0.000000,2141.053403
50.000000,0.000000,2197.494619
51.000000,0.000000,2254.620392
52.000000,0.000000,2312.430722
53.000000,0.000000,2370.290964
54.000000,0.000000,2428.672872
55.000000,0.000000,2487.707453
56.000000,0.000000,2547.394708
57.000000,0.000000,2607.734635
58.000000,0.000000,2668.822661
59.000000,0.000000,2730.733618
60.000000,0.000000,2793.287683
61.000000,0.000000,2856.484853
62.000000,0.000000,2920.325130
63.000000,0.000000,2985.494363
64.000000,0.000000,3052.879416
65.000000,0.000000,3120.923026
66.000000,0.000000,3189.625195
67.000000,0.000000,3258.985920
68.000000,0.000000,3331.535588
69.000000,0.000000,3405.432081
70.000000,0.000000,3480.020556
71.000000,0.000000,3555.301014
72.000000,0.000000,3633.695191
73.000000,0.000000,3713.659023
74.000000,0.000000,3794.345314
26.000000,0.500000,965.549413
27.000000,0.500000,1010.821298
28.000000,0.500000,1057.074573
29.000000,0.500000,1104.309238
30.000000,0.500000,1152.525293
31.000000,0.500000,1201.722738
32.000000,0.500000,1251.901573
33.000000,0.500000,1302.718519
34.000000,0.500000,1351.288865
35.000000,0.500000,1400.638437
36.000000,0.500000,1450.820146
37.000000,0.500000,1501.833993
38.000000,0.500000,1553.679976
39.000000,0.500000,1606.358096
40.000000,0.500000,1659.381407
41.000000,0.500000,1711.295872
42.000000,0.500000,1763.957358
43.000000,0.500000,1817.365866
44.000000,0.500000,1871.521395
45.000000,0.500000,1926.423947
46.000000,0.500000,1982.068860
47.000000,0.500000,2036.841793
48.000000,0.500000,2092.058841
49.000000,0.500000,2147.962172
50.000000,0.500000,2204.551785
51.000000,0.500000,2261.827681
52.000000,0.500000,2319.747041
53.000000,0.500000,2377.669577
54.000000,0.500000,2436.180327
55.000000,0.500000,2495.345032
56.000000,0.500000,2555.163693
57.000000,0.500000,2615.636308
58.000000,0.500000,2676.868968
