weight_g,219.000000
thrust_N,velocity_m_s,power_W
26.000000,0.000000,955.663028
27.000000,0.000000,1000.588598
28.000000,0.000000,1046.489856
29.000000,0.000000,1093.366801
30.000000,0.000000,1141.219434
31.000000,0.000000,1190.047753
32.000000,0.000000,1239.851760
33.000000,0.000000,1290.631454
34.000000,0.000000,1338.930035
35.000000,0.000000,1387.952398
36.000000,0.000000,1437.803032
37.000000,0.000000,1488.481938
38.000000,0.000000,1539.989115
39.000000,0.000000,1592.324564
40.000000,0.000000,1645.315850
41.000000,0.000000,1696.962343
42.000000,0.000000,1749.353876
43.000000,0.000000,1802.490449
44.000000,0.000000,1856.372061
45.000000,0.000000,1910.998713
46.000000,0.000000,1966.370404
47.000000,0.000000,2021.142171
48.000000,0.000000,2076.121781
49.000000,0.000000,2131.786515
50.000000,0.000000,2188.136372
51.000000,0.000000,2245.171353
52.000000,0.000000,2302.891457
53.000000,0.000000,2360.681088
54.000000,0.000000,2418.997393
55.000000,0.000000,2477.967403
56.000000,0.000000,2537.591117
57.000000,0.000000,2597.868537
58.000000,0.000000,2658.903096
59.000000,0.000000,2720.776781
60.000000,0.000000,2783.295091
61.000000,0.000000,2846.458027
62.000000,0.000000,2910.265587
63.000000,0.000000,2975.415783
64.000000,0.000000,3042.811634
65.000000,0.000000,3110.868488
66.000000,0.000000,3179.586346
67.000000,0.000000,3248.965209
68.000000,0.000000,3321.563233
69.000000,0.000000,3395.518559
70.000000,0.000000,3470.169211
71.000000,0.000000,3545.515190
72.000000,0.000000,3624.005698
73.000000,0.000000,3704.079694
74.000000,0.000000,3784.880457
26.000000,0.500000,959.430070
27.000000,0.500000,1004.535803
28.000000,0.500000,1050.621478
29.000000,0.500000,1097.687095
30.000000,0.500000,1145.732654
31.000000,0.500000,1194.758156
32.000000,0.500000,1244.763599
33.000000,0.500000,1295.409304
34.000000,0.500000,1343.840356
35.000000,0.500000,1393.050745
36.000000,0.500000,1443.092829
37.000000,0.500000,1493.966610
38.000000,0.500000,1545.672087
39.000000,0.500000,1598.209261
40.000000,0.500000,1651.096256
41.000000,0.500000,1702.894385
42.000000,0.500000,1755.439655
43.000000,0.500000,1808.732066
44.000000,0.500000,1862.771617
45.000000,0.500000,1917.558310
46.000000,0.500000,1973.087540
47.000000,0.500000,2027.764519
48.000000,0.500000,2082.889158
49.000000,0.500000,2138.700645
50.000000,0.500000,2195.198980
51.000000,0.500000,2252.384164
52.000000,0.500000,2310.214599
53.000000,0.500000,2368.068581
54.000000,0.500000,2426.513797
55.000000,0.500000,2485.613997
56.000000,0.500000,2545.369181
