weight_g,350.000000
thrust_N,velocity_m_s,power_W
28.000000,0.000000,776.650852
29.000000,0.000000,812.095294
30.000000,0.000000,848.270822
31.000000,0.000000,885.177435
32.000000,0.000000,922.815134
33.000000,0.000000,961.183918
34.000000,0.000000,1000.283788
35.000000,0.000000,1040.114744
36.000000,0.000000,1080.298224
37.000000,0.000000,1118.875086
38.000000,0.000000,1158.071662
39.000000,0.000000,1197.887951
40.000000,0.000000,1238.323954
41.000000,0.000000,1279.379669
42.000000,0.000000,1321.055099
43.000000,0.000000,1363.350242
44.000000,0.000000,1405.487426
45.000000,0.000000,1447.592256
46.000000,0.000000,1490.261810
47.000000,0.000000,1533.496090
48.000000,0.000000,1577.295096
49.000000,0.000000,1621.658826
50.000000,0.000000,1666.587282
51.000000,0.000000,1711.516268
52.000000,0.000000,1756.644626
53.000000,0.000000,1802.300569
54.000000,0.000000,1848.484097
55.000000,0.000000,1895.195210
56.000000,0.000000,1942.433908
57.000000,0.000000,1990.293000
58.000000,0.000000,2039.016707
59.000000,0.000000,2088.259019
60.000000,0.000000,2138.019937
61.000000,0.000000,2188.299460
62.000000,0.000000,2239.097588
63.000000,0.000000,2291.213572
64.000000,0.000000,2345.268402
65.000000,0.000000,2399.857987
66.000000,0.000000,2454.982326
67.000000,0.000000,2510.641421
68.000000,0.000000,2567.613564
69.000000,0.000000,2629.516818
70.000000,0.000000,2692.011789
71.000000,0.000000,2755.098478
72.000000,0.000000,2818.776885
73.000000,0.000000,2884.778379
74.000000,0.000000,2952.220216
75.000000,0.000000,3020.279215
76.000000,0.000000,3088.955374
77.000000,0.000000,3162.817230
78.000000,0.000000,3240.799437
79.000000,0.000000,3319.490881
80.000000,0.000000,3399.266534
81.000000,0.000000,3485.541062
82.000000,0.000000,3572.592430
83.000000,0.000000,3660.420639
84.000000,0.000000,3749.025688
85.000000,0.000000,3838.407577
86.000000,0.000000,3928.566307
28.000000,0.500000,781.011661
29.000000,0.500000,816.636205
30.000000,0.500000,852.995477
31.000000,0.500000,890.089475
32.000000,0.500000,927.918201
33.000000,0.500000,966.481654
34.000000,0.500000,1005.779835
35.000000,0.500000,1045.812742
36.000000,0.500000,1085.808725
37.000000,0.500000,1124.572776
38.000000,0.500000,1163.959594
39.000000,0.500000,1203.969180
40.000000,0.500000,1244.601534
41.000000,0.500000,1285.856656
42.000000,0.500000,1327.734545
43.000000,0.500000,1370.235202
44.000000,0.500000,1412.290571
45.000000,0.500000,1454.532683
46.000000,0.500000,1497.340982
47.000000,0.500000,1540.715468
48.000000,0.500000,1584.656140
49.000000,0.500000,1629.162999
50.000000,0.500000,1674.236045
51.000000,0.500000,1719.140821
52.000000,0.500000,1764.396707
53.000000,0.500000,1810.181304
54.000000,0.500000,1856.494612
55.000000,0.500000,1903.336631
56.000000,0.500000,1950.707361
57.000000,0.500000,1998.777393
58.000000,0.500000,2047.636017
59.000000,0.500000,2097.014368
60.000000,0.500000,2146.912448
61.000000,0.500000,2197.330256
62.000000,0.500000,2248.267793
63.000000,0.500000,2300.892186
64.000000,0.500000,2355.045728
65.000000,0.500000,2409.734457
66.000000,0.500000,2464.958371
67.000000,0.500000,2520.717472
68.000000,0.500000,2578.691297
69.000000,0.500000,2640.651172
70.000000,0.500000,2703.202476
71.000000,0.500000,2766.345208
72.000000,0.500000,2830.114401
73.000000,0.500000,2896.556650
74.000000,0.500000,2964.027365
75.000000,0.500000,3032.114570
76.000000,0.500000,3100.818266
77.000000,0.500000,3176.124008
78.000000,0.500000,3254.205341
79.000000,0.500000,3332.995841
80.000000,0.500000,3413.864844
81.000000,0.500000,3500.146132
82.000000,0.500000,3587.202992
83.000000,0.500000,3675.035426
84.000000,0.500000,3763.643433
85.000000,0.500000,3853.027013
28.000000,1.000000,785.383268
29.000000,1.000000,821.188360
30.000000,1.000000,857.731830
31.000000,1.000000,895.013678
32.000000,1.000000,933.033903
33.000000,1.000000,971.792506
34.000000,1.000000,1011.289487
35.000000,1.000000,1051.524845
36.000000,1.000000,1091.331396
37.000000,1.000000,1130.283063
38.000000,1.000000,1169.860559
39.000000,1.000000,1210.063884
40.000000,1.000000,1250.893038
41.000000,1.000000,1292.348022
42.000000,1.000000,1334.428835
43.000000,1.000000,1377.135477
44.000000,1.000000,1419.107720
45.000000,1.000000,1461.487356
46.000000,1.000000,1504.434641
47.000000,1.000000,1547.949576
48.000000,1.000000,1592.032161
49.000000,1.000000,1636.682396
50.000000,1.000000,1681.900280
51.000000,1.000000,1726.779880
52.000000,1.000000,1772.163488
53.000000,1.000000,1818.076935
54.000000,1.000000,1864.520219
55.000000,1.000000,1911.493342
56.000000,1.000000,1958.996302
57.000000,1.000000,2007.277119
58.000000,1.000000,2056.270855
59.000000,1.000000,2105.785445
60.000000,1.000000,2155.820886
61.000000,1.000000,2206.377181
62.000000,1.000000,2257.454327
63.000000,1.000000,2310.587683
64.000000,1.000000,2364.840018
65.000000,1.000000,2419.627971
66.000000,1.000000,2474.951541
67.000000,1.000000,2530.810728
68.000000,1.000000,2589.788069
69.000000,1.000000,2651.804513
70.000000,1.000000,2714.412095
71.000000,1.000000,2777.610816
72.000000,1.000000,2841.470804
73.000000,1.000000,2908.354448
74.000000,1.000000,2975.853909
75.000000,1.000000,3043.969188
76.000000,1.000000,3112.700285
77.000000,1.000000,3189.452835
78.000000,1.000000,3267.633271
79.000000,1.000000,3346.522807
80.000000,1.000000,3428.487231
81.000000,1.000000,3514.775028
82.000000,1.000000,3601.837130
83.000000,1.000000,3689.673536
84.000000,1.000000,3778.284247
85.000000,1.000000,3867.669262
28.000000,1.500000,789.804833
29.000000,1.500000,825.792518
30.000000,1.500000,862.522271
31.000000,1.500000,899.994093
32.000000,1.500000,938.207983
33.000000,1.500000,977.163941
34.000000,1.500000,1016.861967
35.000000,1.500000,1057.302062
36.000000,1.500000,1096.916952
37.000000,1.500000,1136.058885
38.000000,1.500000,1175.829756
39.000000,1.500000,1216.229567
40.000000,1.500000,1257.258317
41.000000,1.500000,1298.916005
42.000000,1.500000,1341.202633
43.000000,1.500000,1383.935576
44.000000,1.500000,1425.965459
45.000000,1.500000,1468.484080
46.000000,1.500000,1511.571835
47.000000,1.500000,1555.228725
48.000000,1.500000,1599.454750
49.000000,1.500000,1644.249908
50.000000,1.500000,1689.464914
51.000000,1.500000,1734.458660
52.000000,1.500000,1779.970409
53.000000,1.500000,1826.013124
54.000000,1.500000,1872.586805
55.000000,1.500000,1919.691453
56.000000,1.500000,1967.327066
57.000000,1.500000,2015.821219
58.000000,1.500000,2064.951380
59.000000,1.500000,2114.603533
60.000000,1.500000,2164.777678
61.000000,1.500000,2215.473815
62.000000,1.500000,2266.778985
63.000000,1.500000,2320.302489
64.000000,1.500000,2374.653868
65.000000,1.500000,2429.541297
66.000000,1.500000,2484.964777
67.000000,1.500000,2540.924307
68.000000,1.500000,2600.867913
69.000000,1.500000,2662.940443
70.000000,1.500000,2725.603815
71.000000,1.500000,2788.858030
72.000000,1.500000,2853.199621
73.000000,1.500000,2920.111933
74.000000,1.500000,2987.639386
75.000000,1.500000,3055.781978
76.000000,1.500000,3125.568065
77.000000,1.500000,3202.777637
78.000000,1.500000,3281.056003
79.000000,1.500000,3360.043381
80.000000,1.500000,3443.033700
81.000000,1.500000,3529.326847
82.000000,1.500000,3616.393024
83.000000,1.500000,3704.232232
84.000000,1.500000,3792.844469
85.000000,1.500000,3882.229736
27.000000,2.000000,758.812430
28.000000,2.000000,794.237393
29.000000,2.000000,830.408124
30.000000,2.000000,867.324623
31.000000,2.000000,904.986890
32.000000,2.000000,943.394925
33.000000,2.000000,982.548728
34.000000,2.000000,1022.448299
35.000000,2.000000,1063.093638
36.000000,2.000000,1102.514898
37.000000,2.000000,1141.847533
38.000000,2.000000,1181.812225
39.000000,2.000000,1222.408973
40.000000,2.000000,1263.637777
41.000000,2.000000,1305.498638
42.000000,2.000000,1347.991555
43.000000,2.000000,1390.750108
44.000000,2.000000,1432.837339
45.000000,2.000000,1475.495190
46.000000,2.000000,1518.723662
47.000000,2.000000,1562.522755
48.000000,2.000000,1606.892468
49.000000,2.000000,1651.832802
50.000000,2.000000,1697.044080
51.000000,2.000000,1742.152069
52.000000,2.000000,1787.792154
53.000000,2.000000,1833.964334
54.000000,2.000000,1880.668609
55.000000,2.000000,1927.904979
56.000000,2.000000,1975.673445
57.000000,2.000000,2024.380778
58.000000,2.000000,2073.647564
59.000000,2.000000,2123.437483
60.000000,2.000000,2173.750534
61.000000,2.000000,2224.586717
62.000000,2.000000,2276.120213
63.000000,2.000000,2330.034235
64.000000,2.000000,2384.484738
65.000000,2.000000,2439.471725
66.000000,2.000000,2494.995194
67.000000,2.000000,2551.055146
68.000000,2.000000,2611.966757
69.000000,2.000000,2674.095318
70.000000,2.000000,2736.814425
71.000000,2.000000,2800.124078
72.000000,2.000000,2864.947997
73.000000,2.000000,2931.888848
74.000000,2.000000,2999.444159
75.000000,2.000000,3067.613930
76.000000,2.000000,3138.457113
77.000000,2.000000,3216.124458
78.000000,2.000000,3294.500729
79.000000,2.000000,3373.585925
80.000000,2.000000,3457.604054
81.000000,2.000000,3543.902300
82.000000,2.000000,3630.972299
83.000000,2.000000,3718.814052
84.000000,2.000000,3807.427559
85.000000,2.000000,3896.812821
27.000000,2.500000,763.186519
28.000000,2.500000,798.785324
29.000000,2.500000,835.133261
30.000000,2.500000,872.230329
31.000000,2.500000,910.076528
32.000000,2.500000,948.671859
33.000000,2.500000,988.016321
34.000000,2.500000,1028.109915
35.000000,2.500000,1068.927193
36.000000,2.500000,1108.178260
37.000000,2.500000,1147.702988
38.000000,2.500000,1187.862849
39.000000,2.500000,1228.657845
40.000000,2.500000,1270.087974
41.000000,2.500000,1312.153238
42.000000,2.500000,1354.853635
43.000000,2.500000,1397.516452
44.000000,2.500000,1439.744100
45.000000,2.500000,1482.543894
46.000000,2.500000,1525.915835
47.000000,2.500000,1569.859922
