weight_g,415.000000
thrust_N,velocity_m_s,power_W
28.000000,0.000000,795.280780
29.000000,0.000000,831.170585
30.000000,0.000000,867.794060
31.000000,0.000000,905.151206
32.000000,0.000000,943.242023
33.000000,0.000000,982.066511
34.000000,0.000000,1021.624670
35.000000,0.000000,1061.916500
36.000000,0.000000,1102.547542
37.000000,0.000000,1141.477465
38.000000,0.000000,1181.026910
39.000000,0.000000,1221.195877
40.000000,0.000000,1261.984365
41.000000,0.000000,1303.392375
42.000000,0.000000,1345.419906
43.000000,0.000000,1388.066959
44.000000,0.000000,1430.509850
45.000000,0.000000,1472.882753
46.000000,0.000000,1515.818396
47.000000,0.000000,1559.316776
48.000000,0.000000,1603.377896
49.000000,0.000000,1648.001755
50.000000,0.000000,1693.188352
51.000000,0.000000,1738.326192
52.000000,0.000000,1783.632089
53.000000,0.000000,1829.462070
54.000000,0.000000,1875.816136
55.000000,0.000000,1922.694286
56.000000,0.000000,1970.096521
57.000000,0.000000,2018.098022
58.000000,0.000000,2066.894479
59.000000,0.000000,2116.204209
60.000000,0.000000,2166.027212
61.000000,0.000000,2216.363487
62.000000,0.000000,2267.213035
63.000000,0.000000,2319.331855
64.000000,0.000000,2373.305939
65.000000,0.000000,2427.806519
66.000000,0.000000,2482.833595
67.000000,0.000000,2538.387167
68.000000,0.000000,2595.220069
69.000000,0.000000,2656.830302
70.000000,0.000000,2719.019174
71.000000,0.000000,2781.786683
72.000000,0.000000,2845.132831
73.000000,0.000000,2910.729568
74.000000,0.000000,2977.723039
75.000000,0.000000,3045.318040
76.000000,0.000000,3113.514572
77.000000,0.000000,3186.752597
78.000000,0.000000,3263.992970
79.000000,0.000000,3341.919546
80.000000,0.000000,3420.896364
81.000000,0.000000,3506.177896
82.000000,0.000000,3592.206933
83.000000,0.000000,3678.983477
84.000000,0.000000,3766.507527
85.000000,0.000000,3854.779083
86.000000,0.000000,3943.798145
28.000000,0.500000,799.685616
29.000000,0.500000,835.756528
30.000000,0.500000,872.564757
31.000000,0.500000,910.110303
32.000000,0.500000,948.393165
33.000000,0.500000,987.413345
34.000000,0.500000,1027.170841
35.000000,0.500000,1067.665653
36.000000,0.500000,1108.093652
37.000000,0.500000,1147.210906
38.000000,0.500000,1186.950721
39.000000,0.500000,1227.313095
40.000000,0.500000,1268.298029
41.000000,0.500000,1309.905524
42.000000,0.500000,1352.135578
43.000000,0.500000,1394.988191
44.000000,0.500000,1437.336246
45.000000,0.500000,1479.846940
46.000000,0.500000,1522.921850
47.000000,0.500000,1566.560975
48.000000,0.500000,1610.764316
49.000000,0.500000,1655.531872
50.000000,0.500000,1700.863643
51.000000,0.500000,1745.964704
52.000000,0.500000,1791.398400
53.000000,0.500000,1837.357320
54.000000,0.500000,1883.841464
55.000000,0.500000,1930.850832
56.000000,0.500000,1978.385425
57.000000,0.500000,2026.583366
58.000000,0.500000,2075.514425
59.000000,0.500000,2124.959884
60.000000,0.500000,2174.919743
61.000000,0.500000,2225.394002
62.000000,0.500000,2276.382661
63.000000,0.500000,2328.988276
64.000000,0.500000,2383.060906
65.000000,0.500000,2437.660489
66.000000,0.500000,2492.787028
67.000000,0.500000,2548.440520
68.000000,0.500000,2606.245033
69.000000,0.500000,2667.911918
70.000000,0.500000,2730.157216
71.000000,0.500000,2792.980928
72.000000,0.500000,2856.416879
73.000000,0.500000,2922.440860
74.000000,0.500000,2989.463739
75.000000,0.500000,3057.087568
76.000000,0.500000,3125.312347
77.000000,0.500000,3199.954561
78.000000,0.500000,3277.291708
79.000000,0.500000,3355.315029
80.000000,0.500000,3435.353742
81.000000,0.500000,3520.641565
82.000000,0.500000,3606.675774
83.000000,0.500000,3693.456371
84.000000,0.500000,3780.983354
85.000000,0.500000,3869.256724
28.000000,1.000000,804.101239
29.000000,1.000000,840.353704
30.000000,1.000000,877.347141
31.000000,1.000000,915.081549
32.000000,1.000000,953.556929
33.000000,1.000000,992.773281
34.000000,1.000000,1032.730603
35.000000,1.000000,1073.428898
36.000000,1.000000,1113.651865
37.000000,1.000000,1152.956874
