weight_g,230.000000
thrust_N,velocity_m_s,power_W
28.000000,0.000000,1259.963475
29.000000,0.000000,1310.789545
30.000000,0.000000,1362.583655
31.000000,0.000000,1415.345805
32.000000,0.000000,1469.075995
33.000000,0.000000,1523.774224
34.000000,0.000000,1579.440493
35.000000,0.000000,1636.074802
36.000000,0.000000,1692.954266
37.000000,0.000000,1746.359198
38.000000,0.000000,1800.556972
39.000000,0.000000,1855.547588
40.000000,0.000000,1911.331045
41.000000,0.000000,1967.907344
42.000000,0.000000,2025.276484
43.000000,0.000000,2083.438467
44.000000,0.000000,2140.709779
45.000000,0.000000,2197.385270
46.000000,0.000000,2254.763960
47.000000,0.000000,2312.845849
48.000000,0.000000,2371.630937
49.000000,0.000000,2431.119224
50.000000,0.000000,2491.310711
51.000000,0.000000,2550.783699
52.000000,0.000000,2610.064683
53.000000,0.000000,2669.986540
54.000000,0.000000,2730.549269
55.000000,0.000000,2791.752872
56.000000,0.000000,2853.597348
57.000000,0.000000,2915.939573
58.000000,0.000000,2978.377716
59.000000,0.000000,3041.429021
60.000000,0.000000,3105.093488
61.000000,0.000000,3169.371116
62.000000,0.000000,3234.261907
63.000000,0.000000,3300.154253
64.000000,0.000000,3367.342900
65.000000,0.000000,3435.142240
66.000000,0.000000,3503.552272
67.000000,0.000000,3572.572997
68.000000,0.000000,3642.834210
69.000000,0.000000,3717.259603
70.000000,0.000000,3792.334768
71.000000,0.000000,3868.059704
72.000000,0.000000,3944.434411
73.000000,0.000000,4022.853315
74.000000,0.000000,4102.602126
75.000000,0.000000,4183.017221
76.000000,0.000000,4264.098600
77.000000,0.000000,4349.968786
78.000000,0.000000,4439.659123
79.000000,0.000000,4530.089517
80.000000,0.000000,4621.597595
81.000000,0.000000,4719.054298
82.000000,0.000000,4817.303549
83.000000,0.000000,4916.345348
84.000000,0.000000,5016.179696
85.000000,0.000000,5116.806591
86.000000,0.000000,5218.226035
28.000000,0.500000,1266.037349
29.000000,0.500000,1317.105353
30.000000,0.500000,1369.146114
31.000000,0.500000,1422.159632
32.000000,0.500000,1476.145907
33.000000,0.500000,1531.104938
34.000000,0.500000,1587.036727
35.000000,0.500000,1643.941272
36.000000,0.500000,1700.344057
37.000000,0.500000,1753.988234
38.000000,0.500000,1808.428994
39.000000,0.500000,1863.666336
40.000000,0.500000,1919.700261
41.000000,0.500000,1976.530769
42.000000,0.500000,2034.157860
43.000000,0.500000,2092.581534
44.000000,0.500000,2149.554190
45.000000,0.500000,2206.414859
46.000000,0.500000,2263.980754
47.000000,0.500000,2322.251875
48.000000,0.500000,2381.228221
49.000000,0.500000,2440.909793
50.000000,0.500000,2501.296590
51.000000,0.500000,2560.555177
52.000000,0.500000,2620.006600
53.000000,0.500000,2680.100463
54.000000,0.500000,2740.836764
55.000000,0.500000,2802.215505
56.000000,0.500000,2864.236684
57.000000,0.500000,2926.636647
58.000000,0.500000,2989.247596
59.000000,0.500000,3052.473166
60.000000,0.500000,3116.313358
61.000000,0.500000,3180.768171
62.000000,0.500000,3245.837606
63.000000,0.500000,3312.069496
64.000000,0.500000,3379.390621
65.000000,0.500000,3447.323173
66.000000,0.500000,3515.867153
67.000000,0.500000,3585.022560
68.000000,0.500000,3656.142083
69.000000,0.500000,3730.654388
70.000000,0.500000,3805.816493
71.000000,0.500000,3881.628398
72.000000,0.500000,3958.118171
73.000000,0.500000,4036.928004
74.000000,0.500000,4116.735863
75.000000,0.500000,4197.209681
76.000000,0.500000,4278.349458
77.000000,0.500000,4365.551342
78.000000,0.500000,4455.358649
79.000000,0.500000,4545.906111
80.000000,0.500000,4638.425088
81.000000,0.500000,4735.911163
82.000000,0.500000,4834.188911
83.000000,0.500000,4933.258331
84.000000,0.500000,5033.119424
85.000000,0.500000,5133.772189
28.000000,1.000000,1272.124958
29.000000,1.000000,1323.435462
30.000000,1.000000,1375.723451
31.000000,1.000000,1428.988926
32.000000,1.000000,1483.231887
33.000000,1.000000,1538.452332
34.000000,1.000000,1594.650263
35.000000,1.000000,1651.825680
36.000000,1.000000,1707.748762
37.000000,1.000000,1761.632697
38.000000,1.000000,1816.316964
39.000000,1.000000,1871.801564
40.000000,1.000000,1928.086498
41.000000,1.000000,1985.171763
42.000000,1.000000,2043.057362
43.000000,1.000000,2101.743293
44.000000,1.000000,2158.415243
45.000000,1.000000,2215.461412
46.000000,1.000000,2273.214835
47.000000,1.000000,2331.675513
48.000000,1.000000,2390.843446
49.000000,1.000000,2450.718634
50.000000,1.000000,2511.301077
51.000000,1.000000,2570.343697
52.000000,1.000000,2629.965823
53.000000,1.000000,2690.231955
54.000000,1.000000,2751.142094
55.000000,1.000000,2812.696239
56.000000,1.000000,2874.894391
57.000000,1.000000,2937.351453
58.000000,1.000000,3000.135460
59.000000,1.000000,3063.535550
60.000000,1.000000,3127.551722
61.000000,1.000000,3192.183976
62.000000,1.000000,3257.432313
63.000000,1.000000,3324.003768
64.000000,1.000000,3391.457504
65.000000,1.000000,3459.523402
66.000000,1.000000,3528.201463
67.000000,1.000000,3597.491686
68.000000,1.000000,3669.470831
69.000000,1.000000,3744.070052
70.000000,1.000000,3819.319101
71.000000,1.000000,3895.217978
72.000000,1.000000,3971.822860
73.000000,1.000000,4051.024065
