weight_g,219.000000
thrust_N,velocity_m_s,power_W
28.000000,0.000000,959.468467
29.000000,0.000000,1001.319955
30.000000,0.000000,1044.015318
31.000000,0.000000,1087.554556
32.000000,0.000000,1131.937668
33.000000,0.000000,1177.164655
34.000000,0.000000,1223.235517
35.000000,0.000000,1270.150253
36.000000,0.000000,1316.417928
37.000000,0.000000,1361.344809
38.000000,0.000000,1406.979080
39.000000,0.000000,1453.320741
40.000000,0.000000,1500.369792
41.000000,0.000000,1548.126233
42.000000,0.000000,1596.590064
43.000000,0.000000,1645.761285
44.000000,0.000000,1693.588774
45.000000,0.000000,1741.922545
46.000000,0.000000,1790.891524
47.000000,0.000000,1840.495712
48.000000,0.000000,1890.735107
49.000000,0.000000,1941.609711
50.000000,0.000000,1993.011739
51.000000,0.000000,2043.509909
52.000000,0.000000,2094.593245
53.000000,0.000000,2146.261747
54.000000,0.000000,2198.515415
55.000000,0.000000,2251.354248
56.000000,0.000000,2304.778248
57.000000,0.000000,2358.126959
58.000000,0.000000,2411.705416
59.000000,0.000000,2465.837878
60.000000,0.000000,2520.524345
61.000000,0.000000,2575.764817
62.000000,0.000000,2631.559295
63.000000,0.000000,2688.356555
64.000000,0.000000,2745.905610
65.000000,0.000000,2803.999492
66.000000,0.000000,2862.638200
67.000000,0.000000,2921.821735
68.000000,0.000000,2982.150996
69.000000,0.000000,3044.695544
70.000000,0.000000,3107.807083
71.000000,0.000000,3171.485612
72.000000,0.000000,3235.731131
73.000000,0.000000,3301.695479
74.000000,0.000000,3370.032459
75.000000,0.000000,3438.961147
76.000000,0.000000,3508.481544
77.000000,0.000000,3578.660133
78.000000,0.000000,3653.088427
79.000000,0.000000,3728.146469
80.000000,0.000000,3803.834261
81.000000,0.000000,3880.654446
82.000000,0.000000,3964.258777
83.000000,0.000000,4048.555026
84.000000,0.000000,4133.543194
85.000000,0.000000,4219.223281
86.000000,0.000000,4305.595286
87.000000,0.000000,4392.659210
28.000000,0.500000,964.027278
29.000000,0.500000,1006.060339
30.000000,0.500000,1048.940985
31.000000,0.500000,1092.669217
32.000000,0.500000,1137.245034
33.000000,0.500000,1182.668436
34.000000,0.500000,1228.939423
35.000000,0.500000,1276.057995
36.000000,0.500000,1322.029167
37.000000,0.500000,1367.132528
38.000000,0.500000,1412.946069
39.000000,0.500000,1459.469790
40.000000,0.500000,1506.703691
41.000000,0.500000,1554.647773
42.000000,0.500000,1603.302034
43.000000,0.500000,1652.403069
44.000000,0.500000,1700.336327
45.000000,0.500000,1748.842418
46.000000,0.500000,1797.985965
47.000000,0.500000,1847.766968
48.000000,0.500000,1898.185428
49.000000,0.500000,1949.241343
50.000000,0.500000,2000.556283
51.000000,0.500000,2051.214054
52.000000,0.500000,2102.458773
53.000000,0.500000,2154.290438
54.000000,0.500000,2206.709050
55.000000,0.500000,2259.714608
56.000000,0.500000,2313.303014
57.000000,0.500000,2366.634937
58.000000,0.500000,2420.359645
59.000000,0.500000,2474.639742
60.000000,0.500000,2529.475230
61.000000,0.500000,2584.866107
62.000000,0.500000,2640.823455
63.000000,0.500000,2697.845722
64.000000,0.500000,2755.516773
65.000000,0.500000,2813.733388
66.000000,0.500000,2872.495566
67.000000,0.500000,2931.803308
68.000000,0.500000,2992.607779
69.000000,0.500000,3055.196964
70.000000,0.500000,3118.352923
71.000000,0.500000,3182.075654
72.000000,0.500000,3246.365159
73.000000,0.500000,3312.864763
74.000000,0.500000,3381.231475
75.000000,0.500000,3450.189323
76.000000,0.500000,3519.738308
77.000000,0.500000,3590.539017
78.000000,0.500000,3664.948147
79.000000,0.500000,3739.985941
80.000000,0.500000,3815.652399
81.000000,0.500000,3893.504239
82.000000,0.500000,3977.133116
83.000000,0.500000,4061.453202
84.000000,0.500000,4146.464496
85.000000,0.500000,4232.166999
86.000000,0.500000,4318.560710
87.000000,0.500000,4405.645630
28.000000,1.000000,968.595184
29.000000,1.000000,1010.810215
30.000000,1.000000,1053.876549
31.000000,1.000000,1097.794187
32.000000,1.000000,1142.563129
33.000000,1.000000,1188.183375
34.000000,1.000000,1234.654925
35.000000,1.000000,1281.977779
36.000000,1.000000,1327.650373
37.000000,1.000000,1372.930547
38.000000,1.000000,1418.923697
39.000000,1.000000,1465.629823
40.000000,1.000000,1513.048925
41.000000,1.000000,1561.181003
42.000000,1.000000,1610.026056
43.000000,1.000000,1659.055946
44.000000,1.000000,1707.094949
45.000000,1.000000,1755.773661
46.000000,1.000000,1805.092081
47.000000,1.000000,1855.050209
48.000000,1.000000,1905.648045
49.000000,1.000000,1956.885590
50.000000,1.000000,2008.112394
51.000000,1.000000,2058.930025
52.000000,1.000000,2110.336386
53.000000,1.000000,2162.331479
54.000000,1.000000,2214.915302
55.000000,1.000000,2268.087857
56.000000,1.000000,2321.840917
57.000000,1.000000,2375.155321
58.000000,1.000000,2429.026501
59.000000,1.000000,2483.454457
60.000000,1.000000,2538.439189
61.000000,1.000000,2593.980697
62.000000,1.000000,2650.101086
63.000000,1.000000,2707.347952
64.000000,1.000000,2765.141119
65.000000,1.000000,2823.480587
66.000000,1.000000,2882.366356
67.000000,1.000000,2941.798427
68.000000,1.000000,3003.078531
69.000000,1.000000,3065.712360
70.000000,1.000000,3128.912742
71.000000,1.000000,3192.679678
72.000000,1.000000,3257.013168
73.000000,1.000000,3324.048417
74.000000,1.000000,3392.444794
75.000000,1.000000,3461.431735
76.000000,1.000000,3531.009239
77.000000,1.000000,3602.432805
78.000000,1.000000,3676.822630
79.000000,1.000000,3751.840033
80.000000,1.000000,3827.485013
81.000000,1.000000,3906.369726
82.000000,1.000000,3990.023051
83.000000,1.000000,4074.366874
84.000000,1.000000,4159.401195
85.000000,1.000000,4245.126013
86.000000,1.000000,4331.541328
87.000000,1.000000,4418.647141
28.000000,1.500000,973.209668
29.000000,1.500000,1015.607876
30.000000,1.500000,1058.861121
31.000000,1.500000,1102.969403
32.000000,1.500000,1147.932722
33.000000,1.500000,1193.751078
34.000000,1.500000,1240.424472
35.000000,1.500000,1287.952903
36.000000,1.500000,1333.318831
37.000000,1.500000,1378.777389
38.000000,1.500000,1424.951744
39.000000,1.500000,1471.841896
40.000000,1.500000,1519.447845
41.000000,1.500000,1567.769591
42.000000,1.500000,1616.807134
43.000000,1.500000,1665.693206
44.000000,1.500000,1713.904224
45.000000,1.500000,1762.757226
46.000000,1.500000,1812.252213
47.000000,1.500000,1862.389186
48.000000,1.500000,1913.168143
49.000000,1.500000,1964.589085
50.000000,1.500000,2015.716796
51.000000,1.500000,2066.695380
52.000000,1.500000,2118.264490
53.000000,1.500000,2170.424127
54.000000,1.500000,2223.174289
55.000000,1.500000,2276.514978
56.000000,1.500000,2330.257741
57.000000,1.500000,2383.720075
58.000000,1.500000,2437.740581
59.000000,1.500000,2492.319260
60.000000,1.500000,2547.456111
61.000000,1.500000,2603.151134
62.000000,1.500000,2659.518454
63.000000,1.500000,2716.886037
64.000000,1.500000,2774.800689
65.000000,1.500000,2833.262411
66.000000,1.500000,2892.271202
67.000000,1.500000,2951.827062
68.000000,1.500000,3013.527091
69.000000,1.500000,3076.208822
70.000000,1.500000,3139.456931
71.000000,1.500000,3203.271420
72.000000,1.500000,3267.761749
73.000000,1.500000,3335.211954
74.000000,1.500000,3403.637584
75.000000,1.500000,3472.653202
76.000000,1.500000,3542.258807
77.000000,1.500000,3614.272018
78.000000,1.500000,3688.642313
79.000000,1.500000,3763.639101
80.000000,1.500000,3839.262380
81.000000,1.500000,3919.205529
82.000000,1.500000,4002.882828
83.000000,1.500000,4087.249912
84.000000,1.500000,4172.306780
85.000000,1.500000,4258.053433
86.000000,1.500000,4344.489869
87.000000,1.500000,4431.616090
27.000000,2.000000,936.110400
28.000000,2.000000,977.833407
29.000000,2.000000,1020.415193
30.000000,2.000000,1063.855757
31.000000,2.000000,1108.155100
32.000000,2.000000,1153.313222
33.000000,2.000000,1199.330123
34.000000,2.000000,1246.205802
35.000000,2.000000,1293.940260
36.000000,2.000000,1338.997395
37.000000,2.000000,1384.634676
38.000000,2.000000,1430.990580
39.000000,2.000000,1478.065108
40.000000,2.000000,1525.858260
41.000000,2.000000,1574.370035
42.000000,2.000000,1623.600433
43.000000,2.000000,1672.341375
44.000000,2.000000,1720.724708
45.000000,2.000000,1769.752307
46.000000,2.000000,1819.424171
47.000000,2.000000,1869.740302
48.000000,2.000000,1920.700697
49.000000,2.000000,1972.305359
50.000000,2.000000,2023.332894
51.000000,2.000000,2074.472693
52.000000,2.000000,2126.204816
53.000000,2.000000,2178.529264
54.000000,2.000000,2231.446035
55.000000,2.000000,2284.955130
56.000000,2.000000,2338.686861
57.000000,2.000000,2392.297343
58.000000,2.000000,2446.467396
59.000000,2.000000,2501.197019
60.000000,2.000000,2556.486212
61.000000,2.000000,2612.334976
62.000000,2.000000,2668.948784
63.000000,2.000000,2726.437213
64.000000,2.000000,2784.473479
65.000000,2.000000,2843.057584
66.000000,2.000000,2902.189526
67.000000,2.000000,2961.869307
68.000000,2.000000,3023.989608
69.000000,2.000000,3086.719253
70.000000,2.000000,3150.015099
71.000000,2.000000,3213.877147
72.000000,2.000000,3278.524418
73.000000,2.000000,3346.389824
74.000000,2.000000,3414.844640
75.000000,2.000000,3483.888866
76.000000,2.000000,3553.522503
77.000000,2.000000,3626.126051
78.000000,2.000000,3700.476675
79.000000,2.000000,3775.452703
80.000000,2.000000,3851.054137
81.000000,2.000000,3932.056969
82.000000,2.000000,4015.758144
83.000000,2.000000,4100.148390
84.000000,2.000000,4185.227705
85.000000,2.000000,4270.996090
86.000000,2.000000,4357.453546
87.000000,2.000000,4444.600072
27.000000,2.500000,940.625444
28.000000,2.500000,982.526865
29.000000,2.500000,1025.290626
30.000000,2.500000,1068.916725
31.000000,2.500000,1113.405164
32.000000,2.500000,1158.755942
33.000000,2.500000,1204.969059
34.000000,2.500000,1252.044514
35.000000,2.500000,1299.558375
36.000000,2.500000,1344.723906
37.000000,2.500000,1390.541503
38.000000,2.500000,1437.080575
39.000000,2.500000,1484.341124
