weight_g,450.000000
thrust_N,velocity_m_s,power_W
25.000000,0.000000,1085.286484
26.000000,0.000000,1136.733246
27.000000,0.000000,1189.313447
28.000000,0.000000,1243.027087
29.000000,0.000000,1297.874165
30.000000,0.000000,1353.854682
31.000000,0.000000,1410.968637
32.000000,0.000000,1469.132887
33.000000,0.000000,1528.331681
34.000000,0.000000,1588.611087
35.000000,0.000000,1649.971104
36.000000,0.000000,1712.411733
37.000000,0.000000,1775.932974
38.000000,0.000000,1844.912497
39.000000,0.000000,1917.375406
40.000000,0.000000,1991.048777
41.000000,0.000000,2065.932610
42.000000,0.000000,2143.981756
43.000000,0.000000,2235.473549
44.000000,0.000000,2328.456761
45.000000,0.000000,2422.931392
46.000000,0.000000,2528.795366
47.000000,0.000000,2638.442525
48.000000,0.000000,2751.576164
49.000000,0.000000,2879.118701
50.000000,0.000000,3008.648722
25.000000,0.500000,1088.789942
26.000000,0.500000,1140.398847
27.000000,0.500000,1193.144799
28.000000,0.500000,1247.027798
29.000000,0.500000,1302.047845
30.000000,0.500000,1358.204938
31.000000,0.500000,1415.499078
32.000000,0.500000,1473.720094
33.000000,0.500000,1532.953711
34.000000,0.500000,1593.267097
35.000000,0.500000,1654.660252
36.000000,0.500000,1717.133176
37.000000,0.500000,1780.685869
38.000000,0.500000,1850.203355
39.000000,0.500000,1922.638727
40.000000,0.500000,1996.281872
41.000000,0.500000,2071.132792
42.000000,0.500000,2150.192791
43.000000,0.500000,2241.715224
44.000000,0.500000,2334.727194
45.000000,0.500000,2429.228699
46.000000,0.500000,2535.763286
47.000000,0.500000,2645.231987
48.000000,0.500000,2759.094477
49.000000,0.500000,2886.569018
24.000000,1.000000,1041.667267
25.000000,1.000000,1092.297873
26.000000,1.000000,1144.069139
27.000000,1.000000,1196.981066
28.000000,1.000000,1251.033653
29.000000,1.000000,1306.226902
30.000000,1.000000,1362.560811
31.000000,1.000000,1420.035380
32.000000,1.000000,1478.312448
33.000000,1.000000,1537.580883
34.000000,1.000000,1597.928240
35.000000,1.000000,1659.354521
36.000000,1.000000,1721.859725
37.000000,1.000000,1785.443852
38.000000,1.000000,1855.499547
39.000000,1.000000,1927.907238
40.000000,1.000000,2001.520015
41.000000,1.000000,2076.337878
42.000000,1.000000,2156.409564
43.000000,1.000000,2247.962523
44.000000,1.000000,2341.003137
45.000000,1.000000,2435.531405
46.000000,1.000000,2542.737064
47.000000,1.000000,2652.026986
48.000000,1.000000,2766.618776
49.000000,1.000000,2894.025071
24.000000,1.500000,1045.046415
25.000000,1.500000,1095.836086
26.000000,1.500000,1147.770026
27.000000,1.500000,1200.848235
28.000000,1.500000,1255.070714
29.000000,1.500000,1310.437463
30.000000,1.500000,1366.948481
31.000000,1.500000,1424.603769
32.000000,1.500000,1482.886018
33.000000,1.500000,1542.191686
34.000000,1.500000,1602.575505
35.000000,1.500000,1664.037477
36.000000,1.500000,1726.577600
37.000000,1.500000,1790.195876
