weight_g,610.000000
thrust_N,velocity_m_s,power_W
25.000000,0.000000,1879.025722
26.000000,0.000000,1959.501263
27.000000,0.000000,2041.630676
28.000000,0.000000,2125.413959
29.000000,0.000000,2210.851114
30.000000,0.000000,2297.942140
31.000000,0.000000,2386.687037
32.000000,0.000000,2474.859951
33.000000,0.000000,2563.036464
34.000000,0.000000,2652.703670
35.000000,0.000000,2743.861570
36.000000,0.000000,2836.510163
37.000000,0.000000,2930.649449
38.000000,0.000000,3029.072559
39.000000,0.000000,3130.505966
40.000000,0.000000,3233.496656
41.000000,0.000000,3338.044629
42.000000,0.000000,3445.859806
43.000000,0.000000,3565.926510
44.000000,0.000000,3687.786924
45.000000,0.000000,3811.441050
46.000000,0.000000,3946.160116
47.000000,0.000000,4084.814147
48.000000,0.000000,4227.123687
49.000000,0.000000,4383.308335
50.000000,0.000000,4541.736511
25.000000,0.500000,1883.901348
26.000000,0.500000,1964.595580
27.000000,0.500000,2046.948416
28.000000,0.500000,2130.959858
29.000000,0.500000,2216.629906
30.000000,0.500000,2303.958558
31.000000,0.500000,2392.945816
32.000000,0.500000,2480.890489
33.000000,0.500000,2569.147950
34.000000,0.500000,2658.896001
35.000000,0.500000,2750.134641
36.000000,0.500000,2842.863871
37.000000,0.500000,2937.083691
38.000000,0.500000,3035.869423
39.000000,0.500000,3137.294140
40.000000,0.500000,3240.273501
41.000000,0.500000,3344.807506
42.000000,0.500000,3453.518787
43.000000,0.500000,3573.616756
44.000000,0.500000,3695.506253
45.000000,0.500000,3819.187280
46.000000,0.500000,3954.529365
47.000000,0.500000,4093.010214
48.000000,0.500000,4235.993393
49.000000,0.500000,4392.098516
24.000000,1.000000,1809.532766
25.000000,1.000000,1888.782614
26.000000,1.000000,1969.695808
27.000000,1.000000,2052.272347
28.000000,1.000000,2136.512232
29.000000,1.000000,2222.415463
30.000000,1.000000,2309.982039
31.000000,1.000000,2399.211961
32.000000,1.000000,2486.927176
33.000000,1.000000,2575.265619
34.000000,1.000000,2665.094544
35.000000,1.000000,2756.413954
36.000000,1.000000,2849.223846
37.000000,1.000000,2943.524222
38.000000,1.000000,3042.672537
39.000000,1.000000,3144.088426
