weight_g,360.000000
thrust_N,velocity_m_s,power_W
25.000000,0.000000,664.441966
26.000000,0.000000,700.660607
27.000000,0.000000,737.746151
28.000000,0.000000,775.698596
29.000000,0.000000,814.517943
30.000000,0.000000,854.204193
31.000000,0.000000,894.757344
32.000000,0.000000,937.275190
33.000000,0.000000,981.417913
34.000000,0.000000,1026.437835
35.000000,0.000000,1072.334958
36.000000,0.000000,1119.109282
37.000000,0.000000,1166.760805
38.000000,0.000000,1220.623990
39.000000,0.000000,1278.306536
40.000000,0.000000,1337.041700
41.000000,0.000000,1396.829483
42.000000,0.000000,1459.799818
43.000000,0.000000,1537.164572
44.000000,0.000000,1615.912753
45.000000,0.000000,1696.044361
46.000000,0.000000,1788.032537
47.000000,0.000000,1883.850339
48.000000,0.000000,1983.189848
49.000000,0.000000,2097.652471
50.000000,0.000000,2214.081720
25.000000,0.500000,667.240255
26.000000,0.500000,703.592745
27.000000,0.500000,740.815205
28.000000,0.500000,778.907634
29.000000,0.500000,817.870033
30.000000,0.500000,857.702401
31.000000,0.500000,898.404739
32.000000,0.500000,941.138164
33.000000,0.500000,985.291649
34.000000,0.500000,1030.321014
35.000000,0.500000,1076.226259
36.000000,0.500000,1123.007384
37.000000,0.500000,1170.664389
38.000000,0.500000,1225.173364
39.000000,0.500000,1282.818789
40.000000,0.500000,1341.513964
41.000000,0.500000,1401.258889
42.000000,0.500000,1465.325327
43.000000,0.500000,1542.723672
44.000000,0.500000,1621.503635
45.000000,0.500000,1701.665217
46.000000,0.500000,1794.369037
47.000000,0.500000,1890.004920
48.000000,0.500000,1990.125794
49.000000,0.500000,2104.530317
24.000000,1.000000,634.429015
25.000000,1.000000,670.042508
26.000000,1.000000,706.529043
27.000000,1.000000,743.888620
28.000000,1.000000,782.121239
29.000000,1.000000,821.226899
30.000000,1.000000,861.205601
31.000000,1.000000,902.057345
32.000000,1.000000,945.005944
33.000000,1.000000,989.170155
34.000000,1.000000,1034.208924
35.000000,1.000000,1080.122249
36.000000,1.000000,1126.910132
37.000000,1.000000,1174.572571
38.000000,1.000000,1229.727812
39.000000,1.000000,1287.335958
40.000000,1.000000,1345.990985
41.000000,1.000000,1405.692892
42.000000,1.000000,1470.856508
43.000000,1.000000,1548.288331
44.000000,1.000000,1627.099965
45.000000,1.000000,1707.291411
46.000000,1.000000,1800.711475
47.000000,1.000000,1896.165076
48.000000,1.000000,1997.067925
49.000000,1.000000,2111.414083
24.000000,1.500000,637.125962
25.000000,1.500000,672.870426
26.000000,1.500000,709.490988
27.000000,1.500000,746.987651
28.000000,1.500000,785.360413
29.000000,1.500000,824.609275
30.000000,1.500000,864.734236
31.000000,1.500000,905.735297
32.000000,1.500000,948.849028
33.000000,1.500000,993.026290
34.000000,1.500000,1038.076863
35.000000,1.500000,1084.000748
36.000000,1.500000,1130.797943
37.000000,1.500000,1178.468450
38.000000,1.500000,1234.255102
39.000000,1.500000,1291.826348
40.000000,1.500000,1350.441634
41.000000,1.500000,1410.100958
42.000000,1.500000,1476.381978
43.000000,1.500000,1553.847097
44.000000,1.500000,1632.690224
45.000000,1.500000,1713.547530
46.000000,1.500000,1806.991492
47.000000,1.500000,1902.266010
48.000000,1.500000,2003.984501
49.000000,1.500000,2118.272116
24.000000,2.000000,639.826739
25.000000,2.000000,675.702365
26.000000,2.000000,712.457152
27.000000,2.000000,750.091102
28.000000,2.000000,788.604213
29.000000,2.000000,827.996487
30.000000,2.000000,868.267923
31.000000,2.000000,909.418521
32.000000,2.000000,952.696893
33.000000,2.000000,996.887172
34.000000,2.000000,1041.949515
35.000000,2.000000,1087.883920
36.000000,2.000000,1134.690387
37.000000,2.000000,1182.368918
38.000000,2.000000,1238.787422
39.000000,2.000000,1296.321612
40.000000,2.000000,1354.896999
41.000000,2.000000,1414.513583
42.000000,2.000000,1481.913098
43.000000,2.000000,1559.411399
44.000000,2.000000,1638.285908
45.000000,2.000000,1719.809653
46.000000,2.000000,1813.277360
47.000000,2.000000,1908.372441
48.000000,2.000000,2010.907210
49.000000,2.000000,2125.136020
24.000000,2.500000,642.663531
25.000000,2.500000,678.663083
26.000000,2.500000,715.544351
27.000000,2.500000,753.307335
28.000000,2.500000,791.952036
29.000000,2.500000,831.478452
30.000000,2.500000,871.886584
31.000000,2.500000,913.259014
32.000000,2.500000,956.572409
33.000000,2.500000,1000.776348
34.000000,2.500000,1045.850955
35.000000,2.500000,1091.796229
36.000000,2.500000,1138.612171
37.000000,2.500000,1186.916822
38.000000,2.500000,1243.328990
39.000000,2.500000,1300.816413
40.000000,2.500000,1359.341835
41.000000,2.500000,1418.905254
42.000000,2.500000,1487.438496
43.000000,2.500000,1564.969798
44.000000,2.500000,1643.875511
45.000000,2.500000,1726.204254
46.000000,2.500000,1819.502269
47.000000,2.500000,1914.421059
48.000000,2.500000,2017.804418
49.000000,2.500000,2131.974250
24.000000,3.000000,645.504676
25.000000,3.000000,681.628323
26.000000,3.000000,718.636242
27.000000,3.000000,756.528434
28.000000,3.000000,795.304900
29.000000,3.000000,834.965638
30.000000,3.000000,875.510650
31.000000,3.000000,917.104651
32.000000,3.000000,960.452920
33.000000,3.000000,1004.670460
34.000000,3.000000,1049.757272
35.000000,3.000000,1095.713354
36.000000,3.000000,1142.538708
37.000000,3.000000,1191.469968
38.000000,3.000000,1247.875639
39.000000,3.000000,1305.316111
40.000000,3.000000,1363.791384
41.000000,3.000000,1423.301457
42.000000,3.000000,1492.969520
43.000000,3.000000,1570.533711
44.000000,3.000000,1649.470517
45.000000,3.000000,1732.604978
46.000000,3.000000,1825.732947
47.000000,3.000000,1920.475097
48.000000,3.000000,2024.707710
49.000000,3.000000,2138.818301
24.000000,3.500000,648.431643
25.000000,3.500000,684.681225
26.000000,3.500000,721.817793
27.000000,3.500000,759.841345
28.000000,3.500000,798.751883
29.000000,3.500000,838.549405
30.000000,3.500000,879.233912
31.000000,3.500000,921.043354
32.000000,3.500000,964.457615
33.000000,3.500000,1008.741370
34.000000,3.500000,1053.894621
35.000000,3.500000,1099.917367
36.000000,3.500000,1146.809608
37.000000,3.500000,1196.491889
38.000000,3.500000,1252.868495
39.000000,3.500000,1310.276970
40.000000,3.500000,1368.717316
