weight_g,450.000000
thrust_N,velocity_m_s,power_W
26.000000,0.000000,814.866376
27.000000,0.000000,854.566371
28.000000,0.000000,895.149206
29.000000,0.000000,936.614883
30.000000,0.000000,978.963401
31.000000,0.000000,1022.194760
32.000000,0.000000,1066.308960
33.000000,0.000000,1111.306001
34.000000,0.000000,1155.916646
35.000000,0.000000,1199.972331
36.000000,0.000000,1244.796185
37.000000,0.000000,1290.388206
38.000000,0.000000,1336.748395
39.000000,0.000000,1383.876753
40.000000,0.000000,1431.773278
41.000000,0.000000,1479.396702
42.000000,0.000000,1526.793435
43.000000,0.000000,1574.882636
44.000000,0.000000,1623.664304
45.000000,0.000000,1673.138438
46.000000,0.000000,1723.305040
47.000000,0.000000,1773.950554
48.000000,0.000000,1823.832526
49.000000,0.000000,1874.351993
50.000000,0.000000,1925.508954
51.000000,0.000000,1977.303411
52.000000,0.000000,2029.735362
53.000000,0.000000,2082.706868
54.000000,0.000000,2135.711993
55.000000,0.000000,2189.326825
56.000000,0.000000,2243.551365
57.000000,0.000000,2298.385613
58.000000,0.000000,2353.829569
59.000000,0.000000,2409.815878
60.000000,0.000000,2466.349517
61.000000,0.000000,2523.480521
62.000000,0.000000,2581.208890
63.000000,0.000000,2639.534623
64.000000,0.000000,2698.819020
65.000000,0.000000,2759.385331
66.000000,0.000000,2820.548585
67.000000,0.000000,2882.308782
68.000000,0.000000,2944.665922
69.000000,0.000000,3008.535763
70.000000,0.000000,3073.723410
71.000000,0.000000,3139.524998
72.000000,0.000000,3205.940529
73.000000,0.000000,3273.466554
74.000000,0.000000,3344.415937
75.000000,0.000000,3416.009643
76.000000,0.000000,3488.247674
77.000000,0.000000,3561.207281
78.000000,0.000000,3635.183320
79.000000,0.000000,3709.808589
80.000000,0.000000,3785.083091
81.000000,0.000000,3864.454491
82.000000,0.000000,3950.602106
83.000000,0.000000,4037.494910
84.000000,0.000000,4125.132902
85.000000,0.000000,4213.516082
86.000000,0.000000,4302.644451
87.000000,0.000000,4392.518007
88.000000,0.000000,4483.136752
89.000000,0.000000,4574.500686
90.000000,0.000000,4666.750233
91.000000,0.000000,4773.851808
92.000000,0.000000,4881.845516
93.000000,0.000000,4991.119488
94.000000,0.000000,5101.697678
95.000000,0.000000,5213.175917
96.000000,0.000000,5325.554204
97.000000,0.000000,5438.832539
98.000000,0.000000,5553.010923
99.000000,0.000000,5668.089354
26.000000,0.500000,817.844011
27.000000,0.500000,857.683419
28.000000,0.500000,898.408937
29.000000,0.500000,940.020564
30.000000,0.500000,982.518300
31.000000,0.500000,1025.902146
32.000000,0.500000,1070.172100
33.000000,0.500000,1115.328165
34.000000,0.500000,1159.815768
35.000000,0.500000,1204.017246
36.000000,0.500000,1248.989667
37.000000,0.500000,1294.733034
38.000000,0.500000,1341.247344
39.000000,0.500000,1388.532599
40.000000,0.500000,1436.588799
41.000000,0.500000,1484.122827
42.000000,0.500000,1531.654603
43.000000,0.500000,1579.880951
44.000000,0.500000,1628.801872
45.000000,0.500000,1678.417365
46.000000,0.500000,1728.727430
47.000000,0.500000,1779.306658
48.000000,0.500000,1829.318223
49.000000,0.500000,1879.969061
50.000000,0.500000,1931.259173
51.000000,0.500000,1983.188558
52.000000,0.500000,2035.757217
53.000000,0.500000,2088.765737
54.000000,0.500000,2141.882692
55.000000,0.500000,2195.610643
56.000000,0.500000,2249.949591
57.000000,0.500000,2304.899536
58.000000,0.500000,2360.460478
59.000000,0.500000,2416.514511
60.000000,0.500000,2473.124907
61.000000,0.500000,2530.333259
62.000000,0.500000,2588.139567
63.000000,0.500000,2646.543833
64.000000,0.500000,2706.055144
65.000000,0.500000,2766.711461
66.000000,0.500000,2827.965163
67.000000,0.500000,2889.816251
68.000000,0.500000,2952.264725
69.000000,0.500000,3016.358195
70.000000,0.500000,3081.531209
71.000000,0.500000,3147.317455
72.000000,0.500000,3213.716933
73.000000,0.500000,3281.672244
74.000000,0.500000,3352.667931
75.000000,0.500000,3424.307702
76.000000,0.500000,3496.591559
77.000000,0.500000,3569.578880
78.000000,0.500000,3643.424808
79.000000,0.500000,3717.917815
80.000000,0.500000,3793.057900
81.000000,0.500000,3873.480230
82.000000,0.500000,3959.685745
83.000000,0.500000,4046.636297
84.000000,0.500000,4134.331887
85.000000,0.500000,4222.772514
86.000000,0.500000,4311.958179
87.000000,0.500000,4401.888881
88.000000,0.500000,4492.564620
89.000000,0.500000,4583.985397
90.000000,0.500000,4677.766224
91.000000,0.500000,4784.530018
92.000000,0.500000,4892.181623
93.000000,0.500000,5001.458840
94.000000,0.500000,5112.084340
95.000000,0.500000,5223.609490
96.000000,0.500000,5336.034292
97.000000,0.500000,5449.358744
98.000000,0.500000,5563.582848
99.000000,0.500000,5678.706603
26.000000,1.000000,820.824631
27.000000,1.000000,860.803641
28.000000,1.000000,901.672035
29.000000,1.000000,943.429811
30.000000,1.000000,986.076970
31.000000,1.000000,1029.613512
32.000000,1.000000,1074.039437
33.000000,1.000000,1119.354745
34.000000,1.000000,1163.718226
35.000000,1.000000,1208.065684
36.000000,1.000000,1253.186868
37.000000,1.000000,1299.081777
38.000000,1.000000,1345.750412
39.000000,1.000000,1393.192772
40.000000,1.000000,1441.408858
41.000000,1.000000,1488.852548
42.000000,1.000000,1536.519540
43.000000,1.000000,1584.883213
44.000000,1.000000,1633.943567
45.000000,1.000000,1683.700601
46.000000,1.000000,1734.154315
47.000000,1.000000,1784.666497
48.000000,1.000000,1834.807821
49.000000,1.000000,1885.590200
50.000000,1.000000,1937.013632
51.000000,1.000000,1989.078119
52.000000,1.000000,2041.783661
53.000000,1.000000,2094.828690
54.000000,1.000000,2148.057623
55.000000,1.000000,2201.898844
56.000000,1.000000,2256.352351
57.000000,1.000000,2311.418145
58.000000,1.000000,2367.096226
59.000000,1.000000,2423.217677
60.000000,1.000000,2479.904939
61.000000,1.000000,2537.190749
62.000000,1.000000,2595.075107
63.000000,1.000000,2653.558013
64.000000,1.000000,2713.295808
65.000000,1.000000,2774.042155
66.000000,1.000000,2835.386331
67.000000,1.000000,2897.328336
68.000000,1.000000,2959.868169
69.000000,1.000000,3024.185241
70.000000,1.000000,3089.343662
71.000000,1.000000,3155.114603
72.000000,1.000000,3221.498063
73.000000,1.000000,3289.882560
74.000000,1.000000,3360.924535
75.000000,1.000000,3432.610356
76.000000,1.000000,3504.940023
77.000000,1.000000,3577.955037
78.000000,1.000000,3651.670794
79.000000,1.000000,3726.031473
80.000000,1.000000,3801.037072
81.000000,1.000000,3882.510559
82.000000,1.000000,3968.773959
83.000000,1.000000,4055.782244
84.000000,1.000000,4143.535417
85.000000,1.000000,4232.033476
86.000000,1.000000,4321.276421
87.000000,1.000000,4411.264253
88.000000,1.000000,4501.996972
89.000000,1.000000,4593.474577
90.000000,1.000000,4688.787253
91.000000,1.000000,4795.213086
92.000000,1.000000,4902.522405
93.000000,1.000000,5011.802818
94.000000,1.000000,5122.475594
95.000000,1.000000,5234.047624
96.000000,1.000000,5346.518907
97.000000,1.000000,5459.889445
98.000000,1.000000,5574.159238
99.000000,1.000000,5689.328284
26.000000,1.500000,823.824613
27.000000,1.500000,863.943481
28.000000,1.500000,904.955001
29.000000,1.500000,946.859176
30.000000,1.500000,989.656003
31.000000,1.500000,1033.345484
32.000000,1.500000,1077.927618
33.000000,1.500000,1123.402406
34.000000,1.500000,1167.640331
35.000000,1.500000,1212.134958
36.000000,1.500000,1257.406116
37.000000,1.500000,1303.453806
38.000000,1.500000,1350.278027
39.000000,1.500000,1397.878779
40.000000,1.500000,1446.256062
41.000000,1.500000,1493.601373
42.000000,1.500000,1541.404873
43.000000,1.500000,1589.907185
44.000000,1.500000,1639.108310
45.000000,1.500000,1689.008248
46.000000,1.500000,1739.606999
47.000000,1.500000,1790.047960
48.000000,1.500000,1840.320164
49.000000,1.500000,1891.235220
50.000000,1.500000,1942.793129
