weight_g,610.000000
thrust_N,velocity_m_s,power_W
26.000000,0.000000,1245.796471
27.000000,0.000000,1300.876400
28.000000,0.000000,1357.107512
29.000000,0.000000,1414.489809
30.000000,0.000000,1473.023290
31.000000,0.000000,1532.707955
32.000000,0.000000,1593.543804
33.000000,0.000000,1655.530837
34.000000,0.000000,1716.454218
35.000000,0.000000,1776.040581
36.000000,0.000000,1836.606026
37.000000,0.000000,1898.150554
38.000000,0.000000,1960.674165
39.000000,0.000000,2024.176859
40.000000,0.000000,2088.658636
41.000000,0.000000,2152.256992
42.000000,0.000000,2215.071788
43.000000,0.000000,2278.752331
44.000000,0.000000,2343.298621
45.000000,0.000000,2408.710659
46.000000,0.000000,2474.988444
47.000000,0.000000,2541.760283
48.000000,0.000000,2606.872479
49.000000,0.000000,2672.770321
50.000000,0.000000,2739.453810
51.000000,0.000000,2806.922947
52.000000,0.000000,2875.177730
53.000000,0.000000,2943.989363
54.000000,0.000000,3012.187496
55.000000,0.000000,3081.126623
56.000000,0.000000,3150.806744
57.000000,0.000000,3221.227859
58.000000,0.000000,3292.389967
59.000000,0.000000,3363.866913
60.000000,0.000000,3435.733131
61.000000,0.000000,3508.317273
62.000000,0.000000,3581.619337
63.000000,0.000000,3655.639324
64.000000,0.000000,3730.399839
65.000000,0.000000,3805.910532
66.000000,0.000000,3882.123408
67.000000,0.000000,3959.038465
68.000000,0.000000,4036.655703
69.000000,0.000000,4115.688395
70.000000,0.000000,4195.983390
71.000000,0.000000,4276.992087
72.000000,0.000000,4358.714483
73.000000,0.000000,4441.536234
74.000000,0.000000,4527.251387
75.000000,0.000000,4613.699901
76.000000,0.000000,4700.881776
77.000000,0.000000,4788.866288
78.000000,0.000000,4877.917721
79.000000,0.000000,4967.706717
80.000000,0.000000,5058.233274
81.000000,0.000000,5152.585895
82.000000,0.000000,5253.161388
83.000000,0.000000,5354.555442
84.000000,0.000000,5456.768057
85.000000,0.000000,5559.799233
86.000000,0.000000,5663.648969
87.000000,0.000000,5768.317266
88.000000,0.000000,5873.804124
89.000000,0.000000,5980.109542
90.000000,0.000000,6087.367195
91.000000,0.000000,6208.869104
92.000000,0.000000,6331.323683
93.000000,0.000000,6455.100133
94.000000,0.000000,6580.220965
95.000000,0.000000,6706.301632
96.000000,0.000000,6833.342131
97.000000,0.000000,6961.342464
98.000000,0.000000,7090.302631
99.000000,0.000000,7220.222631
26.000000,0.500000,1249.259407
27.000000,0.500000,1304.506417
28.000000,0.500000,1360.908541
29.000000,0.500000,1418.465779
30.000000,0.500000,1477.178132
31.000000,0.500000,1537.045599
32.000000,0.500000,1598.068180
33.000000,0.500000,1660.245875
34.000000,0.500000,1720.870663
35.000000,0.500000,1780.630058
36.000000,0.500000,1841.371858
37.000000,0.500000,1903.096063
38.000000,0.500000,1965.802673
39.000000,0.500000,2029.491688
40.000000,0.500000,2094.163108
41.000000,0.500000,2157.516977
42.000000,0.500000,2220.493315
43.000000,0.500000,2284.337969
44.000000,0.500000,2349.050938
45.000000,0.500000,2414.632222
46.000000,0.500000,2481.081821
47.000000,0.500000,2547.662510
48.000000,0.500000,2612.930407
49.000000,0.500000,2678.986138
50.000000,0.500000,2745.829703
51.000000,0.500000,2813.461103
52.000000,0.500000,2881.880337
53.000000,0.500000,2950.634890
54.000000,0.500000,3018.970821
55.000000,0.500000,3088.049405
56.000000,0.500000,3157.870642
57.000000,0.500000,3228.434532
58.000000,0.500000,3299.741075
59.000000,0.500000,3371.224782
60.000000,0.500000,3443.193045
61.000000,0.500000,3515.880156
62.000000,0.500000,3589.286113
63.000000,0.500000,3663.410919
64.000000,0.500000,3738.279614
