weight_g,450.000000
thrust_N,velocity_m_s,power_W
30.000000,0.000000,940.846924
31.000000,0.000000,978.998917
32.000000,0.000000,1017.866977
33.000000,0.000000,1057.451107
34.000000,0.000000,1097.751304
35.000000,0.000000,1138.767571
36.000000,0.000000,1180.499905
37.000000,0.000000,1222.948309
38.000000,0.000000,1266.112780
39.000000,0.000000,1308.049800
40.000000,0.000000,1349.545531
41.000000,0.000000,1391.648863
42.000000,0.000000,1434.359794
43.000000,0.000000,1477.678326
44.000000,0.000000,1521.604457
45.000000,0.000000,1566.138188
46.000000,0.000000,1611.279520
47.000000,0.000000,1655.693115
48.000000,0.000000,1699.801206
49.000000,0.000000,1744.449779
50.000000,0.000000,1789.638835
51.000000,0.000000,1835.368374
52.000000,0.000000,1881.638395
53.000000,0.000000,1928.448899
54.000000,0.000000,1975.454935
55.000000,0.000000,2021.463401
56.000000,0.000000,2067.960568
57.000000,0.000000,2114.946438
58.000000,0.000000,2162.421009
59.000000,0.000000,2210.384282
60.000000,0.000000,2258.836256
61.000000,0.000000,2307.448790
62.000000,0.000000,2355.445231
63.000000,0.000000,2403.895284
64.000000,0.000000,2452.798950
65.000000,0.000000,2502.156228
66.000000,0.000000,2551.967119
67.000000,0.000000,2602.231622
68.000000,0.000000,2652.523021
69.000000,0.000000,2703.021295
70.000000,0.000000,2753.955104
71.000000,0.000000,2805.324447
72.000000,0.000000,2857.129325
73.000000,0.000000,2909.369737
74.000000,0.000000,2961.904725
75.000000,0.000000,3014.679039
76.000000,0.000000,3067.871018
77.000000,0.000000,3121.480660
78.000000,0.000000,3175.507966
79.000000,0.000000,3229.952936
80.000000,0.000000,3285.652912
81.000000,0.000000,3342.310316
82.000000,0.000000,3399.394277
83.000000,0.000000,3456.904794
84.000000,0.000000,3514.841867
85.000000,0.000000,3573.766426
86.000000,0.000000,3634.704071
87.000000,0.000000,3696.079122
88.000000,0.000000,3757.891579
89.000000,0.000000,3820.141443
90.000000,0.000000,3882.921050
91.000000,0.000000,3946.275860
92.000000,0.000000,4010.070041
93.000000,0.000000,4074.303592
94.000000,0.000000,4138.976513
95.000000,0.000000,4210.843044
96.000000,0.000000,4285.665414
97.000000,0.000000,4360.998654
98.000000,0.000000,4436.842766
99.000000,0.000000,4513.197748
100.000000,0.000000,4590.063602
30.000000,0.500000,946.509293
31.000000,0.500000,984.894049
32.000000,0.500000,1023.999300
33.000000,0.500000,1063.825046
34.000000,0.500000,1104.371287
35.000000,0.500000,1145.638023
36.000000,0.500000,1187.625253
37.000000,0.500000,1230.332978
38.000000,0.500000,1273.761199
39.000000,0.500000,1315.382636
40.000000,0.500000,1357.081931
41.000000,0.500000,1399.391588
42.000000,0.500000,1442.311605
43.000000,0.500000,1485.841984
44.000000,0.500000,1529.982725
45.000000,0.500000,1574.733826
46.000000,0.500000,1620.095289
47.000000,0.500000,1664.260337
48.000000,0.500000,1708.538600
49.000000,0.500000,1753.359072
50.000000,0.500000,1798.721754
51.000000,0.500000,1844.626645
52.000000,0.500000,1891.073746
53.000000,0.500000,1938.063056
54.000000,0.500000,1984.883174
55.000000,0.500000,2031.081409
56.000000,0.500000,2077.770195
57.000000,0.500000,2124.949531
58.000000,0.500000,2172.619417
59.000000,0.500000,2220.779854
60.000000,0.500000,2269.430840
61.000000,0.500000,2317.920270
62.000000,0.500000,2366.085397
63.000000,0.500000,2414.705485
64.000000,0.500000,2463.780532
65.000000,0.500000,2513.310539
66.000000,0.500000,2563.295505
67.000000,0.500000,2613.702612
68.000000,0.500000,2664.043349
69.000000,0.500000,2714.706094
70.000000,0.500000,2765.805528
71.000000,0.500000,2817.341651
72.000000,0.500000,2869.314464
73.000000,0.500000,2921.723967
74.000000,0.500000,2974.350719
75.000000,0.500000,3027.290363
76.000000,0.500000,3080.648781
77.000000,0.500000,3134.425971
78.000000,0.500000,3188.621934
79.000000,0.500000,3243.296032
80.000000,0.500000,3299.413809
81.000000,0.500000,3356.224627
82.000000,0.500000,3413.462806
83.000000,0.500000,3471.128346
84.000000,0.500000,3529.221247
85.000000,0.500000,3588.775991
86.000000,0.500000,3649.809107
87.000000,0.500000,3711.279821
88.000000,0.500000,3773.188134
89.000000,0.500000,3835.534045
90.000000,0.500000,3898.523044
91.000000,0.500000,3962.040765
92.000000,0.500000,4025.998604
93.000000,0.500000,4090.396562
94.000000,0.500000,4156.226021
95.000000,0.500000,4229.357612
96.000000,0.500000,4304.223397
97.000000,0.500000,4379.599553
98.000000,0.500000,4455.486079
99.000000,0.500000,4531.882976
100.000000,0.500000,4608.790243
30.000000,1.000000,952.187943
31.000000,1.000000,990.806141
32.000000,1.000000,1030.149273
33.000000,1.000000,1070.217340
34.000000,1.000000,1111.010341
35.000000,1.000000,1152.528276
36.000000,1.000000,1194.771146
37.000000,1.000000,1237.738950
38.000000,1.000000,1281.431689
39.000000,1.000000,1322.734699
40.000000,1.000000,1364.638052
41.000000,1.000000,1407.154534
42.000000,1.000000,1450.284144
43.000000,1.000000,1494.026883
44.000000,1.000000,1538.382751
45.000000,1.000000,1583.351748
46.000000,1.000000,1628.933873
47.000000,1.000000,1672.848195
48.000000,1.000000,1717.296968
49.000000,1.000000,1762.289679
50.000000,1.000000,1807.826329
51.000000,1.000000,1853.906918
52.000000,1.000000,1900.531446
53.000000,1.000000,1947.699912
54.000000,1.000000,1994.332363
55.000000,1.000000,2040.720752
56.000000,1.000000,2087.601544
57.000000,1.000000,2134.974738
58.000000,1.000000,2182.840335
59.000000,1.000000,2231.198333
60.000000,1.000000,2280.048734
61.000000,1.000000,2328.413754
62.000000,1.000000,2376.747865
63.000000,1.000000,2425.538285
64.000000,1.000000,2474.785014
65.000000,1.000000,2524.488053
66.000000,1.000000,2574.647400
67.000000,1.000000,2625.197217
68.000000,1.000000,2675.586851
69.000000,1.000000,2726.414332
70.000000,1.000000,2777.679658
71.000000,1.000000,2829.382831
72.000000,1.000000,2881.523850
73.000000,1.000000,2934.102714
74.000000,1.000000,2986.820582
75.000000,1.000000,3039.925820
76.000000,1.000000,3093.450941
77.000000,1.000000,3147.395946
78.000000,1.000000,3201.760835
79.000000,1.000000,3256.664443
80.000000,1.000000,3313.200704
81.000000,1.000000,3370.165133
82.000000,1.000000,3427.557727
83.000000,1.000000,3485.378488
84.000000,1.000000,3543.627415
85.000000,1.000000,3603.813243
86.000000,1.000000,3664.941865
87.000000,1.000000,3726.508276
88.000000,1.000000,3788.512475
89.000000,1.000000,3850.954464
90.000000,1.000000,3914.153160
91.000000,1.000000,3977.833979
92.000000,1.000000,4041.955666
93.000000,1.000000,4106.518221
94.000000,1.000000,4173.506721
95.000000,1.000000,4247.905894
96.000000,1.000000,4322.814935
97.000000,1.000000,4398.233845
98.000000,1.000000,4474.162623
99.000000,1.000000,4550.601268
100.000000,1.000000,4627.549782
30.000000,1.500000,957.959369
31.000000,1.500000,996.814442
32.000000,1.500000,1036.398950
33.000000,1.500000,1076.712893
34.000000,1.500000,1117.756271
35.000000,1.500000,1159.529084
36.000000,1.500000,1202.031332
37.000000,1.500000,1245.263015
38.000000,1.500000,1288.673643
39.000000,1.500000,1330.173870
40.000000,1.500000,1372.283610
41.000000,1.500000,1415.009277
42.000000,1.500000,1458.350872
43.000000,1.500000,1502.308393
44.000000,1.500000,1546.881841
45.000000,1.500000,1592.071216
46.000000,1.500000,1637.427221
47.000000,1.500000,1681.507168
48.000000,1.500000,1726.128042
49.000000,1.500000,1771.294602
50.000000,1.500000,1817.006848
51.000000,1.500000,1863.264780
52.000000,1.500000,1910.068397
53.000000,1.500000,1957.417701
54.000000,1.500000,2003.876685
55.000000,1.500000,2050.457187
56.000000,1.500000,2097.531962
57.000000,1.500000,2145.101009
58.000000,1.500000,2193.164331
59.000000,1.500000,2241.721925
60.000000,1.500000,2290.700596
61.000000,1.500000,2338.991541
62.000000,1.500000,2387.495893
63.000000,1.500000,2436.457912
64.000000,1.500000,2485.877599
65.000000,1.500000,2535.754954
66.000000,1.500000,2586.089976
67.000000,1.500000,2636.659798
68.000000,1.500000,2687.214253
69.000000,1.500000,2738.207719
70.000000,1.500000,2789.640197
71.000000,1.500000,2841.511687
72.000000,1.500000,2893.822188
73.000000,1.500000,2946.511712
74.000000,1.500000,2999.379152
75.000000,1.500000,3052.651234
76.000000,1.500000,3106.344320
77.000000,1.500000,3160.458409
78.000000,1.500000,3214.993501
79.000000,1.500000,3270.373863
80.000000,1.500000,3327.062583
81.000000,1.500000,3384.180265
82.000000,1.500000,3441.726910
83.000000,1.500000,3499.702517
84.000000,1.500000,3558.328913
85.000000,1.500000,3618.862423
86.000000,1.500000,3680.086596
87.000000,1.500000,3741.748749
88.000000,1.500000,3803.848882
89.000000,1.500000,3866.476150
90.000000,1.500000,3929.856756
91.000000,1.500000,3993.699615
92.000000,1.500000,4057.984071
93.000000,1.500000,4122.710127
94.000000,1.500000,4191.946671
95.000000,1.500000,4266.388756
96.000000,1.500000,4341.340202
97.000000,1.500000,4416.801010
98.000000,1.500000,4492.771179
99.000000,1.500000,4569.250710
100.000000,1.500000,4646.239602
29.000000,2.000000,925.388801
30.000000,2.000000,963.747495
31.000000,2.000000,1002.840137
32.000000,2.000000,1042.666728
33.000000,2.000000,1083.227269
34.000000,2.000000,1124.521757
35.000000,2.000000,1166.550195
36.000000,2.000000,1209.312582
37.000000,2.000000,1252.808917
38.000000,2.000000,1295.934723
39.000000,2.000000,1337.632622
40.000000,2.000000,1379.949252
41.000000,2.000000,1422.884614
42.000000,2.000000,1466.438708
43.000000,2.000000,1510.611533
44.000000,2.000000,1555.403089
45.000000,2.000000,1600.813378
46.000000,2.000000,1645.941158
47.000000,2.000000,1690.187041
48.000000,2.000000,1734.980360
49.000000,2.000000,1780.321114
50.000000,2.000000,1826.209304
51.000000,2.000000,1872.644929
52.000000,2.000000,1919.627989
53.000000,2.000000,1967.158485
54.000000,2.000000,2013.442283
55.000000,2.000000,2060.215287
56.000000,2.000000,2107.484438
57.000000,2.000000,2155.249738
58.000000,2.000000,2203.511186
59.000000,2.000000,2252.268781
60.000000,2.000000,2301.375740
61.000000,2.000000,2349.591604
62.000000,2.000000,2398.266496
63.000000,2.000000,2447.400417
64.000000,2.000000,2496.993366
65.000000,2.000000,2547.045343
66.000000,2.000000,2597.556348
67.000000,2.000000,2648.145539
