weight_g,60.000000
thrust_N,velocity_m_s,power_W
30.000000,0.000000,806.620335
31.000000,0.000000,850.946172
32.000000,0.000000,896.408316
33.000000,0.000000,943.006766
34.000000,0.000000,990.741523
35.000000,0.000000,1039.612587
36.000000,0.000000,1089.619958
37.000000,0.000000,1140.763635
38.000000,0.000000,1193.043619
39.000000,0.000000,1245.346124
40.000000,0.000000,1298.369163
41.000000,0.000000,1352.456738
42.000000,0.000000,1407.608849
43.000000,0.000000,1463.825495
44.000000,0.000000,1521.106678
45.000000,0.000000,1579.452396
46.000000,0.000000,1638.862650
47.000000,0.000000,1698.935157
48.000000,0.000000,1759.928538
49.000000,0.000000,1821.959400
50.000000,0.000000,1885.027744
51.000000,0.000000,1949.133568
52.000000,0.000000,2014.276874
53.000000,0.000000,2080.457661
54.000000,0.000000,2147.405671
55.000000,0.000000,2214.985454
56.000000,0.000000,2283.576794
57.000000,0.000000,2353.179691
58.000000,0.000000,2423.794144
59.000000,0.000000,2495.420154
60.000000,0.000000,2568.057721
61.000000,0.000000,2641.618883
62.000000,0.000000,2716.097197
63.000000,0.000000,2791.578020
64.000000,0.000000,2868.061350
65.000000,0.000000,2945.547188
66.000000,0.000000,3024.035534
67.000000,0.000000,3103.526388
68.000000,0.000000,3183.966407
69.000000,0.000000,3265.403130
70.000000,0.000000,3347.837407
71.000000,0.000000,3431.269238
72.000000,0.000000,3515.698623
73.000000,0.000000,3601.125562
74.000000,0.000000,3688.133835
75.000000,0.000000,3776.307007
76.000000,0.000000,3865.489116
77.000000,0.000000,3955.680164
78.000000,0.000000,4046.880150
79.000000,0.000000,4139.089074
80.000000,0.000000,4232.449086
81.000000,0.000000,4326.842065
82.000000,0.000000,4422.246331
83.000000,0.000000,4518.661883
84.000000,0.000000,4616.088723
85.000000,0.000000,4716.060852
86.000000,0.000000,4823.031989
87.000000,0.000000,4931.161322
88.000000,0.000000,5040.448851
89.000000,0.000000,5150.894575
90.000000,0.000000,5262.506854
91.000000,0.000000,5376.404738
92.000000,0.000000,5491.482666
93.000000,0.000000,5607.740638
94.000000,0.000000,5725.178655
95.000000,0.000000,5844.020191
96.000000,0.000000,5972.818214
97.000000,0.000000,6102.971384
98.000000,0.000000,6234.479700
99.000000,0.000000,6367.343163
100.000000,0.000000,6507.813014
30.000000,0.500000,813.021302
31.000000,0.500000,857.598079
32.000000,0.500000,903.315582
33.000000,0.500000,950.173811
34.000000,0.500000,998.172765
35.000000,0.500000,1047.312446
36.000000,0.500000,1097.592852
37.000000,0.500000,1149.013984
38.000000,0.500000,1201.526566
39.000000,0.500000,1253.960099
40.000000,0.500000,1307.290745
41.000000,0.500000,1361.691221
42.000000,0.500000,1417.161530
43.000000,0.500000,1473.701670
44.000000,0.500000,1531.311641
45.000000,0.500000,1589.991444
46.000000,0.500000,1649.707228
47.000000,0.500000,1710.032220
48.000000,0.500000,1771.340322
49.000000,0.500000,1833.690143
50.000000,0.500000,1897.081684
51.000000,0.500000,1961.514944
52.000000,0.500000,2026.989924
53.000000,0.500000,2093.506622
54.000000,0.500000,2160.664227
55.000000,0.500000,2228.576469
56.000000,0.500000,2297.504245
57.000000,0.500000,2367.447557
58.000000,0.500000,2438.406403
59.000000,0.500000,2510.380783
60.000000,0.500000,2583.370698
61.000000,0.500000,2657.217096
62.000000,0.500000,2732.013890
63.000000,0.500000,2807.816129
64.000000,0.500000,2884.623815
65.000000,0.500000,2962.436946
66.000000,0.500000,3041.255523
67.000000,0.500000,3121.050942
68.000000,0.500000,3201.780047
69.000000,0.500000,3283.508088
70.000000,0.500000,3366.235496
71.000000,0.500000,3449.962269
72.000000,0.500000,3534.688408
73.000000,0.500000,3620.502269
74.000000,0.500000,3707.927203
75.000000,0.500000,3796.441822
76.000000,0.500000,3885.968028
77.000000,0.500000,3976.505820
78.000000,0.500000,4068.055200
79.000000,0.500000,4160.646475
80.000000,0.500000,4254.387982
81.000000,0.500000,4349.154568
82.000000,0.500000,4444.935376
83.000000,0.500000,4541.730408
84.000000,0.500000,4639.539663
85.000000,0.500000,4741.490024
86.000000,0.500000,4848.688205
87.000000,0.500000,4957.043701
88.000000,0.500000,5066.556513
89.000000,0.500000,5177.226640
90.000000,0.500000,5289.338927
91.000000,0.500000,5403.502196
92.000000,0.500000,5518.845328
93.000000,0.500000,5635.368324
94.000000,0.500000,5753.071182
95.000000,0.500000,5874.163279
96.000000,0.500000,6003.121708
97.000000,0.500000,6133.432193
98.000000,0.500000,6265.094735
99.000000,0.500000,6398.109333
100.000000,0.500000,6541.901350
30.000000,1.000000,819.445846
31.000000,1.000000,864.274206
32.000000,1.000000,910.247718
33.000000,1.000000,957.366385
34.000000,1.000000,1005.630205
35.000000,1.000000,1055.039179
36.000000,1.000000,1105.593306
37.000000,1.000000,1157.292588
38.000000,1.000000,1210.038053
39.000000,1.000000,1262.602027
40.000000,1.000000,1316.241141
41.000000,1.000000,1370.955395
42.000000,1.000000,1426.744790
43.000000,1.000000,1483.609325
44.000000,1.000000,1541.549000
45.000000,1.000000,1600.563815
46.000000,1.000000,1660.585734
47.000000,1.000000,1721.163362
48.000000,1.000000,1782.786957
49.000000,1.000000,1845.456517
50.000000,1.000000,1909.172045
51.000000,1.000000,1973.933538
52.000000,1.000000,2039.740998
53.000000,1.000000,2106.594423
54.000000,1.000000,2173.961399
55.000000,1.000000,2242.206880
56.000000,1.000000,2311.471882
57.000000,1.000000,2381.756404
58.000000,1.000000,2453.060446
59.000000,1.000000,2525.384009
60.000000,1.000000,2598.727092
61.000000,1.000000,2672.858933
62.000000,1.000000,2747.974823
63.000000,1.000000,2824.099101
64.000000,1.000000,2901.231767
65.000000,1.000000,2979.372821
66.000000,1.000000,3058.522263
67.000000,1.000000,3138.622529
68.000000,1.000000,3219.641105
69.000000,1.000000,3301.660862
70.000000,1.000000,3384.681798
71.000000,1.000000,3468.703914
72.000000,1.000000,3553.727211
73.000000,1.000000,3639.928686
74.000000,1.000000,3727.771109
75.000000,1.000000,3816.627770
76.000000,1.000000,3906.498672
77.000000,1.000000,3997.383812
78.000000,1.000000,4089.283193
79.000000,1.000000,4182.257523
80.000000,1.000000,4276.381234
81.000000,1.000000,4371.522109
82.000000,1.000000,4467.680147
83.000000,1.000000,4564.855348
84.000000,1.000000,4663.047712
85.000000,1.000000,4766.984352
86.000000,1.000000,4874.409374
87.000000,1.000000,4982.990831
88.000000,1.000000,5092.728723
89.000000,1.000000,5203.623050
90.000000,1.000000,5316.236388
91.000000,1.000000,5430.665003
92.000000,1.000000,5546.273299
93.000000,1.000000,5663.061278
94.000000,1.000000,5781.028938
95.000000,1.000000,5904.380642
96.000000,1.000000,6033.498759
97.000000,1.000000,6163.965845
98.000000,1.000000,6295.781901
99.000000,1.000000,6428.946926
100.000000,1.000000,6576.074916
30.000000,1.500000,825.929565
31.000000,1.500000,871.012710
32.000000,1.500000,917.245526
33.000000,1.500000,964.628011
34.000000,1.500000,1013.160165
35.000000,1.500000,1062.841989
36.000000,1.500000,1113.673483
37.000000,1.500000,1165.654646
38.000000,1.500000,1218.478765
39.000000,1.500000,1271.348448
40.000000,1.500000,1325.298600
41.000000,1.500000,1380.329223
42.000000,1.500000,1436.440316
43.000000,1.500000,1493.631880
44.000000,1.500000,1551.903915
45.000000,1.500000,1611.256419
46.000000,1.500000,1671.508178
47.000000,1.500000,1732.400194
48.000000,1.500000,1794.342471
49.000000,1.500000,1857.335009
50.000000,1.500000,1921.377809
51.000000,1.500000,1986.470871
52.000000,1.500000,2052.614193
53.000000,1.500000,2119.752322
54.000000,1.500000,2187.381233
55.000000,1.500000,2255.962886
56.000000,1.500000,2325.568080
57.000000,1.500000,2396.196815
58.000000,1.500000,2467.849089
59.000000,1.500000,2540.524904
60.000000,1.500000,2614.174725
61.000000,1.500000,2688.614344
62.000000,1.500000,2764.053124
63.000000,1.500000,2840.503297
64.000000,1.500000,2917.964861
65.000000,1.500000,2996.437818
66.000000,1.500000,3075.922167
67.000000,1.500000,3156.291239
68.000000,1.500000,3237.601106
69.000000,1.500000,3319.913978
70.000000,1.500000,3403.229855
71.000000,1.500000,3487.548736
72.000000,1.500000,3572.870621
73.000000,1.500000,3659.569814
74.000000,1.500000,3747.752610
75.000000,1.500000,3836.952288
76.000000,1.500000,3927.168848
77.000000,1.500000,4018.402291
78.000000,1.500000,4110.652616
79.000000,1.500000,4204.036543
80.000000,1.500000,4298.534019
81.000000,1.500000,4394.051617
82.000000,1.500000,4490.589336
83.000000,1.500000,4588.147176
84.000000,1.500000,4687.151475
85.000000,1.500000,4792.482832
86.000000,1.500000,4900.138547
87.000000,1.500000,5008.949914
88.000000,1.500000,5118.916933
89.000000,1.500000,5230.039603
90.000000,1.500000,5343.189252
91.000000,1.500000,5457.883048
92.000000,1.500000,5573.756344
93.000000,1.500000,5690.809140
94.000000,1.500000,5809.041436
95.000000,1.500000,5934.531753
96.000000,1.500000,6063.809514
97.000000,1.500000,6194.433202
98.000000,1.500000,6326.402818
99.000000,1.500000,6462.203578
100.000000,1.500000,6610.219450
29.000000,2.000000,788.252734
30.000000,2.000000,832.437130
31.000000,2.000000,877.775720
32.000000,2.000000,924.268504
33.000000,2.000000,971.915483
34.000000,2.000000,1020.716656
35.000000,2.000000,1070.672024
36.000000,2.000000,1121.781586
37.000000,2.000000,1174.045342
38.000000,2.000000,1226.947065
39.000000,2.000000,1280.123314
40.000000,2.000000,1334.385376
41.000000,2.000000,1389.733252
42.000000,2.000000,1446.166942
43.000000,2.000000,1503.686446
44.000000,2.000000,1562.291763
45.000000,2.000000,1621.982894
46.000000,2.000000,1682.464369
47.000000,2.000000,1743.671547
48.000000,2.000000,1805.933291
49.000000,2.000000,1869.249599
50.000000,2.000000,1933.620474
51.000000,2.000000,1999.045913
52.000000,2.000000,2065.525918
53.000000,2.000000,2132.949126
54.000000,2.000000,2200.840175
55.000000,2.000000,2269.758792
56.000000,2.000000,2339.704976
57.000000,2.000000,2410.678729
58.000000,2.000000,2482.680050
59.000000,2.000000,2555.708939
60.000000,2.000000,2629.665879
61.000000,2.000000,2704.413780
62.000000,2.000000,2780.176081
63.000000,2.000000,2856.952784
64.000000,2.000000,2934.743888
65.000000,2.000000,3013.549393
66.000000,2.000000,3093.369299
67.000000,2.000000,3174.007247
68.000000,2.000000,3255.608805
69.000000,2.000000,3338.215193
70.000000,2.000000,3421.826412
71.000000,2.000000,3506.442461
