weight_g,450.000000
thrust_N,velocity_m_s,power_W
30.000000,0.000000,877.445544
31.000000,0.000000,914.088855
32.000000,0.000000,951.436176
33.000000,0.000000,989.487506
34.000000,0.000000,1028.242846
35.000000,0.000000,1067.702195
36.000000,0.000000,1107.865554
37.000000,0.000000,1148.732923
38.000000,0.000000,1190.304301
39.000000,0.000000,1230.411005
40.000000,0.000000,1270.442994
41.000000,0.000000,1311.074299
42.000000,0.000000,1352.304919
43.000000,0.000000,1394.134854
44.000000,0.000000,1436.564105
45.000000,0.000000,1479.592671
46.000000,0.000000,1523.220553
47.000000,0.000000,1565.908148
48.000000,0.000000,1608.679731
49.000000,0.000000,1651.986035
50.000000,0.000000,1695.827063
51.000000,0.000000,1740.202813
52.000000,0.000000,1785.113285
53.000000,0.000000,1830.558480
54.000000,0.000000,1875.863290
55.000000,0.000000,1920.702721
56.000000,0.000000,1966.031056
57.000000,0.000000,2011.848296
58.000000,0.000000,2058.154440
59.000000,0.000000,2104.949488
60.000000,0.000000,2152.233440
61.000000,0.000000,2199.463330
62.000000,0.000000,2246.620035
63.000000,0.000000,2294.237301
64.000000,0.000000,2342.315127
65.000000,0.000000,2390.853513
66.000000,0.000000,2439.852460
67.000000,0.000000,2489.311967
68.000000,0.000000,2538.299067
69.000000,0.000000,2587.708288
70.000000,0.000000,2637.555029
71.000000,0.000000,2687.839289
72.000000,0.000000,2738.561067
73.000000,0.000000,2789.720364
74.000000,0.000000,2840.471399
75.000000,0.000000,2891.407786
76.000000,0.000000,2942.754326
77.000000,0.000000,2994.511021
78.000000,0.000000,3046.677869
79.000000,0.000000,3099.254872
80.000000,0.000000,3152.029734
81.000000,0.000000,3205.176679
82.000000,0.000000,3258.727930
83.000000,0.000000,3312.683485
84.000000,0.000000,3367.043344
85.000000,0.000000,3422.063772
86.000000,0.000000,3478.473735
87.000000,0.000000,3535.287595
88.000000,0.000000,3592.505351
89.000000,0.000000,3650.127004
90.000000,0.000000,3708.153875
91.000000,0.000000,3766.761012
92.000000,0.000000,3825.771651
93.000000,0.000000,3885.185793
94.000000,0.000000,3945.003437
95.000000,0.000000,4005.285533
96.000000,0.000000,4068.349381
97.000000,0.000000,4131.834507
98.000000,0.000000,4195.740912
99.000000,0.000000,4260.068595
100.000000,0.000000,4326.467906
30.000000,0.500000,882.311858
31.000000,0.500000,919.121949
32.000000,0.500000,956.638929
33.000000,0.500000,994.862796
34.000000,0.500000,1033.793552
35.000000,0.500000,1073.431196
36.000000,0.500000,1113.775728
37.000000,0.500000,1154.827148
38.000000,0.500000,1196.485633
39.000000,0.500000,1236.435119
40.000000,0.500000,1276.648627
41.000000,0.500000,1317.464136
42.000000,0.500000,1358.881647
43.000000,0.500000,1400.901159
44.000000,0.500000,1443.522672
45.000000,0.500000,1486.746187
46.000000,0.500000,1530.452156
47.000000,0.500000,1573.085712
48.000000,0.500000,1616.030062
49.000000,0.500000,1659.511220
50.000000,0.500000,1703.529189
51.000000,0.500000,1748.083967
52.000000,0.500000,1793.175554
53.000000,0.500000,1838.803951
54.000000,0.500000,1883.977564
55.000000,0.500000,1928.989534
56.000000,0.500000,1974.492259
57.000000,0.500000,2020.485740
58.000000,0.500000,2066.969975
59.000000,0.500000,2113.944966
60.000000,0.500000,2161.410712
61.000000,0.500000,2208.588363
62.000000,0.500000,2255.906550
63.000000,0.500000,2303.686789
64.000000,0.500000,2351.929080
65.000000,0.500000,2400.633424
66.000000,0.500000,2449.799821
67.000000,0.500000,2499.226917
68.000000,0.500000,2548.342481
69.000000,0.500000,2597.888771
70.000000,0.500000,2647.873505
71.000000,0.500000,2698.296685
72.000000,0.500000,2749.158309
73.000000,0.500000,2800.346433
74.000000,0.500000,2851.141142
75.000000,0.500000,2902.234494
76.000000,0.500000,2953.739222
77.000000,0.500000,3005.655327
78.000000,0.500000,3057.982807
79.000000,0.500000,3110.682111
80.000000,0.500000,3163.597519
81.000000,0.500000,3216.902126
82.000000,0.500000,3270.612089
83.000000,0.500000,3324.727406
84.000000,0.500000,3379.248080
85.000000,0.500000,3434.675195
86.000000,0.500000,3491.185197
87.000000,0.500000,3548.099552
88.000000,0.500000,3605.418262
89.000000,0.500000,3663.141325
90.000000,0.500000,3721.311301
91.000000,0.500000,3780.021330
92.000000,0.500000,3839.135207
93.000000,0.500000,3898.652932
94.000000,0.500000,3958.574505
95.000000,0.500000,4019.499134
96.000000,0.500000,4082.627318
97.000000,0.500000,4146.176779
98.000000,0.500000,4210.147517
99.000000,0.500000,4274.539531
100.000000,0.500000,4341.829818
30.000000,1.000000,887.190045
31.000000,1.000000,924.167297
32.000000,1.000000,961.854321
33.000000,1.000000,1000.251118
34.000000,1.000000,1039.357687
35.000000,1.000000,1079.174029
36.000000,1.000000,1119.700144
37.000000,1.000000,1160.936030
38.000000,1.000000,1202.681456
39.000000,1.000000,1242.472185
40.000000,1.000000,1282.867606
41.000000,1.000000,1323.867721
42.000000,1.000000,1365.472529
43.000000,1.000000,1407.682031
44.000000,1.000000,1450.496225
45.000000,1.000000,1493.915114
46.000000,1.000000,1537.698910
47.000000,1.000000,1580.277468
48.000000,1.000000,1623.394926
49.000000,1.000000,1667.051285
50.000000,1.000000,1711.246544
51.000000,1.000000,1755.980704
52.000000,1.000000,1801.253764
53.000000,1.000000,1847.065725
54.000000,1.000000,1892.106842
55.000000,1.000000,1937.291677
56.000000,1.000000,1982.969122
57.000000,1.000000,2029.139177
58.000000,1.000000,2075.801841
59.000000,1.000000,2122.957114
60.000000,1.000000,2170.604997
61.000000,1.000000,2217.729530
62.000000,1.000000,2265.209483
63.000000,1.000000,2313.152983
64.000000,1.000000,2361.560030
65.000000,1.000000,2410.430624
66.000000,1.000000,2459.764765
67.000000,1.000000,2509.158698
68.000000,1.000000,2558.402870
69.000000,1.000000,2608.086414
70.000000,1.000000,2658.209330
71.000000,1.000000,2708.771618
72.000000,1.000000,2759.773278
73.000000,1.000000,2810.989754
