weight_g,420.000000
thrust_N,velocity_m_s,power_W
29.000000,0.000000,578.189605
30.000000,0.000000,606.204532
31.000000,0.000000,634.810227
32.000000,0.000000,664.006689
33.000000,0.000000,693.793918
34.000000,0.000000,724.171915
35.000000,0.000000,755.140680
36.000000,0.000000,786.700211
37.000000,0.000000,818.850511
38.000000,0.000000,851.213102
39.000000,0.000000,883.187977
40.000000,0.000000,915.688981
41.000000,0.000000,948.716114
42.000000,0.000000,982.269376
43.000000,0.000000,1016.348767
44.000000,0.000000,1050.954287
45.000000,0.000000,1086.085935
46.000000,0.000000,1121.268301
47.000000,0.000000,1156.275632
48.000000,0.000000,1191.762088
49.000000,0.000000,1227.727671
50.000000,0.000000,1264.172381
51.000000,0.000000,1301.096218
52.000000,0.000000,1338.499181
53.000000,0.000000,1376.278182
54.000000,0.000000,1413.853378
55.000000,0.000000,1451.877067
56.000000,0.000000,1490.349249
57.000000,0.000000,1529.269925
58.000000,0.000000,1568.639094
59.000000,0.000000,1608.456756
60.000000,0.000000,1648.597158
61.000000,0.000000,1688.913076
62.000000,0.000000,1729.659754
63.000000,0.000000,1770.837193
64.000000,0.000000,1812.445393
65.000000,0.000000,1854.484354
66.000000,0.000000,1896.954075
67.000000,0.000000,1940.262274
68.000000,0.000000,1984.023923
69.000000,0.000000,2028.207919
70.000000,0.000000,2072.814261
71.000000,0.000000,2117.842951
72.000000,0.000000,2163.293987
73.000000,0.000000,2210.971731
74.000000,0.000000,2259.129974
75.000000,0.000000,2307.729362
76.000000,0.000000,2356.769894
77.000000,0.000000,2406.251571
78.000000,0.000000,2457.582290
79.000000,0.000000,2510.532619
80.000000,0.000000,2563.947211
81.000000,0.000000,2617.826065
82.000000,0.000000,2672.169182
83.000000,0.000000,2728.379122
84.000000,0.000000,2785.968664
85.000000,0.000000,2844.047832
86.000000,0.000000,2902.616628
87.000000,0.000000,2962.100416
88.000000,0.000000,3029.888495
89.000000,0.000000,3098.251338
90.000000,0.000000,3167.188945
91.000000,0.000000,3236.701316
92.000000,0.000000,3306.788450
93.000000,0.000000,3377.450347
94.000000,0.000000,3448.687008
95.000000,0.000000,3521.478942
96.000000,0.000000,3596.229971
97.000000,0.000000,3671.581972
98.000000,0.000000,3747.534945
99.000000,0.000000,3837.067900
100.000000,0.000000,3929.263513
29.000000,0.500000,581.898284
30.000000,0.500000,610.046708
31.000000,0.500000,638.788375
32.000000,0.500000,668.123285
33.000000,0.500000,698.051438
34.000000,0.500000,728.572835
35.000000,0.500000,759.687474
36.000000,0.500000,791.395357
37.000000,0.500000,823.696483
38.000000,0.500000,856.004755
39.000000,0.500000,888.115243
40.000000,0.500000,920.753872
41.000000,0.500000,953.920642
42.000000,0.500000,987.615554
43.000000,0.500000,1021.838607
44.000000,0.500000,1056.589802
45.000000,0.500000,1091.869138
46.000000,0.500000,1127.012451
47.000000,0.500000,1162.166812
48.000000,0.500000,1197.802247
49.000000,0.500000,1233.918754
50.000000,0.500000,1270.516333
51.000000,0.500000,1307.594984
52.000000,0.500000,1345.154708
53.000000,0.500000,1382.948307
54.000000,0.500000,1420.666822
55.000000,0.500000,1458.835470
56.000000,0.500000,1497.454251
57.000000,0.500000,1536.523166
58.000000,0.500000,1576.042213
59.000000,0.500000,1616.011394
60.000000,0.500000,1656.207676
61.000000,0.500000,1696.642065
62.000000,0.500000,1737.508258
63.000000,0.500000,1778.806256
