weight_g,450.000000
thrust_N,velocity_m_s,power_W
30.000000,0.000000,755.401769
31.000000,0.000000,787.524336
32.000000,0.000000,820.267874
33.000000,0.000000,853.632383
34.000000,0.000000,887.617863
35.000000,0.000000,922.224314
36.000000,0.000000,957.451737
37.000000,0.000000,993.300130
38.000000,0.000000,1029.769494
39.000000,0.000000,1066.859829
40.000000,0.000000,1102.828204
41.000000,0.000000,1139.166958
42.000000,0.000000,1176.053328
43.000000,0.000000,1213.487316
44.000000,0.000000,1251.468921
45.000000,0.000000,1289.998144
46.000000,0.000000,1329.074983
47.000000,0.000000,1368.699440
48.000000,0.000000,1407.590035
49.000000,0.000000,1446.519812
50.000000,0.000000,1485.939655
51.000000,0.000000,1525.849564
52.000000,0.000000,1566.249539
53.000000,0.000000,1607.139579
54.000000,0.000000,1648.519686
55.000000,0.000000,1690.186368
56.000000,0.000000,1731.451236
57.000000,0.000000,1773.172703
58.000000,0.000000,1815.350772
59.000000,0.000000,1857.985440
60.000000,0.000000,1901.076709
61.000000,0.000000,1944.624579
62.000000,0.000000,1988.553077
63.000000,0.000000,2032.525827
64.000000,0.000000,2076.940919
65.000000,0.000000,2121.798355
66.000000,0.000000,2167.098133
67.000000,0.000000,2212.840255
68.000000,0.000000,2259.024719
69.000000,0.000000,2305.483948
70.000000,0.000000,2352.246605
71.000000,0.000000,2399.430879
72.000000,0.000000,2447.036773
73.000000,0.000000,2495.064284
74.000000,0.000000,2543.513413
75.000000,0.000000,2592.384161
76.000000,0.000000,2641.676527
77.000000,0.000000,2691.390511
78.000000,0.000000,2741.526114
79.000000,0.000000,2792.083334
80.000000,0.000000,2843.062173
81.000000,0.000000,2896.530586
82.000000,0.000000,2951.676931
83.000000,0.000000,3007.268989
84.000000,0.000000,3063.306763
85.000000,0.000000,3119.790251
86.000000,0.000000,3176.740781
87.000000,0.000000,3234.156938
88.000000,0.000000,3292.019053
89.000000,0.000000,3350.327125
90.000000,0.000000,3409.081155
91.000000,0.000000,3469.522366
92.000000,0.000000,3531.193633
93.000000,0.000000,3593.330203
94.000000,0.000000,3655.932074
95.000000,0.000000,3719.567566
96.000000,0.000000,3790.782534
97.000000,0.000000,3862.529987
98.000000,0.000000,3934.809923
99.000000,0.000000,4007.622343
100.000000,0.000000,4080.967248
30.000000,0.500000,758.960195
31.000000,0.500000,791.231995
32.000000,0.500000,824.127913
33.000000,0.500000,857.647949
34.000000,0.500000,891.792102
35.000000,0.500000,926.560373
36.000000,0.500000,961.952762
37.000000,0.500000,997.969269
38.000000,0.500000,1034.609893
39.000000,0.500000,1071.669164
40.000000,0.500000,1107.692996
41.000000,0.500000,1144.177908
42.000000,0.500000,1181.212792
43.000000,0.500000,1218.797649
44.000000,0.500000,1256.932478
45.000000,0.500000,1295.617280
46.000000,0.500000,1334.852054
47.000000,0.500000,1374.571327
48.000000,0.500000,1413.359342
49.000000,0.500000,1452.412535
50.000000,0.500000,1491.957042
51.000000,0.500000,1531.992865
52.000000,0.500000,1572.520002
53.000000,0.500000,1613.538455
54.000000,0.500000,1655.048223
55.000000,0.500000,1696.654345
56.000000,0.500000,1738.049770
57.000000,0.500000,1779.903391
58.000000,0.500000,1822.215207
59.000000,0.500000,1864.985219
60.000000,0.500000,1908.213427
61.000000,0.500000,1951.899830
62.000000,0.500000,1995.858724
63.000000,0.500000,2039.933999
64.000000,0.500000,2084.452587
65.000000,0.500000,2129.414488
66.000000,0.500000,2174.819703
67.000000,0.500000,2220.668232
68.000000,0.500000,2266.960074
69.000000,0.500000,2313.464158
70.000000,0.500000,2360.324251
71.000000,0.500000,2407.606468
72.000000,0.500000,2455.310807
73.000000,0.500000,2503.437270
74.000000,0.500000,2551.985857
75.000000,0.500000,2600.956566
76.000000,0.500000,2650.349399
77.000000,0.500000,2700.164356
78.000000,0.500000,2750.401436
79.000000,0.500000,2801.060639
80.000000,0.500000,2852.170908
81.000000,0.500000,2906.254622
82.000000,0.500000,2961.399500
83.000000,0.500000,3016.989817
84.000000,0.500000,3073.025573
85.000000,0.500000,3129.506768
86.000000,0.500000,3186.542772
87.000000,0.500000,3244.046753
88.000000,0.500000,3301.996946
89.000000,0.500000,3360.393349
90.000000,0.500000,3419.235964
91.000000,0.500000,3479.903046
92.000000,0.500000,3541.422108
93.000000,0.500000,3603.404420
94.000000,0.500000,3665.849982
95.000000,0.500000,3730.691449
96.000000,0.500000,3801.972837
97.000000,0.500000,3873.786615
98.000000,0.500000,3946.132784
99.000000,0.500000,4019.011343
100.000000,0.500000,4092.422292
30.000000,1.000000,762.523094
31.000000,1.000000,794.944398
32.000000,1.000000,827.992973
33.000000,1.000000,861.668821
34.000000,1.000000,895.971939
35.000000,1.000000,930.902330
36.000000,1.000000,966.459992
37.000000,1.000000,1002.644926
38.000000,1.000000,1039.457132
39.000000,1.000000,1076.484408
40.000000,1.000000,1112.563410
41.000000,1.000000,1149.194745
42.000000,1.000000,1186.378412
43.000000,1.000000,1224.114411
44.000000,1.000000,1262.402743
45.000000,1.000000,1301.243407
46.000000,1.000000,1340.636403
47.000000,1.000000,1380.450381
48.000000,1.000000,1419.134524
49.000000,1.000000,1458.311232
50.000000,1.000000,1497.980505
51.000000,1.000000,1538.142343
52.000000,1.000000,1578.796745
53.000000,1.000000,1619.943713
54.000000,1.000000,1661.583245
55.000000,1.000000,1703.127712
56.000000,1.000000,1744.653932
57.000000,1.000000,1786.639945
58.000000,1.000000,1829.085752
59.000000,1.000000,1871.991353
60.000000,1.000000,1915.356747
61.000000,1.000000,1959.181934
62.000000,1.000000,2003.170821
63.000000,1.000000,2047.348817
64.000000,1.000000,2091.971097
65.000000,1.000000,2137.037661
66.000000,1.000000,2182.548510
67.000000,1.000000,2228.503644
68.000000,1.000000,2274.903062
69.000000,1.000000,2321.450704
70.000000,1.000000,2368.408273
71.000000,1.000000,2415.788470
72.000000,1.000000,2463.591295
73.000000,1.000000,2511.816749
74.000000,1.000000,2560.464832
75.000000,1.000000,2609.535543
76.000000,1.000000,2659.028883
77.000000,1.000000,2708.944852
78.000000,1.000000,2759.283449
79.000000,1.000000,2810.044674
80.000000,1.000000,2861.286385
81.000000,1.000000,2915.984774
82.000000,1.000000,2971.128322
83.000000,1.000000,3026.717029
84.000000,1.000000,3082.750895
85.000000,1.000000,3139.229919
86.000000,1.000000,3196.351412
87.000000,1.000000,3253.943230
88.000000,1.000000,3311.981513
89.000000,1.000000,3370.466261
90.000000,1.000000,3429.397472
91.000000,1.000000,3490.290468
92.000000,1.000000,3551.657272
93.000000,1.000000,3613.485265
94.000000,1.000000,3675.774449
95.000000,1.000000,3741.822174
96.000000,1.000000,3813.169961
97.000000,1.000000,3885.050045
98.000000,1.000000,3957.462426
99.000000,1.000000,4030.407103
100.000000,1.000000,4103.884076
30.000000,1.500000,766.112724
31.000000,1.500000,798.685347
32.000000,1.500000,831.888440
33.000000,1.500000,865.722002
34.000000,1.500000,900.186034
35.000000,1.500000,935.280535
36.000000,1.500000,971.005506
37.000000,1.500000,1007.360947
38.000000,1.500000,1044.346857
39.000000,1.500000,1081.241559
40.000000,1.500000,1117.465570
41.000000,1.500000,1154.244287
42.000000,1.500000,1191.577708
43.000000,1.500000,1229.465836
44.000000,1.500000,1267.908668
45.000000,1.500000,1306.906206
46.000000,1.500000,1346.458449
47.000000,1.500000,1386.121775
48.000000,1.500000,1424.928484
49.000000,1.500000,1464.229010
50.000000,1.500000,1504.023354
51.000000,1.500000,1544.311514
52.000000,1.500000,1585.093491
53.000000,1.500000,1626.369285
54.000000,1.500000,1668.138896
55.000000,1.500000,1709.627386
56.000000,1.500000,1751.287242
57.000000,1.500000,1793.408533
58.000000,1.500000,1835.991260
59.000000,1.500000,1879.035422
60.000000,1.500000,1922.541020
61.000000,1.500000,1966.508053
62.000000,1.500000,2010.498202
63.000000,1.500000,2054.776318
64.000000,1.500000,2099.499458
65.000000,1.500000,2144.667622
66.000000,1.500000,2190.280810
67.000000,1.500000,2236.339022
68.000000,1.500000,2282.791733
69.000000,1.500000,2329.433243
70.000000,1.500000,2376.491741
71.000000,1.500000,2423.973661
72.000000,1.500000,2471.879004
73.000000,1.500000,2520.207769
74.000000,1.500000,2568.958962
75.000000,1.500000,2618.129777
76.000000,1.500000,2667.723726
77.000000,1.500000,2717.740809
78.000000,1.500000,2768.181025
79.000000,1.500000,2819.044376
80.000000,1.500000,2870.950120
81.000000,1.500000,2925.650122
82.000000,1.500000,2980.795028
83.000000,1.500000,3036.384837
84.000000,1.500000,3092.419551
85.000000,1.500000,3148.951125
86.000000,1.500000,3206.172171
87.000000,1.500000,3263.851857
88.000000,1.500000,3321.978261
89.000000,1.500000,3380.551382
90.000000,1.500000,3439.763733
91.000000,1.500000,3500.518849
92.000000,1.500000,3561.739471
93.000000,1.500000,3623.419290
94.000000,1.500000,3685.558305
95.000000,1.500000,3752.959275
96.000000,1.500000,3824.373432
97.000000,1.500000,3896.319793
98.000000,1.500000,3968.798356
99.000000,1.500000,4041.809123
100.000000,1.500000,4115.352092
30.000000,2.000000,769.706918
31.000000,2.000000,802.431135
32.000000,2.000000,835.789028
33.000000,2.000000,869.780595
34.000000,2.000000,904.405837
35.000000,2.000000,939.664755
36.000000,2.000000,975.557347
37.000000,2.000000,1012.083615
38.000000,2.000000,1049.243557
39.000000,2.000000,1086.004187
40.000000,2.000000,1122.373468
41.000000,2.000000,1159.299833
42.000000,2.000000,1196.783281
43.000000,2.000000,1234.823812
44.000000,2.000000,1273.421427
45.000000,2.000000,1312.576124
46.000000,2.000000,1352.287906
47.000000,2.000000,1391.798966
48.000000,2.000000,1430.728341
49.000000,2.000000,1470.152786
50.000000,2.000000,1510.072300
51.000000,2.000000,1550.486884
52.000000,2.000000,1591.396538
53.000000,2.000000,1632.801262
54.000000,2.000000,1674.701056
55.000000,2.000000,1716.132584
56.000000,2.000000,1757.926316
57.000000,2.000000,1800.183128
58.000000,2.000000,1842.903022
59.000000,2.000000,1886.085996
60.000000,2.000000,1929.732050
61.000000,2.000000,1973.841186
62.000000,2.000000,2017.832077
63.000000,2.000000,2062.210427
64.000000,2.000000,2107.034541
65.000000,2.000000,2152.304419
66.000000,2.000000,2198.020061
67.000000,2.000000,2244.181466
68.000000,2.000000,2290.686316
69.000000,2.000000,2337.421662
70.000000,2.000000,2384.581224
71.000000,2.000000,2432.165003
72.000000,2.000000,2480.172999
73.000000,2.000000,2528.605212
74.000000,2.000000,2577.459634
75.000000,2.000000,2626.730592
76.000000,2.000000,2676.425189
77.000000,2.000000,2726.543426
78.000000,2.000000,2777.085302
79.000000,2.000000,2828.050817
80.000000,2.000000,2880.619927
81.000000,2.000000,2935.321679
82.000000,2.000000,2990.468075
83.000000,2.000000,3046.059117
84.000000,2.000000,3102.094802
85.000000,2.000000,3158.678985
86.000000,2.000000,3215.999581
87.000000,2.000000,3273.767148
88.000000,2.000000,3331.981685
89.000000,2.000000,3390.643194
90.000000,2.000000,3450.136744
91.000000,2.000000,3510.753932
92.000000,2.000000,3571.828317
93.000000,2.000000,3633.359899
94.000000,2.000000,3695.348678
95.000000,2.000000,3764.103213
96.000000,2.000000,3835.583720
97.000000,2.000000,3907.596337
98.000000,2.000000,3980.141063
99.000000,2.000000,4053.217898
100.000000,2.000000,4126.826843
30.000000,2.500000,773.295669
31.000000,2.500000,806.176604
32.000000,2.500000,839.694675
33.000000,2.500000,873.849883
34.000000,2.500000,908.642228
35.000000,2.500000,944.071709
36.000000,2.500000,980.138327
37.000000,2.500000,1016.842081
38.000000,2.500000,1054.182971
39.000000,2.500000,1090.793232
40.000000,2.500000,1127.302837
41.000000,2.500000,1164.371694
42.000000,2.500000,1201.999802
43.000000,2.500000,1240.187162
44.000000,2.500000,1278.933774
45.000000,2.500000,1318.239637
46.000000,2.500000,1358.104752
47.000000,2.500000,1397.448298
48.000000,2.500000,1436.506870
49.000000,2.500000,1476.061993
50.000000,2.500000,1516.113669
