weight_g,60.000000
thrust_N,velocity_m_s,power_W
31.000000,0.000000,760.993919
32.000000,0.000000,800.317134
33.000000,0.000000,840.582606
34.000000,0.000000,881.790334
35.000000,0.000000,923.940318
36.000000,0.000000,967.032559
37.000000,0.000000,1011.067056
38.000000,0.000000,1056.043809
39.000000,0.000000,1101.962819
40.000000,0.000000,1148.755880
41.000000,0.000000,1195.327076
42.000000,0.000000,1242.781958
43.000000,0.000000,1291.120526
44.000000,0.000000,1340.342780
45.000000,0.000000,1390.448720
46.000000,0.000000,1441.438345
47.000000,0.000000,1493.311656
48.000000,0.000000,1546.068653
49.000000,0.000000,1599.260100
50.000000,0.000000,1653.020627
51.000000,0.000000,1707.631893
52.000000,0.000000,1763.093899
53.000000,0.000000,1819.406645
54.000000,0.000000,1876.570131
55.000000,0.000000,1934.584357
56.000000,0.000000,1993.449323
57.000000,0.000000,2053.084459
58.000000,0.000000,2113.539230
59.000000,0.000000,2174.834416
60.000000,0.000000,2236.970016
61.000000,0.000000,2299.946030
62.000000,0.000000,2363.762459
63.000000,0.000000,2428.419302
64.000000,0.000000,2494.817773
65.000000,0.000000,2563.078851
66.000000,0.000000,2632.221531
67.000000,0.000000,2702.245813
68.000000,0.000000,2773.151696
69.000000,0.000000,2844.939182
70.000000,0.000000,2917.608269
71.000000,0.000000,2993.362765
72.000000,0.000000,3070.836219
73.000000,0.000000,3149.255427
74.000000,0.000000,3228.620390
75.000000,0.000000,3308.931107
76.000000,0.000000,3390.187578
77.000000,0.000000,3479.244489
78.000000,0.000000,3575.775189
79.000000,0.000000,3673.554636
80.000000,0.000000,3772.582829
81.000000,0.000000,3872.859770
82.000000,0.000000,3975.895263
83.000000,0.000000,4085.255357
84.000000,0.000000,4196.018174
85.000000,0.000000,4308.183713
86.000000,0.000000,4421.751976
87.000000,0.000000,4540.470502
88.000000,0.000000,4666.622912
89.000000,0.000000,4794.410392
90.000000,0.000000,4923.832943
91.000000,0.000000,5055.325764
92.000000,0.000000,5221.206106
93.000000,0.000000,5389.592963
94.000000,0.000000,5560.486336
95.000000,0.000000,5733.886224
96.000000,0.000000,5909.792628
97.000000,0.000000,6088.205547
98.000000,0.000000,6269.124981
99.000000,0.000000,6452.550931
100.000000,0.000000,6638.483396
31.000000,0.500000,767.606028
32.000000,0.500000,807.172684
33.000000,0.500000,847.685648
34.000000,0.500000,889.144919
35.000000,0.500000,931.550497
36.000000,0.500000,974.902382
37.000000,0.500000,1019.200575
38.000000,0.500000,1064.445076
39.000000,0.500000,1110.635883
40.000000,0.500000,1157.495923
41.000000,0.500000,1204.372753
42.000000,0.500000,1252.138441
43.000000,0.500000,1300.792987
44.000000,0.500000,1350.336390
45.000000,0.500000,1400.768650
46.000000,0.500000,1452.089767
47.000000,0.500000,1504.299742
48.000000,0.500000,1557.387307
49.000000,0.500000,1610.731388
50.000000,0.500000,1664.788281
51.000000,0.500000,1719.699523
52.000000,0.500000,1775.465114
53.000000,0.500000,1832.085054
54.000000,0.500000,1889.559343
55.000000,0.500000,1947.887982
56.000000,0.500000,2007.054475
57.000000,0.500000,2066.977950
58.000000,0.500000,2127.734325
59.000000,0.500000,2189.334128
60.000000,0.500000,2251.777360
61.000000,0.500000,2315.064019
62.000000,0.500000,2379.194106
63.000000,0.500000,2444.167621
64.000000,0.500000,2511.292236
65.000000,0.500000,2579.833819
66.000000,0.500000,2649.258815
67.000000,0.500000,2719.567224
68.000000,0.500000,2790.759047
69.000000,0.500000,2862.834284
70.000000,0.500000,2936.121623
71.000000,0.500000,3012.514985
72.000000,0.500000,3090.242339
73.000000,0.500000,3168.916045
74.000000,0.500000,3248.536101
75.000000,0.500000,3329.102508
76.000000,0.500000,3410.739233
77.000000,0.500000,3503.093308
