weight_g,610.000000
thrust_N,velocity_m_s,power_W
31.000000,0.000000,1251.661461
32.000000,0.000000,1296.995347
33.000000,0.000000,1343.106086
34.000000,0.000000,1389.993677
35.000000,0.000000,1437.658120
36.000000,0.000000,1486.099416
37.000000,0.000000,1535.317564
38.000000,0.000000,1585.312564
39.000000,0.000000,1636.084417
40.000000,0.000000,1687.394807
41.000000,0.000000,1735.453633
42.000000,0.000000,1784.158739
43.000000,0.000000,1833.510124
44.000000,0.000000,1883.507789
45.000000,0.000000,1934.151733
46.000000,0.000000,1985.441956
47.000000,0.000000,2037.378459
48.000000,0.000000,2089.961241
49.000000,0.000000,2141.134957
50.000000,0.000000,2191.566223
51.000000,0.000000,2242.555999
52.000000,0.000000,2294.104287
53.000000,0.000000,2346.211085
54.000000,0.000000,2398.876393
55.000000,0.000000,2452.100213
56.000000,0.000000,2505.882544
57.000000,0.000000,2558.277250
58.000000,0.000000,2610.650572
59.000000,0.000000,2663.524918
60.000000,0.000000,2716.900289
61.000000,0.000000,2770.776686
62.000000,0.000000,2825.154107
63.000000,0.000000,2880.032553
64.000000,0.000000,2934.955838
65.000000,0.000000,2989.858828
66.000000,0.000000,3045.236715
67.000000,0.000000,3101.089499
68.000000,0.000000,3157.417179
69.000000,0.000000,3214.219757
70.000000,0.000000,3271.497232
71.000000,0.000000,3328.920573
72.000000,0.000000,3386.686670
73.000000,0.000000,3444.909889
74.000000,0.000000,3503.590231
75.000000,0.000000,3562.727697
76.000000,0.000000,3622.322284
77.000000,0.000000,3684.196114
78.000000,0.000000,3748.220853
79.000000,0.000000,3812.728691
80.000000,0.000000,3877.719628
81.000000,0.000000,3943.193665
82.000000,0.000000,4009.534729
83.000000,0.000000,4077.631425
84.000000,0.000000,4146.220835
85.000000,0.000000,4215.302958
86.000000,0.000000,4284.877796
87.000000,0.000000,4356.179397
88.000000,0.000000,4429.926262
89.000000,0.000000,4504.194155
90.000000,0.000000,4578.983077
91.000000,0.000000,4654.431865
92.000000,0.000000,4740.752485
93.000000,0.000000,4827.678923
94.000000,0.000000,4915.211179
95.000000,0.000000,5003.349252
96.000000,0.000000,5092.093143
97.000000,0.000000,5181.442851
98.000000,0.000000,5271.398378
99.000000,0.000000,5361.959721
100.000000,0.000000,5453.126883
31.000000,0.500000,1258.874193
32.000000,0.500000,1304.440571
33.000000,0.500000,1350.787550
34.000000,0.500000,1397.915131
35.000000,0.500000,1445.823313
36.000000,0.500000,1494.512098
37.000000,0.500000,1543.981483
38.000000,0.500000,1594.231470
39.000000,0.500000,1645.262059
40.000000,0.500000,1696.055025
41.000000,0.500000,1744.360094
42.000000,0.500000,1793.314857
43.000000,0.500000,1842.919313
44.000000,0.500000,1893.173462
45.000000,0.500000,1944.077305
46.000000,0.500000,1995.630841
47.000000,0.500000,2047.834070
48.000000,0.500000,2100.640077
49.000000,0.500000,2151.387652
50.000000,0.500000,2202.043988
51.000000,0.500000,2253.261318
52.000000,0.500000,2305.039643
53.000000,0.500000,2357.378961
54.000000,0.500000,2410.279274
55.000000,0.500000,2463.740581
56.000000,0.500000,2517.467646
57.000000,0.500000,2569.812753
58.000000,0.500000,2622.398999
59.000000,0.500000,2675.488267
60.000000,0.500000,2729.080558
61.000000,0.500000,2783.175871
62.000000,0.500000,2837.774207
63.000000,0.500000,2892.875565
64.000000,0.500000,2947.766030
65.000000,0.500000,3002.860862
66.000000,0.500000,3058.432103
67.000000,0.500000,3114.479751
68.000000,0.500000,3171.003806
69.000000,0.500000,3228.004269
70.000000,0.500000,3285.423412
71.000000,0.500000,3342.954900
72.000000,0.500000,3400.887068
73.000000,0.500000,3459.277398
74.000000,0.500000,3518.125891
75.000000,0.500000,3577.432545
76.000000,0.500000,3637.229983
77.000000,0.500000,3700.051048
78.000000,0.500000,3764.190206
79.000000,0.500000,3828.812796
80.000000,0.500000,3893.918817
81.000000,0.500000,3959.508270
82.000000,0.500000,4026.345835
83.000000,0.500000,4094.527297
84.000000,0.500000,4163.201477
85.000000,0.500000,4232.368376
86.000000,0.500000,4302.027992
87.000000,0.500000,4374.236191
88.000000,0.500000,4448.149330
89.000000,0.500000,4522.584148
90.000000,0.500000,4597.540648
91.000000,0.500000,4675.600391
92.000000,0.500000,4761.970099
93.000000,0.500000,4848.945039
94.000000,0.500000,4936.525209
95.000000,0.500000,5024.710610
96.000000,0.500000,5113.501241
97.000000,0.500000,5202.897104
98.000000,0.500000,5292.898197
99.000000,0.500000,5383.504521
100.000000,0.500000,5474.716075
31.000000,1.000000,1266.106534
32.000000,1.000000,1311.906005
33.000000,1.000000,1358.489836
34.000000,1.000000,1405.858026
35.000000,1.000000,1454.010576
36.000000,1.000000,1502.947486
37.000000,1.000000,1552.668756
38.000000,1.000000,1603.174386
39.000000,1.000000,1654.464375
40.000000,1.000000,1704.736161
