weight_g,415.000000
thrust_N,velocity_m_s,power_W
32.000000,0.000000,704.133730
33.000000,0.000000,733.390452
34.000000,0.000000,763.193015
35.000000,0.000000,793.541418
36.000000,0.000000,824.435662
37.000000,0.000000,855.875746
38.000000,0.000000,887.861671
39.000000,0.000000,920.393435
40.000000,0.000000,953.471041
41.000000,0.000000,985.983765
42.000000,0.000000,1018.199823
43.000000,0.000000,1050.885853
44.000000,0.000000,1084.041857
45.000000,0.000000,1117.667833
46.000000,0.000000,1151.763783
47.000000,0.000000,1186.329705
48.000000,0.000000,1221.365600
49.000000,0.000000,1256.746844
50.000000,0.000000,1291.355599
51.000000,0.000000,1326.388128
52.000000,0.000000,1361.844433
53.000000,0.000000,1397.724513
54.000000,0.000000,1434.028369
55.000000,0.000000,1470.756000
56.000000,0.000000,1507.907406
57.000000,0.000000,1545.231819
58.000000,0.000000,1582.177582
59.000000,0.000000,1619.513196
60.000000,0.000000,1657.238659
61.000000,0.000000,1695.353971
62.000000,0.000000,1733.859133
63.000000,0.000000,1772.754144
64.000000,0.000000,1812.039005
65.000000,0.000000,1851.011624
66.000000,0.000000,1890.272014
67.000000,0.000000,1929.900157
68.000000,0.000000,1969.896054
69.000000,0.000000,2010.259705
70.000000,0.000000,2050.991110
71.000000,0.000000,2092.090270
72.000000,0.000000,2132.885612
73.000000,0.000000,2173.995864
74.000000,0.000000,2215.455853
75.000000,0.000000,2257.265576
76.000000,0.000000,2299.425035
77.000000,0.000000,2341.934228
78.000000,0.000000,2385.029810
79.000000,0.000000,2428.960898
80.000000,0.000000,2473.236579
81.000000,0.000000,2517.856854
82.000000,0.000000,2562.821722
83.000000,0.000000,2608.131184
84.000000,0.000000,2653.814282
85.000000,0.000000,2699.953408
86.000000,0.000000,2746.435694
87.000000,0.000000,2793.261141
88.000000,0.000000,2840.429748
89.000000,0.000000,2887.941516
90.000000,0.000000,2937.331150
91.000000,0.000000,2989.538198
92.000000,0.000000,3042.117675
93.000000,0.000000,3095.069581
94.000000,0.000000,3148.393915
95.000000,0.000000,3202.519600
96.000000,0.000000,3258.118177
97.000000,0.000000,3314.098720
98.000000,0.000000,3370.461228
99.000000,0.000000,3427.205701
100.000000,0.000000,3484.332140
32.000000,0.500000,709.033994
33.000000,0.500000,738.460617
34.000000,0.500000,768.435949
35.000000,0.500000,798.959992
36.000000,0.500000,830.032745
37.000000,0.500000,861.654207
38.000000,0.500000,893.824380
39.000000,0.500000,926.543262
40.000000,0.500000,959.810855
41.000000,0.500000,992.135602
42.000000,0.500000,1024.515943
43.000000,0.500000,1057.368398
44.000000,0.500000,1090.692966
45.000000,0.500000,1124.489647
46.000000,0.500000,1158.758441
47.000000,0.500000,1193.499348
48.000000,0.500000,1228.712368
49.000000,0.500000,1263.986627
50.000000,0.500000,1298.758680
51.000000,0.500000,1333.956312
52.000000,0.500000,1369.579524
53.000000,0.500000,1405.628315
54.000000,0.500000,1442.102684
55.000000,0.500000,1479.002633
56.000000,0.500000,1516.328161
57.000000,0.500000,1553.575786
58.000000,0.500000,1590.665341
59.000000,0.500000,1628.146012
60.000000,0.500000,1666.017798
61.000000,0.500000,1704.280700
62.000000,0.500000,1742.934717
63.000000,0.500000,1781.979850
64.000000,0.500000,1821.274848
65.000000,0.500000,1860.359342
66.000000,0.500000,1899.772711
67.000000,0.500000,1939.555082
68.000000,0.500000,1979.706453
69.000000,0.500000,2020.226826
70.000000,0.500000,2061.116201
71.000000,0.500000,2102.223475
72.000000,0.500000,2143.167916
73.000000,0.500000,2184.445964
74.000000,0.500000,2226.075086
75.000000,0.500000,2268.055282
76.000000,0.500000,2310.386552
77.000000,0.500000,2353.068897
78.000000,0.500000,2396.484714
79.000000,0.500000,2440.539235
80.000000,0.500000,2484.939026
81.000000,0.500000,2529.684087
82.000000,0.500000,2574.774419
83.000000,0.500000,2620.210020
84.000000,0.500000,2666.048653
85.000000,0.500000,2712.303163
86.000000,0.500000,2758.901403
87.000000,0.500000,2805.843372
88.000000,0.500000,2853.129069
89.000000,0.500000,2900.758496
90.000000,0.500000,2951.318223
91.000000,0.500000,3003.635890
92.000000,0.500000,3056.326320
93.000000,0.500000,3109.389513
94.000000,0.500000,3162.825468
95.000000,0.500000,3217.436263
96.000000,0.500000,3273.106671
97.000000,0.500000,3329.159058
98.000000,0.500000,3385.593424
99.000000,0.500000,3442.409770
100.000000,0.500000,3499.608095
31.000000,1.000000,684.904388
32.000000,1.000000,713.949811
33.000000,1.000000,743.546822
34.000000,1.000000,773.695419
35.000000,1.000000,804.395604
36.000000,1.000000,835.647376
37.000000,1.000000,867.450734
38.000000,1.000000,899.805680
39.000000,1.000000,932.712213
