weight_g,415.000000
thrust_N,velocity_m_s,power_W
32.000000,0.000000,654.886891
33.000000,0.000000,683.153979
34.000000,0.000000,711.960552
35.000000,0.000000,741.306611
36.000000,0.000000,771.192156
37.000000,0.000000,801.617186
38.000000,0.000000,832.581703
39.000000,0.000000,864.085705
40.000000,0.000000,896.129194
41.000000,0.000000,928.017210
42.000000,0.000000,959.655124
43.000000,0.000000,991.771503
44.000000,0.000000,1024.366347
45.000000,0.000000,1057.439655
46.000000,0.000000,1090.991428
47.000000,0.000000,1125.021667
48.000000,0.000000,1159.530370
49.000000,0.000000,1194.384483
50.000000,0.000000,1228.859341
51.000000,0.000000,1263.776104
52.000000,0.000000,1299.134771
53.000000,0.000000,1334.935342
54.000000,0.000000,1371.177817
55.000000,0.000000,1407.862196
56.000000,0.000000,1444.988479
57.000000,0.000000,1481.853805
58.000000,0.000000,1518.360698
59.000000,0.000000,1555.263658
60.000000,0.000000,1592.562683
61.000000,0.000000,1630.257774
62.000000,0.000000,1668.348930
63.000000,0.000000,1706.836153
64.000000,0.000000,1745.621329
65.000000,0.000000,1784.429163
66.000000,0.000000,1823.618943
67.000000,0.000000,1863.190670
68.000000,0.000000,1903.144344
69.000000,0.000000,1943.479965
70.000000,0.000000,1984.197532
71.000000,0.000000,2024.992815
72.000000,0.000000,2065.658750
73.000000,0.000000,2106.684425
74.000000,0.000000,2148.069841
75.000000,0.000000,2189.814997
76.000000,0.000000,2231.919894
77.000000,0.000000,2274.384531
78.000000,0.000000,2316.745543
79.000000,0.000000,2359.371616
80.000000,0.000000,2402.343680
81.000000,0.000000,2445.661734
82.000000,0.000000,2489.325777
83.000000,0.000000,2533.335811
84.000000,0.000000,2577.234955
85.000000,0.000000,2621.150563
86.000000,0.000000,2665.394011
87.000000,0.000000,2709.965297
88.000000,0.000000,2754.864423
89.000000,0.000000,2800.091388
90.000000,0.000000,2845.595864
91.000000,0.000000,2891.382441
92.000000,0.000000,2937.494582
93.000000,0.000000,2983.932286
94.000000,0.000000,3030.695554
95.000000,0.000000,3077.784386
96.000000,0.000000,3124.432743
97.000000,0.000000,3171.084321
98.000000,0.000000,3218.037199
99.000000,0.000000,3265.291376
100.000000,0.000000,3312.846853
32.000000,0.500000,659.977982
33.000000,0.500000,688.413722
34.000000,0.500000,717.391655
35.000000,0.500000,746.911780
36.000000,0.500000,776.974099
37.000000,0.500000,807.578610
38.000000,0.500000,838.725314
39.000000,0.500000,870.414211
40.000000,0.500000,902.645300
41.000000,0.500000,934.427207
42.000000,0.500000,966.240463
43.000000,0.500000,998.534476
44.000000,0.500000,1031.309245
45.000000,0.500000,1064.564772
46.000000,0.500000,1098.301056
47.000000,0.500000,1132.518097
48.000000,0.500000,1167.215895
49.000000,0.500000,1202.024307
50.000000,0.500000,1236.645955
51.000000,0.500000,1271.710916
52.000000,0.500000,1307.219191
53.000000,0.500000,1343.170779
54.000000,0.500000,1379.565681
55.000000,0.500000,1416.403897
56.000000,0.500000,1453.685427
57.000000,0.500000,1490.379762
58.000000,0.500000,1527.049559
59.000000,0.500000,1564.116872
60.000000,0.500000,1601.581702
61.000000,0.500000,1639.444049
62.000000,0.500000,1677.703912
63.000000,0.500000,1716.361291
64.000000,0.500000,1755.202261
65.000000,0.500000,1794.176797
66.000000,0.500000,1833.534629
67.000000,0.500000,1873.275757
68.000000,0.500000,1913.400182
69.000000,0.500000,1953.907904
70.000000,0.500000,1994.798922
71.000000,0.500000,2035.561595
72.000000,0.500000,2076.397934
73.000000,0.500000,2117.595366
74.000000,0.500000,2159.153893
75.000000,0.500000,2201.073513
76.000000,0.500000,2243.354227
77.000000,0.500000,2285.888177
78.000000,0.500000,2328.375495
79.000000,0.500000,2371.169317
80.000000,0.500000,2414.310240
81.000000,0.500000,2457.798264
82.000000,0.500000,2501.633389
83.000000,0.500000,2545.758680
84.000000,0.500000,2589.677648
85.000000,0.500000,2633.769496
86.000000,0.500000,2678.190404
87.000000,0.500000,2722.940372
88.000000,0.500000,2768.019401
89.000000,0.500000,2813.421011
90.000000,0.500000,2859.076276
91.000000,0.500000,2905.036316
92.000000,0.500000,2951.322935
93.000000,0.500000,2997.936132
94.000000,0.500000,3044.875908
95.000000,0.500000,3091.969837
96.000000,0.500000,3138.631240
97.000000,0.500000,3185.445355
98.000000,0.500000,3232.561706
99.000000,0.500000,3279.980294
100.000000,0.500000,3327.701118
31.000000,1.000000,637.027330
32.000000,1.000000,665.087314
33.000000,1.000000,693.692205
34.000000,1.000000,722.842003
35.000000,1.000000,752.536707
36.000000,1.000000,782.776317
37.000000,1.000000,813.560834
38.000000,1.000000,844.890258
39.000000,1.000000,876.764588
40.000000,1.000000,909.183824
41.000000,1.000000,940.857718
42.000000,1.000000,972.846793
43.000000,1.000000,1005.318922
44.000000,1.000000,1038.274106
45.000000,1.000000,1071.712344
46.000000,1.000000,1105.633638
47.000000,1.000000,1140.037985
48.000000,1.000000,1174.925388
49.000000,1.000000,1209.686776
50.000000,1.000000,1244.455523
51.000000,1.000000,1279.668996
52.000000,1.000000,1315.327193
53.000000,1.000000,1351.430115
54.000000,1.000000,1387.977762
55.000000,1.000000,1424.970134
56.000000,1.000000,1462.407231
57.000000,1.000000,1498.928583
58.000000,1.000000,1535.761635
59.000000,1.000000,1572.993656
60.000000,1.000000,1610.624647
61.000000,1.000000,1648.654608
62.000000,1.000000,1687.083539
63.000000,1.000000,1725.911440
64.000000,1.000000,1764.807757
65.000000,1.000000,1803.949339
66.000000,1.000000,1843.475570
67.000000,1.000000,1883.386450
68.000000,1.000000,1923.681978
69.000000,1.000000,1964.362155
70.000000,1.000000,2005.426980
71.000000,1.000000,2046.156013
72.000000,1.000000,2087.163117
73.000000,1.000000,2128.532669
74.000000,1.000000,2170.264672
75.000000,1.000000,2212.359123
76.000000,1.000000,2254.816024
77.000000,1.000000,2297.418960
78.000000,1.000000,2340.032632
79.000000,1.000000,2382.994518
80.000000,1.000000,2426.304617
81.000000,1.000000,2469.962930
82.000000,1.000000,2513.969456
83.000000,1.000000,2558.209969
84.000000,1.000000,2602.148129
85.000000,1.000000,2646.416572
86.000000,1.000000,2691.015299
87.000000,1.000000,2735.944310
88.000000,1.000000,2781.203603
89.000000,1.000000,2826.780181
90.000000,1.000000,2872.586401
91.000000,1.000000,2918.720216
92.000000,1.000000,2965.181625
93.000000,1.000000,3011.970630
94.000000,1.000000,3059.087230
95.000000,1.000000,3106.185474
96.000000,1.000000,3152.859239
97.000000,1.000000,3199.836180
98.000000,1.000000,3247.116296
99.000000,1.000000,3294.699588
100.000000,1.000000,3342.586055
31.000000,1.500000,642.038752
32.000000,1.500000,670.267820
33.000000,1.500000,699.044522
34.000000,1.500000,728.368856
35.000000,1.500000,758.240824
36.000000,1.500000,788.660425
37.000000,1.500000,819.627659
38.000000,1.500000,851.142527
39.000000,1.500000,883.205028
40.000000,1.500000,915.610288
41.000000,1.500000,947.375962
42.000000,1.500000,979.542717
43.000000,1.500000,1012.194842
44.000000,1.500000,1045.332339
45.000000,1.500000,1078.955207
46.000000,1.500000,1113.063446
47.000000,1.500000,1147.657055
48.000000,1.500000,1182.725855
49.000000,1.500000,1217.413418
50.000000,1.500000,1252.327466
51.000000,1.500000,1287.687549
52.000000,1.500000,1323.493669
53.000000,1.500000,1359.745824
54.000000,1.500000,1396.444016
55.000000,1.500000,1433.588243
56.000000,1.500000,1470.902513
57.000000,1.500000,1507.547564
58.000000,1.500000,1544.549389
59.000000,1.500000,1581.951776
60.000000,1.500000,1619.754727
61.000000,1.500000,1657.958241
62.000000,1.500000,1696.562317
