weight_g,360.000000
thrust_N,velocity_m_s,power_W
32.000000,0.000000,591.358214
33.000000,0.000000,617.666719
34.000000,0.000000,644.486554
35.000000,0.000000,671.817719
36.000000,0.000000,699.660215
37.000000,0.000000,728.014041
38.000000,0.000000,756.879197
39.000000,0.000000,786.255684
40.000000,0.000000,816.143501
41.000000,0.000000,845.954247
42.000000,0.000000,875.519523
43.000000,0.000000,905.538193
44.000000,0.000000,936.010257
45.000000,0.000000,966.935714
46.000000,0.000000,998.314565
47.000000,0.000000,1030.146810
48.000000,0.000000,1062.432449
49.000000,0.000000,1095.171481
50.000000,0.000000,1127.365355
51.000000,0.000000,1159.954158
52.000000,0.000000,1192.957098
53.000000,0.000000,1226.374174
54.000000,0.000000,1260.205386
55.000000,0.000000,1294.450734
56.000000,0.000000,1329.110218
57.000000,0.000000,1364.046976
58.000000,0.000000,1398.630023
59.000000,0.000000,1433.595693
60.000000,0.000000,1468.943986
61.000000,0.000000,1504.674901
62.000000,0.000000,1540.788438
63.000000,0.000000,1577.284599
64.000000,0.000000,1614.163382
65.000000,0.000000,1651.017026
66.000000,0.000000,1688.134573
67.000000,0.000000,1725.618428
68.000000,0.000000,1763.468591
69.000000,0.000000,1801.685063
70.000000,0.000000,1840.267843
71.000000,0.000000,1879.216931
72.000000,0.000000,1917.946488
73.000000,0.000000,1956.924422
74.000000,0.000000,1996.248744
75.000000,0.000000,2035.919452
76.000000,0.000000,2075.936547
77.000000,0.000000,2116.300030
78.000000,0.000000,2156.983646
79.000000,0.000000,2197.910578
80.000000,0.000000,2239.173942
81.000000,0.000000,2280.773739
82.000000,0.000000,2322.709967
83.000000,0.000000,2364.982629
84.000000,0.000000,2407.591722
85.000000,0.000000,2450.426658
86.000000,0.000000,2493.577649
87.000000,0.000000,2537.056936
88.000000,0.000000,2580.864518
89.000000,0.000000,2625.000395
90.000000,0.000000,2669.464568
91.000000,0.000000,2715.099474
92.000000,0.000000,2761.212274
93.000000,0.000000,2807.659310
94.000000,0.000000,2854.440584
95.000000,0.000000,2901.556093
96.000000,0.000000,2949.326917
97.000000,0.000000,2998.879127
98.000000,0.000000,3048.774149
99.000000,0.000000,3099.011980
100.000000,0.000000,3149.592622
32.000000,0.500000,595.717650
33.000000,0.500000,622.174801
34.000000,0.500000,649.145818
35.000000,0.500000,676.630701
36.000000,0.500000,704.629452
37.000000,0.500000,733.142069
38.000000,0.500000,762.168552
39.000000,0.500000,791.708903
40.000000,0.500000,821.763120
41.000000,0.500000,851.483874
42.000000,0.500000,881.194604
43.000000,0.500000,911.360612
44.000000,0.500000,941.981897
45.000000,0.500000,973.058460
46.000000,0.500000,1004.590301
47.000000,0.500000,1036.577419
48.000000,0.500000,1069.019815
49.000000,0.500000,1101.721075
50.000000,0.500000,1134.053080
51.000000,0.500000,1166.791222
52.000000,0.500000,1199.945144
53.000000,0.500000,1233.514845
54.000000,0.500000,1267.500326
55.000000,0.500000,1301.901586
56.000000,0.500000,1336.718625
57.000000,0.500000,1371.615658
58.000000,0.500000,1406.346369
59.000000,0.500000,1441.461135
60.000000,0.500000,1476.959954
