weight_g,60.000000
thrust_N,velocity_m_s,power_W
31.000000,0.000000,838.520666
32.000000,0.000000,883.025666
33.000000,0.000000,928.637166
34.000000,0.000000,975.355165
35.000000,0.000000,1023.179665
36.000000,0.000000,1072.110665
37.000000,0.000000,1122.148165
38.000000,0.000000,1173.292165
39.000000,0.000000,1225.542665
40.000000,0.000000,1278.614336
41.000000,0.000000,1332.183711
42.000000,0.000000,1386.814787
43.000000,0.000000,1442.507563
44.000000,0.000000,1499.262040
45.000000,0.000000,1557.078218
46.000000,0.000000,1615.956096
47.000000,0.000000,1675.895675
48.000000,0.000000,1736.857135
49.000000,0.000000,1798.075003
50.000000,0.000000,1860.319915
51.000000,0.000000,1923.591874
52.000000,0.000000,1987.890878
53.000000,0.000000,2053.216928
54.000000,0.000000,2119.570024
55.000000,0.000000,2186.950165
56.000000,0.000000,2255.117475
57.000000,0.000000,2323.936133
58.000000,0.000000,2393.758524
59.000000,0.000000,2464.584647
60.000000,0.000000,2536.414503
61.000000,0.000000,2609.248091
62.000000,0.000000,2683.085412
63.000000,0.000000,2757.898909
64.000000,0.000000,2833.610240
65.000000,0.000000,2910.316799
66.000000,0.000000,2988.018584
67.000000,0.000000,3066.715596
68.000000,0.000000,3146.407835
69.000000,0.000000,3227.095302
70.000000,0.000000,3308.979546
71.000000,0.000000,3392.156428
72.000000,0.000000,3476.338133
73.000000,0.000000,3561.524660
74.000000,0.000000,3647.716009
75.000000,0.000000,3734.912182
76.000000,0.000000,3823.113176
77.000000,0.000000,3917.388726
78.000000,0.000000,4012.798782
79.000000,0.000000,4109.321600
80.000000,0.000000,4206.957178
81.000000,0.000000,4305.705518
82.000000,0.000000,4405.566618
83.000000,0.000000,4506.540479
84.000000,0.000000,4608.627101
85.000000,0.000000,4711.826484
86.000000,0.000000,4816.138628
87.000000,0.000000,4921.563532
88.000000,0.000000,5036.394995
89.000000,0.000000,5164.632550
90.000000,0.000000,5294.422416
91.000000,0.000000,5425.764593
92.000000,0.000000,5558.659082
93.000000,0.000000,5693.151727
94.000000,0.000000,5829.228440
95.000000,0.000000,5966.859149
96.000000,0.000000,6106.043854
97.000000,0.000000,6246.782554
98.000000,0.000000,6392.549289
99.000000,0.000000,6540.104108
100.000000,0.000000,6689.290527
31.000000,0.500000,845.532866
32.000000,0.500000,890.312823
33.000000,0.500000,936.204269
34.000000,0.500000,983.207204
35.000000,0.500000,1031.321629
36.000000,0.500000,1080.547543
37.000000,0.500000,1130.884947
38.000000,0.500000,1182.333840
39.000000,0.500000,1234.894222
40.000000,0.500000,1288.139707
41.000000,0.500000,1342.027211
42.000000,0.500000,1396.981517
43.000000,0.500000,1453.002623
44.000000,0.500000,1510.090530
45.000000,0.500000,1568.245237
46.000000,0.500000,1627.466746
47.000000,0.500000,1687.755055
48.000000,0.500000,1748.897639
49.000000,0.500000,1810.417022
50.000000,0.500000,1872.966840
51.000000,0.500000,1936.547092
52.000000,0.500000,2001.157780
53.000000,0.500000,2066.798902
54.000000,0.500000,2133.470459
55.000000,0.500000,2201.172451
56.000000,0.500000,2269.594129
57.000000,0.500000,2338.797847
58.000000,0.500000,2409.010267
59.000000,0.500000,2480.231387
60.000000,0.500000,2552.461208
61.000000,0.500000,2625.699729
62.000000,0.500000,2699.946951
63.000000,0.500000,2775.114264
64.000000,0.500000,2851.189007
65.000000,0.500000,2928.262618
66.000000,0.500000,3006.335099
67.000000,0.500000,3085.406448
68.000000,0.500000,3165.476665
69.000000,0.500000,3246.545752
70.000000,0.500000,3328.848249
71.000000,0.500000,3412.324586
72.000000,0.500000,3496.807294
73.000000,0.500000,3582.296372
74.000000,0.500000,3668.791820
75.000000,0.500000,3756.293638
76.000000,0.500000,3845.914926
77.000000,0.500000,3940.497349
78.000000,0.500000,4036.204134
79.000000,0.500000,4133.024382
80.000000,0.500000,4230.958092
81.000000,0.500000,4330.005264
82.000000,0.500000,4430.165898
83.000000,0.500000,4531.439995
84.000000,0.500000,4633.827553
85.000000,0.500000,4737.328574
86.000000,0.500000,4841.943057
87.000000,0.500000,4947.671002
88.000000,0.500000,5067.126995
89.000000,0.500000,5195.362325
90.000000,0.500000,5325.141411
91.000000,0.500000,5456.464254
92.000000,0.500000,5589.343193
93.000000,0.500000,5724.113184
94.000000,0.500000,5860.450248
95.000000,0.500000,5998.339308
96.000000,0.500000,6137.780366
97.000000,0.500000,6279.329157
98.000000,0.500000,6425.072247
99.000000,0.500000,6572.515366
100.000000,0.500000,6721.580085
31.000000,1.000000,852.571754
32.000000,1.000000,897.627450
33.000000,1.000000,943.799636
