weight_g,305.000000
thrust_N,velocity_m_s,power_W
31.000000,0.000000,601.557979
32.000000,0.000000,628.746509
33.000000,0.000000,656.474075
34.000000,0.000000,684.740677
35.000000,0.000000,713.546315
36.000000,0.000000,742.890990
37.000000,0.000000,772.774701
38.000000,0.000000,803.197449
39.000000,0.000000,834.159232
40.000000,0.000000,865.254670
41.000000,0.000000,896.028626
42.000000,0.000000,927.284629
43.000000,0.000000,959.022678
44.000000,0.000000,991.242774
45.000000,0.000000,1023.944916
46.000000,0.000000,1057.129105
47.000000,0.000000,1090.795341
48.000000,0.000000,1124.893109
49.000000,0.000000,1158.453348
50.000000,0.000000,1192.455475
51.000000,0.000000,1226.899491
52.000000,0.000000,1261.785395
53.000000,0.000000,1297.113188
54.000000,0.000000,1332.882869
55.000000,0.000000,1369.094438
56.000000,0.000000,1405.371186
57.000000,0.000000,1441.502679
58.000000,0.000000,1478.043538
59.000000,0.000000,1514.993762
60.000000,0.000000,1552.353352
61.000000,0.000000,1590.122308
62.000000,0.000000,1628.300630
63.000000,0.000000,1666.735355
64.000000,0.000000,1705.005300
65.000000,0.000000,1743.659911
66.000000,0.000000,1782.699188
67.000000,0.000000,1822.123131
68.000000,0.000000,1861.931739
69.000000,0.000000,1902.125014
70.000000,0.000000,1942.664113
71.000000,0.000000,1983.527266
72.000000,0.000000,2024.768555
73.000000,0.000000,2066.387982
74.000000,0.000000,2108.385547
75.000000,0.000000,2150.761248
76.000000,0.000000,2193.515086
77.000000,0.000000,2237.725099
78.000000,0.000000,2282.318006
79.000000,0.000000,2327.289135
80.000000,0.000000,2372.638486
81.000000,0.000000,2418.366057
82.000000,0.000000,2464.471851
83.000000,0.000000,2510.955865
84.000000,0.000000,2557.818101
85.000000,0.000000,2605.058559
86.000000,0.000000,2652.677238
87.000000,0.000000,2700.674138
88.000000,0.000000,2751.619630
89.000000,0.000000,2806.697956
90.000000,0.000000,2862.212272
91.000000,0.000000,2918.162576
92.000000,0.000000,2974.548871
93.000000,0.000000,3031.384856
94.000000,0.000000,3088.666070
95.000000,0.000000,3146.383462
96.000000,0.000000,3204.537034
97.000000,0.000000,3263.126783
98.000000,0.000000,3323.256812
99.000000,0.000000,3383.884683
100.000000,0.000000,3444.960380
31.000000,0.500000,605.496787
32.000000,0.500000,632.819691
33.000000,0.500000,660.684004
34.000000,0.500000,689.089725
35.000000,0.500000,718.036854
36.000000,0.500000,747.525392
37.000000,0.500000,777.555338
38.000000,0.500000,808.126692
39.000000,0.500000,839.239455
40.000000,0.500000,870.283034
41.000000,0.500000,901.203493
42.000000,0.500000,932.608207
43.000000,0.500000,964.497174
44.000000,0.500000,996.870397
45.000000,0.500000,1029.727873
46.000000,0.500000,1063.069604
47.000000,0.500000,1096.895590
48.000000,0.500000,1130.952627
49.000000,0.500000,1164.645462
50.000000,0.500000,1198.781754
51.000000,0.500000,1233.361502
52.000000,0.500000,1268.384707
53.000000,0.500000,1303.851369
54.000000,0.500000,1339.761487
55.000000,0.500000,1376.115061
56.000000,0.500000,1412.362516
57.000000,0.500000,1448.648151
58.000000,0.500000,1485.344749
59.000000,0.500000,1522.452310
60.000000,0.500000,1559.970833
61.000000,0.500000,1597.900319
62.000000,0.500000,1636.240768
63.000000,0.500000,1674.680454
64.000000,0.500000,1713.096526
65.000000,0.500000,1751.898737
66.000000,0.500000,1791.087087
67.000000,0.500000,1830.661577
68.000000,0.500000,1870.622207
69.000000,0.500000,1910.968976
70.000000,0.500000,1951.611476
71.000000,0.500000,1992.593555
72.000000,0.500000,2033.954704
73.000000,0.500000,2075.694923
74.000000,0.500000,2117.814212
75.000000,0.500000,2160.312571
76.000000,0.500000,2203.420057
77.000000,0.500000,2247.728902
78.000000,0.500000,2292.418673
79.000000,0.500000,2337.487037
80.000000,0.500000,2382.933994
81.000000,0.500000,2428.759545
82.000000,0.500000,2474.963688
83.000000,0.500000,2521.546424
84.000000,0.500000,2568.507753
85.000000,0.500000,2615.847675
86.000000,0.500000,2663.566190
87.000000,0.500000,2711.663298
88.000000,0.500000,2764.034441
89.000000,0.500000,2819.091797
90.000000,0.500000,2874.584259
91.000000,0.500000,2930.511828
92.000000,0.500000,2986.878200
93.000000,0.500000,3043.782976
94.000000,0.500000,3101.128308
95.000000,0.500000,3158.909667
96.000000,0.500000,3217.127052
97.000000,0.500000,3275.957647
98.000000,0.500000,3336.060514
99.000000,0.500000,3396.634895
100.000000,0.500000,3457.655762
31.000000,1.000000,609.444947
32.000000,1.000000,636.902546
33.000000,1.000000,664.903931
34.000000,1.000000,693.449102
35.000000,1.000000,722.538059
36.000000,1.000000,752.170802
37.000000,1.000000,782.347330
38.000000,1.000000,813.067644
39.000000,1.000000,844.331744
40.000000,1.000000,875.322044
41.000000,1.000000,906.389340
42.000000,1.000000,937.943103
43.000000,1.000000,969.983333
44.000000,1.000000,1002.510031
45.000000,1.000000,1035.523195
46.000000,1.000000,1069.022827
47.000000,1.000000,1103.008926
48.000000,1.000000,1137.024052
49.000000,1.000000,1170.849756
50.000000,1.000000,1205.120487
51.000000,1.000000,1239.836246
52.000000,1.000000,1274.997032
53.000000,1.000000,1310.602846
54.000000,1.000000,1346.653687
55.000000,1.000000,1383.149556
56.000000,1.000000,1419.366586
57.000000,1.000000,1455.806628
58.000000,1.000000,1492.659233
59.000000,1.000000,1529.924399
60.000000,1.000000,1567.602129
61.000000,1.000000,1605.692420
62.000000,1.000000,1644.195273
63.000000,1.000000,1682.638911
64.000000,1.000000,1721.201398
