weight_g,610.000000
thrust_N,velocity_m_s,power_W
31.000000,0.000000,1089.695822
32.000000,0.000000,1130.789662
33.000000,0.000000,1172.609797
34.000000,0.000000,1215.156226
35.000000,0.000000,1258.428949
36.000000,0.000000,1302.427967
37.000000,0.000000,1347.153278
38.000000,0.000000,1392.604884
39.000000,0.000000,1438.782784
40.000000,0.000000,1484.664996
41.000000,0.000000,1529.131333
42.000000,0.000000,1574.221228
43.000000,0.000000,1619.934682
44.000000,0.000000,1666.271695
45.000000,0.000000,1713.232266
46.000000,0.000000,1760.816395
47.000000,0.000000,1809.024083
48.000000,0.000000,1857.737283
49.000000,0.000000,1904.704695
50.000000,0.000000,1952.227242
51.000000,0.000000,2000.304923
52.000000,0.000000,2048.937739
53.000000,0.000000,2098.125689
54.000000,0.000000,2147.868773
55.000000,0.000000,2198.166992
56.000000,0.000000,2248.124051
57.000000,0.000000,2297.255018
58.000000,0.000000,2346.886230
59.000000,0.000000,2397.017686
60.000000,0.000000,2447.649387
61.000000,0.000000,2498.781332
62.000000,0.000000,2550.413521
63.000000,0.000000,2602.141746
64.000000,0.000000,2652.866844
65.000000,0.000000,2704.049687
66.000000,0.000000,2755.690275
67.000000,0.000000,2807.788609
68.000000,0.000000,2860.344688
69.000000,0.000000,2913.358512
70.000000,0.000000,2966.590879
71.000000,0.000000,3019.926538
72.000000,0.000000,3073.706453
73.000000,0.000000,3127.930624
74.000000,0.000000,3182.599052
75.000000,0.000000,3237.711736
76.000000,0.000000,3293.268676
77.000000,0.000000,3348.910101
78.000000,0.000000,3404.974096
79.000000,0.000000,3461.462178
80.000000,0.000000,3518.374346
81.000000,0.000000,3575.710600
82.000000,0.000000,3633.470941
83.000000,0.000000,3691.655368
84.000000,0.000000,3750.263882
85.000000,0.000000,3809.296482
86.000000,0.000000,3868.753169
87.000000,0.000000,3928.633942
88.000000,0.000000,3990.713619
89.000000,0.000000,4055.800513
90.000000,0.000000,4121.338044
91.000000,0.000000,4187.326212
92.000000,0.000000,4253.765016
93.000000,0.000000,4320.663830
94.000000,0.000000,4388.019559
95.000000,0.000000,4455.825998
96.000000,0.000000,4524.083148
97.000000,0.000000,4592.791008
98.000000,0.000000,4662.861545
99.000000,0.000000,4733.431920
100.000000,0.000000,4804.460782
31.000000,0.500000,1094.934886
32.000000,0.500000,1136.208831
33.000000,0.500000,1178.212219
34.000000,0.500000,1220.945049
35.000000,0.500000,1264.407323
36.000000,0.500000,1308.599040
37.000000,0.500000,1353.520200
38.000000,0.500000,1399.170803
39.000000,0.500000,1445.550849
40.000000,0.500000,1491.119919
41.000000,0.500000,1535.774594
42.000000,0.500000,1581.055607
43.000000,0.500000,1626.962955
44.000000,0.500000,1673.496640
45.000000,0.500000,1720.656662
46.000000,0.500000,1768.443021
47.000000,0.500000,1816.855716
48.000000,0.500000,1865.315512
49.000000,0.500000,1912.454346
50.000000,0.500000,1960.150358
51.000000,0.500000,2008.403547
52.000000,0.500000,2057.213914
53.000000,0.500000,2106.581458
54.000000,0.500000,2156.506181
55.000000,0.500000,2206.988081
56.000000,0.500000,2256.689950
57.000000,0.500000,2305.995244
58.000000,0.500000,2355.802469
59.000000,0.500000,2406.111626
60.000000,0.500000,2456.922713
61.000000,0.500000,2508.235732
62.000000,0.500000,2560.050682
63.000000,0.500000,2611.568974
64.000000,0.500000,2662.473214
65.000000,0.500000,2713.836991
66.000000,0.500000,2765.660305
67.000000,0.500000,2817.943156
68.000000,0.500000,2870.685544
69.000000,0.500000,2923.887468
70.000000,0.500000,2977.150864
71.000000,0.500000,3030.640533
72.000000,0.500000,3084.575751
73.000000,0.500000,3138.956516
74.000000,0.500000,3193.782829
75.000000,0.500000,3249.054690
76.000000,0.500000,3304.672502
77.000000,0.500000,3360.423556
78.000000,0.500000,3416.598414
79.000000,0.500000,3473.197842
80.000000,0.500000,3530.221839
81.000000,0.500000,3587.670405
82.000000,0.500000,3645.543541
83.000000,0.500000,3703.841246
84.000000,0.500000,3762.563521
85.000000,0.500000,3821.710365
86.000000,0.500000,3881.281778
87.000000,0.500000,3941.277761
88.000000,0.500000,4004.375524
89.000000,0.500000,4069.477946
90.000000,0.500000,4135.030744
91.000000,0.500000,4201.033919
92.000000,0.500000,4267.489986
93.000000,0.500000,4334.466638
94.000000,0.500000,4401.897122
95.000000,0.500000,4469.778335
96.000000,0.500000,4538.110277
97.000000,0.500000,4607.039140
98.000000,0.500000,4677.108576
99.000000,0.500000,4747.656409
100.000000,0.500000,4818.661950
31.000000,1.000000,1100.184579
32.000000,1.000000,1141.639017
33.000000,1.000000,1183.826054
34.000000,1.000000,1226.745690
35.000000,1.000000,1270.397924
36.000000,1.000000,1314.782757
37.000000,1.000000,1359.900188
38.000000,1.000000,1405.750218
39.000000,1.000000,1452.332847
40.000000,1.000000,1497.586556
41.000000,1.000000,1542.429957
42.000000,1.000000,1587.902478
43.000000,1.000000,1634.004120
44.000000,1.000000,1680.734884
45.000000,1.000000,1728.094768
46.000000,1.000000,1776.083772
47.000000,1.000000,1824.701898
48.000000,1.000000,1872.906519
49.000000,1.000000,1920.217098
50.000000,1.000000,1968.086901
51.000000,1.000000,2016.515929
52.000000,1.000000,2065.504182
53.000000,1.000000,2115.051660
54.000000,1.000000,2165.158362
55.000000,1.000000,2215.824289
56.000000,1.000000,2265.269256
57.000000,1.000000,2314.749138
58.000000,1.000000,2364.732642
59.000000,1.000000,2415.219765
60.000000,1.000000,2466.210509
61.000000,1.000000,2517.704874
62.000000,1.000000,2569.702859
63.000000,1.000000,2621.009701
64.000000,1.000000,2672.093405
65.000000,1.000000,2723.638440
66.000000,1.000000,2775.644808
67.000000,1.000000,2828.112507
68.000000,1.000000,2881.041538
69.000000,1.000000,2934.431902
70.000000,1.000000,2987.725913
71.000000,1.000000,3041.369858
72.000000,1.000000,3095.460643
73.000000,1.000000,3149.998269
74.000000,1.000000,3204.982736
75.000000,1.000000,3260.414044
76.000000,1.000000,3316.091585
77.000000,1.000000,3371.952355
78.000000,1.000000,3428.238177
79.000000,1.000000,3484.949052
80.000000,1.000000,3542.084979
81.000000,1.000000,3599.645960
82.000000,1.000000,3657.631992
83.000000,1.000000,3716.043078
84.000000,1.000000,3774.879216
85.000000,1.000000,3834.140407
86.000000,1.000000,3893.826650
87.000000,1.000000,3953.937946
88.000000,1.000000,4018.054127
89.000000,1.000000,4083.172099
90.000000,1.000000,4148.740182
91.000000,1.000000,4214.758377
92.000000,1.000000,4281.231717
93.000000,1.000000,4348.286226
94.000000,1.000000,4415.791484
95.000000,1.000000,4483.747488
96.000000,1.000000,4552.154240
97.000000,1.000000,4621.304305
98.000000,1.000000,4691.372560
99.000000,1.000000,4761.897742
100.000000,1.000000,4832.879850
31.000000,1.500000,1105.483887
32.000000,1.500000,1147.120078
33.000000,1.500000,1189.492039
34.000000,1.500000,1232.599768
35.000000,1.500000,1276.443267
36.000000,1.500000,1321.022535
37.000000,1.500000,1366.337572
38.000000,1.500000,1412.388379
39.000000,1.500000,1459.174954
40.000000,1.500000,1504.112927
41.000000,1.500000,1549.147715
42.000000,1.500000,1594.814456
43.000000,1.500000,1641.113148
44.000000,1.500000,1688.043792
45.000000,1.500000,1735.606387
46.000000,1.500000,1783.800934
47.000000,1.500000,1832.627433
48.000000,1.500000,1880.557406
49.000000,1.500000,1928.040135
50.000000,1.500000,1976.084131
51.000000,1.500000,2024.689397
52.000000,1.500000,2073.855930
53.000000,1.500000,2123.583732
54.000000,1.500000,2173.872803
55.000000,1.500000,2224.524672
56.000000,1.500000,2273.909806
57.000000,1.500000,2323.565364
58.000000,1.500000,2373.726241
59.000000,1.500000,2424.392437
60.000000,1.500000,2475.563952
61.000000,1.500000,2527.240786
62.000000,1.500000,2579.376162
63.000000,1.500000,2630.521602
64.000000,1.500000,2681.787174
65.000000,1.500000,2733.515900
66.000000,1.500000,2785.707781
67.000000,1.500000,2838.362815
68.000000,1.500000,2891.481004
69.000000,1.500000,2944.958181
70.000000,1.500000,2998.359755
71.000000,1.500000,3052.160922
72.000000,1.500000,3106.410258
73.000000,1.500000,3161.107761
74.000000,1.500000,3216.253434
75.000000,1.500000,3271.847274
76.000000,1.500000,3327.542255
77.000000,1.500000,3383.513844
78.000000,1.500000,3439.910971
79.000000,1.500000,3496.733636
80.000000,1.500000,3553.981838
81.000000,1.500000,3611.655577
82.000000,1.500000,3669.754854
83.000000,1.500000,3728.279669
84.000000,1.500000,3787.230022
85.000000,1.500000,3846.605912
86.000000,1.500000,3906.407340
87.000000,1.500000,3967.267318
88.000000,1.500000,4031.678046
89.000000,1.500000,4096.814499
90.000000,1.500000,4162.400826
91.000000,1.500000,4228.437027
92.000000,1.500000,4294.984676
93.000000,1.500000,4362.113931
94.000000,1.500000,4429.693952
95.000000,1.500000,4497.724738
96.000000,1.500000,4566.206290
97.000000,1.500000,4635.516695
98.000000,1.500000,4705.565403
99.000000,1.500000,4776.070283
100.000000,1.500000,4847.031333
