weight_g,219.000000
thrust_N,velocity_m_s,power_W
31.000000,0.000000,794.452214
32.000000,0.000000,827.029271
33.000000,0.000000,860.213949
34.000000,0.000000,894.006248
35.000000,0.000000,928.406169
36.000000,0.000000,963.413711
37.000000,0.000000,999.028875
38.000000,0.000000,1035.251660
39.000000,0.000000,1072.082067
40.000000,0.000000,1108.866646
41.000000,0.000000,1144.882593
42.000000,0.000000,1181.430608
43.000000,0.000000,1218.510689
44.000000,0.000000,1256.122837
45.000000,0.000000,1294.267053
46.000000,0.000000,1332.943335
47.000000,0.000000,1372.151684
48.000000,0.000000,1411.814425
49.000000,0.000000,1450.446748
50.000000,0.000000,1489.559516
51.000000,0.000000,1529.152729
52.000000,0.000000,1569.226387
53.000000,0.000000,1609.780491
54.000000,0.000000,1650.815040
55.000000,0.000000,1692.330035
56.000000,0.000000,1733.739076
57.000000,0.000000,1774.720870
58.000000,0.000000,1816.141444
59.000000,0.000000,1858.000798
60.000000,0.000000,1900.298932
61.000000,0.000000,1943.035845
62.000000,0.000000,1986.211539
63.000000,0.000000,2029.570942
64.000000,0.000000,2072.417242
65.000000,0.000000,2115.670227
66.000000,0.000000,2159.329897
67.000000,0.000000,2203.396250
68.000000,0.000000,2247.869288
69.000000,0.000000,2292.749011
70.000000,0.000000,2337.913522
71.000000,0.000000,2383.302209
72.000000,0.000000,2429.088035
73.000000,0.000000,2475.271000
74.000000,0.000000,2521.851104
75.000000,0.000000,2568.828346
76.000000,0.000000,2616.202728
77.000000,0.000000,2664.430076
78.000000,0.000000,2713.047086
79.000000,0.000000,2762.051762
80.000000,0.000000,2811.444105
81.000000,0.000000,2861.224113
82.000000,0.000000,2911.391788
83.000000,0.000000,2961.947128
84.000000,0.000000,3012.890135
85.000000,0.000000,3064.220807
86.000000,0.000000,3115.939146
87.000000,0.000000,3168.045151
88.000000,0.000000,3222.723728
89.000000,0.000000,3280.975282
90.000000,0.000000,3339.654745
91.000000,0.000000,3398.762116
92.000000,0.000000,3458.297395
93.000000,0.000000,3518.272172
94.000000,0.000000,3578.682644
95.000000,0.000000,3639.521147
96.000000,0.000000,3700.787682
97.000000,0.000000,3762.482248
98.000000,0.000000,3825.603976
99.000000,0.000000,3889.208255
100.000000,0.000000,3953.249796
31.000000,0.500000,798.880312
32.000000,0.500000,831.608475
33.000000,0.500000,864.946913
34.000000,0.500000,898.895627
35.000000,0.500000,933.454615
36.000000,0.500000,968.623878
37.000000,0.500000,1004.403416
38.000000,0.500000,1040.793228
39.000000,0.500000,1077.793316
40.000000,0.500000,1114.418961
41.000000,0.500000,1150.596213
42.000000,0.500000,1187.307934
43.000000,0.500000,1224.554125
44.000000,0.500000,1262.334785
45.000000,0.500000,1300.649915
46.000000,0.500000,1339.499514
47.000000,0.500000,1378.883583
48.000000,0.500000,1418.417907
49.000000,0.500000,1457.196412
50.000000,0.500000,1496.457099
51.000000,0.500000,1536.199970
52.000000,0.500000,1576.425023
53.000000,0.500000,1617.132260
54.000000,0.500000,1658.321679
55.000000,0.500000,1699.993281
56.000000,0.500000,1741.279273
57.000000,0.500000,1782.420616
58.000000,0.500000,1824.002331
59.000000,0.500000,1866.024417
60.000000,0.500000,1908.486875
61.000000,0.500000,1951.389705
62.000000,0.500000,1994.732906
63.000000,0.500000,2038.007107
64.000000,0.500000,2081.010190
65.000000,0.500000,2124.421532
66.000000,0.500000,2168.241135
67.000000,0.500000,2212.468997
68.000000,0.500000,2257.105119
69.000000,0.500000,2302.149501
70.000000,0.500000,2347.384697
71.000000,0.500000,2392.904190
72.000000,0.500000,2438.821892
73.000000,0.500000,2485.137804
74.000000,0.500000,2531.851925
75.000000,0.500000,2578.964255
76.000000,0.500000,2626.562576
77.000000,0.500000,2674.890525
78.000000,0.500000,2723.607546
79.000000,0.500000,2772.712646
80.000000,0.500000,2822.205825
81.000000,0.500000,2872.087082
82.000000,0.500000,2922.356418
83.000000,0.500000,2973.013833
84.000000,0.500000,3024.059326
85.000000,0.500000,3075.492899
86.000000,0.500000,3127.314549
87.000000,0.500000,3179.524279
88.000000,0.500000,3235.427733
89.000000,0.500000,3293.672445
90.000000,0.500000,3352.344534
91.000000,0.500000,3411.444001
92.000000,0.500000,3470.973966
93.000000,0.500000,3531.018475
94.000000,0.500000,3591.494789
95.000000,0.500000,3652.399077
96.000000,0.500000,3713.731337
97.000000,0.500000,3775.651870
98.000000,0.500000,3838.756611
99.000000,0.500000,3902.320274
100.000000,0.500000,3966.320197
31.000000,1.000000,803.318063
32.000000,1.000000,836.197676
33.000000,1.000000,869.690223
34.000000,1.000000,903.795705
35.000000,1.000000,938.514120
36.000000,1.000000,973.845470
37.000000,1.000000,1009.789754
38.000000,1.000000,1046.346972
39.000000,1.000000,1083.517124
40.000000,1.000000,1119.982081
41.000000,1.000000,1156.320985
42.000000,1.000000,1193.196766
43.000000,1.000000,1230.609425
44.000000,1.000000,1268.558961
45.000000,1.000000,1307.045375
46.000000,1.000000,1346.068667
47.000000,1.000000,1385.628836
48.000000,1.000000,1425.033315
49.000000,1.000000,1463.958289
50.000000,1.000000,1503.367187
51.000000,1.000000,1543.260009
52.000000,1.000000,1583.636755
53.000000,1.000000,1624.497424
54.000000,1.000000,1665.842018
55.000000,1.000000,1707.670535
56.000000,1.000000,1748.832097
57.000000,1.000000,1790.133242
58.000000,1.000000,1831.876354
59.000000,1.000000,1874.061431
60.000000,1.000000,1916.688475
61.000000,1.000000,1959.757484
62.000000,1.000000,2003.268459
63.000000,1.000000,2046.456222
64.000000,1.000000,2089.616382
65.000000,1.000000,2133.186381
66.000000,1.000000,2177.166218
67.000000,1.000000,2221.555894
68.000000,1.000000,2266.355408
69.000000,1.000000,2311.564760
70.000000,1.000000,2356.870328
71.000000,1.000000,2402.520859
72.000000,1.000000,2448.570672
73.000000,1.000000,2495.019765
74.000000,1.000000,2541.868139
75.000000,1.000000,2589.115794
76.000000,1.000000,2636.937290
77.000000,1.000000,2685.365921
78.000000,1.000000,2734.183044
79.000000,1.000000,2783.388659
80.000000,1.000000,2832.982765
81.000000,1.000000,2882.965363
82.000000,1.000000,2933.336452
83.000000,1.000000,2984.096033
84.000000,1.000000,3035.244105
85.000000,1.000000,3086.780669
86.000000,1.000000,3138.705725
87.000000,1.000000,3191.019272
88.000000,1.000000,3248.148500
89.000000,1.000000,3306.386340
90.000000,1.000000,3365.051021
91.000000,1.000000,3424.142543
92.000000,1.000000,3483.667153
93.000000,1.000000,3543.781400
94.000000,1.000000,3604.323562
95.000000,1.000000,3665.293637
96.000000,1.000000,3726.691627
97.000000,1.000000,3788.838358
98.000000,1.000000,3851.925994
99.000000,1.000000,3915.448886
100.000000,1.000000,3979.407036
31.000000,1.500000,807.796270
32.000000,1.500000,840.828316
33.000000,1.500000,874.475966
34.000000,1.500000,908.739220
35.000000,1.500000,943.618078
36.000000,1.500000,979.112540
37.000000,1.500000,1015.222606
38.000000,1.500000,1051.948275
39.000000,1.500000,1089.289549
40.000000,1.500000,1125.594681
41.000000,1.500000,1162.097626
42.000000,1.500000,1199.139900
43.000000,1.500000,1236.721503
44.000000,1.500000,1274.842435
45.000000,1.500000,1313.502696
46.000000,1.500000,1352.702286
47.000000,1.500000,1392.441205
48.000000,1.500000,1431.697752
49.000000,1.500000,1470.769349
50.000000,1.500000,1510.326605
51.000000,1.500000,1550.369518
52.000000,1.500000,1590.898090
53.000000,1.500000,1631.912319
54.000000,1.500000,1673.412206
55.000000,1.500000,1715.271396
56.000000,1.500000,1756.441438
57.000000,1.500000,1797.903408
58.000000,1.500000,1839.808948
59.000000,1.500000,1882.158057
60.000000,1.500000,1924.950735
61.000000,1.500000,1968.186982
62.000000,1.500000,2011.836502
63.000000,1.500000,2054.963930
64.000000,1.500000,2098.283422
65.000000,1.500000,2142.014357
66.000000,1.500000,2186.156736
67.000000,1.500000,2230.710557
68.000000,1.500000,2275.675823
69.000000,1.500000,2320.989791
70.000000,1.500000,2366.400975
71.000000,1.500000,2412.185285
72.000000,1.500000,2458.369981
73.000000,1.500000,2504.955063
74.000000,1.500000,2551.940531
75.000000,1.500000,2599.326386
76.000000,1.500000,2647.341100
77.000000,1.500000,2695.869707
78.000000,1.500000,2744.787220
79.000000,1.500000,2794.093639
80.000000,1.500000,2843.788964
81.000000,1.500000,2893.873194
82.000000,1.500000,2944.346331
83.000000,1.500000,2995.208373
84.000000,1.500000,3046.459321
85.000000,1.500000,3098.099176
86.000000,1.500000,3150.127936
87.000000,1.500000,3203.331435
88.000000,1.500000,3260.797947
89.000000,1.500000,3319.031778
90.000000,1.500000,3377.691945
91.000000,1.500000,3436.778447
92.000000,1.500000,3496.368041
93.000000,1.500000,3556.548129
94.000000,1.500000,3617.156071
95.000000,1.500000,3678.191868
96.000000,1.500000,3739.655519
97.000000,1.500000,3801.961958
98.000000,1.500000,3865.012052
99.000000,1.500000,3928.496425
100.000000,1.500000,3992.415078
30.000000,2.000000,779.717734
