weight_g,415.000000
thrust_N,velocity_m_s,power_W
31.000000,0.000000,661.229451
32.000000,0.000000,690.216114
33.000000,0.000000,719.769059
34.000000,0.000000,749.888286
35.000000,0.000000,780.573793
36.000000,0.000000,811.825582
37.000000,0.000000,843.643652
38.000000,0.000000,876.028004
39.000000,0.000000,908.978637
40.000000,0.000000,941.601527
41.000000,0.000000,973.868097
42.000000,0.000000,1006.627840
43.000000,0.000000,1039.880758
44.000000,0.000000,1073.626850
45.000000,0.000000,1107.866116
46.000000,0.000000,1142.598556
47.000000,0.000000,1177.824170
48.000000,0.000000,1213.236686
49.000000,0.000000,1248.186657
50.000000,0.000000,1283.584852
51.000000,0.000000,1319.431273
52.000000,0.000000,1355.725920
53.000000,0.000000,1392.468791
54.000000,0.000000,1429.659889
55.000000,0.000000,1467.299211
56.000000,0.000000,1504.850072
57.000000,0.000000,1542.509017
58.000000,0.000000,1580.588489
59.000000,0.000000,1619.088490
60.000000,0.000000,1658.009019
61.000000,0.000000,1697.350076
62.000000,0.000000,1737.111662
63.000000,0.000000,1776.796719
64.000000,0.000000,1816.409132
65.000000,0.000000,1856.413309
66.000000,0.000000,1896.809250
67.000000,0.000000,1937.596955
68.000000,0.000000,1978.776423
69.000000,0.000000,2020.347655
70.000000,0.000000,2061.798302
71.000000,0.000000,2103.463482
72.000000,0.000000,2145.500915
73.000000,0.000000,2187.910601
74.000000,0.000000,2230.692540
75.000000,0.000000,2273.846731
76.000000,0.000000,2317.216507
77.000000,0.000000,2360.635707
78.000000,0.000000,2404.414490
79.000000,0.000000,2448.552856
80.000000,0.000000,2493.050805
81.000000,0.000000,2537.908337
82.000000,0.000000,2583.302654
83.000000,0.000000,2629.836268
84.000000,0.000000,2676.731832
85.000000,0.000000,2723.989344
86.000000,0.000000,2771.608805
87.000000,0.000000,2819.590215
88.000000,0.000000,2868.243826
89.000000,0.000000,2917.606214
90.000000,0.000000,2967.331048
91.000000,0.000000,3017.418327
92.000000,0.000000,3067.868051
93.000000,0.000000,3118.712185
94.000000,0.000000,3170.276968
95.000000,0.000000,3222.207499
96.000000,0.000000,3274.503779
97.000000,0.000000,3327.165807
98.000000,0.000000,3380.193583
99.000000,0.000000,3439.604334
100.000000,0.000000,3499.861898
31.000000,0.500000,665.215072
32.000000,0.500000,694.344793
33.000000,0.500000,724.043439
34.000000,0.500000,754.311009
35.000000,0.500000,785.147505
36.000000,0.500000,816.552925
37.000000,0.500000,848.527271
