weight_g,60.000000
thrust_N,velocity_m_s,power_W
31.000000,0.000000,1052.551890
32.000000,0.000000,1110.968522
33.000000,0.000000,1170.929112
34.000000,0.000000,1232.433658
35.000000,0.000000,1295.482162
36.000000,0.000000,1360.074623
37.000000,0.000000,1426.211040
38.000000,0.000000,1493.891415
39.000000,0.000000,1563.115747
40.000000,0.000000,1633.506541
41.000000,0.000000,1704.861196
42.000000,0.000000,1777.712447
43.000000,0.000000,1852.060292
44.000000,0.000000,1927.904732
45.000000,0.000000,2005.245767
46.000000,0.000000,2084.083398
47.000000,0.000000,2164.417623
48.000000,0.000000,2246.127180
49.000000,0.000000,2328.679451
50.000000,0.000000,2412.697009
51.000000,0.000000,2498.179853
52.000000,0.000000,2585.127984
53.000000,0.000000,2673.541401
54.000000,0.000000,2763.420105
55.000000,0.000000,2854.764095
56.000000,0.000000,2947.274240
57.000000,0.000000,3041.011294
58.000000,0.000000,3136.195105
59.000000,0.000000,3232.825673
60.000000,0.000000,3330.902999
61.000000,0.000000,3430.427083
62.000000,0.000000,3531.397923
63.000000,0.000000,3633.521499
64.000000,0.000000,3736.790558
65.000000,0.000000,3841.485705
66.000000,0.000000,3947.606940
67.000000,0.000000,4055.154264
68.000000,0.000000,4164.127675
69.000000,0.000000,4274.527176
70.000000,0.000000,4386.311069
71.000000,0.000000,4499.505092
72.000000,0.000000,4614.123411
73.000000,0.000000,4730.166023
74.000000,0.000000,4847.632930
75.000000,0.000000,4966.524131
76.000000,0.000000,5086.819609
77.000000,0.000000,5208.502149
78.000000,0.000000,5331.604366
79.000000,0.000000,5456.126261
80.000000,0.000000,5582.067834
81.000000,0.000000,5709.429084
82.000000,0.000000,5838.207011
83.000000,0.000000,5968.392325
84.000000,0.000000,6099.996285
85.000000,0.000000,6233.018891
86.000000,0.000000,6367.460144
87.000000,0.000000,6503.320042
88.000000,0.000000,6640.970130
89.000000,0.000000,6780.921648
90.000000,0.000000,6922.316212
91.000000,0.000000,7065.153822
92.000000,0.000000,7209.434478
93.000000,0.000000,7355.158180
94.000000,0.000000,7504.799114
95.000000,0.000000,7657.272686
96.000000,0.000000,7811.260989
97.000000,0.000000,7966.764022
98.000000,0.000000,8123.781787
99.000000,0.000000,8282.314282
100.000000,0.000000,8442.361508
31.000000,0.500000,1061.281990
32.000000,0.500000,1120.095610
33.000000,0.500000,1180.461871
34.000000,0.500000,1242.380773
35.000000,0.500000,1305.852315
36.000000,0.500000,1370.876497
37.000000,0.500000,1437.453320
