weight_g,415.000000
thrust_N,velocity_m_s,power_W
28.000000,0.000000,616.350540
29.000000,0.000000,647.580882
30.000000,0.000000,679.513497
31.000000,0.000000,712.148382
32.000000,0.000000,745.485540
33.000000,0.000000,779.524969
34.000000,0.000000,814.266669
35.000000,0.000000,849.710641
36.000000,0.000000,885.079586
37.000000,0.000000,920.454657
38.000000,0.000000,956.462000
39.000000,0.000000,993.101615
40.000000,0.000000,1030.373503
41.000000,0.000000,1068.277662
42.000000,0.000000,1106.814093
43.000000,0.000000,1145.693259
44.000000,0.000000,1184.274788
45.000000,0.000000,1223.436287
46.000000,0.000000,1263.177759
47.000000,0.000000,1303.499202
48.000000,0.000000,1344.400617
49.000000,0.000000,1385.882004
50.000000,0.000000,1427.426469
51.000000,0.000000,1469.045910
52.000000,0.000000,1511.207608
53.000000,0.000000,1553.911560
54.000000,0.000000,1597.157769
55.000000,0.000000,1640.946232
56.000000,0.000000,1685.144248
57.000000,0.000000,1729.419720
58.000000,0.000000,1774.217490
59.000000,0.000000,1819.537557
60.000000,0.000000,1865.379921
61.000000,0.000000,1911.744583
62.000000,0.000000,1958.407866
63.000000,0.000000,2005.066996
64.000000,0.000000,2052.223074
65.000000,0.000000,2099.876102
66.000000,0.000000,2148.026079
67.000000,0.000000,2196.673004
68.000000,0.000000,2245.474753
69.000000,0.000000,2294.586067
70.000000,0.000000,2344.178005
71.000000,0.000000,2394.250568
72.000000,0.000000,2444.803756
73.000000,0.000000,2495.835191
74.000000,0.000000,2547.339843
75.000000,0.000000,2599.323611
76.000000,0.000000,2651.786495
77.000000,0.000000,2704.728495
78.000000,0.000000,2758.130610
79.000000,0.000000,2811.876277
80.000000,0.000000,2866.082516
81.000000,0.000000,2920.749329
82.000000,0.000000,2975.876714
83.000000,0.000000,3031.464673
84.000000,0.000000,3087.513205
85.000000,0.000000,3144.022310
86.000000,0.000000,3200.991989
87.000000,0.000000,3258.422240
88.000000,0.000000,3316.313065
89.000000,0.000000,3374.664462
90.000000,0.000000,3433.476433
91.000000,0.000000,3492.748977
92.000000,0.000000,3552.482094
93.000000,0.000000,3615.146195
94.000000,0.000000,3678.541757
95.000000,0.000000,3742.414983
96.000000,0.000000,3806.765872
97.000000,0.000000,3871.718026
98.000000,0.000000,3937.205377
99.000000,0.000000,4003.171323
100.000000,0.000000,4069.615865
28.000000,0.500000,618.703047
29.000000,0.500000,650.026484
30.000000,0.500000,682.054364
31.000000,0.500000,714.786688
32.000000,0.500000,748.223456
33.000000,0.500000,782.364667
34.000000,0.500000,817.210323
35.000000,0.500000,852.760421
36.000000,0.500000,888.107257
37.000000,0.500000,923.584985
38.000000,0.500000,959.697014
39.000000,0.500000,996.443345
40.000000,0.500000,1033.823977
41.000000,0.500000,1071.838910
42.000000,0.500000,1110.488144
43.000000,0.500000,1149.352432
44.000000,0.500000,1188.019711
45.000000,0.500000,1227.267929
46.000000,0.500000,1267.097086
47.000000,0.500000,1307.507182
48.000000,0.500000,1348.498217
49.000000,0.500000,1390.070192
50.000000,0.500000,1431.613966
51.000000,0.500000,1473.339769
52.000000,0.500000,1515.609499
53.000000,0.500000,1558.423156
54.000000,0.500000,1601.780741
55.000000,0.500000,1645.682254
56.000000,0.500000,1689.916220
57.000000,0.500000,1734.276004
58.000000,0.500000,1779.158799
59.000000,0.500000,1824.564603
60.000000,0.500000,1870.493417
61.000000,0.500000,1916.945240
62.000000,0.500000,1963.618697
63.000000,0.500000,2010.377515
64.000000,0.500000,2057.634598
65.000000,0.500000,2105.389944
66.000000,0.500000,2153.643555
67.000000,0.500000,2202.395430
68.000000,0.500000,2251.212457
69.000000,0.500000,2300.397108
70.000000,0.500000,2350.062805
71.000000,0.500000,2400.209548
72.000000,0.500000,2450.837339
73.000000,0.500000,2501.943816
74.000000,0.500000,2553.526200
75.000000,0.500000,2605.588524
76.000000,0.500000,2658.130787
77.000000,0.500000,2711.152991
78.000000,0.500000,2764.615208
79.000000,0.500000,2818.432014
80.000000,0.500000,2872.709741
81.000000,0.500000,2927.448389
82.000000,0.500000,2982.647957
83.000000,0.500000,3038.308446
84.000000,0.500000,3094.429855
85.000000,0.500000,3151.012185
86.000000,0.500000,3208.055435
87.000000,0.500000,3265.559606
88.000000,0.500000,3323.524698
89.000000,0.500000,3381.950710
90.000000,0.500000,3440.837643
91.000000,0.500000,3500.185496
92.000000,0.500000,3560.199248
93.000000,0.500000,3622.987792
94.000000,0.500000,3686.380732
95.000000,0.500000,3750.251260
96.000000,0.500000,3814.599378
97.000000,0.500000,3879.644411
98.000000,0.500000,3945.208491
99.000000,0.500000,4011.251508
100.000000,0.500000,4077.773463
28.000000,1.000000,621.056562
29.000000,1.000000,652.473221
30.000000,1.000000,684.596498
31.000000,1.000000,717.426395
32.000000,1.000000,750.962910
33.000000,1.000000,785.206045
34.000000,1.000000,820.155799
35.000000,1.000000,855.812173
36.000000,1.000000,891.136310
37.000000,1.000000,926.716835
38.000000,1.000000,962.933694
39.000000,1.000000,999.786886
40.000000,1.000000,1037.276412
41.000000,1.000000,1075.402272
42.000000,1.000000,1114.164465
43.000000,1.000000,1153.013273
44.000000,1.000000,1191.766333
45.000000,1.000000,1231.101300
46.000000,1.000000,1271.018174
47.000000,1.000000,1311.516955
48.000000,1.000000,1352.597642
49.000000,1.000000,1394.260237
50.000000,1.000000,1435.802868
51.000000,1.000000,1477.635182
52.000000,1.000000,1520.013099
53.000000,1.000000,1562.936618
54.000000,1.000000,1606.405738
55.000000,1.000000,1650.420461
56.000000,1.000000,1694.690138
57.000000,1.000000,1739.134259
58.000000,1.000000,1784.102104
59.000000,1.000000,1829.593670
60.000000,1.000000,1875.608959
61.000000,1.000000,1922.147971
62.000000,1.000000,1968.831179
63.000000,1.000000,2015.689842
64.000000,1.000000,2063.048085
65.000000,1.000000,2110.905909
66.000000,1.000000,2159.263314
67.000000,1.000000,2208.120300
68.000000,1.000000,2256.952283
69.000000,1.000000,2306.210286
70.000000,1.000000,2355.949758
71.000000,1.000000,2406.170698
72.000000,1.000000,2456.873107
73.000000,1.000000,2508.054650
74.000000,1.000000,2559.714907
75.000000,1.000000,2611.855928
76.000000,1.000000,2664.477712
77.000000,1.000000,2717.580260
78.000000,1.000000,2771.102014
79.000000,1.000000,2824.989975
80.000000,1.000000,2879.339203
81.000000,1.000000,2934.149700
82.000000,1.000000,2989.421464
83.000000,1.000000,3045.154497
84.000000,1.000000,3101.348798
85.000000,1.000000,3158.004366
86.000000,1.000000,3215.121203
87.000000,1.000000,3272.699308
88.000000,1.000000,3330.738681
89.000000,1.000000,3389.239322
90.000000,1.000000,3448.201231
91.000000,1.000000,3507.624408
92.000000,1.000000,3567.918541
93.000000,1.000000,3630.831473
94.000000,1.000000,3694.221915
95.000000,1.000000,3758.089867
96.000000,1.000000,3822.435328
97.000000,1.000000,3887.573234
98.000000,1.000000,3953.214060
99.000000,1.000000,4019.334164
100.000000,1.000000,4085.933546
28.000000,1.500000,623.418858
29.000000,1.500000,654.928747
30.000000,1.500000,687.147422
31.000000,1.500000,720.074884
32.000000,1.500000,753.711132
33.000000,1.500000,788.056166
34.000000,1.500000,823.109987
35.000000,1.500000,858.872595
36.000000,1.500000,894.174400
37.000000,1.500000,929.858332
38.000000,1.500000,966.180642
39.000000,1.500000,1003.141330
40.000000,1.500000,1040.740396
41.000000,1.500000,1078.977840
42.000000,1.500000,1117.853662
43.000000,1.500000,1156.677694
44.000000,1.500000,1195.516595
45.000000,1.500000,1234.938372
46.000000,1.500000,1274.943024
47.000000,1.500000,1315.530551
48.000000,1.500000,1356.700953
49.000000,1.500000,1398.454230
50.000000,1.500000,1440.003745
51.000000,1.500000,1481.943395
52.000000,1.500000,1524.430335
53.000000,1.500000,1567.464563
54.000000,1.500000,1611.046081
55.000000,1.500000,1655.174888
56.000000,1.500000,1699.467857
57.000000,1.500000,1743.996361
58.000000,1.500000,1789.049300
59.000000,1.500000,1834.626675
60.000000,1.500000,1880.728484
61.000000,1.500000,1927.354729
62.000000,1.500000,1974.055059
63.000000,1.500000,2021.014931
64.000000,1.500000,2068.475719
65.000000,1.500000,2116.437423
66.000000,1.500000,2164.900044
67.000000,1.500000,2213.818281
68.000000,1.500000,2262.695575
69.000000,1.500000,2312.026957
70.000000,1.500000,2361.840230
71.000000,1.500000,2412.135393
72.000000,1.500000,2462.912447
73.000000,1.500000,2514.170196
74.000000,1.500000,2565.908432
75.000000,1.500000,2618.128206
76.000000,1.500000,2670.829518
77.000000,1.500000,2724.012368
