weight_g,60.000000
thrust_N,velocity_m_s,power_W
32.000000,0.000000,795.211514
33.000000,0.000000,834.795979
34.000000,0.000000,875.301353
35.000000,0.000000,916.727634
36.000000,0.000000,959.074823
37.000000,0.000000,1002.342920
38.000000,0.000000,1046.531925
39.000000,0.000000,1091.641838
40.000000,0.000000,1137.672659
41.000000,0.000000,1184.624388
42.000000,0.000000,1232.014961
43.000000,0.000000,1279.841195
44.000000,0.000000,1328.541987
45.000000,0.000000,1378.117337
46.000000,0.000000,1428.567245
47.000000,0.000000,1479.891710
48.000000,0.000000,1532.090734
49.000000,0.000000,1585.164314
50.000000,0.000000,1639.112453
51.000000,0.000000,1693.886562
52.000000,0.000000,1749.500707
53.000000,0.000000,1805.977854
54.000000,0.000000,1863.318004
55.000000,0.000000,1921.521156
56.000000,0.000000,1980.587310
57.000000,0.000000,2040.516466
58.000000,0.000000,2101.308624
59.000000,0.000000,2164.486228
60.000000,0.000000,2229.990031
61.000000,0.000000,2296.429669
62.000000,0.000000,2363.805141
63.000000,0.000000,2432.116449
64.000000,0.000000,2501.363591
65.000000,0.000000,2571.546568
66.000000,0.000000,2643.372787
67.000000,0.000000,2719.149328
68.000000,0.000000,2795.952265
69.000000,0.000000,2873.781597
70.000000,0.000000,2952.637324
71.000000,0.000000,3032.519445
72.000000,0.000000,3113.427962
73.000000,0.000000,3205.401766
74.000000,0.000000,3306.475682
75.000000,0.000000,3409.034570
76.000000,0.000000,3513.078429
77.000000,0.000000,3618.607261
78.000000,0.000000,3725.621065
79.000000,0.000000,3834.119840
80.000000,0.000000,3944.103588
81.000000,0.000000,4055.572307
82.000000,0.000000,4168.525998
83.000000,0.000000,4282.964661
84.000000,0.000000,4432.114264
85.000000,0.000000,4584.815369
86.000000,0.000000,4739.959135
87.000000,0.000000,4897.545561
88.000000,0.000000,5067.945114
89.000000,0.000000,5241.928409
90.000000,0.000000,5418.693392
91.000000,0.000000,5598.240061
92.000000,0.000000,5780.568418
93.000000,0.000000,5965.678462
94.000000,0.000000,6153.570193
95.000000,0.000000,6346.800700
96.000000,0.000000,6544.500337
97.000000,0.000000,6745.100614
98.000000,0.000000,6959.677237
99.000000,0.000000,7232.599529
100.000000,0.000000,7510.514961
32.000000,0.500000,802.416516
33.000000,0.500000,842.303595
34.000000,0.500000,883.117747
35.000000,0.500000,924.858973
36.000000,0.500000,967.527274
37.000000,0.500000,1011.122649
38.000000,0.500000,1055.645098
39.000000,0.500000,1101.094621
40.000000,0.500000,1147.471219
41.000000,0.500000,1194.774890
42.000000,0.500000,1242.323699
43.000000,0.500000,1290.496107
44.000000,0.500000,1339.548760
45.000000,0.500000,1389.481657
46.000000,0.500000,1440.294799
47.000000,0.500000,1491.988187
48.000000,0.500000,1544.561819
49.000000,0.500000,1598.015695
50.000000,0.500000,1652.331813
51.000000,0.500000,1707.363473
52.000000,0.500000,1763.248400
53.000000,0.500000,1819.998393
54.000000,0.500000,1877.613452
55.000000,0.500000,1936.093578
56.000000,0.500000,1995.438770
57.000000,0.500000,2055.649028
58.000000,0.500000,2116.724353
59.000000,0.500000,2180.857413
60.000000,0.500000,2246.630394
61.000000,0.500000,2313.340394
62.000000,0.500000,2380.987413
63.000000,0.500000,2449.571451
64.000000,0.500000,2519.092508
65.000000,0.500000,2589.550584
66.000000,0.500000,2662.476475
67.000000,0.500000,2738.440737
68.000000,0.500000,2815.429750
69.000000,0.500000,2893.443513
70.000000,0.500000,2972.482027
71.000000,0.500000,3052.545291
72.000000,0.500000,3134.027963
73.000000,0.500000,3229.945841
74.000000,0.500000,3331.162495
75.000000,0.500000,3433.858125
76.000000,0.500000,3538.032731
77.000000,0.500000,3643.686311
78.000000,0.500000,3750.818867
79.000000,0.500000,3859.430399
80.000000,0.500000,3969.520905
81.000000,0.500000,4081.090387
82.000000,0.500000,4194.138845
83.000000,0.500000,4315.633469
84.000000,0.500000,4465.558848
85.000000,0.500000,4618.473358
86.000000,0.500000,4773.820641
87.000000,0.500000,4933.594535
88.000000,0.500000,5104.696860
89.000000,0.500000,5278.974152
90.000000,0.500000,5456.024026
91.000000,0.500000,5635.846482
92.000000,0.500000,5818.441520
93.000000,0.500000,6003.809139
94.000000,0.500000,6192.016477
95.000000,0.500000,6386.689194
96.000000,0.500000,6585.051257
97.000000,0.500000,6786.316099
98.000000,0.500000,7014.991992
99.000000,0.500000,7288.709587
100.000000,0.500000,7567.412209
32.000000,1.000000,809.651379
33.000000,1.000000,849.842186
34.000000,1.000000,890.966254
35.000000,1.000000,933.023583
36.000000,1.000000,976.014173
37.000000,1.000000,1019.938024
38.000000,1.000000,1064.795136
39.000000,1.000000,1110.585509
40.000000,1.000000,1157.309143
41.000000,1.000000,1204.966037
42.000000,1.000000,1252.672093
43.000000,1.000000,1301.191890
44.000000,1.000000,1350.597637
45.000000,1.000000,1400.889335
46.000000,1.000000,1452.066982
47.000000,1.000000,1504.130581
48.000000,1.000000,1557.080129
49.000000,1.000000,1610.915627
50.000000,1.000000,1665.600756
51.000000,1.000000,1720.889839
52.000000,1.000000,1777.046054
53.000000,1.000000,1834.069402
54.000000,1.000000,1891.959882
55.000000,1.000000,1950.717496
56.000000,1.000000,2010.342242
57.000000,1.000000,2070.834121
58.000000,1.000000,2132.193132
59.000000,1.000000,2197.286061
60.000000,1.000000,2263.328525
61.000000,1.000000,2330.309192
62.000000,1.000000,2398.228063
63.000000,1.000000,2467.085138
64.000000,1.000000,2536.880416
65.000000,1.000000,2607.613897
66.000000,1.000000,2681.644731
67.000000,1.000000,2757.796314
68.000000,1.000000,2834.971004
69.000000,1.000000,2913.168800
70.000000,1.000000,2992.389703
71.000000,1.000000,3072.633712
72.000000,1.000000,3154.692458
73.000000,1.000000,3254.577418
74.000000,1.000000,3355.935368
75.000000,1.000000,3458.766308
76.000000,1.000000,3563.070239
77.000000,1.000000,3668.847160
78.000000,1.000000,3776.097071
79.000000,1.000000,3884.819972
80.000000,1.000000,3995.015863
81.000000,1.000000,4106.684744
82.000000,1.000000,4219.826616
83.000000,1.000000,4348.419119
84.000000,1.000000,4499.121958
85.000000,1.000000,4652.247703
86.000000,1.000000,4807.796353
87.000000,1.000000,4969.768624
88.000000,1.000000,5141.574490
89.000000,1.000000,5316.143847
90.000000,1.000000,5493.476695
91.000000,1.000000,5673.573034
92.000000,1.000000,5856.432864
93.000000,1.000000,6042.056185
94.000000,1.000000,6230.577662
95.000000,1.000000,6426.697664
96.000000,1.000000,6625.722587
97.000000,1.000000,6827.652430
98.000000,1.000000,7070.515587
99.000000,1.000000,7345.026827
100.000000,1.000000,7624.514988
32.000000,1.500000,816.979722
33.000000,1.500000,857.479731
34.000000,1.500000,898.919334
35.000000,1.500000,941.298533
36.000000,1.500000,984.617327
37.000000,1.500000,1028.875716
38.000000,1.500000,1074.073700
39.000000,1.500000,1120.211278
40.000000,1.500000,1167.288452
41.000000,1.500000,1215.148019
42.000000,1.500000,1263.163316
43.000000,1.500000,1312.033984
44.000000,1.500000,1361.796340
45.000000,1.500000,1412.450387
46.000000,1.500000,1463.996122
47.000000,1.500000,1516.433548
48.000000,1.500000,1569.762662
49.000000,1.500000,1623.983466
50.000000,1.500000,1678.922674
51.000000,1.500000,1734.485968
52.000000,1.500000,1790.918587
53.000000,1.500000,1848.220532
54.000000,1.500000,1906.391803
55.000000,1.500000,1965.432399
56.000000,1.500000,2025.342322
57.000000,1.500000,2086.121570
58.000000,1.500000,2148.424604
59.000000,1.500000,2213.792342
60.000000,1.500000,2280.105159
61.000000,1.500000,2347.357371
62.000000,1.500000,2415.548980
63.000000,1.500000,2484.679984
64.000000,1.500000,2554.750384
65.000000,1.500000,2626.028920
66.000000,1.500000,2700.801122
67.000000,1.500000,2777.145467
68.000000,1.500000,2854.511450
69.000000,1.500000,2932.899070
70.000000,1.500000,3012.308328
71.000000,1.500000,3092.739224
72.000000,1.500000,3179.093595
73.000000,1.500000,3279.120853
74.000000,1.500000,3380.615098
75.000000,1.500000,3483.576327
76.000000,1.500000,3588.004543
77.000000,1.500000,3693.899744
78.000000,1.500000,3801.261930
79.000000,1.500000,3910.091102
80.000000,1.500000,4020.387260
81.000000,1.500000,4132.150403
82.000000,1.500000,4245.380532
83.000000,1.500000,4381.608184
84.000000,1.500000,4532.524823
85.000000,1.500000,4685.854494
86.000000,1.500000,4841.597197
87.000000,1.500000,5006.218094
88.000000,1.500000,5178.318245
89.000000,1.500000,5353.172783
90.000000,1.500000,5530.781706
91.000000,1.500000,5711.145015
92.000000,1.500000,5894.262709
93.000000,1.500000,6080.134790
94.000000,1.500000,6270.079746
95.000000,1.500000,6466.865199
96.000000,1.500000,6666.557819
97.000000,1.500000,6869.157606
98.000000,1.500000,7126.045706
99.000000,1.500000,7401.345762
100.000000,1.500000,7681.614655
31.000000,2.000000,784.474048
32.000000,2.000000,824.338458
33.000000,2.000000,865.148818
34.000000,2.000000,906.905128
35.000000,2.000000,949.607388
36.000000,2.000000,993.255599
37.000000,2.000000,1037.849760
38.000000,2.000000,1083.389871
39.000000,2.000000,1129.875933
40.000000,2.000000,1177.307945
41.000000,2.000000,1225.369668
42.000000,2.000000,1273.694990
43.000000,2.000000,1322.917759
44.000000,2.000000,1373.037975
45.000000,2.000000,1424.055638
46.000000,2.000000,1475.970748
47.000000,2.000000,1528.783305
48.000000,2.000000,1582.493310
49.000000,2.000000,1637.100761
50.000000,2.000000,1692.293705
51.000000,2.000000,1748.131744
52.000000,2.000000,1804.841304
53.000000,2.000000,1862.422386
54.000000,2.000000,1920.874990
55.000000,2.000000,1980.199115
56.000000,2.000000,2040.394761
57.000000,2.000000,2101.461929
58.000000,2.000000,2164.713383
59.000000,2.000000,2230.356270
60.000000,2.000000,2296.939746
61.000000,2.000000,2364.463811
62.000000,2.000000,2432.928464
63.000000,2.000000,2502.333707
64.000000,2.000000,2572.679538
65.000000,2.000000,2644.505047
66.000000,2.000000,2720.021629
67.000000,2.000000,2796.558381
68.000000,2.000000,2874.115302
69.000000,2.000000,2952.692392
70.000000,2.000000,3032.289651
71.000000,2.000000,3112.907079
72.000000,2.000000,3203.582514
73.000000,2.000000,3303.750618
74.000000,2.000000,3405.379715
75.000000,2.000000,3508.469805
76.000000,2.000000,3613.020887
