weight_g,685.000000
thrust_N,velocity_m_s,power_W
35.000000,0.000000,618.010771
36.000000,0.000000,642.577013
37.000000,0.000000,667.579301
38.000000,0.000000,693.017634
39.000000,0.000000,718.892012
40.000000,0.000000,745.202436
41.000000,0.000000,771.948905
42.000000,0.000000,799.131420
43.000000,0.000000,826.749981
44.000000,0.000000,854.804587
45.000000,0.000000,882.723873
46.000000,0.000000,910.732159
47.000000,0.000000,939.142757
48.000000,0.000000,967.955666
49.000000,0.000000,997.170887
50.000000,0.000000,1026.788420
51.000000,0.000000,1056.808264
52.000000,0.000000,1087.230419
53.000000,0.000000,1118.054887
54.000000,0.000000,1148.426988
55.000000,0.000000,1178.185545
56.000000,0.000000,1208.287187
57.000000,0.000000,1238.731914
58.000000,0.000000,1269.519726
59.000000,0.000000,1300.650623
60.000000,0.000000,1332.124605
61.000000,0.000000,1363.941673
62.000000,0.000000,1396.101825
63.000000,0.000000,1428.434887
64.000000,0.000000,1461.061944
65.000000,0.000000,1494.026092
66.000000,0.000000,1527.327331
67.000000,0.000000,1560.965661
68.000000,0.000000,1594.941081
69.000000,0.000000,1629.253593
70.000000,0.000000,1663.903195
71.000000,0.000000,1698.203221
72.000000,0.000000,1732.653799
73.000000,0.000000,1767.419965
74.000000,0.000000,1802.501719
75.000000,0.000000,1837.899063
76.000000,0.000000,1873.611995
77.000000,0.000000,1909.640516
78.000000,0.000000,1945.750213
79.000000,0.000000,1981.281510
80.000000,0.000000,2017.102818
81.000000,0.000000,2053.214138
82.000000,0.000000,2089.615470
83.000000,0.000000,2126.306814
84.000000,0.000000,2163.288169
85.000000,0.000000,2200.559537
86.000000,0.000000,2238.120916
87.000000,0.000000,2275.972307
88.000000,0.000000,2314.113709
89.000000,0.000000,2352.545124
90.000000,0.000000,2391.266550
91.000000,0.000000,2430.277988
92.000000,0.000000,2469.579438
93.000000,0.000000,2508.903595
94.000000,0.000000,2548.489715
95.000000,0.000000,2588.360094
96.000000,0.000000,2628.514733
97.000000,0.000000,2668.953632
98.000000,0.000000,2709.676790
99.000000,0.000000,2750.272040
100.000000,0.000000,2789.976615
35.000000,0.500000,621.862637
36.000000,0.500000,646.565523
37.000000,0.500000,671.707120
38.000000,0.500000,697.287426
39.000000,0.500000,723.306443
40.000000,0.500000,749.764171
41.000000,0.500000,776.660608
42.000000,0.500000,803.995756
43.000000,0.500000,831.769614
44.000000,0.500000,859.972602
45.000000,0.500000,887.859019
46.000000,0.500000,915.991893
47.000000,0.500000,944.528546
48.000000,0.500000,973.468977
49.000000,0.500000,1002.813188
50.000000,0.500000,1032.561177
51.000000,0.500000,1062.712945
52.000000,0.500000,1093.268491
53.000000,0.500000,1124.227817
54.000000,0.500000,1154.371384
55.000000,0.500000,1184.273054
56.000000,0.500000,1214.519801
57.000000,0.500000,1245.111624
58.000000,0.500000,1276.048525
59.000000,0.500000,1307.330502
60.000000,0.500000,1338.957557
61.000000,0.500000,1370.929688
62.000000,0.500000,1403.212266
63.000000,0.500000,1435.647347
