weight_g,415.000000
thrust_N,velocity_m_s,power_W
34.000000,0.000000,576.744879
35.000000,0.000000,601.144357
36.000000,0.000000,626.002187
37.000000,0.000000,651.318367
38.000000,0.000000,677.092898
39.000000,0.000000,703.325779
40.000000,0.000000,730.017012
41.000000,0.000000,757.166595
42.000000,0.000000,784.774529
43.000000,0.000000,812.840814
44.000000,0.000000,841.365449
45.000000,0.000000,869.528926
46.000000,0.000000,898.080768
47.000000,0.000000,927.056463
48.000000,0.000000,956.456010
49.000000,0.000000,986.279410
50.000000,0.000000,1016.526663
51.000000,0.000000,1047.197769
52.000000,0.000000,1078.292727
53.000000,0.000000,1109.811537
54.000000,0.000000,1140.390639
55.000000,0.000000,1171.157361
56.000000,0.000000,1202.295037
57.000000,0.000000,1233.803666
58.000000,0.000000,1265.683249
59.000000,0.000000,1297.933786
60.000000,0.000000,1330.555277
61.000000,0.000000,1363.547721
62.000000,0.000000,1396.804609
63.000000,0.000000,1430.213687
64.000000,0.000000,1463.984194
65.000000,0.000000,1498.116130
66.000000,0.000000,1532.609494
67.000000,0.000000,1567.464286
68.000000,0.000000,1602.680508
69.000000,0.000000,1638.258157
70.000000,0.000000,1673.953480
71.000000,0.000000,1709.674795
72.000000,0.000000,1745.742034
73.000000,0.000000,1782.155197
74.000000,0.000000,1818.914283
75.000000,0.000000,1856.019293
76.000000,0.000000,1893.470227
77.000000,0.000000,1931.267084
78.000000,0.000000,1968.290156
79.000000,0.000000,2005.589561
80.000000,0.000000,2043.206330
81.000000,0.000000,2081.140462
82.000000,0.000000,2119.391958
83.000000,0.000000,2157.960818
84.000000,0.000000,2196.847042
85.000000,0.000000,2236.050630
86.000000,0.000000,2275.571581
87.000000,0.000000,2315.409897
88.000000,0.000000,2355.565576
89.000000,0.000000,2396.038618
90.000000,0.000000,2436.829025
91.000000,0.000000,2477.936795
92.000000,0.000000,2519.361929
93.000000,0.000000,2561.104427
94.000000,0.000000,2603.164289
95.000000,0.000000,2645.541515
96.000000,0.000000,2688.236104
97.000000,0.000000,2731.248057
98.000000,0.000000,2774.003460
99.000000,0.000000,2815.969692
100.000000,0.000000,2858.220087
34.000000,0.500000,580.469575
35.000000,0.500000,605.006355
36.000000,0.500000,630.004302
37.000000,0.500000,655.463413
38.000000,0.500000,681.383691
39.000000,0.500000,707.765135
40.000000,0.500000,734.607744
41.000000,0.500000,761.911519
42.000000,0.500000,789.676460
43.000000,0.500000,817.902566
44.000000,0.500000,846.445178
45.000000,0.500000,874.716213
46.000000,0.500000,903.394774
47.000000,0.500000,932.498688
48.000000,0.500000,962.027955
49.000000,0.500000,991.982574
50.000000,0.500000,1022.362546
51.000000,0.500000,1053.167871
52.000000,0.500000,1084.398549
53.000000,0.500000,1115.852843
54.000000,0.500000,1146.486236
55.000000,0.500000,1177.400618
56.000000,0.500000,1208.688058
57.000000,0.500000,1240.348555
58.000000,0.500000,1272.382110
59.000000,0.500000,1304.788722
60.000000,0.500000,1337.568392
61.000000,0.500000,1370.721120
62.000000,0.500000,1404.044565
63.000000,0.500000,1437.580072
64.000000,0.500000,1471.478074
65.000000,0.500000,1505.738571
66.000000,0.500000,1540.361562
67.000000,0.500000,1575.347048
68.000000,0.500000,1610.695029
69.000000,0.500000,1646.405504
70.000000,0.500000,1682.132595
71.000000,0.500000,1718.016692
72.000000,0.500000,1754.248631
73.000000,0.500000,1790.828413
74.000000,0.500000,1827.756036
75.000000,0.500000,1865.031502
76.000000,0.500000,1902.654810
77.000000,0.500000,1940.346018
78.000000,0.500000,1977.467383
79.000000,0.500000,2014.886257
80.000000,0.500000,2052.623236
81.000000,0.500000,2090.678319
82.000000,0.500000,2129.051506
83.000000,0.500000,2167.742798
84.000000,0.500000,2206.752195
85.000000,0.500000,2246.079696
86.000000,0.500000,2285.725301
87.000000,0.500000,2325.689011
88.000000,0.500000,2365.970825
89.000000,0.500000,2406.570744
90.000000,0.500000,2447.488768
91.000000,0.500000,2488.724895
92.000000,0.500000,2530.279128
93.000000,0.500000,2572.151465
94.000000,0.500000,2614.341906
95.000000,0.500000,2656.850452
96.000000,0.500000,2699.677102
97.000000,0.500000,2742.821857
98.000000,0.500000,2785.309556
99.000000,0.500000,2827.443715
100.000000,0.500000,2869.863596
34.000000,1.000000,584.199882
35.000000,1.000000,608.874328
36.000000,1.000000,634.012765
37.000000,1.000000,659.615190
38.000000,1.000000,685.681605
39.000000,1.000000,712.212009
40.000000,1.000000,739.206403
41.000000,1.000000,766.664786
42.000000,1.000000,794.587159
43.000000,1.000000,822.973520
44.000000,1.000000,851.533220
45.000000,1.000000,879.911824
46.000000,1.000000,908.717282
47.000000,1.000000,937.949595
48.000000,1.000000,967.608763
49.000000,1.000000,997.694786
50.000000,1.000000,1028.207664
51.000000,1.000000,1059.147396
52.000000,1.000000,1090.513983
53.000000,1.000000,1121.902197
54.000000,1.000000,1152.589458
55.000000,1.000000,1183.651887
56.000000,1.000000,1215.089483
57.000000,1.000000,1246.902246
58.000000,1.000000,1279.090177
59.000000,1.000000,1311.653275
60.000000,1.000000,1344.591540
61.000000,1.000000,1377.904973
62.000000,1.000000,1411.294628
63.000000,1.000000,1444.956715
64.000000,1.000000,1478.982363
65.000000,1.000000,1513.371573
66.000000,1.000000,1548.124345
67.000000,1.000000,1583.240679
68.000000,1.000000,1618.720574
69.000000,1.000000,1654.564031
70.000000,1.000000,1690.322243
71.000000,1.000000,1726.369553
72.000000,1.000000,1762.766629
73.000000,1.000000,1799.513470
74.000000,1.000000,1836.610077
75.000000,1.000000,1874.056449
76.000000,1.000000,1911.852587
77.000000,1.000000,1949.436439
78.000000,1.000000,1986.656055
79.000000,1.000000,2024.194517
80.000000,1.000000,2062.051824
81.000000,1.000000,2100.227978
82.000000,1.000000,2138.722977
83.000000,1.000000,2177.536822
84.000000,1.000000,2216.669512
85.000000,1.000000,2256.121049
86.000000,1.000000,2295.891431
87.000000,1.000000,2335.980659
88.000000,1.000000,2376.388732
89.000000,1.000000,2417.115652
90.000000,1.000000,2458.161417
91.000000,1.000000,2499.526028
92.000000,1.000000,2541.209485
93.000000,1.000000,2583.211788
94.000000,1.000000,2625.532936
95.000000,1.000000,2668.172931
96.000000,1.000000,2711.131771
97.000000,1.000000,2754.409456
98.000000,1.000000,2796.626746
99.000000,1.000000,2838.929268
100.000000,1.000000,2881.519075
34.000000,1.500000,587.957265
35.000000,1.500000,612.771153
36.000000,1.500000,638.051894
37.000000,1.500000,663.799487
38.000000,1.500000,690.013931
39.000000,1.500000,716.695228
40.000000,1.500000,743.843377
41.000000,1.500000,771.458378
42.000000,1.500000,799.540231
43.000000,1.500000,828.088937
44.000000,1.500000,856.625496
45.000000,1.500000,885.129984
46.000000,1.500000,914.062834
47.000000,1.500000,943.424045
48.000000,1.500000,973.213619
49.000000,1.500000,1003.431555
50.000000,1.500000,1034.077852
51.000000,1.500000,1065.152512
52.000000,1.500000,1096.655534
53.000000,1.500000,1127.900342
54.000000,1.500000,1158.735270
55.000000,1.500000,1189.947500
56.000000,1.500000,1221.537033
57.000000,1.500000,1253.503867
58.000000,1.500000,1285.848003
59.000000,1.500000,1318.569441
60.000000,1.500000,1351.668180
61.000000,1.500000,1385.100480
62.000000,1.500000,1418.570658
63.000000,1.500000,1452.359716
64.000000,1.500000,1486.513405
65.000000,1.500000,1521.031727
66.000000,1.500000,1555.914680
67.000000,1.500000,1591.162264
68.000000,1.500000,1626.774481
69.000000,1.500000,1662.679117
70.000000,1.500000,1698.570747
71.000000,1.500000,1734.783640
72.000000,1.500000,1771.348251
73.000000,1.500000,1808.264581
74.000000,1.500000,1845.532629
75.000000,1.500000,1883.152397
76.000000,1.500000,1921.123882
77.000000,1.500000,1958.532763
78.000000,1.500000,1995.871513
79.000000,1.500000,2033.529852
80.000000,1.500000,2071.507780
81.000000,1.500000,2109.805296
82.000000,1.500000,2148.422400
83.000000,1.500000,2187.359094
84.000000,1.500000,2226.615375
85.000000,1.500000,2266.191245
86.000000,1.500000,2306.086704
87.000000,1.500000,2346.301752
88.000000,1.500000,2386.836387
89.000000,1.500000,2427.690612
90.000000,1.500000,2468.864425
91.000000,1.500000,2510.357826
92.000000,1.500000,2552.170816
93.000000,1.500000,2594.303395
94.000000,1.500000,2636.755562
95.000000,1.500000,2679.527318
96.000000,1.500000,2722.618662
97.000000,1.500000,2765.737050
98.000000,1.500000,2808.022052
99.000000,1.500000,2850.494528
100.000000,1.500000,2893.255867
34.000000,2.000000,591.720413
35.000000,2.000000,616.674114
36.000000,2.000000,642.097538
37.000000,2.000000,667.990686
38.000000,2.000000,694.353557
39.000000,2.000000,721.186153
40.000000,2.000000,748.488472
41.000000,2.000000,776.260514
42.000000,2.000000,804.502280
43.000000,2.000000,833.213770
44.000000,2.000000,861.725963
45.000000,2.000000,890.356511
46.000000,2.000000,919.416931
47.000000,2.000000,948.907223
48.000000,2.000000,978.827385
49.000000,2.000000,1009.177419
50.000000,2.000000,1039.957324
51.000000,2.000000,1071.167100
52.000000,2.000000,1102.806747
