weight_g,219.000000
thrust_N,velocity_m_s,power_W
33.000000,0.000000,596.099443
34.000000,0.000000,623.273767
35.000000,0.000000,651.003472
36.000000,0.000000,679.288558
37.000000,0.000000,708.129024
38.000000,0.000000,737.524872
39.000000,0.000000,767.476100
40.000000,0.000000,797.982709
41.000000,0.000000,829.044699
42.000000,0.000000,860.662070
43.000000,0.000000,891.690363
44.000000,0.000000,923.210261
45.000000,0.000000,955.232189
46.000000,0.000000,987.756145
47.000000,0.000000,1020.782130
48.000000,0.000000,1054.310145
49.000000,0.000000,1088.340189
50.000000,0.000000,1122.872261
51.000000,0.000000,1157.706743
52.000000,0.000000,1192.338076
53.000000,0.000000,1227.438457
54.000000,0.000000,1263.007886
55.000000,0.000000,1299.046361
56.000000,0.000000,1335.553885
57.000000,0.000000,1372.530456
58.000000,0.000000,1409.976074
59.000000,0.000000,1447.819218
60.000000,0.000000,1485.646502
61.000000,0.000000,1523.925161
62.000000,0.000000,1562.655196
63.000000,0.000000,1601.836606
64.000000,0.000000,1641.469391
65.000000,0.000000,1681.553553
66.000000,0.000000,1722.089089
67.000000,0.000000,1762.622576
68.000000,0.000000,1803.269418
69.000000,0.000000,1844.342722
70.000000,0.000000,1885.842491
71.000000,0.000000,1927.768723
72.000000,0.000000,1970.121418
73.000000,0.000000,2012.900577
74.000000,0.000000,2055.990469
75.000000,0.000000,2099.327169
76.000000,0.000000,2143.081854
77.000000,0.000000,2187.254526
78.000000,0.000000,2231.845183
79.000000,0.000000,2276.853826
80.000000,0.000000,2322.280454
81.000000,0.000000,2367.962293
82.000000,0.000000,2413.940493
83.000000,0.000000,2460.328507
84.000000,0.000000,2507.126335
85.000000,0.000000,2554.333977
86.000000,0.000000,2601.951433
87.000000,0.000000,2649.932019
88.000000,0.000000,2697.758784
89.000000,0.000000,2745.978848
90.000000,0.000000,2794.592214
91.000000,0.000000,2843.598879
92.000000,0.000000,2892.998845
93.000000,0.000000,2942.792112
94.000000,0.000000,2992.978679
95.000000,0.000000,3043.558546
96.000000,0.000000,3094.531713
97.000000,0.000000,3145.898181
98.000000,0.000000,3197.657949
99.000000,0.000000,3249.811018
100.000000,0.000000,3302.834869
33.000000,0.500000,600.473690
34.000000,0.500000,627.808078
35.000000,0.500000,655.700966
36.000000,0.500000,684.152356
37.000000,0.500000,713.162248
38.000000,0.500000,742.730640
39.000000,0.500000,772.857534
40.000000,0.500000,803.542929
41.000000,0.500000,834.786826
42.000000,0.500000,866.379709
43.000000,0.500000,897.537900
44.000000,0.500000,929.194361
45.000000,0.500000,961.354331
46.000000,0.500000,994.017813
