weight_g,305.000000
thrust_N,velocity_m_s,power_W
34.000000,0.000000,626.588577
35.000000,0.000000,652.130776
36.000000,0.000000,678.136286
37.000000,0.000000,704.605109
38.000000,0.000000,731.537243
39.000000,0.000000,758.932689
40.000000,0.000000,786.791447
41.000000,0.000000,815.113516
42.000000,0.000000,843.898898
43.000000,0.000000,873.147591
44.000000,0.000000,902.731266
45.000000,0.000000,931.544093
46.000000,0.000000,960.767484
47.000000,0.000000,990.401438
48.000000,0.000000,1020.445957
49.000000,0.000000,1050.901039
50.000000,0.000000,1081.766686
51.000000,0.000000,1113.042896
52.000000,0.000000,1144.729670
53.000000,0.000000,1176.827008
54.000000,0.000000,1208.508439
55.000000,0.000000,1240.480482
56.000000,0.000000,1272.832802
57.000000,0.000000,1305.565401
58.000000,0.000000,1338.678278
59.000000,0.000000,1372.171433
60.000000,0.000000,1406.044865
61.000000,0.000000,1440.298576
62.000000,0.000000,1474.400056
63.000000,0.000000,1508.177688
64.000000,0.000000,1542.298628
65.000000,0.000000,1576.762877
66.000000,0.000000,1611.570434
67.000000,0.000000,1646.721300
68.000000,0.000000,1682.215475
69.000000,0.000000,1718.052958
70.000000,0.000000,1754.089515
71.000000,0.000000,1790.270721
72.000000,0.000000,1826.785677
73.000000,0.000000,1863.634384
74.000000,0.000000,1900.816841
75.000000,0.000000,1938.333048
76.000000,0.000000,1976.183006
77.000000,0.000000,2014.366713
78.000000,0.000000,2052.095094
79.000000,0.000000,2090.056531
80.000000,0.000000,2128.329409
81.000000,0.000000,2166.913729
82.000000,0.000000,2205.809491
83.000000,0.000000,2245.016696
84.000000,0.000000,2284.535342
85.000000,0.000000,2324.430337
86.000000,0.000000,2364.666113
87.000000,0.000000,2405.212826
88.000000,0.000000,2446.070475
89.000000,0.000000,2487.239060
90.000000,0.000000,2528.718582
91.000000,0.000000,2570.509040
92.000000,0.000000,2613.148707
93.000000,0.000000,2656.184421
94.000000,0.000000,2699.525954
95.000000,0.000000,2743.173307
96.000000,0.000000,2787.126480
97.000000,0.000000,2831.385473
98.000000,0.000000,2875.950286
99.000000,0.000000,2920.820918
100.000000,0.000000,2965.997370
34.000000,0.500000,631.178989
35.000000,0.500000,656.872847
36.000000,0.500000,683.032599
37.000000,0.500000,709.658244
38.000000,0.500000,736.749782
39.000000,0.500000,764.307214
40.000000,0.500000,792.330539
41.000000,0.500000,820.819757
42.000000,0.500000,849.774869
43.000000,0.500000,879.195873
44.000000,0.500000,908.667789
45.000000,0.500000,937.636682
46.000000,0.500000,967.018278
47.000000,0.500000,996.812576
48.000000,0.500000,1027.019577
49.000000,0.500000,1057.639280
50.000000,0.500000,1088.671686
51.000000,0.500000,1120.116794
52.000000,0.500000,1151.974605
53.000000,0.500000,1184.079468
54.000000,0.500000,1215.882523
55.000000,0.500000,1248.022828
56.000000,0.500000,1280.545409
57.000000,0.500000,1313.450265
58.000000,0.500000,1346.737396
59.000000,0.500000,1380.406802
60.000000,0.500000,1414.458484
61.000000,0.500000,1448.892441
62.000000,0.500000,1482.829266
63.000000,0.500000,1516.740136
64.000000,0.500000,1550.995339
65.000000,0.500000,1585.594875
66.000000,0.500000,1620.538745
67.000000,0.500000,1655.826948
68.000000,0.500000,1691.459485
69.000000,0.500000,1727.436355
70.000000,0.500000,1763.536829
71.000000,0.500000,1799.870632
72.000000,0.500000,1836.539555
73.000000,0.500000,1873.543597
74.000000,0.500000,1910.882758
75.000000,0.500000,1948.557039
76.000000,0.500000,1986.566440
77.000000,0.500000,2024.707665
78.000000,0.500000,2062.541416
79.000000,0.500000,2100.648242
80.000000,0.500000,2139.067497
81.000000,0.500000,2177.799182
82.000000,0.500000,2216.843296
83.000000,0.500000,2256.199839
84.000000,0.500000,2295.877511
85.000000,0.500000,2335.924643
86.000000,0.500000,2376.298575
87.000000,0.500000,2416.984423
88.000000,0.500000,2457.982188
89.000000,0.500000,2499.291868
90.000000,0.500000,2540.913463
91.000000,0.500000,2582.973663
92.000000,0.500000,2625.768970
93.000000,0.500000,2668.915494
94.000000,0.500000,2712.368258
95.000000,0.500000,2756.127261
96.000000,0.500000,2800.192503
97.000000,0.500000,2844.563985
98.000000,0.500000,2889.241707
99.000000,0.500000,2934.225669
100.000000,0.500000,2979.515870
34.000000,1.000000,635.782100
35.000000,1.000000,661.628054
36.000000,1.000000,687.942490
37.000000,1.000000,714.725408
38.000000,1.000000,741.976808
39.000000,1.000000,769.696690
40.000000,1.000000,797.885054
41.000000,1.000000,826.541900
42.000000,1.000000,855.667228
43.000000,1.000000,885.261038
44.000000,1.000000,914.619106
45.000000,1.000000,943.744481
46.000000,1.000000,973.284704
47.000000,1.000000,1003.239772
48.000000,1.000000,1033.609688
49.000000,1.000000,1064.394450
50.000000,1.000000,1095.594058
51.000000,1.000000,1127.208513
52.000000,1.000000,1159.237815
53.000000,1.000000,1191.349243
54.000000,1.000000,1223.273969
55.000000,1.000000,1255.582972
56.000000,1.000000,1288.276253
57.000000,1.000000,1321.353812
58.000000,1.000000,1354.815649
59.000000,1.000000,1388.661764
60.000000,1.000000,1422.892156
61.000000,1.000000,1457.506826
62.000000,1.000000,1491.276599
63.000000,1.000000,1525.320942
64.000000,1.000000,1559.710644
65.000000,1.000000,1594.445707
66.000000,1.000000,1629.526129
67.000000,1.000000,1664.951911
68.000000,1.000000,1700.723052
69.000000,1.000000,1736.839553
70.000000,1.000000,1773.003532
71.000000,1.000000,1809.490282
72.000000,1.000000,1846.313524
73.000000,1.000000,1883.473258
74.000000,1.000000,1920.969484
75.000000,1.000000,1958.802201
76.000000,1.000000,1996.971410
77.000000,1.000000,2035.068854
78.000000,1.000000,2073.007897
79.000000,1.000000,2111.260359
80.000000,1.000000,2149.826238
81.000000,1.000000,2188.705537
82.000000,1.000000,2227.898253
83.000000,1.000000,2267.404388
84.000000,1.000000,2307.241289
85.000000,1.000000,2347.440770
86.000000,1.000000,2387.953147
87.000000,1.000000,2428.778422
88.000000,1.000000,2469.916593
89.000000,1.000000,2511.367660
90.000000,1.000000,2553.131624
91.000000,1.000000,2595.461021
92.000000,1.000000,2638.411818
93.000000,1.000000,2681.669274
94.000000,1.000000,2725.233390
95.000000,1.000000,2769.104166
96.000000,1.000000,2813.281602
97.000000,1.000000,2857.765697
98.000000,1.000000,2902.556452
99.000000,1.000000,2947.653867
100.000000,1.000000,2993.057942
34.000000,1.500000,640.435747
35.000000,1.500000,666.435811
36.000000,1.500000,692.906982
37.000000,1.500000,719.849261
38.000000,1.500000,747.262647
39.000000,1.500000,775.147141
40.000000,1.500000,803.502743
41.000000,1.500000,832.329452
42.000000,1.500000,861.627269
43.000000,1.500000,891.396194
44.000000,1.500000,920.632452
45.000000,1.500000,949.915804
46.000000,1.500000,979.616164
47.000000,1.500000,1009.733534
48.000000,1.500000,1040.267911
49.000000,1.500000,1071.219298
50.000000,1.500000,1102.587693
51.000000,1.500000,1134.373097
52.000000,1.500000,1166.575510
53.000000,1.500000,1198.648344
54.000000,1.500000,1230.742376
55.000000,1.500000,1263.222725
56.000000,1.500000,1296.089392
57.000000,1.500000,1329.342377
58.000000,1.500000,1362.981678
59.000000,1.500000,1397.007297
60.000000,1.500000,1431.419234
61.000000,1.500000,1465.910498
62.000000,1.500000,1499.778329
63.000000,1.500000,1533.957007
64.000000,1.500000,1568.482078
65.000000,1.500000,1603.353542
66.000000,1.500000,1638.571399
67.000000,1.500000,1674.135648
68.000000,1.500000,1710.046290
69.000000,1.500000,1746.235551
70.000000,1.500000,1782.545297
71.000000,1.500000,1819.186024
72.000000,1.500000,1856.164621
73.000000,1.500000,1893.481089
74.000000,1.500000,1931.135427
75.000000,1.500000,1969.127636
76.000000,1.500000,2007.452569
77.000000,1.500000,2045.459652
78.000000,1.500000,2083.544265
79.000000,1.500000,2121.943290
80.000000,1.500000,2160.656729
81.000000,1.500000,2199.684582
82.000000,1.500000,2239.026847
83.000000,1.500000,2278.683526
84.000000,1.500000,2318.681317
85.000000,1.500000,2359.021447
86.000000,1.500000,2399.675489
87.000000,1.500000,2440.643444
88.000000,1.500000,2481.925310
89.000000,1.500000,2523.521089
90.000000,1.500000,2565.439692
91.000000,1.500000,2608.037488
92.000000,1.500000,2651.099197
93.000000,1.500000,2694.467989
94.000000,1.500000,2738.143862
95.000000,1.500000,2782.126817
96.000000,1.500000,2826.416854
97.000000,1.500000,2871.013973
98.000000,1.500000,2915.918174
99.000000,1.500000,2961.129456
100.000000,1.500000,3006.647820
33.000000,2.000000,619.421454
34.000000,2.000000,645.102331
35.000000,2.000000,671.256949
36.000000,2.000000,697.885307
37.000000,2.000000,724.987406
38.000000,2.000000,752.563246
39.000000,2.000000,780.612826
