weight_g,420.000000
thrust_N,velocity_m_s,power_W
34.000000,0.000000,567.940821
35.000000,0.000000,592.031442
36.000000,0.000000,616.571270
37.000000,0.000000,641.560306
38.000000,0.000000,666.998550
39.000000,0.000000,692.886002
40.000000,0.000000,719.222661
41.000000,0.000000,746.008529
42.000000,0.000000,773.243605
43.000000,0.000000,800.927888
44.000000,0.000000,829.061380
45.000000,0.000000,856.374602
46.000000,0.000000,884.070486
47.000000,0.000000,912.162915
48.000000,0.000000,940.651887
49.000000,0.000000,969.537403
50.000000,0.000000,998.819463
51.000000,0.000000,1028.498066
52.000000,0.000000,1058.573213
53.000000,0.000000,1089.044904
54.000000,0.000000,1119.307528
55.000000,0.000000,1149.678746
56.000000,0.000000,1180.414967
57.000000,0.000000,1211.516189
58.000000,0.000000,1242.982414
59.000000,0.000000,1274.813640
60.000000,0.000000,1307.009868
61.000000,0.000000,1339.571098
62.000000,0.000000,1372.451954
63.000000,0.000000,1405.334469
64.000000,0.000000,1438.569007
65.000000,0.000000,1472.155568
66.000000,0.000000,1506.094152
67.000000,0.000000,1540.384759
68.000000,0.000000,1575.027389
69.000000,0.000000,1610.022042
70.000000,0.000000,1645.233951
71.000000,0.000000,1679.940331
72.000000,0.000000,1714.968902
73.000000,0.000000,1750.319664
74.000000,0.000000,1785.992618
75.000000,0.000000,1821.987764
76.000000,0.000000,1858.305101
77.000000,0.000000,1894.944630
78.000000,0.000000,1931.906350
79.000000,0.000000,1969.190262
80.000000,0.000000,2006.796366
81.000000,0.000000,2044.724660
82.000000,0.000000,2082.975147
83.000000,0.000000,2121.547825
84.000000,0.000000,2160.442695
85.000000,0.000000,2199.577215
86.000000,0.000000,2238.824663
87.000000,0.000000,2278.377035
88.000000,0.000000,2318.234331
89.000000,0.000000,2358.396552
90.000000,0.000000,2398.863696
91.000000,0.000000,2439.635764
92.000000,0.000000,2480.709063
93.000000,0.000000,2522.081386
94.000000,0.000000,2563.758142
95.000000,0.000000,2605.739330
96.000000,0.000000,2648.024951
97.000000,0.000000,2690.615005
98.000000,0.000000,2733.509491
99.000000,0.000000,2777.481057
100.000000,0.000000,2821.937365
34.000000,0.500000,572.585698
35.000000,0.500000,596.813076
36.000000,0.500000,621.491745
37.000000,0.500000,646.621707
38.000000,0.500000,672.202961
39.000000,0.500000,698.235507
40.000000,0.500000,724.719345
41.000000,0.500000,751.654476
42.000000,0.500000,779.040899
43.000000,0.500000,806.878614
44.000000,0.500000,834.908676
45.000000,0.500000,862.369785
46.000000,0.500000,890.222433
47.000000,0.500000,918.473596
48.000000,0.500000,947.123273
49.000000,0.500000,976.171465
50.000000,0.500000,1005.618171
51.000000,0.500000,1035.463392
52.000000,0.500000,1065.707128
53.000000,0.500000,1096.277240
54.000000,0.500000,1126.582631
55.000000,0.500000,1157.126272
56.000000,0.500000,1188.037008
57.000000,0.500000,1219.314840
58.000000,0.500000,1250.959767
59.000000,0.500000,1282.971789
60.000000,0.500000,1315.350906
61.000000,0.500000,1348.097118
62.000000,0.500000,1381.057973
63.000000,0.500000,1414.122392
64.000000,0.500000,1447.540824
65.000000,0.500000,1481.313270
66.000000,0.500000,1515.439730
67.000000,0.500000,1549.920204
68.000000,0.500000,1584.754692
69.000000,0.500000,1619.943193
70.000000,0.500000,1655.046370
71.000000,0.500000,1689.899102
72.000000,0.500000,1725.075080
73.000000,0.500000,1760.574302
74.000000,0.500000,1796.396770
75.000000,0.500000,1832.542482
76.000000,0.500000,1869.011439
77.000000,0.500000,1905.803641
78.000000,0.500000,1942.919088
79.000000,0.500000,1980.357780
80.000000,0.500000,2018.119717
81.000000,0.500000,2056.204899
82.000000,0.500000,2094.613325
83.000000,0.500000,2133.344997
84.000000,0.500000,2172.399913
85.000000,0.500000,2211.603450
86.000000,0.500000,2251.001377
87.000000,0.500000,2290.705338
88.000000,0.500000,2330.715331
89.000000,0.500000,2371.031358
