weight_g,60.000000
thrust_N,velocity_m_s,power_W
36.000000,0.000000,1073.039540
37.000000,0.000000,1124.116302
38.000000,0.000000,1176.355519
39.000000,0.000000,1229.757193
40.000000,0.000000,1284.321322
41.000000,0.000000,1340.047907
42.000000,0.000000,1396.936947
43.000000,0.000000,1454.988444
44.000000,0.000000,1514.202396
45.000000,0.000000,1574.578803
46.000000,0.000000,1636.103226
47.000000,0.000000,1697.759193
48.000000,0.000000,1760.534070
49.000000,0.000000,1824.427855
50.000000,0.000000,1889.440549
51.000000,0.000000,1955.572153
52.000000,0.000000,2022.822665
53.000000,0.000000,2091.192087
54.000000,0.000000,2160.680417
55.000000,0.000000,2231.287657
56.000000,0.000000,2302.855286
57.000000,0.000000,2375.212996
58.000000,0.000000,2448.671987
59.000000,0.000000,2523.232259
60.000000,0.000000,2598.893810
61.000000,0.000000,2675.656642
62.000000,0.000000,2753.520755
63.000000,0.000000,2832.486148
64.000000,0.000000,2912.552821
65.000000,0.000000,2993.533847
66.000000,0.000000,3075.368866
67.000000,0.000000,3158.290682
68.000000,0.000000,3242.299295
69.000000,0.000000,3327.394704
70.000000,0.000000,3413.576910
71.000000,0.000000,3500.845912
72.000000,0.000000,3589.201711
73.000000,0.000000,3678.623194
74.000000,0.000000,3768.869520
75.000000,0.000000,3860.193884
76.000000,0.000000,3952.596287
77.000000,0.000000,4046.076729
78.000000,0.000000,4140.635209
79.000000,0.000000,4236.271728
80.000000,0.000000,4332.986285
81.000000,0.000000,4430.734903
82.000000,0.000000,4529.305360
83.000000,0.000000,4628.945507
84.000000,0.000000,4729.655344
85.000000,0.000000,4831.434871
86.000000,0.000000,4934.284088
87.000000,0.000000,5038.202996
88.000000,0.000000,5143.191593
89.000000,0.000000,5249.485884
90.000000,0.000000,5357.043183
91.000000,0.000000,5465.677912
92.000000,0.000000,5575.390071
93.000000,0.000000,5686.179659
94.000000,0.000000,5798.046676
95.000000,0.000000,5910.991123
96.000000,0.000000,6025.652402
97.000000,0.000000,6142.638598
98.000000,0.000000,6260.734329
99.000000,0.000000,6379.939592
100.000000,0.000000,6500.254389
36.000000,0.500000,1084.505575
37.000000,0.500000,1135.967969
38.000000,0.500000,1188.598442
39.000000,0.500000,1242.396995
40.000000,0.500000,1297.363627
41.000000,0.500000,1353.498339
42.000000,0.500000,1410.801130
43.000000,0.500000,1469.272000
44.000000,0.500000,1528.910949
45.000000,0.500000,1589.717979
46.000000,0.500000,1651.456091
47.000000,0.500000,1713.576666
48.000000,0.500000,1776.822811
49.000000,0.500000,1841.194527
50.000000,0.500000,1906.691812
51.000000,0.500000,1973.314668
52.000000,0.500000,2041.063094
53.000000,0.500000,2109.937090
54.000000,0.500000,2179.936656
55.000000,0.500000,2251.061792
56.000000,0.500000,2323.014654
57.000000,0.500000,2395.880118
58.000000,0.500000,2469.852917
59.000000,0.500000,2544.933054
60.000000,0.500000,2621.120527
61.000000,0.500000,2698.415337
62.000000,0.500000,2776.817484
63.000000,0.500000,2856.326967
64.000000,0.500000,2936.943387
65.000000,0.500000,3018.290437
66.000000,0.500000,3100.611351
67.000000,0.500000,3184.023187
68.000000,0.500000,3268.525945
69.000000,0.500000,3354.119624
70.000000,0.500000,3440.804225
71.000000,0.500000,3528.579747
72.000000,0.500000,3617.446191
73.000000,0.500000,3707.308419
74.000000,0.500000,3798.083636
75.000000,0.500000,3889.941332
76.000000,0.500000,3982.881505
77.000000,0.500000,4076.904156
78.000000,0.500000,4172.009284
79.000000,0.500000,4268.196890
80.000000,0.500000,4365.466974
81.000000,0.500000,4463.685139
82.000000,0.500000,4562.819552
83.000000,0.500000,4663.028083
84.000000,0.500000,4764.310733
85.000000,0.500000,4866.667502
86.000000,0.500000,4970.098390
87.000000,0.500000,5074.603397
88.000000,0.500000,5180.218185
89.000000,0.500000,5287.166683
90.000000,0.500000,5395.289461
91.000000,0.500000,5504.493442
92.000000,0.500000,5614.778626
93.000000,0.500000,5726.145012
94.000000,0.500000,5838.592601
95.000000,0.500000,5952.135479
96.000000,0.500000,6067.973993
97.000000,0.500000,6185.534840
98.000000,0.500000,6304.208482
99.000000,0.500000,6423.994920
100.000000,0.500000,6544.894154
35.000000,1.000000,1045.354382
36.000000,1.000000,1096.029962
37.000000,1.000000,1147.879259
38.000000,1.000000,1200.902272
39.000000,1.000000,1255.099002
40.000000,1.000000,1310.469448
41.000000,1.000000,1367.013612
42.000000,1.000000,1424.731491
43.000000,1.000000,1483.623088
44.000000,1.000000,1543.688401
45.000000,1.000000,1604.927430
46.000000,1.000000,1666.878123
47.000000,1.000000,1729.464971
48.000000,1.000000,1793.184070
49.000000,1.000000,1858.035419
50.000000,1.000000,1924.019020
51.000000,1.000000,1991.134872
52.000000,1.000000,2059.382974
53.000000,1.000000,2128.763328
54.000000,1.000000,2199.275933
55.000000,1.000000,2270.920789
56.000000,1.000000,2343.259250
57.000000,1.000000,2416.634158
58.000000,1.000000,2491.122476
59.000000,1.000000,2566.724204
60.000000,1.000000,2643.439341
61.000000,1.000000,2721.267888
62.000000,1.000000,2800.209844
63.000000,1.000000,2880.265210
64.000000,1.000000,2961.433181
65.000000,1.000000,3043.146185
66.000000,1.000000,3125.954243
67.000000,1.000000,3209.857355
68.000000,1.000000,3294.855522
69.000000,1.000000,3380.948743
70.000000,1.000000,3468.137018
71.000000,1.000000,3556.420348
72.000000,1.000000,3645.798732
73.000000,1.000000,3736.102194
74.000000,1.000000,3827.407718
75.000000,1.000000,3919.800169
76.000000,1.000000,4013.279546
77.000000,1.000000,4107.845849
78.000000,1.000000,4203.499077
79.000000,1.000000,4300.239232
80.000000,1.000000,4398.066312
81.000000,1.000000,4496.754573
82.000000,1.000000,4596.454422
83.000000,1.000000,4697.232827
84.000000,1.000000,4799.089789
85.000000,1.000000,4902.025307
86.000000,1.000000,5006.039382
87.000000,1.000000,5111.132014
88.000000,1.000000,5217.374748
89.000000,1.000000,5324.979349
90.000000,1.000000,5433.668932
91.000000,1.000000,5543.443498
92.000000,1.000000,5654.303046
93.000000,1.000000,5766.247577
94.000000,1.000000,5879.277090
95.000000,1.000000,5993.419842
96.000000,1.000000,6110.440457
97.000000,1.000000,6228.577134
98.000000,1.000000,6347.829874
99.000000,1.000000,6468.198676
100.000000,1.000000,6589.683541
35.000000,1.500000,1056.614802
36.000000,1.500000,1107.677100
37.000000,1.500000,1159.918888
38.000000,1.500000,1213.340166
39.000000,1.500000,1267.940934
40.000000,1.500000,1323.721192
41.000000,1.500000,1380.680941
42.000000,1.500000,1438.820181
43.000000,1.500000,1498.138910
44.000000,1.500000,1558.637130
45.000000,1.500000,1620.314840
46.000000,1.500000,1682.510164
47.000000,1.500000,1745.567446
48.000000,1.500000,1809.763680
49.000000,1.500000,1875.098864
50.000000,1.500000,1941.572999
51.000000,1.500000,2009.186085
52.000000,1.500000,2077.938122
53.000000,1.500000,2147.829109
54.000000,1.500000,2218.859048
55.000000,1.500000,2290.930570
56.000000,1.500000,2363.742167
57.000000,1.500000,2437.634696
58.000000,1.500000,2512.646848
59.000000,1.500000,2588.778622
60.000000,1.500000,2666.030018
61.000000,1.500000,2744.401037
62.000000,1.500000,2823.891678
63.000000,1.500000,2904.501942
64.000000,1.500000,2986.032537
65.000000,1.500000,3068.232480
66.000000,1.500000,3151.531644
67.000000,1.500000,3235.930029
68.000000,1.500000,3321.427633
69.000000,1.500000,3408.024459
70.000000,1.500000,3495.720505
71.000000,1.500000,3584.515771
72.000000,1.500000,3674.381554
73.000000,1.500000,3765.172594
74.000000,1.500000,3857.012362
75.000000,1.500000,3949.943525
76.000000,1.500000,4043.966084
77.000000,1.500000,4139.080039
78.000000,1.500000,4235.285389
79.000000,1.500000,4332.582134
80.000000,1.500000,4430.915081
81.000000,1.500000,4530.135722
82.000000,1.500000,4630.405733
83.000000,1.500000,4731.758773
84.000000,1.500000,4834.194841
85.000000,1.500000,4937.713937
86.000000,1.500000,5042.316062
87.000000,1.500000,5148.001216
88.000000,1.500000,5254.926789
89.000000,1.500000,5363.101526
90.000000,1.500000,5472.365111
91.000000,1.500000,5582.717545
92.000000,1.500000,5694.158829
93.000000,1.500000,5806.688961
94.000000,1.500000,5920.307943
95.000000,1.500000,6035.631031
96.000000,1.500000,6153.227931
97.000000,1.500000,6271.944182
98.000000,1.500000,6391.779784
99.000000,1.500000,6512.734736
100.000000,1.500000,6634.809039
35.000000,2.000000,1067.932959
36.000000,2.000000,1119.383265
37.000000,2.000000,1172.018850
38.000000,2.000000,1225.839712
39.000000,2.000000,1280.845852
40.000000,2.000000,1337.037271
41.000000,2.000000,1394.413968
42.000000,2.000000,1452.975942
43.000000,2.000000,1512.723195
44.000000,2.000000,1573.655727
45.000000,2.000000,1635.773536
46.000000,2.000000,1698.212641
47.000000,2.000000,1761.742039
48.000000,2.000000,1826.417106
49.000000,2.000000,1892.237845
50.000000,2.000000,1959.204253
51.000000,2.000000,2027.316332
52.000000,2.000000,2096.574081
53.000000,2.000000,2166.977500
54.000000,2.000000,2238.526590
55.000000,2.000000,2311.025575
56.000000,2.000000,2384.311612
57.000000,2.000000,2458.723502
58.000000,2.000000,2534.261245
59.000000,2.000000,2610.924839
60.000000,2.000000,2688.714287
61.000000,2.000000,2767.629586
62.000000,2.000000,2847.670739
63.000000,2.000000,2928.837743
64.000000,2.000000,3010.730843
65.000000,2.000000,3093.418981
66.000000,2.000000,3177.210514
67.000000,2.000000,3262.105441
68.000000,2.000000,3348.103763
69.000000,2.000000,3435.205479
70.000000,2.000000,3523.410589
71.000000,2.000000,3612.719094
72.000000,2.000000,3703.073265
73.000000,2.000000,3794.352829
74.000000,2.000000,3886.728268
75.000000,2.000000,3980.199581
76.000000,2.000000,4074.766768
77.000000,2.000000,4170.429829
78.000000,2.000000,4267.188765
79.000000,2.000000,4365.043574
80.000000,2.000000,4463.883292
81.000000,2.000000,4563.637453
82.000000,2.000000,4664.479123
83.000000,2.000000,4766.408304
84.000000,2.000000,4869.424993
85.000000,2.000000,4973.529193
86.000000,2.000000,5078.720901
87.000000,2.000000,5185.000120
88.000000,2.000000,5292.610606
89.000000,2.000000,5401.356831
90.000000,2.000000,5511.195779
91.000000,2.000000,5622.127450
92.000000,2.000000,5734.151843
93.000000,2.000000,5847.268959
94.000000,2.000000,5961.478797
95.000000,2.000000,6077.987108
96.000000,2.000000,6196.161479
97.000000,2.000000,6315.458495
98.000000,2.000000,6435.878155
99.000000,2.000000,6557.420459
100.000000,2.000000,6680.085406
35.000000,2.500000,1079.078041
36.000000,2.500000,1130.964591
37.000000,2.500000,1184.044493
38.000000,2.500000,1238.317748
39.000000,2.500000,1293.784357
40.000000,2.500000,1350.444318
41.000000,2.500000,1408.297632
42.000000,2.500000,1467.344299
43.000000,2.500000,1527.584319
44.000000,2.500000,1589.017692
45.000000,2.500000,1651.443531
46.000000,2.500000,1714.320976
47.000000,2.500000,1778.322701
48.000000,2.500000,1843.476557
49.000000,2.500000,1909.782544
50.000000,2.500000,1977.240661
51.000000,2.500000,2045.850910
52.000000,2.500000,2115.613289
53.000000,2.500000,2186.527798
54.000000,2.500000,2258.594439
55.000000,2.500000,2331.451458
56.000000,2.500000,2405.234122
57.000000,2.500000,2480.148198
58.000000,2.500000,2556.193686
59.000000,2.500000,2633.370587
60.000000,2.500000,2711.678900
61.000000,2.500000,2791.118625
62.000000,2.500000,2871.689762
63.000000,2.500000,2953.345826
64.000000,2.500000,3035.579383
65.000000,2.500000,3118.765766
66.000000,2.500000,3203.059927
67.000000,2.500000,3288.461866
68.000000,2.500000,3374.971582
69.000000,2.500000,3462.589076
70.000000,2.500000,3551.314348
71.000000,2.500000,3641.147398
72.000000,2.500000,3731.968801
73.000000,2.500000,3823.787392
74.000000,2.500000,3916.706452
75.000000,2.500000,4010.725982
76.000000,2.500000,4105.845980
77.000000,2.500000,4202.066447
78.000000,2.500000,4299.387384
79.000000,2.500000,4397.808155
80.000000,2.500000,4497.129215
81.000000,2.500000,4597.455307
82.000000,2.500000,4698.873425
83.000000,2.500000,4801.383568
84.000000,2.500000,4904.985737
85.000000,2.500000,5009.679930
86.000000,2.500000,5115.466148
87.000000,2.500000,5222.399899
88.000000,2.500000,5330.606647
89.000000,2.500000,5439.931655
90.000000,2.500000,5550.353347
91.000000,2.500000,5661.871723
92.000000,2.500000,5774.486783
93.000000,2.500000,5888.198528
94.000000,2.500000,6003.307081
95.000000,2.500000,6120.664207
96.000000,2.500000,6239.419814
97.000000,2.500000,6359.301379
98.000000,2.500000,6480.308904
99.000000,2.500000,6602.442388
100.000000,2.500000,6725.701831
35.000000,3.000000,1090.278830
36.000000,3.000000,1142.603382
37.000000,3.000000,1196.129390
38.000000,3.000000,1250.856852
39.000000,3.000000,1306.785770
40.000000,3.000000,1363.916143
41.000000,3.000000,1422.247971
42.000000,3.000000,1481.781254
43.000000,3.000000,1542.515992
44.000000,3.000000,1604.452185
45.000000,3.000000,1667.185771
46.000000,3.000000,1730.502859
47.000000,3.000000,1794.978556
48.000000,3.000000,1860.612863
49.000000,3.000000,1927.405778
50.000000,3.000000,1995.357304
51.000000,3.000000,2064.467438
52.000000,3.000000,2134.736182
53.000000,3.000000,2206.163535
54.000000,3.000000,2278.749497
55.000000,3.000000,2351.964624
56.000000,3.000000,2426.245469
57.000000,3.000000,2501.663300
58.000000,3.000000,2578.218117
59.000000,3.000000,2655.909919
60.000000,3.000000,2734.738707
61.000000,3.000000,2814.704480
62.000000,3.000000,2895.807240
63.000000,3.000000,2977.953558
64.000000,3.000000,3060.527333
65.000000,3.000000,3144.213279
66.000000,3.000000,3229.011394
67.000000,3.000000,3314.921679
68.000000,3.000000,3401.944134
69.000000,3.000000,3490.078758
70.000000,3.000000,3579.325552
71.000000,3.000000,3669.684516
72.000000,3.000000,3760.973833
73.000000,3.000000,3853.332910
74.000000,3.000000,3946.797060
75.000000,3.000000,4041.366283
76.000000,3.000000,4137.040580
77.000000,3.000000,4233.819951
78.000000,3.000000,4331.704395
79.000000,3.000000,4430.692638
80.000000,3.000000,4530.495617
81.000000,3.000000,4631.395147
82.000000,3.000000,4733.391226
83.000000,3.000000,4836.483856
84.000000,3.000000,4940.673035
85.000000,3.000000,5045.958765
86.000000,3.000000,5152.341045
87.000000,3.000000,5259.931223
88.000000,3.000000,5368.735749
89.000000,3.000000,5478.640928
90.000000,3.000000,5589.646759
91.000000,3.000000,5701.753244
92.000000,3.000000,5814.960382
93.000000,3.000000,5929.268173
94.000000,3.000000,6045.278640
95.000000,3.000000,6163.487399
96.000000,3.000000,6282.825438
97.000000,3.000000,6403.292756
98.000000,3.000000,6524.889353
99.000000,3.000000,6647.615228
100.000000,3.000000,6771.470383
35.000000,3.500000,1101.618762
36.000000,3.500000,1154.410457
37.000000,3.500000,1208.412872
38.000000,3.500000,1263.626006
39.000000,3.500000,1320.049860
40.000000,3.500000,1377.684433
41.000000,3.500000,1436.529726
42.000000,3.500000,1496.585738
43.000000,3.500000,1557.852470
44.000000,3.500000,1620.329921
45.000000,3.500000,1683.297205
46.000000,3.500000,1747.072068
47.000000,3.500000,1812.011437
48.000000,3.500000,1878.115310
49.000000,3.500000,1945.383687
50.000000,3.500000,2013.816570
51.000000,3.500000,2083.413957
52.000000,3.500000,2154.175850
53.000000,3.500000,2226.102247
54.000000,3.500000,2299.061883
55.000000,3.500000,2372.714715
56.000000,3.500000,2447.473587
57.000000,3.500000,2523.374323
58.000000,3.500000,2600.416921
59.000000,3.500000,2678.601381
60.000000,3.500000,2757.927705
61.000000,3.500000,2838.395892
62.000000,3.500000,2920.005941
63.000000,3.500000,3002.450288
64.000000,3.500000,3085.544834
65.000000,3.500000,3169.756618
66.000000,3.500000,3255.085640
67.000000,3.500000,3341.531898
68.000000,3.500000,3429.095395
69.000000,3.500000,3517.776129
70.000000,3.500000,3607.574100
71.000000,3.500000,3698.443413
72.000000,3.500000,3790.274105
73.000000,3.500000,3883.197185
74.000000,3.500000,3977.230410
75.000000,3.500000,4072.373780
76.000000,3.500000,4168.627297
77.000000,3.500000,4265.990958
78.000000,3.500000,4364.464765
79.000000,3.500000,4463.951009
80.000000,3.500000,4564.340654
81.000000,3.500000,4665.831641
82.000000,3.500000,4768.423971
83.000000,3.500000,4872.117645
84.000000,3.500000,4976.912661
85.000000,3.500000,5082.809020
86.000000,3.500000,5189.818840
87.000000,3.500000,5298.058280
88.000000,3.500000,5407.459653
89.000000,3.500000,5517.965935
90.000000,3.500000,5629.577128
91.000000,3.500000,5742.293230
92.000000,3.500000,5856.114243
93.000000,3.500000,5971.069345
94.000000,3.500000,6088.175530
95.000000,3.500000,6206.950060
96.000000,3.500000,6326.856821
97.000000,3.500000,6447.895814
98.000000,3.500000,6570.067038
99.000000,3.500000,6693.370493
100.000000,3.500000,6817.806179
34.000000,4.000000,1060.974440
35.000000,4.000000,1113.015281
36.000000,4.000000,1166.276140
37.000000,4.000000,1220.757020
38.000000,4.000000,1276.457918
39.000000,4.000000,1333.378837
40.000000,4.000000,1391.519774
41.000000,4.000000,1450.880731
42.000000,4.000000,1511.461707
43.000000,4.000000,1573.262703
44.000000,4.000000,1636.283718
45.000000,4.000000,1699.483597
46.000000,4.000000,1763.717743
47.000000,4.000000,1829.122305
48.000000,4.000000,1895.697282
49.000000,4.000000,1963.442675
50.000000,4.000000,2032.358483
51.000000,4.000000,2102.444706
52.000000,4.000000,2173.701344
53.000000,4.000000,2246.128398
54.000000,4.000000,2319.461973
55.000000,4.000000,2393.553491
56.000000,4.000000,2468.791760
57.000000,4.000000,2545.176778
58.000000,4.000000,2622.708548
59.000000,4.000000,2701.387068
60.000000,4.000000,2781.212339
