weight_g,420.000000
thrust_N,velocity_m_s,power_W
36.000000,0.000000,579.092177
37.000000,0.000000,602.396495
38.000000,0.000000,626.113900
39.000000,0.000000,650.244391
40.000000,0.000000,674.787968
41.000000,0.000000,699.744632
42.000000,0.000000,725.114382
43.000000,0.000000,750.897219
44.000000,0.000000,777.093142
45.000000,0.000000,803.702151
46.000000,0.000000,830.708439
47.000000,0.000000,857.000203
48.000000,0.000000,883.659215
49.000000,0.000000,910.685475
50.000000,0.000000,938.078984
51.000000,0.000000,965.839741
52.000000,0.000000,993.967746
53.000000,0.000000,1022.462999
54.000000,0.000000,1051.325500
55.000000,0.000000,1080.555250
56.000000,0.000000,1109.932364
57.000000,0.000000,1139.221436
58.000000,0.000000,1168.854550
59.000000,0.000000,1198.831705
60.000000,0.000000,1229.152903
61.000000,0.000000,1259.818142
62.000000,0.000000,1290.827423
63.000000,0.000000,1322.180745
64.000000,0.000000,1353.878110
65.000000,0.000000,1385.585354
66.000000,0.000000,1417.196109
67.000000,0.000000,1449.127141
68.000000,0.000000,1481.378448
69.000000,0.000000,1513.950030
70.000000,0.000000,1546.841888
71.000000,0.000000,1580.054022
72.000000,0.000000,1613.586431
73.000000,0.000000,1647.396957
74.000000,0.000000,1681.005582
75.000000,0.000000,1714.918725
76.000000,0.000000,1749.136386
77.000000,0.000000,1783.658564
78.000000,0.000000,1818.485261
79.000000,0.000000,1853.616475
80.000000,0.000000,1889.052207
81.000000,0.000000,1924.705639
82.000000,0.000000,1960.158711
83.000000,0.000000,1995.901365
84.000000,0.000000,2031.933600
85.000000,0.000000,2068.255418
86.000000,0.000000,2104.866818
87.000000,0.000000,2141.767800
88.000000,0.000000,2178.958364
89.000000,0.000000,2216.397552
90.000000,0.000000,2254.091236
91.000000,0.000000,2292.071188
92.000000,0.000000,2330.337408
93.000000,0.000000,2368.889896
94.000000,0.000000,2407.728652
95.000000,0.000000,2446.853676
96.000000,0.000000,2486.143996
97.000000,0.000000,2525.478946
98.000000,0.000000,2565.085726
99.000000,0.000000,2604.964334
100.000000,0.000000,2645.114772
36.000000,0.500000,583.950774
37.000000,0.500000,607.396232
38.000000,0.500000,631.256936
39.000000,0.500000,655.532887
40.000000,0.500000,680.224085
41.000000,0.500000,705.330529
42.000000,0.500000,730.852220
43.000000,0.500000,756.789158
44.000000,0.500000,783.141342
45.000000,0.500000,809.908774
46.000000,0.500000,836.818591
47.000000,0.500000,863.269349
48.000000,0.500000,890.089485
49.000000,0.500000,917.278999
50.000000,0.500000,944.837890
51.000000,0.500000,972.766159
52.000000,0.500000,1001.063805
53.000000,0.500000,1029.730830
54.000000,0.500000,1058.767231
55.000000,0.500000,1088.173011
56.000000,0.500000,1117.550247
57.000000,0.500000,1147.005787
58.000000,0.500000,1176.807259
59.000000,0.500000,1206.954663
60.000000,0.500000,1237.447998
61.000000,0.500000,1268.287265
62.000000,0.500000,1299.472464
63.000000,0.500000,1331.003595
64.000000,0.500000,1362.880075
65.000000,0.500000,1394.523335
66.000000,0.500000,1426.278573
67.000000,0.500000,1458.355220
68.000000,0.500000,1490.753277
69.000000,0.500000,1523.472744
70.000000,0.500000,1556.513619
71.000000,0.500000,1589.875905
72.000000,0.500000,1623.559600
73.000000,0.500000,1657.365769
74.000000,0.500000,1691.134532
75.000000,0.500000,1725.209205
76.000000,0.500000,1759.589788
77.000000,0.500000,1794.276281
78.000000,0.500000,1829.268683
79.000000,0.500000,1864.566996
80.000000,0.500000,1900.171218
81.000000,0.500000,1935.804585
82.000000,0.500000,1971.413251
83.000000,0.500000,2007.312563
84.000000,0.500000,2043.502520
85.000000,0.500000,2079.983124
86.000000,0.500000,2116.754373
87.000000,0.500000,2153.816268
88.000000,0.500000,2191.161632
89.000000,0.500000,2228.748033
90.000000,0.500000,2266.605872
91.000000,0.500000,2304.751187
92.000000,0.500000,2343.183980
93.000000,0.500000,2381.904249
94.000000,0.500000,2420.911995
95.000000,0.500000,2460.204150
96.000000,0.500000,2499.526060
97.000000,0.500000,2539.005974
98.000000,0.500000,2578.758481
99.000000,0.500000,2618.783581
100.000000,0.500000,2659.081274
35.000000,1.000000,565.655253
36.000000,1.000000,588.824875
37.000000,1.000000,612.411910
38.000000,1.000000,636.416358
39.000000,1.000000,660.838218
40.000000,1.000000,685.677491
41.000000,1.000000,710.934176
42.000000,1.000000,736.608274
43.000000,1.000000,762.699784
44.000000,1.000000,789.208707
45.000000,1.000000,816.135042
46.000000,1.000000,842.946142
47.000000,1.000000,869.556364
48.000000,1.000000,896.538100
49.000000,1.000000,923.891349
50.000000,1.000000,951.616112
51.000000,1.000000,979.712388
52.000000,1.000000,1008.180177
53.000000,1.000000,1037.019479
54.000000,1.000000,1066.230295
55.000000,1.000000,1095.812623
56.000000,1.000000,1125.188727
57.000000,1.000000,1154.811206
58.000000,1.000000,1184.781512
59.000000,1.000000,1215.099645
60.000000,1.000000,1245.765605
61.000000,1.000000,1276.779392
62.000000,1.000000,1308.141005
