weight_g,350.000000
thrust_N,velocity_m_s,power_W
36.000000,0.000000,584.219960
37.000000,0.000000,607.338659
38.000000,0.000000,630.859719
39.000000,0.000000,654.783142
40.000000,0.000000,679.108926
41.000000,0.000000,703.837072
42.000000,0.000000,728.967580
43.000000,0.000000,754.500449
44.000000,0.000000,780.435681
45.000000,0.000000,806.773274
46.000000,0.000000,833.496623
47.000000,0.000000,859.438372
48.000000,0.000000,885.735435
49.000000,0.000000,912.387812
50.000000,0.000000,939.395502
51.000000,0.000000,966.758507
52.000000,0.000000,994.476826
53.000000,0.000000,1022.550458
54.000000,0.000000,1050.979404
55.000000,0.000000,1079.763665
56.000000,0.000000,1108.671425
57.000000,0.000000,1137.454895
58.000000,0.000000,1166.569798
59.000000,0.000000,1196.016133
60.000000,0.000000,1225.793901
61.000000,0.000000,1255.903101
62.000000,0.000000,1286.343733
63.000000,0.000000,1317.115798
64.000000,0.000000,1348.219295
65.000000,0.000000,1379.300984
66.000000,0.000000,1410.248869
67.000000,0.000000,1441.503682
68.000000,0.000000,1473.065424
69.000000,0.000000,1504.934094
70.000000,0.000000,1537.109692
71.000000,0.000000,1569.592219
72.000000,0.000000,1602.381674
73.000000,0.000000,1635.433520
74.000000,0.000000,1668.240878
75.000000,0.000000,1701.338923
76.000000,0.000000,1734.727657
77.000000,0.000000,1768.407079
78.000000,0.000000,1802.377189
79.000000,0.000000,1836.637987
80.000000,0.000000,1871.189473
81.000000,0.000000,1905.940167
82.000000,0.000000,1940.449769
83.000000,0.000000,1975.234689
84.000000,0.000000,2010.294926
85.000000,0.000000,2045.630480
86.000000,0.000000,2081.241352
87.000000,0.000000,2117.127540
88.000000,0.000000,2153.289046
89.000000,0.000000,2189.674035
90.000000,0.000000,2226.290367
91.000000,0.000000,2263.178372
92.000000,0.000000,2300.338049
93.000000,0.000000,2337.769400
94.000000,0.000000,2375.472424
95.000000,0.000000,2413.447120
96.000000,0.000000,2451.543185
97.000000,0.000000,2489.612132
98.000000,0.000000,2527.936953
99.000000,0.000000,2566.517647
100.000000,0.000000,2605.354215
36.000000,0.500000,588.998702
37.000000,0.500000,612.255337
38.000000,0.500000,635.916451
39.000000,0.500000,659.982044
40.000000,0.500000,684.452116
41.000000,0.500000,709.326668
42.000000,0.500000,734.605699
43.000000,0.500000,760.289209
44.000000,0.500000,786.377199
45.000000,0.500000,812.869667
46.000000,0.500000,839.479481
47.000000,0.500000,865.575549
48.000000,0.500000,892.028987
49.000000,0.500000,918.839794
50.000000,0.500000,946.007971
51.000000,0.500000,973.533517
52.000000,0.500000,1001.416433
53.000000,0.500000,1029.656717
54.000000,0.500000,1058.254372
55.000000,0.500000,1087.209396
56.000000,0.500000,1116.102789
57.000000,0.500000,1145.047290
58.000000,0.500000,1174.325045
59.000000,0.500000,1203.936053
60.000000,0.500000,1233.880314
61.000000,0.500000,1264.157828
62.000000,0.500000,1294.768594
63.000000,0.500000,1325.712614
64.000000,0.500000,1356.989274
65.000000,0.500000,1387.989084
66.000000,0.500000,1419.075461
67.000000,0.500000,1450.469846
68.000000,0.500000,1482.172238
69.000000,0.500000,1514.182639
70.000000,0.500000,1546.501048
71.000000,0.500000,1579.127464
72.000000,0.500000,1612.061889
73.000000,0.500000,1645.094027
74.000000,0.500000,1678.055354
75.000000,0.500000,1711.308710
76.000000,0.500000,1744.854095
77.000000,0.500000,1778.691510
78.000000,0.500000,1812.820953
79.000000,0.500000,1847.242427
80.000000,0.500000,1881.955929
81.000000,0.500000,1916.669663
82.000000,0.500000,1951.327315
83.000000,0.500000,1986.261283
84.000000,0.500000,2021.471567
85.000000,0.500000,2056.958168
86.000000,0.500000,2092.721085
87.000000,0.500000,2128.760318
88.000000,0.500000,2165.066975
89.000000,0.500000,2201.588100
90.000000,0.500000,2238.361735
91.000000,0.500000,2275.408210
92.000000,0.500000,2312.727523
93.000000,0.500000,2350.319676
94.000000,0.500000,2388.184667
95.000000,0.500000,2426.318757
96.000000,0.500000,2464.410498
97.000000,0.500000,2502.616266
98.000000,0.500000,2541.078624
99.000000,0.500000,2579.797570
100.000000,0.500000,2618.773106
35.000000,1.000000,570.803763
36.000000,1.000000,593.792157
37.000000,1.000000,617.187153
38.000000,1.000000,640.988751
39.000000,1.000000,665.196951
40.000000,1.000000,689.811754
41.000000,1.000000,714.833158
42.000000,1.000000,740.261164
43.000000,1.000000,766.095773
44.000000,1.000000,792.336984
45.000000,1.000000,818.984796
46.000000,1.000000,845.478761
47.000000,1.000000,871.729598
48.000000,1.000000,898.339865
49.000000,1.000000,925.309563
50.000000,1.000000,952.638692
51.000000,1.000000,980.327251
52.000000,1.000000,1008.375242
53.000000,1.000000,1036.782664
54.000000,1.000000,1065.549516
55.000000,1.000000,1094.675800
56.000000,1.000000,1123.553512
57.000000,1.000000,1152.659495
58.000000,1.000000,1182.100555
59.000000,1.000000,1211.876694
60.000000,1.000000,1241.987912
61.000000,1.000000,1272.434208
62.000000,1.000000,1303.215583
63.000000,1.000000,1334.332036
64.000000,1.000000,1365.782336
65.000000,1.000000,1396.698400
66.000000,1.000000,1427.923552
67.000000,1.000000,1459.457795
68.000000,1.000000,1491.301126
69.000000,1.000000,1523.453547
70.000000,1.000000,1555.915057
71.000000,1.000000,1588.685656
72.000000,1.000000,1621.765345
73.000000,1.000000,1654.776551
74.000000,1.000000,1687.892231
75.000000,1.000000,1721.301285
76.000000,1.000000,1755.003713
77.000000,1.000000,1788.999514
78.000000,1.000000,1823.288689
79.000000,1.000000,1857.871237
80.000000,1.000000,1892.747159
81.000000,1.000000,1927.422597
82.000000,1.000000,1962.228586
83.000000,1.000000,1997.311891
84.000000,1.000000,2032.672514
85.000000,1.000000,2068.310454
86.000000,1.000000,2104.225711
87.000000,1.000000,2140.418284
88.000000,1.000000,2176.870255
89.000000,1.000000,2213.527563
90.000000,1.000000,2250.458877
91.000000,1.000000,2287.664199
92.000000,1.000000,2325.143529
93.000000,1.000000,2362.896866
94.000000,1.000000,2400.924210
95.000000,1.000000,2439.218028
96.000000,1.000000,2477.303540
97.000000,1.000000,2515.646357
98.000000,1.000000,2554.246480
99.000000,1.000000,2593.103909
100.000000,1.000000,2632.218643
35.000000,1.500000,575.508099
36.000000,1.500000,598.634778
37.000000,1.500000,622.170216
38.000000,1.500000,646.114411
39.000000,1.500000,670.467364
40.000000,1.500000,695.229076
41.000000,1.500000,720.399545
42.000000,1.500000,745.978773
43.000000,1.500000,771.966758
44.000000,1.500000,798.363502
45.000000,1.500000,825.169004
46.000000,1.500000,851.552592
47.000000,1.500000,877.959597
48.000000,1.500000,904.728109
49.000000,1.500000,931.858126
50.000000,1.500000,959.349650
51.000000,1.500000,987.202680
52.000000,1.500000,1015.417215
53.000000,1.500000,1043.993257
54.000000,1.500000,1072.930805
55.000000,1.500000,1102.099619
56.000000,1.500000,1131.086437
57.000000,1.500000,1160.356524
58.000000,1.500000,1189.963550
59.000000,1.500000,1219.907515
60.000000,1.500000,1250.188419
61.000000,1.500000,1280.806262
62.000000,1.500000,1311.761043
63.000000,1.500000,1343.052763
64.000000,1.500000,1374.421386
65.000000,1.500000,1405.476224
66.000000,1.500000,1436.841241
67.000000,1.500000,1468.516438
68.000000,1.500000,1500.501813
69.000000,1.500000,1532.797368
70.000000,1.500000,1565.403102
71.000000,1.500000,1598.319015
72.000000,1.500000,1631.477552
73.000000,1.500000,1664.549081
74.000000,1.500000,1697.820449
75.000000,1.500000,1731.386545
76.000000,1.500000,1765.247369
77.000000,1.500000,1799.402920
78.000000,1.500000,1833.853199
79.000000,1.500000,1868.598206
80.000000,1.500000,1903.510236
81.000000,1.500000,1938.261073
82.000000,1.500000,1973.216530
83.000000,1.500000,2008.450312
84.000000,1.500000,2043.962419
85.000000,1.500000,2079.752851
86.000000,1.500000,2115.821609
87.000000,1.500000,2152.168691
88.000000,1.500000,2188.750220
89.000000,1.500000,2225.566250
90.000000,1.500000,2262.657475
91.000000,1.500000,2300.023895
92.000000,1.500000,2337.665510
93.000000,1.500000,2375.582321
94.000000,1.500000,2413.774327
95.000000,1.500000,2452.055125
96.000000,1.500000,2490.277838
97.000000,1.500000,2528.758579
98.000000,1.500000,2567.497348
99.000000,1.500000,2606.494144
100.000000,1.500000,2645.748967
35.000000,2.000000,580.226997
36.000000,2.000000,603.492389
37.000000,2.000000,627.168701
38.000000,2.000000,651.255932
39.000000,2.000000,675.754083
40.000000,2.000000,700.663154
41.000000,2.000000,725.983144
42.000000,2.000000,751.714054
43.000000,2.000000,777.855883
44.000000,2.000000,804.408632
45.000000,2.000000,831.372301
46.000000,2.000000,857.643187
47.000000,2.000000,884.206817
48.000000,2.000000,911.134034
49.000000,2.000000,938.424839
50.000000,2.000000,966.079230
51.000000,2.000000,994.097209
52.000000,2.000000,1022.478775
53.000000,2.000000,1051.223928
54.000000,2.000000,1080.332668
55.000000,2.000000,1109.543240
56.000000,2.000000,1138.639088
57.000000,2.000000,1168.073741
58.000000,2.000000,1197.847198
59.000000,2.000000,1227.959459
