weight_g,450.000000
thrust_N,velocity_m_s,power_W
36.000000,0.000000,661.909479
37.000000,0.000000,686.615153
38.000000,0.000000,711.732636
39.000000,0.000000,737.261929
40.000000,0.000000,763.203032
41.000000,0.000000,789.555945
42.000000,0.000000,816.320667
43.000000,0.000000,843.497200
44.000000,0.000000,871.085542
45.000000,0.000000,899.085694
46.000000,0.000000,927.476501
47.000000,0.000000,954.773987
48.000000,0.000000,982.429396
49.000000,0.000000,1010.442730
50.000000,0.000000,1038.813987
51.000000,0.000000,1067.543168
52.000000,0.000000,1096.630272
53.000000,0.000000,1126.075300
54.000000,0.000000,1155.878253
55.000000,0.000000,1186.039128
56.000000,0.000000,1216.262093
57.000000,0.000000,1246.233057
58.000000,0.000000,1276.534665
59.000000,0.000000,1307.166917
60.000000,0.000000,1338.129812
61.000000,0.000000,1369.423352
62.000000,0.000000,1401.047537
63.000000,0.000000,1433.002365
64.000000,0.000000,1465.287837
65.000000,0.000000,1497.453110
66.000000,0.000000,1529.357669
67.000000,0.000000,1561.564962
68.000000,0.000000,1594.074990
69.000000,0.000000,1626.887753
70.000000,0.000000,1660.003251
71.000000,0.000000,1693.421483
72.000000,0.000000,1727.142451
73.000000,0.000000,1761.109712
74.000000,0.000000,1794.682109
75.000000,0.000000,1828.538865
76.000000,0.000000,1862.679980
77.000000,0.000000,1897.105454
78.000000,0.000000,1931.815287
79.000000,0.000000,1966.809478
80.000000,0.000000,2002.088029
81.000000,0.000000,2037.536289
82.000000,0.000000,2072.603588
83.000000,0.000000,2107.937978
84.000000,0.000000,2143.539459
85.000000,0.000000,2179.408029
86.000000,0.000000,2215.543691
87.000000,0.000000,2251.946442
88.000000,0.000000,2288.616284
89.000000,0.000000,2325.464408
90.000000,0.000000,2362.505636
91.000000,0.000000,2399.809449
92.000000,0.000000,2437.375847
93.000000,0.000000,2475.204832
94.000000,0.000000,2513.296401
95.000000,0.000000,2551.650557
96.000000,0.000000,2590.018605
97.000000,0.000000,2628.159496
98.000000,0.000000,2666.543726
99.000000,0.000000,2705.171296
100.000000,0.000000,2744.042206
36.000000,0.500000,666.856304
37.000000,0.500000,691.704731
38.000000,0.500000,716.967168
39.000000,0.500000,742.643614
40.000000,0.500000,768.734071
41.000000,0.500000,795.238537
42.000000,0.500000,822.157012
43.000000,0.500000,849.489498
44.000000,0.500000,877.235993
45.000000,0.500000,905.396498
46.000000,0.500000,933.603623
47.000000,0.500000,961.057520
48.000000,0.500000,988.871400
49.000000,0.500000,1017.045264
50.000000,0.500000,1045.579111
51.000000,0.500000,1074.472941
52.000000,0.500000,1103.726755
53.000000,0.500000,1133.340552
54.000000,0.500000,1163.314333
55.000000,0.500000,1193.648097
56.000000,0.500000,1223.808928
57.000000,0.500000,1253.942003
58.000000,0.500000,1284.407538
59.000000,0.500000,1315.205533
60.000000,0.500000,1346.335988
61.000000,0.500000,1377.798903
62.000000,0.500000,1409.594278
63.000000,0.500000,1441.722113
64.000000,0.500000,1474.181633
65.000000,0.500000,1506.201666
66.000000,0.500000,1538.242581
67.000000,0.500000,1570.587279
68.000000,0.500000,1603.235762
69.000000,0.500000,1636.188030
70.000000,0.500000,1669.444082
71.000000,0.500000,1703.003918
72.000000,0.500000,1736.867539
73.000000,0.500000,1770.768124
74.000000,0.500000,1804.493951
75.000000,0.500000,1838.505474
76.000000,0.500000,1872.802693
77.000000,0.500000,1907.385608
78.000000,0.500000,1942.254219
79.000000,0.500000,1977.408526
80.000000,0.500000,2012.848530
81.000000,0.500000,2048.208140
82.000000,0.500000,2083.418717
83.000000,0.500000,2118.897329
84.000000,0.500000,2154.643976
85.000000,0.500000,2190.658658
86.000000,0.500000,2226.941375
87.000000,0.500000,2263.492128
88.000000,0.500000,2300.296111
89.000000,0.500000,2337.264439
90.000000,0.500000,2374.461586
91.000000,0.500000,2411.922483
92.000000,0.500000,2449.647130
93.000000,0.500000,2487.635527
94.000000,0.500000,2525.887674
95.000000,0.500000,2564.397536
96.000000,0.500000,2602.661526
97.000000,0.500000,2640.933047
98.000000,0.500000,2679.448581
99.000000,0.500000,2718.208130
100.000000,0.500000,2757.211693
35.000000,1.000000,647.241956
36.000000,1.000000,671.817350
37.000000,1.000000,696.808960
38.000000,1.000000,722.216785
39.000000,1.000000,748.040826
40.000000,1.000000,774.281082
41.000000,1.000000,800.937553
42.000000,1.000000,828.010240
43.000000,1.000000,855.499142
44.000000,1.000000,883.404260
45.000000,1.000000,911.725593
46.000000,1.000000,939.746446
47.000000,1.000000,967.357192
48.000000,1.000000,995.329987
49.000000,1.000000,1023.664831
50.000000,1.000000,1052.361724
51.000000,1.000000,1081.420666
52.000000,1.000000,1110.841657
53.000000,1.000000,1140.624697
54.000000,1.000000,1170.769786
55.000000,1.000000,1201.276924
56.000000,1.000000,1231.374123
57.000000,1.000000,1261.669747
58.000000,1.000000,1292.299651
59.000000,1.000000,1323.263836
60.000000,1.000000,1354.562302
61.000000,1.000000,1386.195048
62.000000,1.000000,1418.162075
63.000000,1.000000,1450.463383
64.000000,1.000000,1483.097417
65.000000,1.000000,1514.970120
66.000000,1.000000,1547.147659
67.000000,1.000000,1579.630034
68.000000,1.000000,1612.417244
69.000000,1.000000,1645.509291
70.000000,1.000000,1678.906173
71.000000,1.000000,1712.607892
72.000000,1.000000,1746.614446
73.000000,1.000000,1780.446974
74.000000,1.000000,1814.326606
75.000000,1.000000,1848.493273
76.000000,1.000000,1882.946977
77.000000,1.000000,1917.687717
78.000000,1.000000,1952.715494
79.000000,1.000000,1988.030307
80.000000,1.000000,2023.632157
81.000000,1.000000,2058.901618
82.000000,1.000000,2094.255737
83.000000,1.000000,2129.878837
84.000000,1.000000,2165.770919
85.000000,1.000000,2201.931982
86.000000,1.000000,2238.362026
87.000000,1.000000,2275.061052
88.000000,1.000000,2311.999293
89.000000,1.000000,2349.087809
90.000000,1.000000,2386.441243
91.000000,1.000000,2424.059593
92.000000,1.000000,2461.942860
93.000000,1.000000,2500.091044
94.000000,1.000000,2538.504145
95.000000,1.000000,2577.170033
96.000000,1.000000,2615.327703
97.000000,1.000000,2653.730062
98.000000,1.000000,2692.377112
99.000000,1.000000,2731.268850
100.000000,1.000000,2770.405278
35.000000,1.500000,652.113028
36.000000,1.500000,676.831459
37.000000,1.500000,701.968342
38.000000,1.500000,727.523678
39.000000,1.500000,753.497466
40.000000,1.500000,779.889707
41.000000,1.500000,806.700399
42.000000,1.500000,833.929545
43.000000,1.500000,861.577142
44.000000,1.500000,889.643192
45.000000,1.500000,918.127694
46.000000,1.500000,945.965775
47.000000,1.500000,973.734835
48.000000,1.500000,1001.868025
49.000000,1.500000,1030.365345
50.000000,1.500000,1059.226794
51.000000,1.500000,1088.452374
52.000000,1.500000,1118.042083
53.000000,1.500000,1147.995923
54.000000,1.500000,1178.313892
55.000000,1.500000,1208.830892
56.000000,1.500000,1239.023758
57.000000,1.500000,1269.484541
58.000000,1.500000,1300.281459
59.000000,1.500000,1331.414513
60.000000,1.500000,1362.883701
61.000000,1.500000,1394.689024
62.000000,1.500000,1426.830482
63.000000,1.500000,1459.308075
64.000000,1.500000,1491.797186
65.000000,1.500000,1523.806520
66.000000,1.500000,1556.121749
67.000000,1.500000,1588.742875
68.000000,1.500000,1621.669896
69.000000,1.500000,1654.902813
70.000000,1.500000,1688.441626
71.000000,1.500000,1722.286334
72.000000,1.500000,1756.351009
73.000000,1.500000,1790.217873
74.000000,1.500000,1824.252679
75.000000,1.500000,1858.575872
76.000000,1.500000,1893.187452
77.000000,1.500000,1928.087419
78.000000,1.500000,1963.275773
79.000000,1.500000,1998.752514
80.000000,1.500000,2034.357040
81.000000,1.500000,2069.678359
82.000000,1.500000,2105.177099
83.000000,1.500000,2140.945775
84.000000,1.500000,2176.984385
85.000000,1.500000,2213.292929
86.000000,1.500000,2249.871408
87.000000,1.500000,2286.719821
88.000000,1.500000,2323.767038
89.000000,1.500000,2361.012863
90.000000,1.500000,2398.524789
91.000000,1.500000,2436.302817
