weight_g,219.000000
thrust_N,velocity_m_s,power_W
36.000000,0.000000,582.677679
37.000000,0.000000,606.404750
38.000000,0.000000,630.558993
39.000000,0.000000,655.140408
40.000000,0.000000,680.148994
41.000000,0.000000,705.584753
42.000000,0.000000,731.447683
43.000000,0.000000,757.737785
44.000000,0.000000,784.455059
45.000000,0.000000,811.599504
46.000000,0.000000,839.155702
47.000000,0.000000,866.038941
48.000000,0.000000,893.304109
49.000000,0.000000,920.951205
50.000000,0.000000,948.980230
51.000000,0.000000,977.391184
52.000000,0.000000,1006.184066
53.000000,0.000000,1035.358876
54.000000,0.000000,1064.915615
55.000000,0.000000,1094.854282
56.000000,0.000000,1124.961309
57.000000,0.000000,1155.007861
58.000000,0.000000,1185.413520
59.000000,0.000000,1216.178285
60.000000,0.000000,1247.302156
61.000000,0.000000,1278.785133
62.000000,0.000000,1310.627216
63.000000,0.000000,1342.828406
64.000000,0.000000,1375.388702
65.000000,0.000000,1407.984638
66.000000,0.000000,1440.513033
67.000000,0.000000,1473.377228
68.000000,0.000000,1506.577221
69.000000,0.000000,1540.113012
70.000000,0.000000,1573.984603
71.000000,0.000000,1608.191991
72.000000,0.000000,1642.735179
73.000000,0.000000,1677.573373
74.000000,0.000000,1712.242005
75.000000,0.000000,1747.230989
76.000000,0.000000,1782.540325
77.000000,0.000000,1818.170014
78.000000,0.000000,1854.120055
79.000000,0.000000,1890.390448
80.000000,0.000000,1926.981193
81.000000,0.000000,1963.808170
82.000000,0.000000,2000.466209
83.000000,0.000000,2037.429948
84.000000,0.000000,2074.699387
85.000000,0.000000,2112.274527
86.000000,0.000000,2150.155368
87.000000,0.000000,2188.341909
88.000000,0.000000,2226.834151
89.000000,0.000000,2265.599572
90.000000,0.000000,2304.642529
91.000000,0.000000,2343.988162
92.000000,0.000000,2383.636469
93.000000,0.000000,2423.587453
94.000000,0.000000,2463.841111
95.000000,0.000000,2504.397444
96.000000,0.000000,2545.158401
97.000000,0.000000,2586.025151
98.000000,0.000000,2627.181338
99.000000,0.000000,2668.626963
100.000000,0.000000,2710.362027
36.000000,0.500000,587.653510
37.000000,0.500000,611.526178
38.000000,0.500000,635.828240
39.000000,0.500000,660.559696
40.000000,0.500000,685.720546
41.000000,0.500000,711.310790
42.000000,0.500000,737.330429
43.000000,0.500000,763.779461
44.000000,0.500000,790.657888
45.000000,0.500000,817.965708
46.000000,0.500000,845.437160
47.000000,0.500000,872.485279
48.000000,0.500000,899.917545
49.000000,0.500000,927.733959
50.000000,0.500000,955.934520
51.000000,0.500000,984.519229
52.000000,0.500000,1013.488085
53.000000,0.500000,1042.841088
54.000000,0.500000,1072.578239
55.000000,0.500000,1102.699537
56.000000,0.500000,1132.818118
57.000000,0.500000,1163.037813
58.000000,0.500000,1193.618586
59.000000,0.500000,1224.560438
60.000000,0.500000,1255.863370
61.000000,0.500000,1287.527380
62.000000,0.500000,1319.552470
63.000000,0.500000,1351.938639
64.000000,0.500000,1384.685321
65.000000,0.500000,1417.230843
66.000000,0.500000,1449.910655
67.000000,0.500000,1482.927462
68.000000,0.500000,1516.281263
69.000000,0.500000,1549.972058
70.000000,0.500000,1583.999848
71.000000,0.500000,1618.364631
72.000000,0.500000,1653.066409
73.000000,0.500000,1687.912812
74.000000,0.500000,1722.748931
75.000000,0.500000,1757.906856
76.000000,0.500000,1793.386586
77.000000,0.500000,1829.188121
78.000000,0.500000,1865.311461
79.000000,0.500000,1901.756605
80.000000,0.500000,1938.523555
81.000000,0.500000,1975.344294
82.000000,0.500000,2012.166400
83.000000,0.500000,2049.295341
84.000000,0.500000,2086.731118
85.000000,0.500000,2124.473730
86.000000,0.500000,2162.523177
87.000000,0.500000,2200.879460
88.000000,0.500000,2239.536722
89.000000,0.500000,2278.460675
90.000000,0.500000,2317.675851
91.000000,0.500000,2357.194963
92.000000,0.500000,2397.018009
93.000000,0.500000,2437.144990
94.000000,0.500000,2477.575906
95.000000,0.500000,2518.308213
96.000000,0.500000,2559.131426
97.000000,0.500000,2600.152151
98.000000,0.500000,2641.463130
99.000000,0.500000,2683.064365
100.000000,0.500000,2724.955855
35.000000,1.000000,569.058637
36.000000,1.000000,592.645733
37.000000,1.000000,616.664452
38.000000,1.000000,641.114793
39.000000,1.000000,665.996756
40.000000,1.000000,691.310342
41.000000,1.000000,717.055549
42.000000,1.000000,743.232378
43.000000,1.000000,769.840829
44.000000,1.000000,796.880903
45.000000,1.000000,824.352598
46.000000,1.000000,851.737101
47.000000,1.000000,878.950594
48.000000,1.000000,906.550460
49.000000,1.000000,934.536699
50.000000,1.000000,962.909310
51.000000,1.000000,991.668294
52.000000,1.000000,1020.813651
53.000000,1.000000,1050.345380
54.000000,1.000000,1080.263483
55.000000,1.000000,1110.567958
56.000000,1.000000,1140.696885
57.000000,1.000000,1171.090217
