weight_g,415.000000
thrust_N,velocity_m_s,power_W
37.000000,0.000000,591.724651
38.000000,0.000000,614.777325
39.000000,0.000000,638.230394
40.000000,0.000000,662.083859
41.000000,0.000000,686.337720
42.000000,0.000000,710.991975
43.000000,0.000000,736.046627
44.000000,0.000000,761.501674
45.000000,0.000000,787.357116
46.000000,0.000000,813.612954
47.000000,0.000000,840.269187
48.000000,0.000000,866.146228
49.000000,0.000000,892.053629
50.000000,0.000000,918.304120
51.000000,0.000000,944.897703
52.000000,0.000000,971.834375
53.000000,0.000000,999.114139
54.000000,0.000000,1026.736993
55.000000,0.000000,1054.702937
56.000000,0.000000,1083.011972
57.000000,0.000000,1111.664098
58.000000,0.000000,1140.257577
59.000000,0.000000,1169.124385
60.000000,0.000000,1198.319544
61.000000,0.000000,1227.843053
62.000000,0.000000,1257.694912
63.000000,0.000000,1287.875122
64.000000,0.000000,1318.383682
65.000000,0.000000,1349.220593
66.000000,0.000000,1380.385854
67.000000,0.000000,1410.916114
68.000000,0.000000,1441.582562
69.000000,0.000000,1472.545768
70.000000,0.000000,1503.805731
71.000000,0.000000,1535.362452
72.000000,0.000000,1567.215930
73.000000,0.000000,1599.366166
74.000000,0.000000,1631.813160
75.000000,0.000000,1664.556911
76.000000,0.000000,1697.597420
77.000000,0.000000,1730.934687
78.000000,0.000000,1764.568711
79.000000,0.000000,1798.499493
80.000000,0.000000,1832.727033
81.000000,0.000000,1867.251330
82.000000,0.000000,1902.072385
83.000000,0.000000,1936.775464
84.000000,0.000000,1970.878971
85.000000,0.000000,2005.248300
86.000000,0.000000,2039.883449
87.000000,0.000000,2074.784419
88.000000,0.000000,2109.951211
89.000000,0.000000,2145.383824
90.000000,0.000000,2181.082258
91.000000,0.000000,2216.969870
92.000000,0.000000,2253.058312
93.000000,0.000000,2289.409516
94.000000,0.000000,2326.023484
95.000000,0.000000,2362.900214
96.000000,0.000000,2400.039707
97.000000,0.000000,2437.441963
98.000000,0.000000,2475.106982
99.000000,0.000000,2513.034764
100.000000,0.000000,2551.225308
37.000000,0.500000,596.382071
38.000000,0.500000,619.590993
39.000000,0.500000,643.203040
40.000000,0.500000,667.218211
41.000000,0.500000,691.636506
42.000000,0.500000,716.457926
43.000000,0.500000,741.682470
44.000000,0.500000,767.310138
45.000000,0.500000,793.340931
46.000000,0.500000,819.774847
47.000000,0.500000,846.409045
48.000000,0.500000,872.259007
49.000000,0.500000,898.296202
50.000000,0.500000,924.677824
51.000000,0.500000,951.403876
52.000000,0.500000,978.474356
53.000000,0.500000,1005.889264
54.000000,0.500000,1033.648601
55.000000,0.500000,1061.752366
56.000000,0.500000,1090.200560
57.000000,0.500000,1118.912426
58.000000,0.500000,1147.634068
59.000000,0.500000,1176.658273
60.000000,0.500000,1206.012687
61.000000,0.500000,1235.697308
62.000000,0.500000,1265.712138
63.000000,0.500000,1296.057176
64.000000,0.500000,1326.732422
65.000000,0.500000,1357.737876
66.000000,0.500000,1388.837239
67.000000,0.500000,1419.429185
68.000000,0.500000,1450.238395
69.000000,0.500000,1481.345524
70.000000,0.500000,1512.750571
71.000000,0.500000,1544.453536
72.000000,0.500000,1576.454419
73.000000,0.500000,1608.753221
74.000000,0.500000,1641.349940
75.000000,0.500000,1674.244577
76.000000,0.500000,1707.437133
77.000000,0.500000,1740.927606
78.000000,0.500000,1774.715998
79.000000,0.500000,1808.802308
80.000000,0.500000,1843.186536
81.000000,0.500000,1877.868682
82.000000,0.500000,1912.848746
83.000000,0.500000,1947.315529
84.000000,0.500000,1981.574481
85.000000,0.500000,2016.100626
86.000000,0.500000,2050.893965
87.000000,0.500000,2085.954497
88.000000,0.500000,2121.282222
89.000000,0.500000,2156.877142
90.000000,0.500000,2192.719951
91.000000,0.500000,2228.711907
92.000000,0.500000,2264.936286
93.000000,0.500000,2301.424190
94.000000,0.500000,2338.175619
95.000000,0.500000,2375.190571
96.000000,0.500000,2412.469048
97.000000,0.500000,2450.011050
98.000000,0.500000,2487.816575
99.000000,0.500000,2525.885625
100.000000,0.500000,2564.218199
36.000000,1.000000,578.092561
37.000000,1.000000,601.052372
38.000000,1.000000,624.418045
39.000000,1.000000,648.189581
40.000000,1.000000,672.366979
41.000000,1.000000,696.950239
42.000000,1.000000,721.939362
43.000000,1.000000,747.334347
44.000000,1.000000,773.135195
45.000000,1.000000,799.341905
46.000000,1.000000,825.954477
47.000000,1.000000,852.565106
48.000000,1.000000,878.386593
49.000000,1.000000,904.553849
50.000000,1.000000,931.066874
51.000000,1.000000,957.925667
52.000000,1.000000,985.130230
53.000000,1.000000,1012.680561
54.000000,1.000000,1040.576661
55.000000,1.000000,1068.818530
56.000000,1.000000,1097.406168
57.000000,1.000000,1126.177272
58.000000,1.000000,1155.027255
59.000000,1.000000,1184.209309
60.000000,1.000000,1213.723435
61.000000,1.000000,1243.569631
62.000000,1.000000,1273.747899
63.000000,1.000000,1304.258238
64.000000,1.000000,1335.100648
65.000000,1.000000,1366.275129
66.000000,1.000000,1397.306915
67.000000,1.000000,1427.960077
68.000000,1.000000,1458.912318
69.000000,1.000000,1490.163641
70.000000,1.000000,1521.714044
71.000000,1.000000,1553.563527
72.000000,1.000000,1585.712091
73.000000,1.000000,1618.159736
74.000000,1.000000,1650.906461
75.000000,1.000000,1683.952266
76.000000,1.000000,1717.297152
77.000000,1.000000,1750.941118
78.000000,1.000000,1784.884166
79.000000,1.000000,1819.126293
80.000000,1.000000,1853.667501
81.000000,1.000000,1888.507790
82.000000,1.000000,1923.647159
83.000000,1.000000,1957.874498
84.000000,1.000000,1992.289314
85.000000,1.000000,2026.972699
86.000000,1.000000,2061.924653
