weight_g,450.000000
thrust_N,velocity_m_s,power_W
36.000000,0.000000,701.385230
37.000000,0.000000,726.522011
38.000000,0.000000,752.065900
39.000000,0.000000,778.016897
40.000000,0.000000,804.375001
41.000000,0.000000,831.140213
42.000000,0.000000,858.312533
43.000000,0.000000,885.891960
44.000000,0.000000,913.878495
45.000000,0.000000,942.272138
46.000000,0.000000,971.072889
47.000000,0.000000,999.532382
48.000000,0.000000,1027.327758
49.000000,0.000000,1055.471883
50.000000,0.000000,1083.964758
51.000000,0.000000,1112.806384
52.000000,0.000000,1141.996759
53.000000,0.000000,1171.535884
54.000000,0.000000,1201.423758
55.000000,0.000000,1231.660383
56.000000,0.000000,1262.245758
57.000000,0.000000,1292.754025
58.000000,0.000000,1322.988805
59.000000,0.000000,1353.543360
60.000000,0.000000,1384.417689
61.000000,0.000000,1415.611793
62.000000,0.000000,1447.125671
63.000000,0.000000,1478.959323
64.000000,0.000000,1511.112750
65.000000,0.000000,1543.585952
66.000000,0.000000,1576.125627
67.000000,0.000000,1607.979296
68.000000,0.000000,1640.121198
69.000000,0.000000,1672.551331
70.000000,0.000000,1705.269696
71.000000,0.000000,1738.276293
72.000000,0.000000,1771.571122
73.000000,0.000000,1805.154182
74.000000,0.000000,1839.025475
75.000000,0.000000,1872.831727
76.000000,0.000000,1906.572804
77.000000,0.000000,1940.586075
78.000000,0.000000,1974.871540
79.000000,0.000000,2009.429198
80.000000,0.000000,2044.259050
81.000000,0.000000,2079.361096
82.000000,0.000000,2114.735335
83.000000,0.000000,2150.094550
84.000000,0.000000,2184.999263
85.000000,0.000000,2220.155085
86.000000,0.000000,2255.562017
87.000000,0.000000,2291.220059
88.000000,0.000000,2327.129212
89.000000,0.000000,2363.289475
90.000000,0.000000,2399.700847
91.000000,0.000000,2436.350105
92.000000,0.000000,2473.228320
93.000000,0.000000,2510.356693
94.000000,0.000000,2547.735225
95.000000,0.000000,2585.363915
96.000000,0.000000,2623.242762
97.000000,0.000000,2661.371768
98.000000,0.000000,2699.750932
99.000000,0.000000,2737.563427
100.000000,0.000000,2775.493897
36.000000,0.500000,708.164589
37.000000,0.500000,733.481508
38.000000,0.500000,759.207864
39.000000,0.500000,785.343658
40.000000,0.500000,811.888888
41.000000,0.500000,838.843555
42.000000,0.500000,866.207659
43.000000,0.500000,893.981200
44.000000,0.500000,922.164177
45.000000,0.500000,950.756592
46.000000,0.500000,979.751777
47.000000,0.500000,1007.905082
48.000000,0.500000,1035.900522
49.000000,0.500000,1064.246969
50.000000,0.500000,1092.944423
51.000000,0.500000,1121.992885
52.000000,0.500000,1151.392353
53.000000,0.500000,1181.142828
54.000000,0.500000,1211.244311
55.000000,0.500000,1241.696800
56.000000,0.500000,1272.464454
57.000000,0.500000,1302.881837
58.000000,0.500000,1333.322989
59.000000,0.500000,1364.085900
60.000000,0.500000,1395.170571
61.000000,0.500000,1426.577000
62.000000,0.500000,1458.305188
63.000000,0.500000,1490.355136
64.000000,0.500000,1522.726843
65.000000,0.500000,1555.420308
66.000000,0.500000,1587.710293
67.000000,0.500000,1619.749405
68.000000,0.500000,1652.078241
69.000000,0.500000,1684.696799
70.000000,0.500000,1717.605081
71.000000,0.500000,1750.803086
72.000000,0.500000,1784.290815
73.000000,0.500000,1818.068266
74.000000,0.500000,1852.040480
75.000000,0.500000,1885.858726
76.000000,0.500000,1919.780943
77.000000,0.500000,1953.976540
78.000000,0.500000,1988.445515
79.000000,0.500000,2023.187869
80.000000,0.500000,2058.203602
81.000000,0.500000,2093.492714
82.000000,0.500000,2129.015022
83.000000,0.500000,2164.211447
84.000000,0.500000,2199.306017
85.000000,0.500000,2234.652980
86.000000,0.500000,2270.252335
87.000000,0.500000,2306.104083
88.000000,0.500000,2342.208224
89.000000,0.500000,2378.564757
90.000000,0.500000,2415.168048
91.000000,0.500000,2451.996078
92.000000,0.500000,2489.064676
93.000000,0.500000,2526.384498
94.000000,0.500000,2563.955545
95.000000,0.500000,2601.777816
96.000000,0.500000,2639.851311
97.000000,0.500000,2678.176031
98.000000,0.500000,2716.381940
99.000000,0.500000,2754.294671
100.000000,0.500000,2792.380065
36.000000,1.000000,714.974764
37.000000,1.000000,740.472458
38.000000,1.000000,766.381924
39.000000,1.000000,792.703163
40.000000,1.000000,819.436173
41.000000,1.000000,846.580957
42.000000,1.000000,874.137512
43.000000,1.000000,902.105840
44.000000,1.000000,930.485941
45.000000,1.000000,959.277813
46.000000,1.000000,988.468059
47.000000,1.000000,1016.310996
48.000000,1.000000,1044.507204
49.000000,1.000000,1073.056684
50.000000,1.000000,1101.959436
51.000000,1.000000,1131.215459
52.000000,1.000000,1160.824754
53.000000,1.000000,1190.787320
54.000000,1.000000,1221.103157
55.000000,1.000000,1251.772266
56.000000,1.000000,1282.722632
57.000000,1.000000,1313.047093
58.000000,1.000000,1343.695304
59.000000,1.000000,1374.667264
60.000000,1.000000,1405.962975
61.000000,1.000000,1437.582435
62.000000,1.000000,1469.525644
63.000000,1.000000,1501.792604
64.000000,1.000000,1534.383313
65.000000,1.000000,1567.297772
66.000000,1.000000,1599.334690
67.000000,1.000000,1631.559794
68.000000,1.000000,1664.076117
69.000000,1.000000,1696.883658
70.000000,1.000000,1729.982417
71.000000,1.000000,1763.372395
72.000000,1.000000,1797.053591
73.000000,1.000000,1831.026006
74.000000,1.000000,1865.098905
75.000000,1.000000,1898.928166
76.000000,1.000000,1933.031993
77.000000,1.000000,1967.410387
78.000000,1.000000,2002.063348
79.000000,1.000000,2036.990875
80.000000,1.000000,2072.192969
81.000000,1.000000,2107.669629
82.000000,1.000000,2143.340161
83.000000,1.000000,2178.371439
84.000000,1.000000,2213.656395
85.000000,1.000000,2249.195030
86.000000,1.000000,2284.987343
87.000000,1.000000,2321.033334
88.000000,1.000000,2357.333004
89.000000,1.000000,2393.886352
90.000000,1.000000,2430.682053
91.000000,1.000000,2467.689209
92.000000,1.000000,2504.948659
93.000000,1.000000,2542.460400
94.000000,1.000000,2580.224435
95.000000,1.000000,2618.240762
96.000000,1.000000,2656.509383
97.000000,1.000000,2695.030295
98.000000,1.000000,2733.059786
