weight_g,47.000000
thrust_N,velocity_m_s,power_W
37.000000,0.000000,2585.761432
38.000000,0.000000,2716.504063
39.000000,0.000000,2850.461710
40.000000,0.000000,2987.634371
41.000000,0.000000,3128.022048
42.000000,0.000000,3271.624739
43.000000,0.000000,3418.442446
44.000000,0.000000,3568.475168
45.000000,0.000000,3721.722904
46.000000,0.000000,3878.185656
47.000000,0.000000,4037.863422
48.000000,0.000000,4200.756204
49.000000,0.000000,4366.294348
50.000000,0.000000,4535.001218
51.000000,0.000000,4706.899542
52.000000,0.000000,4881.989320
53.000000,0.000000,5060.270551
54.000000,0.000000,5241.743235
55.000000,0.000000,5426.407373
56.000000,0.000000,5614.262964
57.000000,0.000000,5805.310009
58.000000,0.000000,5999.414115
59.000000,0.000000,6195.691503
60.000000,0.000000,6395.121522
61.000000,0.000000,6597.704174
62.000000,0.000000,6803.439458
63.000000,0.000000,7012.327374
64.000000,0.000000,7224.367922
65.000000,0.000000,7439.561103
66.000000,0.000000,7657.906915
67.000000,0.000000,7879.405360
68.000000,0.000000,8104.056436
69.000000,0.000000,8331.860145
70.000000,0.000000,8562.816486
71.000000,0.000000,8796.925459
72.000000,0.000000,9034.187064
73.000000,0.000000,9274.601301
74.000000,0.000000,9518.168170
75.000000,0.000000,9764.887672
76.000000,0.000000,10014.651774
77.000000,0.000000,10267.203506
78.000000,0.000000,10522.895293
79.000000,0.000000,10781.727135
80.000000,0.000000,11043.699032
81.000000,0.000000,11308.810985
82.000000,0.000000,11577.062993
83.000000,0.000000,11848.455056
84.000000,0.000000,12122.978109
85.000000,0.000000,12400.348741
86.000000,0.000000,12680.852136
87.000000,0.000000,12964.488291
88.000000,0.000000,13251.257209
89.000000,0.000000,13541.158887
90.000000,0.000000,13834.193327
91.000000,0.000000,14130.360529
92.000000,0.000000,14429.660492
93.000000,0.000000,14732.093216
94.000000,0.000000,15037.658702
95.000000,0.000000,15346.356949
96.000000,0.000000,15658.187958
97.000000,0.000000,15973.151728
98.000000,0.000000,16291.248260
99.000000,0.000000,16612.477553
100.000000,0.000000,16937.340279
37.000000,0.500000,2617.304051
38.000000,0.500000,2749.279405
39.000000,0.500000,2884.491609
40.000000,0.500000,3022.940663
41.000000,0.500000,3164.626567
42.000000,0.500000,3309.549321
43.000000,0.500000,3457.708925
44.000000,0.500000,3609.105379
45.000000,0.500000,3763.738683
46.000000,0.500000,3921.608836
47.000000,0.500000,4082.715840
48.000000,0.500000,4246.911987
49.000000,0.500000,4413.835574
50.000000,0.500000,4583.958294
51.000000,0.500000,4757.291577
52.000000,0.500000,4933.835423
53.000000,0.500000,5113.589832
54.000000,0.500000,5296.554804
55.000000,0.500000,5482.730339
56.000000,0.500000,5672.116436
57.000000,0.500000,5864.713097
58.000000,0.500000,6060.028413
59.000000,0.500000,6257.764647
60.000000,0.500000,6458.668766
61.000000,0.500000,6662.740771
62.000000,0.500000,6869.980661
63.000000,0.500000,7080.388437
64.000000,0.500000,7293.964099
65.000000,0.500000,7510.707646
66.000000,0.500000,7730.619079
67.000000,0.500000,7953.698397
68.000000,0.500000,8179.945601
69.000000,0.500000,8409.360690
70.000000,0.500000,8641.943665
71.000000,0.500000,8877.694525
72.000000,0.500000,9116.613271
73.000000,0.500000,9358.699903
74.000000,0.500000,9603.954420
75.000000,0.500000,9852.376823
76.000000,0.500000,10103.736943
77.000000,0.500000,10358.029071
78.000000,0.500000,10615.476775
79.000000,0.500000,10876.080055
80.000000,0.500000,11139.838912
81.000000,0.500000,11406.753345
