weight_g,780.000000
thrust_N,velocity_m_s,power_W
37.000000,0.000000,796.492783
38.000000,0.000000,824.290507
39.000000,0.000000,852.536914
40.000000,0.000000,881.232003
41.000000,0.000000,910.375774
42.000000,0.000000,939.968227
43.000000,0.000000,970.009361
44.000000,0.000000,1000.499178
45.000000,0.000000,1031.437677
46.000000,0.000000,1062.824858
47.000000,0.000000,1094.660721
48.000000,0.000000,1124.975476
49.000000,0.000000,1154.910008
50.000000,0.000000,1185.209235
51.000000,0.000000,1215.873155
52.000000,0.000000,1246.901768
53.000000,0.000000,1278.295075
54.000000,0.000000,1310.053076
55.000000,0.000000,1342.175770
56.000000,0.000000,1374.663158
57.000000,0.000000,1407.515240
58.000000,0.000000,1440.430903
59.000000,0.000000,1473.571144
60.000000,0.000000,1507.064578
61.000000,0.000000,1540.911204
62.000000,0.000000,1575.111022
63.000000,0.000000,1609.664034
64.000000,0.000000,1644.570238
65.000000,0.000000,1679.829635
66.000000,0.000000,1715.442224
67.000000,0.000000,1750.191056
68.000000,0.000000,1784.564488
69.000000,0.000000,1819.246407
70.000000,0.000000,1854.236812
71.000000,0.000000,1889.535704
72.000000,0.000000,1925.143082
73.000000,0.000000,1961.058947
74.000000,0.000000,1997.283298
75.000000,0.000000,2033.816135
76.000000,0.000000,2070.657459
77.000000,0.000000,2107.807270
78.000000,0.000000,2145.265567
79.000000,0.000000,2183.032350
80.000000,0.000000,2221.107620
81.000000,0.000000,2259.491376
82.000000,0.000000,2298.183618
83.000000,0.000000,2337.149526
84.000000,0.000000,2374.922562
85.000000,0.000000,2412.973571
86.000000,0.000000,2451.302554
87.000000,0.000000,2489.909509
88.000000,0.000000,2528.794437
89.000000,0.000000,2567.957339
90.000000,0.000000,2607.398213
91.000000,0.000000,2646.965205
92.000000,0.000000,2686.462227
93.000000,0.000000,2726.228102
94.000000,0.000000,2766.262833
95.000000,0.000000,2806.566418
96.000000,0.000000,2847.138858
97.000000,0.000000,2887.980152
98.000000,0.000000,2929.090301
99.000000,0.000000,2970.469305
100.000000,0.000000,3012.117163
37.000000,0.500000,800.782991
38.000000,0.500000,828.709015
39.000000,0.500000,857.085684
40.000000,0.500000,885.912997
41.000000,0.500000,915.190955
42.000000,0.500000,944.919557
43.000000,0.500000,975.098804
44.000000,0.500000,1005.728696
45.000000,0.500000,1036.809232
46.000000,0.500000,1068.340412
47.000000,0.500000,1100.121184
48.000000,0.500000,1130.203289
49.000000,0.500000,1160.278430
50.000000,0.500000,1190.720311
51.000000,0.500000,1221.528930
52.000000,0.500000,1252.704288
53.000000,0.500000,1284.246385
54.000000,0.500000,1316.155221
55.000000,0.500000,1348.430796
56.000000,0.500000,1381.073110
57.000000,0.500000,1414.046532
58.000000,0.500000,1447.063581
59.000000,0.500000,1480.371603
60.000000,0.500000,1514.035129
61.000000,0.500000,1548.054160
62.000000,0.500000,1582.428695
63.000000,0.500000,1617.158735
64.000000,0.500000,1652.244279
65.000000,0.500000,1687.685328
66.000000,0.500000,1723.317539
67.000000,0.500000,1757.826053
68.000000,0.500000,1792.300584
69.000000,0.500000,1827.084226
70.000000,0.500000,1862.176978
71.000000,0.500000,1897.578842
72.000000,0.500000,1933.289816
73.000000,0.500000,1969.309902
74.000000,0.500000,2005.639098
75.000000,0.500000,2042.277405
76.000000,0.500000,2079.224824
77.000000,0.500000,2116.481353
78.000000,0.500000,2154.046993
79.000000,0.500000,2191.921743
80.000000,0.500000,2230.105605
81.000000,0.500000,2268.598578
82.000000,0.500000,2307.400661
83.000000,0.500000,2346.083695
84.000000,0.500000,2384.014660
85.000000,0.500000,2422.225289
86.000000,0.500000,2460.715581
87.000000,0.500000,2499.485537
88.000000,0.500000,2538.535157
89.000000,0.500000,2577.864439
90.000000,0.500000,2617.473386
91.000000,0.500000,2657.005917
92.000000,0.500000,2696.605452
93.000000,0.500000,2736.474326
94.000000,0.500000,2776.612538
95.000000,0.500000,2817.020089
96.000000,0.500000,2857.696978
97.000000,0.500000,2898.643207
98.000000,0.500000,2939.858774
99.000000,0.500000,2981.343680
100.000000,0.500000,3023.097924
36.000000,1.000000,777.476214
37.000000,1.000000,805.078119
38.000000,1.000000,833.132635
39.000000,1.000000,861.639762
40.000000,1.000000,890.599499
41.000000,1.000000,920.011846
42.000000,1.000000,949.876804
43.000000,1.000000,980.194373
44.000000,1.000000,1010.964552
45.000000,1.000000,1042.187342
46.000000,1.000000,1073.862742
47.000000,1.000000,1105.587272
48.000000,1.000000,1135.434505
49.000000,1.000000,1165.650528
50.000000,1.000000,1196.235341
51.000000,1.000000,1227.188943
52.000000,1.000000,1258.511336
53.000000,1.000000,1290.202518
54.000000,1.000000,1322.262490
55.000000,1.000000,1354.691252
56.000000,1.000000,1387.488803
57.000000,1.000000,1420.583643
58.000000,1.000000,1453.702044
59.000000,1.000000,1487.178268
60.000000,1.000000,1521.012316
61.000000,1.000000,1555.204188
62.000000,1.000000,1589.753884
63.000000,1.000000,1624.661403
64.000000,1.000000,1659.926746
65.000000,1.000000,1695.549913
66.000000,1.000000,1731.201118
67.000000,1.000000,1765.467063
68.000000,1.000000,1800.042744
69.000000,1.000000,1834.928160
70.000000,1.000000,1870.123311
71.000000,1.000000,1905.628199
72.000000,1.000000,1941.442822
73.000000,1.000000,1977.567180
74.000000,1.000000,2014.001274
75.000000,1.000000,2050.745103
76.000000,1.000000,2087.798668
77.000000,1.000000,2125.161968
78.000000,1.000000,2162.835004
79.000000,1.000000,2200.817776
80.000000,1.000000,2239.110283
81.000000,1.000000,2277.712525
82.000000,1.000000,2316.624503
83.000000,1.000000,2355.022133
84.000000,1.000000,2393.111445
85.000000,1.000000,2431.482117
86.000000,1.000000,2470.134146
87.000000,1.000000,2509.067534
88.000000,1.000000,2548.282281
89.000000,1.000000,2587.778386
90.000000,1.000000,2627.555849
91.000000,1.000000,2667.053075
92.000000,1.000000,2706.755160
93.000000,1.000000,2746.727068
94.000000,1.000000,2786.968799
95.000000,1.000000,2827.480352
96.000000,1.000000,2868.261729
97.000000,1.000000,2909.312928
98.000000,1.000000,2950.633950
99.000000,1.000000,2992.224794
100.000000,1.000000,3034.085462
36.000000,1.500000,781.663217
37.000000,1.500000,809.381039
38.000000,1.500000,837.553017
39.000000,1.500000,866.179153
40.000000,1.500000,895.259445
41.000000,1.500000,924.793895
42.000000,1.500000,954.782501
43.000000,1.500000,985.225264
44.000000,1.500000,1016.122184
45.000000,1.500000,1047.473261
46.000000,1.500000,1079.278495
47.000000,1.500000,1110.591223
48.000000,1.500000,1140.590459
49.000000,1.500000,1170.960965
50.000000,1.500000,1201.702740
51.000000,1.500000,1232.815785
52.000000,1.500000,1264.300100
53.000000,1.500000,1296.155685
54.000000,1.500000,1328.382539
55.000000,1.500000,1360.980663
56.000000,1.500000,1393.950056
57.000000,1.500000,1427.118568
58.000000,1.500000,1460.406046
59.000000,1.500000,1494.053713
60.000000,1.500000,1528.061570
61.000000,1.500000,1562.429616
62.000000,1.500000,1597.157852
63.000000,1.500000,1632.246278
64.000000,1.500000,1667.694893
65.000000,1.500000,1703.503698
66.000000,1.500000,1738.756609
67.000000,1.500000,1773.123214
68.000000,1.500000,1807.800178
69.000000,1.500000,1842.787504
70.000000,1.500000,1878.085190
71.000000,1.500000,1913.693236
72.000000,1.500000,1949.611643
73.000000,1.500000,1985.840411
74.000000,1.500000,2022.379539
75.000000,1.500000,2059.229028
76.000000,1.500000,2096.388878
77.000000,1.500000,2133.859088
78.000000,1.500000,2171.639658
79.000000,1.500000,2209.730589
80.000000,1.500000,2248.131881
81.000000,1.500000,2286.843534
82.000000,1.500000,2325.778179
83.000000,1.500000,2364.040321
84.000000,1.500000,2402.289721
85.000000,1.500000,2440.822189
86.000000,1.500000,2479.637723
87.000000,1.500000,2518.736325
88.000000,1.500000,2558.117993
89.000000,1.500000,2597.782727
90.000000,1.500000,2637.549550
91.000000,1.500000,2677.116551
92.000000,1.500000,2716.921273
93.000000,1.500000,2756.996302
94.000000,1.500000,2797.341638
95.000000,1.500000,2837.957282
96.000000,1.500000,2878.843232
97.000000,1.500000,2919.999489
98.000000,1.500000,2961.426053
99.000000,1.500000,3003.122924
100.000000,1.500000,3045.090102
36.000000,2.000000,785.854998
37.000000,2.000000,813.688846
38.000000,2.000000,841.978399
39.000000,2.000000,870.723657
40.000000,2.000000,899.924619
41.000000,2.000000,929.581285
42.000000,2.000000,959.693656
43.000000,2.000000,990.261732
44.000000,2.000000,1021.285512
45.000000,2.000000,1052.764997
46.000000,2.000000,1084.700186
47.000000,2.000000,1115.597683
48.000000,2.000000,1145.749270
49.000000,2.000000,1176.274614
50.000000,2.000000,1207.173717
51.000000,2.000000,1238.446577
52.000000,2.000000,1270.093196
53.000000,2.000000,1302.113572
54.000000,2.000000,1334.507706
55.000000,2.000000,1367.275598
56.000000,2.000000,1400.417248
57.000000,2.000000,1433.659199
58.000000,2.000000,1467.116176
59.000000,2.000000,1500.935717
60.000000,2.000000,1535.117820
61.000000,2.000000,1569.662487
62.000000,2.000000,1604.569717
63.000000,2.000000,1639.839510
64.000000,2.000000,1675.471867
65.000000,2.000000,1711.466786
66.000000,2.000000,1746.318074
67.000000,2.000000,1780.785388
68.000000,2.000000,1815.563688
69.000000,2.000000,1850.652974
70.000000,2.000000,1886.053246
71.000000,2.000000,1921.764504
72.000000,2.000000,1957.786747
73.000000,2.000000,1994.119976
74.000000,2.000000,2030.764191
75.000000,2.000000,2067.719392
76.000000,2.000000,2104.985579
77.000000,2.000000,2142.562751
78.000000,2.000000,2180.450909
79.000000,2.000000,2218.650054
80.000000,2.000000,2257.160183
81.000000,2.000000,2295.981299
82.000000,2.000000,2334.938091
83.000000,2.000000,2373.063223
84.000000,2.000000,2411.473135
85.000000,2.000000,2450.167826
86.000000,2.000000,2489.147298
87.000000,2.000000,2528.411549
88.000000,2.000000,2567.960580
89.000000,2.000000,2607.794390
90.000000,2.000000,2647.549875
91.000000,2.000000,2687.186480
92.000000,2.000000,2727.093876
93.000000,2.000000,2767.272064
94.000000,2.000000,2807.721042
95.000000,2.000000,2848.440812
96.000000,2.000000,2889.431373
97.000000,2.000000,2930.692725
98.000000,2.000000,2972.224868
99.000000,2.000000,3014.027802
100.000000,2.000000,3056.101528
36.000000,2.500000,790.169006
37.000000,2.500000,818.110835
38.000000,2.500000,846.509615
39.000000,2.500000,875.365345
40.000000,2.500000,904.678026
41.000000,2.500000,934.447657
42.000000,2.500000,964.674238
43.000000,2.500000,995.357769
44.000000,2.500000,1026.498251
45.000000,2.500000,1058.095683
46.000000,2.500000,1090.150066
47.000000,2.500000,1120.663077
48.000000,2.500000,1150.967821
49.000000,2.500000,1181.648811
50.000000,2.500000,1212.706048
51.000000,2.500000,1244.139531
52.000000,2.500000,1275.949261
53.000000,2.500000,1308.135238
54.000000,2.500000,1340.697461
55.000000,2.500000,1373.635930
56.000000,2.500000,1406.926351
57.000000,2.500000,1440.265121
58.000000,2.500000,1473.894863
59.000000,2.500000,1507.889591
60.000000,2.500000,1542.249302
61.000000,2.500000,1576.973999
62.000000,2.500000,1612.063680
63.000000,2.500000,1647.518346
64.000000,2.500000,1683.337997
65.000000,2.500000,1719.289412
66.000000,2.500000,1753.894572
67.000000,2.500000,1788.462731
68.000000,2.500000,1823.342501
69.000000,2.500000,1858.533882
70.000000,2.500000,1894.036875
71.000000,2.500000,1929.851479
72.000000,2.500000,1965.977695
73.000000,2.500000,2002.415523
74.000000,2.500000,2039.164962
75.000000,2.500000,2076.226012
76.000000,2.500000,2113.598674
77.000000,2.500000,2151.282947
78.000000,2.500000,2189.278832
79.000000,2.500000,2227.586328
80.000000,2.500000,2266.205436
81.000000,2.500000,2305.136155
82.000000,2.500000,2343.881467
83.000000,2.500000,2382.167148
84.000000,2.500000,2420.739335
85.000000,2.500000,2459.598028
86.000000,2.500000,2498.743228
87.000000,2.500000,2538.174934
88.000000,2.500000,2577.893147
89.000000,2.500000,2617.870799
90.000000,2.500000,2657.533860
91.000000,2.500000,2697.272742
92.000000,2.500000,2737.282899
93.000000,2.500000,2777.564332
94.000000,2.500000,2818.117039
95.000000,2.500000,2858.941023
96.000000,2.500000,2900.036282
97.000000,2.500000,2941.402816
98.000000,2.500000,2983.040625
99.000000,2.500000,3024.949710
100.000000,2.500000,3067.130071
36.000000,3.000000,794.488177
37.000000,3.000000,822.538069
38.000000,3.000000,851.046157
39.000000,3.000000,880.012441
40.000000,3.000000,909.436923
41.000000,3.000000,939.319601
42.000000,3.000000,969.660475
43.000000,3.000000,1000.459547
44.000000,3.000000,1031.716815
45.000000,3.000000,1063.432279
46.000000,3.000000,1095.605941
47.000000,3.000000,1125.731269
48.000000,3.000000,1156.189522
49.000000,3.000000,1187.026518
50.000000,3.000000,1218.242258
51.000000,3.000000,1249.836741
52.000000,3.000000,1281.809968
53.000000,3.000000,1314.161938
54.000000,3.000000,1346.892651
55.000000,3.000000,1380.002108
56.000000,3.000000,1413.441561
57.000000,3.000000,1446.877086
58.000000,3.000000,1480.680026
59.000000,3.000000,1514.850380
60.000000,3.000000,1549.388148
61.000000,3.000000,1584.293330
62.000000,3.000000,1619.565927
63.000000,3.000000,1655.205937
64.000000,3.000000,1691.213362
65.000000,3.000000,1727.120238
66.000000,3.000000,1761.477055
67.000000,3.000000,1796.146108
68.000000,3.000000,1831.127399
69.000000,3.000000,1866.420928
70.000000,3.000000,1902.026693
71.000000,3.000000,1937.944696
72.000000,3.000000,1974.174937
73.000000,3.000000,2010.717415
74.000000,3.000000,2047.572130
75.000000,3.000000,2084.739082
76.000000,3.000000,2122.218272
77.000000,3.000000,2160.009699
78.000000,3.000000,2198.113363
79.000000,3.000000,2236.529265
80.000000,3.000000,2275.257404
81.000000,3.000000,2314.297780
82.000000,3.000000,2352.829580
83.000000,3.000000,2391.276232
84.000000,3.000000,2430.011123
85.000000,3.000000,2469.034251
86.000000,3.000000,2508.345616
87.000000,3.000000,2547.945220
88.000000,3.000000,2587.833061
89.000000,3.000000,2627.954835
90.000000,3.000000,2667.524271
91.000000,3.000000,2707.365466
92.000000,3.000000,2747.478421
93.000000,3.000000,2787.863135
94.000000,3.000000,2828.519609
95.000000,3.000000,2869.447843
96.000000,3.000000,2910.647836
97.000000,3.000000,2952.119589
98.000000,3.000000,2993.863102
99.000000,3.000000,3035.878375
100.000000,3.000000,3078.165407
36.000000,3.500000,799.024360
37.000000,3.500000,827.198337
38.000000,3.500000,855.832152
39.000000,3.500000,884.925805
40.000000,3.500000,914.479295
41.000000,3.500000,944.492623
