weight_g,60.000000
thrust_N,velocity_m_s,power_W
40.000000,0.000000,1540.658424
41.000000,0.000000,1608.783375
42.000000,0.000000,1678.368213
43.000000,0.000000,1749.412940
44.000000,0.000000,1821.917554
45.000000,0.000000,1895.882056
46.000000,0.000000,1971.306446
47.000000,0.000000,2048.190724
48.000000,0.000000,2126.534889
49.000000,0.000000,2206.338943
50.000000,0.000000,2287.602884
51.000000,0.000000,2370.326713
52.000000,0.000000,2454.269894
53.000000,0.000000,2539.305318
54.000000,0.000000,2625.778400
55.000000,0.000000,2713.689141
56.000000,0.000000,2803.037540
57.000000,0.000000,2893.823597
58.000000,0.000000,2986.047313
59.000000,0.000000,3079.708687
60.000000,0.000000,3174.807719
61.000000,0.000000,3271.344409
62.000000,0.000000,3369.318758
63.000000,0.000000,3468.319453
64.000000,0.000000,3568.423339
65.000000,0.000000,3669.942221
66.000000,0.000000,3772.876099
67.000000,0.000000,3877.224973
68.000000,0.000000,3982.988842
69.000000,0.000000,4090.167708
70.000000,0.000000,4198.761570
71.000000,0.000000,4308.770428
72.000000,0.000000,4420.194282
73.000000,0.000000,4532.950498
74.000000,0.000000,4647.041402
75.000000,0.000000,4762.542408
76.000000,0.000000,4879.453516
77.000000,0.000000,4997.774725
78.000000,0.000000,5117.506035
79.000000,0.000000,5238.647447
80.000000,0.000000,5361.198960
81.000000,0.000000,5485.160575
82.000000,0.000000,5610.475149
83.000000,0.000000,5736.896597
84.000000,0.000000,5864.718432
85.000000,0.000000,5993.940653
86.000000,0.000000,6124.563260
87.000000,0.000000,6256.586254
88.000000,0.000000,6390.009634
89.000000,0.000000,6524.833401
90.000000,0.000000,6661.057554
91.000000,0.000000,6798.682093
92.000000,0.000000,6937.707019
93.000000,0.000000,7078.132331
94.000000,0.000000,7219.958030
95.000000,0.000000,7363.184115
96.000000,0.000000,7507.810586
97.000000,0.000000,7653.837444
98.000000,0.000000,7801.264689
99.000000,0.000000,7950.092319
100.000000,0.000000,8100.401306
40.000000,0.500000,1560.563441
41.000000,0.500000,1629.348234
42.000000,0.500000,1699.602647
43.000000,0.500000,1771.326680
44.000000,0.500000,1844.520334
45.000000,0.500000,1919.183608
46.000000,0.500000,1995.316502
47.000000,0.500000,2072.919016
48.000000,0.500000,2151.991151
49.000000,0.500000,2232.532905
50.000000,0.500000,2314.544280
51.000000,0.500000,2398.019189
52.000000,0.500000,2482.542141
53.000000,0.500000,2568.338315
54.000000,0.500000,2655.581541
55.000000,0.500000,2744.271818
56.000000,0.500000,2834.409146
57.000000,0.500000,2925.993525
58.000000,0.500000,3019.024955
59.000000,0.500000,3113.503437
60.000000,0.500000,3209.428969
61.000000,0.500000,3306.801553
62.000000,0.500000,3405.525354
63.000000,0.500000,3505.189246
64.000000,0.500000,3606.119797
65.000000,0.500000,3708.473832
66.000000,0.500000,3812.251352
67.000000,0.500000,3917.452357
68.000000,0.500000,4024.076847
69.000000,0.500000,4132.124822
70.000000,0.500000,4241.596282
71.000000,0.500000,4352.491227
72.000000,0.500000,4464.784769
73.000000,0.500000,4578.384739
74.000000,0.500000,4693.364862
75.000000,0.500000,4809.763091
76.000000,0.500000,4927.579425
77.000000,0.500000,5046.813865
78.000000,0.500000,5167.466410
79.000000,0.500000,5289.537061
80.000000,0.500000,5413.025818
81.000000,0.500000,5537.932680
82.000000,0.500000,5664.002551
83.000000,0.500000,5791.319434
84.000000,0.500000,5920.043314
85.000000,0.500000,6050.174191
86.000000,0.500000,6181.712065
87.000000,0.500000,6314.656937
88.000000,0.500000,6449.008806
89.000000,0.500000,6584.767672
90.000000,0.500000,6721.933536
91.000000,0.500000,6860.506396
92.000000,0.500000,7000.486254
93.000000,0.500000,7141.873110
94.000000,0.500000,7284.666962
95.000000,0.500000,7428.867812
96.000000,0.500000,7574.475659
97.000000,0.500000,7721.490503
98.000000,0.500000,7869.912345
99.000000,0.500000,8019.764297
100.000000,0.500000,8171.084173
39.000000,1.000000,1512.626147
40.000000,1.000000,1580.594265
41.000000,1.000000,1650.041768
42.000000,1.000000,1720.968655
43.000000,1.000000,1793.374928
44.000000,1.000000,1867.260586
45.000000,1.000000,1942.625628
46.000000,1.000000,2019.470055
47.000000,1.000000,2097.793867
48.000000,1.000000,2177.597064
49.000000,1.000000,2258.879646
50.000000,1.000000,2341.641612
51.000000,1.000000,2425.870714
52.000000,1.000000,2510.974309
53.000000,1.000000,2597.534378
54.000000,1.000000,2685.550922
55.000000,1.000000,2775.023941
56.000000,1.000000,2865.953434
57.000000,1.000000,2958.339402
58.000000,1.000000,3052.181844
59.000000,1.000000,3147.480762
60.000000,1.000000,3244.236153
61.000000,1.000000,3342.448020
62.000000,1.000000,3441.923568
63.000000,1.000000,3542.251925
64.000000,1.000000,3644.012280
65.000000,1.000000,3747.204635
66.000000,1.000000,3851.828990
67.000000,1.000000,3957.885343
68.000000,1.000000,4065.373696
69.000000,1.000000,4174.294048
70.000000,1.000000,4284.646399
71.000000,1.000000,4396.430750
72.000000,1.000000,4509.597019
73.000000,1.000000,4624.043431
74.000000,1.000000,4739.915974
75.000000,1.000000,4857.214650
76.000000,1.000000,4975.939459
77.000000,1.000000,5096.090400
78.000000,1.000000,5217.667473
79.000000,1.000000,5340.670679
80.000000,1.000000,5465.100017
81.000000,1.000000,5590.955488
82.000000,1.000000,5717.781785
83.000000,1.000000,5845.996910
84.000000,1.000000,5975.625658
85.000000,1.000000,6106.668030
86.000000,1.000000,6239.124026
87.000000,1.000000,6372.993645
88.000000,1.000000,6508.276889
89.000000,1.000000,6644.973755
90.000000,1.000000,6783.084246
91.000000,1.000000,6922.608360
92.000000,1.000000,7063.546098
93.000000,1.000000,7205.897459
94.000000,1.000000,7349.662444
95.000000,1.000000,7494.841053
96.000000,1.000000,7641.433285
97.000000,1.000000,7789.439141
98.000000,1.000000,7938.858621
99.000000,1.000000,8089.738034
100.000000,1.000000,8242.071833
39.000000,1.500000,1532.228472
40.000000,1.500000,1600.862896
41.000000,1.500000,1670.986856
42.000000,1.500000,1742.600351
43.000000,1.500000,1815.703381
44.000000,1.500000,1890.295947
45.000000,1.500000,1966.378049
46.000000,1.500000,2043.949685
47.000000,1.500000,2123.010858
48.000000,1.500000,2203.561566
49.000000,1.500000,2285.601809
50.000000,1.500000,2369.131588
51.000000,1.500000,2453.944335
52.000000,1.500000,2539.816204
53.000000,1.500000,2627.154222
54.000000,1.500000,2715.958387
55.000000,1.500000,2806.228702
56.000000,1.500000,2897.965164
57.000000,1.500000,2991.167775
58.000000,1.500000,3085.836534
59.000000,1.500000,3181.971441
60.000000,1.500000,3279.572497
61.000000,1.500000,3378.639701
62.000000,1.500000,3478.681072
63.000000,1.500000,3579.841121
64.000000,1.500000,3682.441784
65.000000,1.500000,3786.483059
66.000000,1.500000,3891.964948
67.000000,1.500000,3998.887448
68.000000,1.500000,4107.250562
69.000000,1.500000,4217.054289
70.000000,1.500000,4328.298628
71.000000,1.500000,4440.983580
72.000000,1.500000,4554.968406
73.000000,1.500000,4670.312299
74.000000,1.500000,4787.090503
75.000000,1.500000,4905.303017
76.000000,1.500000,5024.949841
77.000000,1.500000,5146.030976
78.000000,1.500000,5268.546421
79.000000,1.500000,5392.496176
80.000000,1.500000,5517.880241
81.000000,1.500000,5644.477112
82.000000,1.500000,5772.191871
83.000000,1.500000,5901.314475
84.000000,1.500000,6031.857393
85.000000,1.500000,6163.820626
86.000000,1.500000,6297.204173
87.000000,1.500000,6432.008035
88.000000,1.500000,6568.232211
89.000000,1.500000,6705.876703
90.000000,1.500000,6844.941508
91.000000,1.500000,6985.426629
92.000000,1.500000,7127.332064
93.000000,1.500000,7270.657814
94.000000,1.500000,7415.403878
95.000000,1.500000,7561.570257
96.000000,1.500000,7709.156951
97.000000,1.500000,7858.163959
98.000000,1.500000,8008.602295
99.000000,1.500000,8160.501294
100.000000,1.500000,8313.841202
39.000000,2.000000,1551.955064
40.000000,2.000000,1621.258747
41.000000,2.000000,1692.062151
42.000000,2.000000,1764.365276
43.000000,2.000000,1838.168121
44.000000,2.000000,1913.470688
45.000000,2.000000,1990.272975
46.000000,2.000000,2068.574983
47.000000,2.000000,2148.376711
48.000000,2.000000,2229.678161
49.000000,2.000000,2312.479331
50.000000,2.000000,2396.780222
51.000000,2.000000,2482.177484
52.000000,2.000000,2568.820841
53.000000,2.000000,2656.940053
54.000000,2.000000,2746.535118
55.000000,2.000000,2837.606037
56.000000,2.000000,2930.152810
57.000000,2.000000,3024.175438
58.000000,2.000000,3119.673919
59.000000,2.000000,3216.648254
60.000000,2.000000,3315.098443
61.000000,2.000000,3415.024486
62.000000,2.000000,3515.631749
63.000000,2.000000,3617.626663
64.000000,2.000000,3721.070829
65.000000,2.000000,3825.964247
66.000000,2.000000,3932.306918
67.000000,2.000000,4040.098840
68.000000,2.000000,4149.340015
69.000000,2.000000,4260.030441
70.000000,2.000000,4372.170120
71.000000,2.000000,4485.759050
72.000000,2.000000,4600.564783
73.000000,2.000000,4716.809416
74.000000,2.000000,4834.496561
75.000000,2.000000,4953.626217
76.000000,2.000000,5074.198384
77.000000,2.000000,5196.213063
78.000000,2.000000,5319.670254
79.000000,2.000000,5444.569955
80.000000,2.000000,5570.912168
81.000000,2.000000,5698.251419
82.000000,2.000000,5826.857328
83.000000,2.000000,5956.890258
84.000000,2.000000,6088.350210
85.000000,2.000000,6221.237183
86.000000,2.000000,6355.551177
87.000000,2.000000,6491.292192
88.000000,2.000000,6628.460230
89.000000,2.000000,6767.055288
90.000000,2.000000,6907.077368
91.000000,2.000000,7048.526469
92.000000,2.000000,7191.402592
93.000000,2.000000,7335.705736
94.000000,2.000000,7481.435901
95.000000,2.000000,7628.593088
96.000000,2.000000,7777.177296
97.000000,2.000000,7927.188525
98.000000,2.000000,8078.648818
99.000000,2.000000,8231.570456
100.000000,2.000000,8385.919471
39.000000,2.500000,1571.509210
40.000000,2.500000,1641.512507
41.000000,2.500000,1713.027194
42.000000,2.500000,1786.053270
43.000000,2.500000,1860.590737
44.000000,2.500000,1936.639594
45.000000,2.500000,2014.199840
46.000000,2.500000,2093.271477
47.000000,2.500000,2173.854503
48.000000,2.500000,2255.948920
49.000000,2.500000,2339.554726
50.000000,2.500000,2424.585140
51.000000,2.500000,2510.651309
52.000000,2.500000,2598.088028
53.000000,2.500000,2687.010905
54.000000,2.500000,2777.419941
55.000000,2.500000,2869.315136
56.000000,2.500000,2962.696489
57.000000,2.500000,3057.564001
58.000000,2.500000,3153.917672
59.000000,2.500000,3251.757501
60.000000,2.500000,3351.083489
61.000000,2.500000,3451.601691
62.000000,2.500000,3553.007012
63.000000,2.500000,3655.839146
64.000000,2.500000,3760.129075
65.000000,2.500000,3865.876798
66.000000,2.500000,3973.082315
67.000000,2.500000,4081.745626
68.000000,2.500000,4191.866731
69.000000,2.500000,4303.445631
70.000000,2.500000,4416.482325
71.000000,2.500000,4530.884872
72.000000,2.500000,4646.589066
73.000000,2.500000,4763.742220
74.000000,2.500000,4882.346150
75.000000,2.500000,5002.400857
76.000000,2.500000,5123.906340
77.000000,2.500000,5246.862599
78.000000,2.500000,5371.269634
79.000000,2.500000,5497.127445
80.000000,2.500000,5624.252600
81.000000,2.500000,5752.426785
82.000000,2.500000,5881.954372
83.000000,2.500000,6012.915992
84.000000,2.500000,6145.311645
85.000000,2.500000,6279.141331
86.000000,2.500000,6414.405050
87.000000,2.500000,6551.102802
88.000000,2.500000,6689.234586
89.000000,2.500000,6828.800404
90.000000,2.500000,6969.800255
91.000000,2.500000,7112.234139
92.000000,2.500000,7256.102055
93.000000,2.500000,7401.404005
94.000000,2.500000,7548.139987
95.000000,2.500000,7696.310003
96.000000,2.500000,7845.914051
97.000000,2.500000,7996.954658
98.000000,2.500000,8149.447853
99.000000,2.500000,8303.392117
100.000000,2.500000,8458.770456
38.000000,3.000000,1522.000915
39.000000,3.000000,1591.184048
40.000000,3.000000,1661.890285
41.000000,3.000000,1734.119626
42.000000,3.000000,1807.872072
43.000000,3.000000,1883.147622
44.000000,3.000000,1959.946276
45.000000,3.000000,2038.268034
46.000000,3.000000,2118.112897
47.000000,3.000000,2199.480863
48.000000,3.000000,2282.371935
49.000000,3.000000,2366.786110
50.000000,3.000000,2452.548740
51.000000,3.000000,2539.285733
52.000000,3.000000,2627.519225
53.000000,3.000000,2717.249215
54.000000,3.000000,2808.475706
55.000000,3.000000,2901.198695
56.000000,3.000000,2995.418183
57.000000,3.000000,3091.134171
58.000000,3.000000,3188.346657
59.000000,3.000000,3287.055643
60.000000,3.000000,3387.261128
61.000000,3.000000,3488.371832
62.000000,3.000000,3590.577971
63.000000,3.000000,3694.250471
64.000000,3.000000,3799.389333
65.000000,3.000000,3905.994556
66.000000,3.000000,4014.066141
67.000000,3.000000,4123.604087
68.000000,3.000000,4234.608395
69.000000,3.000000,4347.079064
70.000000,3.000000,4461.016094
71.000000,3.000000,4576.234547
72.000000,3.000000,4692.840445
73.000000,3.000000,4810.905407
74.000000,3.000000,4930.429434
75.000000,3.000000,5051.412526
76.000000,3.000000,5173.854682
77.000000,3.000000,5297.755903
78.000000,3.000000,5423.116189
79.000000,3.000000,5549.935539
80.000000,3.000000,5677.845094
81.000000,3.000000,5806.856261
82.000000,3.000000,5937.308489
83.000000,3.000000,6069.201779
84.000000,3.000000,6202.536131
85.000000,3.000000,6337.311544
86.000000,3.000000,6473.528019
87.000000,3.000000,6611.185556
88.000000,3.000000,6750.284155
89.000000,3.000000,6890.823815
90.000000,3.000000,7032.804537
91.000000,3.000000,7176.226320
92.000000,3.000000,7321.089165
93.000000,3.000000,7467.393072
94.000000,3.000000,7615.138041
95.000000,3.000000,7764.324071
96.000000,3.000000,7914.951164
97.000000,3.000000,8067.024342
98.000000,3.000000,8220.553556
99.000000,3.000000,8375.523558
100.000000,3.000000,8531.934346
38.000000,3.500000,1541.402914
39.000000,3.500000,1611.286555
40.000000,3.500000,1682.705027
41.000000,3.500000,1755.658330
42.000000,3.500000,1830.146464
43.000000,3.500000,1906.169429
44.000000,3.500000,1983.727224
45.000000,3.500000,2062.819851
46.000000,3.500000,2143.447309
47.000000,3.500000,2225.609598
48.000000,3.500000,2309.306717
49.000000,3.500000,2394.538668
50.000000,3.500000,2480.877257
51.000000,3.500000,2568.406635
52.000000,3.500000,2657.442786
53.000000,3.500000,2747.985712
54.000000,3.500000,2840.035411
55.000000,3.500000,2933.591884
56.000000,3.500000,3028.655131
57.000000,3.500000,3125.225152
58.000000,3.500000,3223.301946
59.000000,3.500000,3322.885514
60.000000,3.500000,3423.816254
61.000000,3.500000,3525.563854
62.000000,3.500000,3628.599617
63.000000,3.500000,3733.110083
64.000000,3.500000,3839.095253
65.000000,3.500000,3946.555127
66.000000,3.500000,4055.489704
67.000000,3.500000,4165.898985
68.000000,3.500000,4277.782969
69.000000,3.500000,4391.141657
70.000000,3.500000,4505.916510
71.000000,3.500000,4621.999461
72.000000,3.500000,4739.513754
73.000000,3.500000,4858.495404
74.000000,3.500000,4978.944413
75.000000,3.500000,5100.860779
76.000000,3.500000,5224.244503
77.000000,3.500000,5349.095585
78.000000,3.500000,5475.414025
79.000000,3.500000,5603.083574
