weight_g,420.000000
thrust_N,velocity_m_s,power_W
42.000000,0.000000,607.594245
43.000000,0.000000,629.271606
44.000000,0.000000,651.297670
45.000000,0.000000,673.672437
46.000000,0.000000,696.395906
47.000000,0.000000,719.468078
48.000000,0.000000,742.888953
49.000000,0.000000,766.658531
50.000000,0.000000,790.776812
51.000000,0.000000,815.243795
52.000000,0.000000,840.059481
53.000000,0.000000,865.223870
54.000000,0.000000,890.736962
55.000000,0.000000,916.394812
56.000000,0.000000,942.111559
57.000000,0.000000,968.160233
58.000000,0.000000,994.540833
59.000000,0.000000,1021.253361
60.000000,0.000000,1048.297815
61.000000,0.000000,1075.674196
62.000000,0.000000,1103.382504
63.000000,0.000000,1131.422739
64.000000,0.000000,1159.794900
65.000000,0.000000,1188.498989
66.000000,0.000000,1217.391814
67.000000,0.000000,1245.582112
68.000000,0.000000,1274.070550
69.000000,0.000000,1302.857127
70.000000,0.000000,1331.941844
71.000000,0.000000,1361.324700
72.000000,0.000000,1391.005696
73.000000,0.000000,1420.984832
74.000000,0.000000,1451.262107
75.000000,0.000000,1481.837522
76.000000,0.000000,1512.711076
77.000000,0.000000,1543.882770
78.000000,0.000000,1575.352604
79.000000,0.000000,1607.120577
80.000000,0.000000,1639.186690
81.000000,0.000000,1671.550942
82.000000,0.000000,1704.213334
83.000000,0.000000,1737.173866
84.000000,0.000000,1770.432537
85.000000,0.000000,1803.989348
86.000000,0.000000,1837.844298
87.000000,0.000000,1871.463412
88.000000,0.000000,1905.131794
89.000000,0.000000,1939.080314
90.000000,0.000000,1973.308973
91.000000,0.000000,2007.817771
92.000000,0.000000,2042.606707
93.000000,0.000000,2077.675783
94.000000,0.000000,2113.024996
95.000000,0.000000,2148.654349
96.000000,0.000000,2184.337461
97.000000,0.000000,2219.833602
98.000000,0.000000,2255.595276
99.000000,0.000000,2291.622483
100.000000,0.000000,2327.915224
42.000000,0.500000,613.959949
43.000000,0.500000,635.803922
44.000000,0.500000,657.998678
45.000000,0.500000,680.544216
46.000000,0.500000,703.440538
47.000000,0.500000,726.687642
48.000000,0.500000,750.285530
49.000000,0.500000,774.234200
50.000000,0.500000,798.533653
51.000000,0.500000,823.183890
52.000000,0.500000,848.184909
53.000000,0.500000,873.536712
54.000000,0.500000,899.225487
55.000000,0.500000,924.945524
56.000000,0.500000,950.862532
57.000000,0.500000,977.113930
58.000000,0.500000,1003.699718
59.000000,0.500000,1030.619896
60.000000,0.500000,1057.874463
61.000000,0.500000,1085.463421
62.000000,0.500000,1113.386768
63.000000,0.500000,1141.644506
64.000000,0.500000,1170.236633
65.000000,0.500000,1199.163150
66.000000,0.500000,1227.840700
67.000000,0.500000,1256.216703
68.000000,0.500000,1284.892437
69.000000,0.500000,1313.867902
70.000000,0.500000,1343.143097
71.000000,0.500000,1372.718024
72.000000,0.500000,1402.592680
73.000000,0.500000,1432.767068
74.000000,0.500000,1463.241186
75.000000,0.500000,1494.015035
76.000000,0.500000,1525.088615
77.000000,0.500000,1556.461925
78.000000,0.500000,1588.134967
79.000000,0.500000,1620.107739
80.000000,0.500000,1652.380241
81.000000,0.500000,1684.952475
82.000000,0.500000,1717.824439
83.000000,0.500000,1750.996133
84.000000,0.500000,1784.467559
85.000000,0.500000,1818.238715
86.000000,0.500000,1852.121904
87.000000,0.500000,1885.846795
88.000000,0.500000,1919.737585
89.000000,0.500000,1953.910381
90.000000,0.500000,1988.365185
91.000000,0.500000,2023.101995
