weight_g,450.000000
thrust_N,velocity_m_s,power_W
42.000000,0.000000,599.309700
43.000000,0.000000,619.221712
44.000000,0.000000,639.427413
45.000000,0.000000,659.926804
46.000000,0.000000,680.719884
47.000000,0.000000,701.806654
48.000000,0.000000,723.187113
49.000000,0.000000,744.861262
50.000000,0.000000,766.829101
51.000000,0.000000,789.090629
52.000000,0.000000,811.645846
53.000000,0.000000,834.494754
54.000000,0.000000,857.637350
55.000000,0.000000,880.832621
56.000000,0.000000,903.980109
57.000000,0.000000,927.402884
58.000000,0.000000,951.100945
59.000000,0.000000,975.074292
60.000000,0.000000,999.322925
61.000000,0.000000,1023.846845
62.000000,0.000000,1048.646051
63.000000,0.000000,1073.720544
64.000000,0.000000,1099.070323
65.000000,0.000000,1124.695388
66.000000,0.000000,1150.428548
67.000000,0.000000,1175.230649
68.000000,0.000000,1200.271287
69.000000,0.000000,1225.550460
70.000000,0.000000,1251.068170
71.000000,0.000000,1276.824415
72.000000,0.000000,1302.819196
73.000000,0.000000,1329.052514
74.000000,0.000000,1355.524367
75.000000,0.000000,1382.234757
76.000000,0.000000,1409.183682
77.000000,0.000000,1436.371144
78.000000,0.000000,1463.797141
79.000000,0.000000,1491.461674
80.000000,0.000000,1519.364744
81.000000,0.000000,1547.506349
82.000000,0.000000,1575.886491
83.000000,0.000000,1604.505168
84.000000,0.000000,1633.362381
85.000000,0.000000,1662.458131
86.000000,0.000000,1691.792416
87.000000,0.000000,1720.720203
88.000000,0.000000,1749.587205
89.000000,0.000000,1778.672548
90.000000,0.000000,1807.976230
91.000000,0.000000,1837.498252
92.000000,0.000000,1867.238614
93.000000,0.000000,1897.197317
94.000000,0.000000,1927.374359
95.000000,0.000000,1957.769741
96.000000,0.000000,1988.111975
97.000000,0.000000,2018.113192
98.000000,0.000000,2048.316481
99.000000,0.000000,2078.721841
100.000000,0.000000,2109.329272
42.000000,0.500000,604.916644
43.000000,0.500000,624.966582
44.000000,0.500000,645.311855
45.000000,0.500000,665.952463
46.000000,0.500000,686.888407
47.000000,0.500000,708.119685
48.000000,0.500000,729.646299
49.000000,0.500000,751.468248
50.000000,0.500000,773.585533
51.000000,0.500000,795.998152
52.000000,0.500000,818.706107
53.000000,0.500000,841.709397
54.000000,0.500000,864.991740
55.000000,0.500000,888.192863
56.000000,0.500000,911.508870
57.000000,0.500000,935.102249
58.000000,0.500000,958.973000
59.000000,0.500000,983.121124
60.000000,0.500000,1007.546620
61.000000,0.500000,1032.249488
62.000000,0.500000,1057.229729
63.000000,0.500000,1082.487342
64.000000,0.500000,1108.022327
65.000000,0.500000,1133.834685
66.000000,0.500000,1159.245321
67.000000,0.500000,1184.193632
68.000000,0.500000,1209.381660
69.000000,0.500000,1234.809405
70.000000,0.500000,1260.476866
71.000000,0.500000,1286.384043
72.000000,0.500000,1312.530937
73.000000,0.500000,1338.917548
74.000000,0.500000,1365.543874
75.000000,0.500000,1392.409918
76.000000,0.500000,1419.515677
77.000000,0.500000,1446.861154
78.000000,0.500000,1474.446346
79.000000,0.500000,1502.271256
80.000000,0.500000,1530.335881
81.000000,0.500000,1558.640224
82.000000,0.500000,1587.184282
83.000000,0.500000,1615.968057
84.000000,0.500000,1644.991549
85.000000,0.500000,1674.254757
86.000000,0.500000,1703.532884
87.000000,0.500000,1732.500128
88.000000,0.500000,1761.546978
89.000000,0.500000,1790.813724
90.000000,0.500000,1820.300366
91.000000,0.500000,1850.006904
92.000000,0.500000,1879.933337
93.000000,0.500000,1910.079667
94.000000,0.500000,1940.445892
95.000000,0.500000,1970.943350
96.000000,0.500000,2001.161300
97.000000,0.500000,2031.309224
98.000000,0.500000,2061.660021
99.000000,0.500000,2092.213692
100.000000,0.500000,2122.970236
42.000000,1.000000,610.542822
43.000000,1.000000,630.731097
44.000000,1.000000,651.216356
45.000000,1.000000,671.998601
46.000000,1.000000,693.077830
47.000000,1.000000,714.454046
48.000000,1.000000,736.127246
49.000000,1.000000,758.097431
50.000000,1.000000,780.364602
51.000000,1.000000,802.928758
52.000000,1.000000,825.789899
53.000000,1.000000,848.948025
54.000000,1.000000,872.370382
55.000000,1.000000,895.576077
56.000000,1.000000,919.061238
57.000000,1.000000,942.825866
58.000000,1.000000,966.869960
59.000000,1.000000,991.193519
60.000000,1.000000,1015.796545
61.000000,1.000000,1040.679037
62.000000,1.000000,1065.840995
63.000000,1.000000,1091.282420
64.000000,1.000000,1117.003310
65.000000,1.000000,1143.003666
66.000000,1.000000,1168.086964
67.000000,1.000000,1193.181853
68.000000,1.000000,1218.517643
69.000000,1.000000,1244.094332
70.000000,1.000000,1269.911920
71.000000,1.000000,1295.970409
72.000000,1.000000,1322.269797
73.000000,1.000000,1348.810084
74.000000,1.000000,1375.591271
75.000000,1.000000,1402.613358
76.000000,1.000000,1429.876345
77.000000,1.000000,1457.380231
78.000000,1.000000,1485.125017
79.000000,1.000000,1513.110703
80.000000,1.000000,1541.337288
81.000000,1.000000,1569.804773
82.000000,1.000000,1598.513158
83.000000,1.000000,1627.462442
84.000000,1.000000,1656.652626
85.000000,1.000000,1686.083709
86.000000,1.000000,1715.303791
87.000000,1.000000,1744.309656
88.000000,1.000000,1773.536979
89.000000,1.000000,1802.985759
90.000000,1.000000,1832.655996
91.000000,1.000000,1862.547690
92.000000,1.000000,1892.660841
93.000000,1.000000,1922.995449
94.000000,1.000000,1953.551514
95.000000,1.000000,1984.150837
96.000000,1.000000,2014.242097
97.000000,1.000000,2044.537035
98.000000,1.000000,2075.035648
99.000000,1.000000,2105.737938
100.000000,1.000000,2136.643905
42.000000,1.500000,616.273259
43.000000,1.500000,636.599858
44.000000,1.500000,657.225048
45.000000,1.500000,678.148829
46.000000,1.500000,699.371199
47.000000,1.500000,720.892160
48.000000,1.500000,742.711711
49.000000,1.500000,764.829853
50.000000,1.500000,787.246585
51.000000,1.500000,809.961907
52.000000,1.500000,832.975819
53.000000,1.500000,856.288322
54.000000,1.500000,879.705805
55.000000,1.500000,903.079695
56.000000,1.500000,926.735135
57.000000,1.500000,950.672125
58.000000,1.500000,974.890666
59.000000,1.500000,999.390757
60.000000,1.500000,1024.172399
61.000000,1.500000,1049.235591
62.000000,1.500000,1074.580334
63.000000,1.500000,1100.206627
64.000000,1.500000,1126.114471
65.000000,1.500000,1151.899455
66.000000,1.500000,1177.015459
67.000000,1.500000,1202.258280
68.000000,1.500000,1227.743195
69.000000,1.500000,1253.470203
70.000000,1.500000,1279.439304
71.000000,1.500000,1305.650498
72.000000,1.500000,1332.103785
73.000000,1.500000,1358.799166
74.000000,1.500000,1385.736640
75.000000,1.500000,1412.916207
76.000000,1.500000,1440.337867
77.000000,1.500000,1468.001620
78.000000,1.500000,1495.907467
79.000000,1.500000,1524.055407
80.000000,1.500000,1552.445440
81.000000,1.500000,1581.077566
82.000000,1.500000,1609.951785
83.000000,1.500000,1639.068098
84.000000,1.500000,1668.426504
85.000000,1.500000,1697.893491
86.000000,1.500000,1727.077408
87.000000,1.500000,1756.265412
88.000000,1.500000,1785.676464
89.000000,1.500000,1815.310565
90.000000,1.500000,1845.167713
91.000000,1.500000,1875.247909
92.000000,1.500000,1905.551153
93.000000,1.500000,1936.077445
94.000000,1.500000,1966.796051
95.000000,1.500000,1997.187751
96.000000,1.500000,2027.426306
97.000000,1.500000,2057.869346
98.000000,1.500000,2088.516872
99.000000,1.500000,2119.368884
100.000000,1.500000,2150.425380
41.000000,2.000000,601.858424
42.000000,2.000000,622.023553
43.000000,2.000000,642.488882
44.000000,2.000000,663.254410
45.000000,2.000000,684.320137
46.000000,2.000000,705.686064
47.000000,2.000000,727.352190
48.000000,2.000000,749.318516
49.000000,2.000000,771.585041
50.000000,2.000000,794.151766
51.000000,2.000000,817.018690
52.000000,2.000000,840.185813
53.000000,2.000000,863.653136
54.000000,2.000000,887.064323
55.000000,2.000000,910.607039
56.000000,2.000000,934.433397
57.000000,2.000000,958.543398
58.000000,2.000000,982.937041
59.000000,2.000000,1007.614327
60.000000,2.000000,1032.575255
61.000000,2.000000,1057.819826
62.000000,2.000000,1083.348040
63.000000,2.000000,1109.159895
64.000000,2.000000,1135.255394
65.000000,2.000000,1160.821328
66.000000,2.000000,1185.969165
67.000000,2.000000,1211.360291
68.000000,2.000000,1236.994707
69.000000,2.000000,1262.872412
70.000000,2.000000,1288.993407
71.000000,2.000000,1315.357691
72.000000,2.000000,1341.965264
73.000000,2.000000,1368.816127
74.000000,2.000000,1395.910280
75.000000,2.000000,1423.247722
76.000000,2.000000,1450.828453
77.000000,2.000000,1478.652474
78.000000,2.000000,1506.719785
79.000000,2.000000,1535.030385
80.000000,2.000000,1563.584274
81.000000,2.000000,1592.381453
82.000000,2.000000,1621.421922
83.000000,2.000000,1650.705679
84.000000,2.000000,1680.232727
85.000000,2.000000,1709.734679
86.000000,2.000000,1738.880813
87.000000,2.000000,1768.251591
88.000000,2.000000,1797.847013
89.000000,2.000000,1827.667080
90.000000,2.000000,1857.711791
91.000000,2.000000,1887.981146
92.000000,2.000000,1918.475145
93.000000,2.000000,1949.193789
94.000000,2.000000,1980.075309
95.000000,2.000000,2010.256170
96.000000,2.000000,2040.642328
97.000000,2.000000,2071.233781
98.000000,2.000000,2102.030530
99.000000,2.000000,2133.032575
100.000000,2.000000,2164.239916
41.000000,2.500000,607.734888
42.000000,2.500000,628.041572
43.000000,2.500000,648.650096
44.000000,2.500000,669.560460
45.000000,2.500000,690.772662
46.000000,2.500000,712.286705
47.000000,2.500000,734.102586
48.000000,2.500000,756.220307
49.000000,2.500000,778.639868
50.000000,2.500000,801.361267
51.000000,2.500000,824.384506
52.000000,2.500000,847.709585
53.000000,2.500000,871.252853
54.000000,2.500000,894.758602
55.000000,2.500000,918.473557
56.000000,2.500000,942.474230
57.000000,2.500000,966.760623
58.000000,2.500000,991.332736
59.000000,2.500000,1016.190567
60.000000,2.500000,1041.334118
61.000000,2.500000,1066.763388
62.000000,2.500000,1092.478378
63.000000,2.500000,1118.479087
64.000000,2.500000,1144.554896
65.000000,2.500000,1169.935588
66.000000,2.500000,1195.228128
67.000000,2.500000,1220.765044
68.000000,2.500000,1246.546337
69.000000,2.500000,1272.572007
70.000000,2.500000,1298.842052
71.000000,2.500000,1325.356474
72.000000,2.500000,1352.115273
73.000000,2.500000,1379.118448
74.000000,2.500000,1406.365999
75.000000,2.500000,1433.857927
76.000000,2.500000,1461.594231
77.000000,2.500000,1489.574911
78.000000,2.500000,1517.799968
79.000000,2.500000,1546.269401
80.000000,2.500000,1574.983211
81.000000,2.500000,1603.941397
82.000000,2.500000,1633.143959
83.000000,2.500000,1662.590898
84.000000,2.500000,1692.231070
85.000000,2.500000,1721.622733
86.000000,2.500000,1750.948847
87.000000,2.500000,1780.501140
88.000000,2.500000,1810.279611
89.000000,2.500000,1840.284261
90.000000,2.500000,1870.515090
91.000000,2.500000,1900.972097
92.000000,2.500000,1931.655283
93.000000,2.500000,1962.564648
94.000000,2.500000,1993.177049
95.000000,2.500000,2023.503712
96.000000,2.500000,2054.036445
97.000000,2.500000,2084.775247
98.000000,2.500000,2115.720118
99.000000,2.500000,2146.871059
100.000000,2.500000,2178.228069
41.000000,3.000000,613.632761
42.000000,3.000000,634.081430
43.000000,3.000000,654.833583
44.000000,3.000000,675.889220
45.000000,3.000000,697.248340
46.000000,3.000000,718.910944
47.000000,3.000000,740.877031
48.000000,3.000000,763.146602
49.000000,3.000000,785.719657
50.000000,3.000000,808.596195
51.000000,3.000000,831.776217
52.000000,3.000000,855.259722
53.000000,3.000000,878.878411
54.000000,3.000000,902.478456
55.000000,3.000000,926.366304
56.000000,3.000000,950.541956
57.000000,3.000000,975.005411
58.000000,3.000000,999.756671
59.000000,3.000000,1024.795734
60.000000,3.000000,1050.122600
61.000000,3.000000,1075.737270
62.000000,3.000000,1101.639744
63.000000,3.000000,1127.830022
64.000000,3.000000,1153.884530
65.000000,3.000000,1179.076654
66.000000,3.000000,1204.514243
67.000000,3.000000,1230.197297
68.000000,3.000000,1256.125818
69.000000,3.000000,1282.299803
70.000000,3.000000,1308.719254
71.000000,3.000000,1335.384171
72.000000,3.000000,1362.294553
73.000000,3.000000,1389.450401
74.000000,3.000000,1416.851714
75.000000,3.000000,1444.498493
76.000000,3.000000,1472.390737
77.000000,3.000000,1500.528447
78.000000,3.000000,1528.911622
79.000000,3.000000,1557.540263
80.000000,3.000000,1586.414369
81.000000,3.000000,1615.533941
82.000000,3.000000,1644.898978
83.000000,3.000000,1674.509481
84.000000,3.000000,1704.262641
85.000000,3.000000,1733.541632
86.000000,3.000000,1763.048342
87.000000,3.000000,1792.782769
88.000000,3.000000,1822.744914
89.000000,3.000000,1852.934778
90.000000,3.000000,1883.352359
91.000000,3.000000,1913.997659
92.000000,3.000000,1944.870676
93.000000,3.000000,1975.971412
94.000000,3.000000,2006.310879
95.000000,3.000000,2036.783637
96.000000,3.000000,2067.463239
97.000000,3.000000,2098.349686
98.000000,3.000000,2129.442977
99.000000,3.000000,2160.743112
100.000000,3.000000,2192.250091
41.000000,3.500000,619.583677
42.000000,3.500000,640.180782
43.000000,3.500000,661.083141
44.000000,3.500000,682.290753
45.000000,3.500000,703.803618
46.000000,3.500000,725.621737
47.000000,3.500000,747.745110
48.000000,3.500000,770.173736
49.000000,3.500000,792.907615
50.000000,3.500000,815.946749
51.000000,3.500000,839.291135
52.000000,3.500000,862.939678
53.000000,3.500000,886.582902
54.000000,3.500000,910.361995
55.000000,3.500000,934.431106
56.000000,3.500000,958.790235
57.000000,3.500000,983.439382
58.000000,3.500000,1008.378547
59.000000,3.500000,1033.607729
60.000000,3.500000,1059.126930
61.000000,3.500000,1084.936149
62.000000,3.500000,1111.035385
63.000000,3.500000,1137.420661
64.000000,3.500000,1163.073390
65.000000,3.500000,1188.415745
66.000000,3.500000,1214.004757
67.000000,3.500000,1239.840427
68.000000,3.500000,1265.922754
69.000000,3.500000,1292.251739
70.000000,3.500000,1318.827381
71.000000,3.500000,1345.649681
72.000000,3.500000,1372.718638
73.000000,3.500000,1400.034253
74.000000,3.500000,1427.596525
75.000000,3.500000,1455.405455
76.000000,3.500000,1483.461042
77.000000,3.500000,1511.763287
78.000000,3.500000,1540.312189
79.000000,3.500000,1569.107748
80.000000,3.500000,1598.149965
81.000000,3.500000,1627.438840
82.000000,3.500000,1656.974372
83.000000,3.500000,1686.756561
84.000000,3.500000,1716.364790
85.000000,3.500000,1745.830719
86.000000,3.500000,1775.525981
87.000000,3.500000,1805.450576
88.000000,3.500000,1835.604504
89.000000,3.500000,1865.987766
90.000000,3.500000,1896.600360
91.000000,3.500000,1927.442288
92.000000,3.500000,1958.513549
93.000000,3.500000,1989.353956
94.000000,3.500000,2019.809307
95.000000,3.500000,2050.435384
96.000000,3.500000,2081.269147
97.000000,3.500000,2112.310595
98.000000,3.500000,2143.559727
99.000000,3.500000,2175.016544
100.000000,3.500000,2206.681046
40.000000,4.000000,605.117599
41.000000,4.000000,625.556574
42.000000,4.000000,646.302577
43.000000,4.000000,667.355608
44.000000,4.000000,688.715667
45.000000,4.000000,710.382755
46.000000,4.000000,732.356871
47.000000,4.000000,754.638015
48.000000,4.000000,777.226188
49.000000,4.000000,800.121388
50.000000,4.000000,823.323617
51.000000,4.000000,846.832875
52.000000,4.000000,870.646953
53.000000,4.000000,894.313548
54.000000,4.000000,918.272384
55.000000,4.000000,942.523461
56.000000,4.000000,967.066778
57.000000,4.000000,991.902337
58.000000,4.000000,1017.030136
59.000000,4.000000,1042.450175
60.000000,4.000000,1068.162455
61.000000,4.000000,1094.166976
62.000000,4.000000,1120.463738
63.000000,4.000000,1147.044739
