weight_g,550.000000
thrust_N,velocity_m_s,power_W
42.000000,0.000000,582.037551
43.000000,0.000000,601.356395
44.000000,0.000000,620.957982
45.000000,0.000000,640.842314
46.000000,0.000000,661.009390
47.000000,0.000000,681.459211
48.000000,0.000000,702.191775
49.000000,0.000000,723.207084
50.000000,0.000000,744.505137
51.000000,0.000000,766.085935
52.000000,0.000000,787.949477
53.000000,0.000000,810.095763
54.000000,0.000000,832.524793
55.000000,0.000000,855.001423
56.000000,0.000000,877.427530
57.000000,0.000000,900.118270
58.000000,0.000000,923.073642
59.000000,0.000000,946.293647
60.000000,0.000000,969.778285
61.000000,0.000000,993.527555
62.000000,0.000000,1017.541458
63.000000,0.000000,1041.819994
64.000000,0.000000,1066.363162
65.000000,0.000000,1091.170963
66.000000,0.000000,1116.080053
67.000000,0.000000,1140.075036
68.000000,0.000000,1164.298446
69.000000,0.000000,1188.750283
70.000000,0.000000,1213.430547
71.000000,0.000000,1238.339239
72.000000,0.000000,1263.476357
73.000000,0.000000,1288.841903
74.000000,0.000000,1314.435876
75.000000,0.000000,1340.258276
76.000000,0.000000,1366.309104
77.000000,0.000000,1392.588358
78.000000,0.000000,1419.096040
79.000000,0.000000,1445.832149
80.000000,0.000000,1472.796686
81.000000,0.000000,1499.989649
82.000000,0.000000,1527.411040
83.000000,0.000000,1555.060858
84.000000,0.000000,1582.939103
85.000000,0.000000,1611.045775
86.000000,0.000000,1639.380874
87.000000,0.000000,1667.311647
88.000000,0.000000,1695.177079
89.000000,0.000000,1723.250953
90.000000,0.000000,1751.533269
91.000000,0.000000,1780.024027
92.000000,0.000000,1808.723227
93.000000,0.000000,1837.630870
94.000000,0.000000,1866.746954
95.000000,0.000000,1896.071481
96.000000,0.000000,1925.337908
97.000000,0.000000,1954.263522
98.000000,0.000000,1983.381465
99.000000,0.000000,2012.691737
100.000000,0.000000,2042.194338
42.000000,0.500000,587.474303
43.000000,0.500000,606.925896
44.000000,0.500000,626.661809
45.000000,0.500000,646.682040
46.000000,0.500000,666.986590
47.000000,0.500000,687.575460
48.000000,0.500000,708.448648
49.000000,0.500000,729.606156
50.000000,0.500000,751.047982
51.000000,0.500000,772.774128
52.000000,0.500000,794.784592
53.000000,0.500000,817.079376
54.000000,0.500000,839.642595
55.000000,0.500000,862.122733
56.000000,0.500000,884.710991
57.000000,0.500000,907.565892
58.000000,0.500000,930.687435
59.000000,0.500000,954.075620
60.000000,0.500000,977.730446
61.000000,0.500000,1001.651915
62.000000,0.500000,1025.840026
63.000000,0.500000,1050.294778
64.000000,0.500000,1075.016173
65.000000,0.500000,1100.004210
66.000000,0.500000,1124.595433
67.000000,0.500000,1148.730367
68.000000,0.500000,1173.094848
69.000000,0.500000,1197.688877
70.000000,0.500000,1222.512453
71.000000,0.500000,1247.565577
72.000000,0.500000,1272.848249
73.000000,0.500000,1298.360468
74.000000,0.500000,1324.102235
75.000000,0.500000,1350.073549
76.000000,0.500000,1376.274411
77.000000,0.500000,1402.704821
78.000000,0.500000,1429.364778
79.000000,0.500000,1456.254283
80.000000,0.500000,1483.373336
81.000000,0.500000,1510.721936
82.000000,0.500000,1538.300084
83.000000,0.500000,1566.107779
84.000000,0.500000,1594.145022
85.000000,0.500000,1622.411812
86.000000,0.500000,1650.687715
87.000000,0.500000,1678.653048
88.000000,0.500000,1706.690706
89.000000,0.500000,1734.938303
90.000000,0.500000,1763.395839
91.000000,0.500000,1792.063315
92.000000,0.500000,1820.940729
93.000000,0.500000,1850.028083
94.000000,0.500000,1879.325376
95.000000,0.500000,1908.745594
96.000000,0.500000,1937.885536
97.000000,0.500000,1966.950643
98.000000,0.500000,1996.208834
99.000000,0.500000,2025.660110
100.000000,0.500000,2055.304469
42.000000,1.000000,592.929252
43.000000,1.000000,612.513984
44.000000,1.000000,632.384613
45.000000,1.000000,652.541140
46.000000,1.000000,672.983565
47.000000,1.000000,693.711888
48.000000,1.000000,714.726109
49.000000,1.000000,736.026227
50.000000,1.000000,757.612244
51.000000,1.000000,779.484158
52.000000,1.000000,801.641971
53.000000,1.000000,824.085681
54.000000,1.000000,846.783333
55.000000,1.000000,869.265694
56.000000,1.000000,892.016714
57.000000,1.000000,915.036393
58.000000,1.000000,938.324731
59.000000,1.000000,961.881727
60.000000,1.000000,985.707383
61.000000,1.000000,1009.801697
62.000000,1.000000,1034.164671
63.000000,1.000000,1058.796303
64.000000,1.000000,1083.696594
65.000000,1.000000,1108.865544
66.000000,1.000000,1133.134117
67.000000,1.000000,1157.409345
68.000000,1.000000,1181.915245
69.000000,1.000000,1206.651814
70.000000,1.000000,1231.619055
71.000000,1.000000,1256.816966
72.000000,1.000000,1282.245547
73.000000,1.000000,1307.904799
74.000000,1.000000,1333.794721
75.000000,1.000000,1359.915314
76.000000,1.000000,1386.266578
77.000000,1.000000,1412.848512
78.000000,1.000000,1439.661117
79.000000,1.000000,1466.704392
80.000000,1.000000,1493.978337
81.000000,1.000000,1521.482954
82.000000,1.000000,1549.218240
83.000000,1.000000,1577.184198
84.000000,1.000000,1605.380825
85.000000,1.000000,1633.808124
86.000000,1.000000,1662.022930
87.000000,1.000000,1690.021972
88.000000,1.000000,1718.232454
89.000000,1.000000,1746.654378
90.000000,1.000000,1775.287743
91.000000,1.000000,1804.132550
92.000000,1.000000,1833.188798
93.000000,1.000000,1862.456487
94.000000,1.000000,1891.935617
95.000000,1.000000,1921.451295
96.000000,1.000000,1950.462338
97.000000,1.000000,1979.667222
98.000000,1.000000,2009.065946
99.000000,1.000000,2038.658511
100.000000,1.000000,2068.444917
42.000000,1.500000,598.484855
43.000000,1.500000,618.202691
44.000000,1.500000,638.207961
45.000000,1.500000,658.500664
46.000000,1.500000,679.080800
47.000000,1.500000,699.948370
48.000000,1.500000,721.103373
49.000000,1.500000,742.545809
50.000000,1.500000,764.275678
51.000000,1.500000,786.292981
52.000000,1.500000,808.597717
53.000000,1.500000,831.189886
54.000000,1.500000,853.880598
55.000000,1.500000,876.524790
56.000000,1.500000,899.439650
57.000000,1.500000,922.625176
58.000000,1.500000,946.081369
59.000000,1.500000,969.808228
60.000000,1.500000,993.805755
61.000000,1.500000,1018.073948
62.000000,1.500000,1042.612808
63.000000,1.500000,1067.422335
64.000000,1.500000,1092.502529
65.000000,1.500000,1117.458311
66.000000,1.500000,1141.755941
67.000000,1.500000,1166.172751
68.000000,1.500000,1190.821364
69.000000,1.500000,1215.701781
70.000000,1.500000,1240.814001
71.000000,1.500000,1266.158024
72.000000,1.500000,1291.733851
73.000000,1.500000,1317.541480
74.000000,1.500000,1343.580913
75.000000,1.500000,1369.852150
76.000000,1.500000,1396.355189
77.000000,1.500000,1423.090032
78.000000,1.500000,1450.056678
79.000000,1.500000,1477.255127
80.000000,1.500000,1504.685379
81.000000,1.500000,1532.347435
82.000000,1.500000,1560.241294
83.000000,1.500000,1588.366956
84.000000,1.500000,1616.724421
85.000000,1.500000,1645.182807
86.000000,1.500000,1673.358031
87.000000,1.500000,1701.531507
88.000000,1.500000,1729.917955
89.000000,1.500000,1758.517374
90.000000,1.500000,1787.329765
91.000000,1.500000,1816.355128
92.000000,1.500000,1845.593463
93.000000,1.500000,1875.044770
94.000000,1.500000,1904.678896
95.000000,1.500000,1933.986367
96.000000,1.500000,1963.137454
97.000000,1.500000,1992.483142
98.000000,1.500000,2022.023433
99.000000,1.500000,2051.758326
100.000000,1.500000,2081.687822
41.000000,2.000000,584.496900
42.000000,2.000000,604.059250
43.000000,2.000000,623.910573
44.000000,2.000000,644.050868
45.000000,2.000000,664.480136
46.000000,2.000000,685.198376
47.000000,2.000000,706.205589
48.000000,2.000000,727.501774
49.000000,2.000000,749.086932
50.000000,2.000000,770.961062
51.000000,2.000000,793.124165
52.000000,2.000000,815.576241
53.000000,2.000000,838.317289
54.000000,2.000000,860.999633
55.000000,2.000000,883.806263
56.000000,2.000000,906.885575
57.000000,2.000000,930.237569
58.000000,2.000000,953.862246
59.000000,2.000000,977.759604
60.000000,2.000000,1001.929645
61.000000,2.000000,1026.372367
62.000000,2.000000,1051.087772
63.000000,2.000000,1076.075859
64.000000,2.000000,1101.336627
65.000000,2.000000,1126.075586
66.000000,2.000000,1150.401388
67.000000,2.000000,1174.960128
68.000000,2.000000,1199.751807
69.000000,2.000000,1224.776425
70.000000,2.000000,1250.033981
71.000000,2.000000,1275.524475
72.000000,2.000000,1301.247909
73.000000,2.000000,1327.204280
74.000000,2.000000,1353.393590
75.000000,2.000000,1379.815839
76.000000,2.000000,1406.471026
77.000000,2.000000,1433.359151
78.000000,2.000000,1460.480216
79.000000,2.000000,1487.834218
80.000000,2.000000,1515.421159
81.000000,2.000000,1543.241039
82.000000,2.000000,1571.293857
83.000000,2.000000,1599.579614
84.000000,2.000000,1628.098309
85.000000,2.000000,1656.586827
86.000000,2.000000,1684.720838
87.000000,2.000000,1713.069356
88.000000,2.000000,1741.632383
89.000000,2.000000,1770.409916
90.000000,2.000000,1799.401958
91.000000,2.000000,1828.608507
92.000000,2.000000,1858.029564
93.000000,2.000000,1887.665128
94.000000,2.000000,1917.454597
95.000000,2.000000,1946.550646
96.000000,2.000000,1975.842060
97.000000,2.000000,2005.328839
98.000000,2.000000,2035.010985
99.000000,2.000000,2064.888495
100.000000,2.000000,2094.961371
41.000000,2.500000,590.194304
42.000000,2.500000,609.892873
43.000000,2.500000,629.881983
44.000000,2.500000,650.161637
45.000000,2.500000,670.731833
