weight_g,360.000000
thrust_N,velocity_m_s,power_W
42.000000,0.000000,589.551910
43.000000,0.000000,610.359497
44.000000,0.000000,631.495728
45.000000,0.000000,652.960603
46.000000,0.000000,674.754120
47.000000,0.000000,696.876281
48.000000,0.000000,719.327086
49.000000,0.000000,742.106533
50.000000,0.000000,765.214624
51.000000,0.000000,788.651359
52.000000,0.000000,812.416736
53.000000,0.000000,836.510757
54.000000,0.000000,860.933422
55.000000,0.000000,885.480113
56.000000,0.000000,910.064710
57.000000,0.000000,934.961156
58.000000,0.000000,960.169449
59.000000,0.000000,985.689589
60.000000,0.000000,1011.521577
61.000000,0.000000,1037.665413
62.000000,0.000000,1064.121096
63.000000,0.000000,1090.888627
64.000000,0.000000,1117.968005
65.000000,0.000000,1145.359231
66.000000,0.000000,1172.918693
67.000000,0.000000,1199.752539
68.000000,0.000000,1226.864414
69.000000,0.000000,1254.254318
70.000000,0.000000,1281.922249
71.000000,0.000000,1309.868209
72.000000,0.000000,1338.092197
73.000000,0.000000,1366.594213
74.000000,0.000000,1395.374258
75.000000,0.000000,1424.432331
76.000000,0.000000,1453.768432
77.000000,0.000000,1483.382561
78.000000,0.000000,1513.274718
79.000000,0.000000,1543.444904
80.000000,0.000000,1573.893118
81.000000,0.000000,1604.619360
82.000000,0.000000,1635.623631
83.000000,0.000000,1666.905930
84.000000,0.000000,1698.466257
85.000000,0.000000,1730.304612
86.000000,0.000000,1762.420995
87.000000,0.000000,1794.273930
88.000000,0.000000,1826.152563
89.000000,0.000000,1858.291014
90.000000,0.000000,1890.689285
91.000000,0.000000,1923.347374
92.000000,0.000000,1956.265282
93.000000,0.000000,1989.443009
94.000000,0.000000,2022.880555
95.000000,0.000000,2056.577920
96.000000,0.000000,2090.305601
97.000000,0.000000,2123.819570
98.000000,0.000000,2157.578586
99.000000,0.000000,2191.582650
100.000000,0.000000,2225.831762
42.000000,0.500000,595.625474
43.000000,0.500000,616.589736
44.000000,0.500000,637.884579
45.000000,0.500000,659.510001
46.000000,0.500000,681.466002
47.000000,0.500000,703.752584
48.000000,0.500000,726.369745
49.000000,0.500000,749.317485
50.000000,0.500000,772.595805
51.000000,0.500000,796.204705
52.000000,0.500000,820.144184
53.000000,0.500000,844.414243
54.000000,0.500000,869.001034
55.000000,0.500000,893.597962
56.000000,0.500000,918.371187
57.000000,0.500000,943.458584
58.000000,0.500000,968.860153
59.000000,0.500000,994.575893
60.000000,0.500000,1020.605805
61.000000,0.500000,1046.949889
62.000000,0.500000,1073.608145
63.000000,0.500000,1100.580572
64.000000,0.500000,1127.867170
65.000000,0.500000,1155.467941
66.000000,0.500000,1182.798112
67.000000,0.500000,1209.804773
68.000000,0.500000,1237.090923
69.000000,0.500000,1264.656563
70.000000,0.500000,1292.501693
71.000000,0.500000,1320.626313
72.000000,0.500000,1349.030421
73.000000,0.500000,1377.714020
74.000000,0.500000,1406.677108
75.000000,0.500000,1435.919686
76.000000,0.500000,1465.441753
77.000000,0.500000,1495.243310
78.000000,0.500000,1525.324356
79.000000,0.500000,1555.684892
80.000000,0.500000,1586.324918
81.000000,0.500000,1617.244433
82.000000,0.500000,1648.443438
83.000000,0.500000,1679.921932
84.000000,0.500000,1711.679916
85.000000,0.500000,1743.717389
86.000000,0.500000,1775.844398
87.000000,0.500000,1807.786837
88.000000,0.500000,1839.873113
89.000000,0.500000,1872.220965
90.000000,0.500000,1904.830393
91.000000,0.500000,1937.701397
92.000000,0.500000,1970.833978
93.000000,0.500000,2004.228135
94.000000,0.500000,2037.883868
95.000000,0.500000,2071.725746
96.000000,0.500000,2105.404682
97.000000,0.500000,2139.099054
98.000000,0.500000,2173.039509
99.000000,0.500000,2207.226046
100.000000,0.500000,2241.658666
42.000000,1.000000,601.723180
43.000000,1.000000,622.844633
44.000000,1.000000,644.298608
45.000000,1.000000,666.085104
46.000000,1.000000,688.204122
47.000000,1.000000,710.655661
48.000000,1.000000,733.439721
49.000000,1.000000,756.556302
50.000000,1.000000,780.005405
51.000000,1.000000,803.787030
52.000000,1.000000,827.901175
53.000000,1.000000,852.347842
54.000000,1.000000,877.099154
55.000000,1.000000,901.745245
56.000000,1.000000,926.707841
57.000000,1.000000,951.986941
58.000000,1.000000,977.582545
59.000000,1.000000,1003.494654
60.000000,1.000000,1029.723268
61.000000,1.000000,1056.268385
62.000000,1.000000,1083.130008
63.000000,1.000000,1110.308134
64.000000,1.000000,1137.802766
65.000000,1.000000,1165.613901
66.000000,1.000000,1192.710347
67.000000,1.000000,1219.890314
68.000000,1.000000,1247.351235
69.000000,1.000000,1275.093111
70.000000,1.000000,1303.115941
71.000000,1.000000,1331.419726
72.000000,1.000000,1360.004465
73.000000,1.000000,1388.870159
74.000000,1.000000,1418.016808
75.000000,1.000000,1447.444411
76.000000,1.000000,1477.152969
77.000000,1.000000,1507.142481
78.000000,1.000000,1537.412948
79.000000,1.000000,1567.964369
80.000000,1.000000,1598.796745
81.000000,1.000000,1629.910076
82.000000,1.000000,1661.304361
83.000000,1.000000,1692.979600
84.000000,1.000000,1724.935795
85.000000,1.000000,1757.172943
86.000000,1.000000,1789.308977
87.000000,1.000000,1821.340293
88.000000,1.000000,1853.634949
89.000000,1.000000,1886.192943
90.000000,1.000000,1919.014277
91.000000,1.000000,1952.098950
92.000000,1.000000,1985.446962
93.000000,1.000000,2019.058314
94.000000,1.000000,2052.933005
95.000000,1.000000,2086.919354
96.000000,1.000000,2120.547439
97.000000,1.000000,2154.422643
98.000000,1.000000,2188.544967
99.000000,1.000000,2222.914410
100.000000,1.000000,2257.530973
42.000000,1.500000,607.935559
43.000000,1.500000,629.214426
44.000000,1.500000,650.827708
45.000000,1.500000,672.775404
46.000000,1.500000,695.057515
47.000000,1.500000,717.674040
48.000000,1.500000,740.624980
49.000000,1.500000,763.910334
50.000000,1.500000,787.530103
51.000000,1.500000,811.484286
52.000000,1.500000,835.772884
53.000000,1.500000,860.395896
54.000000,1.500000,885.188185
55.000000,1.500000,910.022621
56.000000,1.500000,935.175882
57.000000,1.500000,960.647970
58.000000,1.500000,986.438884
59.000000,1.500000,1012.548624
60.000000,1.500000,1038.977190
61.000000,1.500000,1065.724582
62.000000,1.500000,1092.790800
63.000000,1.500000,1120.175844
64.000000,1.500000,1147.879715
65.000000,1.500000,1175.553468
66.000000,1.500000,1202.725283
67.000000,1.500000,1230.080219
68.000000,1.500000,1257.717588
69.000000,1.500000,1285.637389
70.000000,1.500000,1313.839623
71.000000,1.500000,1342.324290
72.000000,1.500000,1371.091390
73.000000,1.500000,1400.140922
74.000000,1.500000,1429.472887
75.000000,1.500000,1459.087284
76.000000,1.500000,1488.984115
77.000000,1.500000,1519.163378
78.000000,1.500000,1549.625073
79.000000,1.500000,1580.369202
80.000000,1.500000,1611.395763
81.000000,1.500000,1642.704756
82.000000,1.500000,1674.296183
83.000000,1.500000,1706.170042
84.000000,1.500000,1738.326333
85.000000,1.500000,1770.651460
86.000000,1.500000,1802.812945
87.000000,1.500000,1835.054484
88.000000,1.500000,1867.561160
89.000000,1.500000,1900.332974
90.000000,1.500000,1933.369926
91.000000,1.500000,1966.672014
92.000000,1.500000,2000.239240
93.000000,1.500000,2034.071604
94.000000,1.500000,2068.142784
95.000000,1.500000,2102.008235
96.000000,1.500000,2135.817505
97.000000,1.500000,2169.874940
98.000000,1.500000,2204.180538
99.000000,1.500000,2238.734300
100.000000,1.500000,2273.536227
41.000000,2.000000,593.072361
42.000000,2.000000,614.172837
