weight_g,219.000000
thrust_N,velocity_m_s,power_W
42.000000,0.000000,585.206379
43.000000,0.000000,604.898757
44.000000,0.000000,624.884530
45.000000,0.000000,645.163698
46.000000,0.000000,665.736262
47.000000,0.000000,686.602221
48.000000,0.000000,707.761575
49.000000,0.000000,729.214325
50.000000,0.000000,750.960471
51.000000,0.000000,773.000012
52.000000,0.000000,795.332948
53.000000,0.000000,817.959280
54.000000,0.000000,840.879007
55.000000,0.000000,863.862961
56.000000,0.000000,886.815352
57.000000,0.000000,910.043260
58.000000,0.000000,933.546684
59.000000,0.000000,957.325624
60.000000,0.000000,981.380081
61.000000,0.000000,1005.710055
62.000000,0.000000,1030.315545
63.000000,0.000000,1055.196551
64.000000,0.000000,1080.353074
65.000000,0.000000,1105.785113
66.000000,0.000000,1131.333153
67.000000,0.000000,1156.005343
68.000000,0.000000,1180.917256
69.000000,0.000000,1206.068892
70.000000,0.000000,1231.460249
71.000000,0.000000,1257.091330
72.000000,0.000000,1282.962132
73.000000,0.000000,1309.072657
74.000000,0.000000,1335.422905
75.000000,0.000000,1362.012874
76.000000,0.000000,1388.842567
77.000000,0.000000,1415.911981
78.000000,0.000000,1443.221118
79.000000,0.000000,1470.769978
80.000000,0.000000,1498.558560
81.000000,0.000000,1526.586864
82.000000,0.000000,1554.854891
83.000000,0.000000,1583.362640
84.000000,0.000000,1612.110112
85.000000,0.000000,1641.097306
86.000000,0.000000,1670.324222
87.000000,0.000000,1699.176101
88.000000,0.000000,1727.982080
89.000000,0.000000,1757.008122
90.000000,0.000000,1786.254226
91.000000,0.000000,1815.720392
92.000000,0.000000,1845.406620
93.000000,0.000000,1875.312910
94.000000,0.000000,1905.439262
95.000000,0.000000,1935.785676
96.000000,0.000000,1966.092881
97.000000,0.000000,1996.085739
98.000000,0.000000,2026.282788
99.000000,0.000000,2056.684029
100.000000,0.000000,2087.289461
42.000000,0.500000,590.795427
43.000000,0.500000,610.626070
44.000000,0.500000,630.751764
45.000000,0.500000,651.172511
46.000000,0.500000,671.888311
47.000000,0.500000,692.899162
48.000000,0.500000,714.205066
49.000000,0.500000,735.806023
50.000000,0.500000,757.702031
51.000000,0.500000,779.893092
52.000000,0.500000,802.379205
53.000000,0.500000,825.160370
54.000000,0.500000,848.221102
55.000000,0.500000,871.218663
56.000000,0.500000,894.339346
57.000000,0.500000,917.737627
58.000000,0.500000,941.413508
59.000000,0.500000,965.366987
60.000000,0.500000,989.598066
61.000000,0.500000,1014.106744
62.000000,0.500000,1038.893021
63.000000,0.500000,1063.956897
64.000000,0.500000,1089.298372
65.000000,0.500000,1114.917446
66.000000,0.500000,1140.165893
67.000000,0.500000,1164.985490
68.000000,0.500000,1190.046006
69.000000,0.500000,1215.347441
70.000000,0.500000,1240.889796
71.000000,0.500000,1266.673069
72.000000,0.500000,1292.697262
73.000000,0.500000,1318.962374
74.000000,0.500000,1345.468406
75.000000,0.500000,1372.215356
76.000000,0.500000,1399.203226
77.000000,0.500000,1426.432015
78.000000,0.500000,1453.901723
79.000000,0.500000,1481.612350
80.000000,0.500000,1509.563897
81.000000,0.500000,1537.756362
82.000000,0.500000,1566.189747
83.000000,0.500000,1594.864051
84.000000,0.500000,1623.779274
85.000000,0.500000,1652.935417
86.000000,0.500000,1682.118027
87.000000,0.500000,1711.016396
88.000000,0.500000,1740.002689
89.000000,0.500000,1769.210601
90.000000,0.500000,1798.640132
91.000000,0.500000,1828.291282
92.000000,0.500000,1858.164051
93.000000,0.500000,1888.258440
94.000000,0.500000,1918.574448
95.000000,0.500000,1949.027325
96.000000,0.500000,1979.224451
97.000000,0.500000,2009.365983
98.000000,0.500000,2039.712524
99.000000,0.500000,2070.264072
100.000000,0.500000,2101.020630
42.000000,1.000000,596.404000
43.000000,1.000000,616.373324
44.000000,1.000000,636.639362
45.000000,1.000000,657.202113
46.000000,1.000000,678.061578
47.000000,1.000000,699.217756
48.000000,1.000000,720.670648
49.000000,1.000000,742.420253
50.000000,1.000000,764.466572
51.000000,1.000000,786.809604
52.000000,1.000000,809.449350
53.000000,1.000000,832.385810
54.000000,1.000000,855.587824
55.000000,1.000000,878.597748
56.000000,1.000000,901.887362
57.000000,1.000000,925.456666
58.000000,1.000000,949.305658
59.000000,1.000000,973.434341
60.000000,1.000000,997.842712
61.000000,1.000000,1022.530774
62.000000,1.000000,1047.498524
63.000000,1.000000,1072.745965
64.000000,1.000000,1098.273094
65.000000,1.000000,1124.079913
66.000000,1.000000,1149.024044
67.000000,1.000000,1173.991424
68.000000,1.000000,1199.200923
69.000000,1.000000,1224.652540
70.000000,1.000000,1250.346277
71.000000,1.000000,1276.282132
72.000000,1.000000,1302.460106
73.000000,1.000000,1328.880198
74.000000,1.000000,1355.542410
75.000000,1.000000,1382.446740
76.000000,1.000000,1409.593188
77.000000,1.000000,1436.981756
78.000000,1.000000,1464.612442
79.000000,1.000000,1492.485247
80.000000,1.000000,1520.600171
81.000000,1.000000,1548.957213
82.000000,1.000000,1577.556375
83.000000,1.000000,1606.397654
84.000000,1.000000,1635.481053
85.000000,1.000000,1664.806571
86.000000,1.000000,1693.943035
87.000000,1.000000,1722.887088
88.000000,1.000000,1752.054323
89.000000,1.000000,1781.444740
90.000000,1.000000,1811.058339
91.000000,1.000000,1840.895119
92.000000,1.000000,1870.955081
93.000000,1.000000,1901.238225
94.000000,1.000000,1931.744550
95.000000,1.000000,1962.303697
96.000000,1.000000,1992.388391
97.000000,1.000000,2022.678912
98.000000,1.000000,2053.175260
99.000000,1.000000,2083.877435
100.000000,1.000000,2114.785438
42.000000,1.500000,602.116521
43.000000,1.500000,622.224549
44.000000,1.500000,642.630906
45.000000,1.500000,663.335594
46.000000,1.500000,684.338612
47.000000,1.500000,705.639960
48.000000,1.500000,727.239639
49.000000,1.500000,749.137647
50.000000,1.500000,771.333986
51.000000,1.500000,793.828654
52.000000,1.500000,816.621653
53.000000,1.500000,839.712982
54.000000,1.500000,862.918384
55.000000,1.500000,886.096286
56.000000,1.500000,909.555960
57.000000,1.500000,933.297403
58.000000,1.500000,957.320617
59.000000,1.500000,981.625601
60.000000,1.500000,1006.212356
61.000000,1.500000,1031.080881
62.000000,1.500000,1056.231176
63.000000,1.500000,1081.663242
64.000000,1.500000,1107.377078
65.000000,1.500000,1132.986520
66.000000,1.500000,1157.969773
67.000000,1.500000,1183.086307
68.000000,1.500000,1208.446170
69.000000,1.500000,1234.049362
70.000000,1.500000,1259.895883
71.000000,1.500000,1285.985733
72.000000,1.500000,1312.318911
73.000000,1.500000,1338.895418
74.000000,1.500000,1365.715254
75.000000,1.500000,1392.778419
76.000000,1.500000,1420.084913
77.000000,1.500000,1447.634736
78.000000,1.500000,1475.427887
79.000000,1.500000,1503.464367
80.000000,1.500000,1531.744176
81.000000,1.500000,1560.267314
82.000000,1.500000,1589.033781
83.000000,1.500000,1618.043576
84.000000,1.500000,1647.296701
85.000000,1.500000,1676.665648
86.000000,1.500000,1705.776438
87.000000,1.500000,1734.903099
88.000000,1.500000,1764.254534
89.000000,1.500000,1793.830742
90.000000,1.500000,1823.631725
91.000000,1.500000,1853.657482
92.000000,1.500000,1883.908013
93.000000,1.500000,1914.383318
94.000000,1.500000,1945.053989
95.000000,1.500000,1975.423181
96.000000,1.500000,2005.657149
97.000000,1.500000,2036.097770
98.000000,1.500000,2066.745042
99.000000,1.500000,2097.598966
100.000000,1.500000,2128.659542
41.000000,2.000000,587.902008
42.000000,2.000000,607.849198
43.000000,2.000000,628.096339
44.000000,2.000000,648.643430
45.000000,2.000000,669.490473
46.000000,2.000000,690.637466
47.000000,2.000000,712.084410
48.000000,2.000000,733.831305
49.000000,2.000000,755.878151
50.000000,2.000000,778.224947
51.000000,2.000000,800.871695
52.000000,2.000000,823.818393
53.000000,2.000000,847.065042
54.000000,2.000000,870.272447
55.000000,2.000000,893.618964
56.000000,2.000000,917.249340
57.000000,2.000000,941.163575
58.000000,2.000000,965.361669
59.000000,2.000000,989.843622
60.000000,2.000000,1014.609434
61.000000,2.000000,1039.659105
62.000000,2.000000,1064.992635
63.000000,2.000000,1090.610023
64.000000,2.000000,1116.511271
65.000000,2.000000,1141.919733
66.000000,2.000000,1166.941262
67.000000,2.000000,1192.207333
68.000000,2.000000,1217.717945
69.000000,2.000000,1243.473099
70.000000,2.000000,1269.472794
71.000000,2.000000,1295.717031
72.000000,2.000000,1322.205810
73.000000,2.000000,1348.939131
74.000000,2.000000,1375.916993
75.000000,2.000000,1403.139397
76.000000,2.000000,1430.606343
77.000000,2.000000,1458.317830
78.000000,2.000000,1486.273859
79.000000,2.000000,1514.474430
80.000000,2.000000,1542.919543
81.000000,2.000000,1571.609197
82.000000,2.000000,1600.543393
83.000000,2.000000,1629.722130
84.000000,2.000000,1659.145410
85.000000,2.000000,1688.556882
86.000000,2.000000,1717.640419
87.000000,2.000000,1746.950327
88.000000,2.000000,1776.486607
89.000000,2.000000,1806.249259
90.000000,2.000000,1836.238283
91.000000,2.000000,1866.453678
92.000000,2.000000,1896.895445
93.000000,2.000000,1927.563584
94.000000,2.000000,1958.398985
95.000000,2.000000,1988.575067
96.000000,2.000000,2018.958628
97.000000,2.000000,2049.549666
98.000000,2.000000,2080.348183
99.000000,2.000000,2111.354177
100.000000,2.000000,2142.567650
41.000000,2.500000,593.758145
42.000000,2.500000,613.847202
43.000000,2.500000,634.237860
44.000000,2.500000,654.930119
45.000000,2.500000,675.923979
46.000000,2.500000,697.219440
47.000000,2.500000,718.816501
48.000000,2.500000,740.715163
49.000000,2.500000,762.915426
50.000000,2.500000,785.417290
51.000000,2.500000,808.220755
52.000000,2.500000,831.325820
53.000000,2.500000,854.652837
54.000000,2.500000,877.958238
55.000000,2.500000,901.476748
56.000000,2.500000,925.281190
57.000000,2.500000,949.371563
58.000000,2.500000,973.747868
59.000000,2.500000,998.410105
60.000000,2.500000,1023.358273
61.000000,2.500000,1048.592373
62.000000,2.500000,1074.112404
63.000000,2.500000,1099.918367
64.000000,2.500000,1125.809053
65.000000,2.500000,1151.048457
66.000000,2.500000,1176.215962
67.000000,2.500000,1201.629113
68.000000,2.500000,1227.287908
69.000000,2.500000,1253.192349
70.000000,2.500000,1279.342435
71.000000,2.500000,1305.738166
72.000000,2.500000,1332.379542
73.000000,2.500000,1359.266563
74.000000,2.500000,1386.399229
75.000000,2.500000,1413.777540
76.000000,2.500000,1441.401497
77.000000,2.500000,1469.271098
78.000000,2.500000,1497.386345
79.000000,2.500000,1525.747237
80.000000,2.500000,1554.353773
81.000000,2.500000,1583.205955
82.000000,2.500000,1612.303782
83.000000,2.500000,1641.647254
84.000000,2.500000,1671.187490
85.000000,2.500000,1700.502255
86.000000,2.500000,1729.766302
87.000000,2.500000,1759.258256
88.000000,2.500000,1788.978119
89.000000,2.500000,1818.925889
