weight_g,420.000000
thrust_N,velocity_m_s,power_W
40.000000,0.000000,606.381434
41.000000,0.000000,629.130870
42.000000,0.000000,652.263654
43.000000,0.000000,675.779785
44.000000,0.000000,699.679264
45.000000,0.000000,723.962090
46.000000,0.000000,748.628264
47.000000,0.000000,773.677785
48.000000,0.000000,799.110654
49.000000,0.000000,824.926870
50.000000,0.000000,851.126434
51.000000,0.000000,877.709345
52.000000,0.000000,904.675603
53.000000,0.000000,931.869790
54.000000,0.000000,959.398398
55.000000,0.000000,987.303154
56.000000,0.000000,1015.584057
57.000000,0.000000,1044.241108
58.000000,0.000000,1073.274306
59.000000,0.000000,1102.683651
60.000000,0.000000,1132.469144
61.000000,0.000000,1162.630784
62.000000,0.000000,1193.168571
63.000000,0.000000,1223.907753
64.000000,0.000000,1253.675774
65.000000,0.000000,1283.773956
66.000000,0.000000,1314.202300
67.000000,0.000000,1344.960807
68.000000,0.000000,1376.049475
69.000000,0.000000,1407.468305
70.000000,0.000000,1439.217297
71.000000,0.000000,1471.296451
72.000000,0.000000,1503.705767
73.000000,0.000000,1536.445245
74.000000,0.000000,1569.514884
75.000000,0.000000,1602.914686
76.000000,0.000000,1636.644650
77.000000,0.000000,1670.704775
78.000000,0.000000,1705.095062
79.000000,0.000000,1739.815512
80.000000,0.000000,1774.866123
81.000000,0.000000,1810.246896
82.000000,0.000000,1845.957831
83.000000,0.000000,1881.798265
84.000000,0.000000,1917.830888
85.000000,0.000000,1954.185649
86.000000,0.000000,1990.862547
87.000000,0.000000,2027.861582
88.000000,0.000000,2065.182755
89.000000,0.000000,2102.826066
90.000000,0.000000,2140.791514
91.000000,0.000000,2179.079100
92.000000,0.000000,2216.660434
93.000000,0.000000,2254.322909
94.000000,0.000000,2292.280303
95.000000,0.000000,2330.532616
96.000000,0.000000,2369.079850
97.000000,0.000000,2407.922003
98.000000,0.000000,2447.059075
99.000000,0.000000,2486.491067
100.000000,0.000000,2526.217979
40.000000,0.500000,611.926745
41.000000,0.500000,634.828281
42.000000,0.500000,658.115162
43.000000,0.500000,681.787390
44.000000,0.500000,705.844965
45.000000,0.500000,730.287885
46.000000,0.500000,755.116152
47.000000,0.500000,780.329765
48.000000,0.500000,805.928725
