weight_g,405.000000
thrust_N,velocity_m_s,power_W
40.000000,0.000000,608.085080
41.000000,0.000000,629.888021
42.000000,0.000000,652.039398
43.000000,0.000000,674.539212
44.000000,0.000000,697.387461
45.000000,0.000000,720.584147
46.000000,0.000000,744.129269
47.000000,0.000000,768.022827
48.000000,0.000000,792.264822
49.000000,0.000000,816.855252
50.000000,0.000000,841.794119
51.000000,0.000000,867.081422
52.000000,0.000000,892.656738
53.000000,0.000000,918.347117
54.000000,0.000000,944.375758
55.000000,0.000000,970.742659
56.000000,0.000000,997.447822
57.000000,0.000000,1024.491245
58.000000,0.000000,1051.872930
59.000000,0.000000,1079.592875
60.000000,0.000000,1107.651082
61.000000,0.000000,1136.047549
62.000000,0.000000,1164.782278
63.000000,0.000000,1192.886267
64.000000,0.000000,1220.666040
65.000000,0.000000,1248.737152
66.000000,0.000000,1277.099604
67.000000,0.000000,1305.753395
68.000000,0.000000,1334.698527
69.000000,0.000000,1363.934998
70.000000,0.000000,1393.462809
71.000000,0.000000,1423.281959
72.000000,0.000000,1453.392449
73.000000,0.000000,1483.794279
74.000000,0.000000,1514.487449
75.000000,0.000000,1545.471959
76.000000,0.000000,1576.747808
77.000000,0.000000,1608.314997
78.000000,0.000000,1640.173525
79.000000,0.000000,1672.323394
80.000000,0.000000,1704.764602
81.000000,0.000000,1737.497150
82.000000,0.000000,1770.374016
83.000000,0.000000,1803.176348
84.000000,0.000000,1836.258236
85.000000,0.000000,1869.619682
86.000000,0.000000,1903.260685
87.000000,0.000000,1937.181245
88.000000,0.000000,1971.381362
89.000000,0.000000,2005.861037
90.000000,0.000000,2040.620268
91.000000,0.000000,2074.945130
92.000000,0.000000,2108.977340
93.000000,0.000000,2143.262425
94.000000,0.000000,2177.800384
95.000000,0.000000,2212.591217
96.000000,0.000000,2247.634925
97.000000,0.000000,2282.931507
98.000000,0.000000,2318.480963
99.000000,0.000000,2354.283293
100.000000,0.000000,2390.338498
40.000000,0.500000,613.038636
41.000000,0.500000,634.972128
42.000000,0.500000,657.255717
43.000000,0.500000,679.889403
44.000000,0.500000,702.873187
45.000000,0.500000,726.207069
46.000000,0.500000,749.891047
47.000000,0.500000,773.925123
48.000000,0.500000,798.309296
49.000000,0.500000,823.043567
50.000000,0.500000,848.127935
51.000000,0.500000,873.562400
52.000000,0.500000,899.231134
53.000000,0.500000,925.094646
54.000000,0.500000,951.298942
55.000000,0.500000,977.844024
56.000000,0.500000,1004.729891
57.000000,0.500000,1031.956544
58.000000,0.500000,1059.523982
59.000000,0.500000,1087.432205
60.000000,0.500000,1115.681213
61.000000,0.500000,1144.271007
62.000000,0.500000,1173.051947
63.000000,0.500000,1200.985962
64.000000,0.500000,1228.903036
65.000000,0.500000,1257.112572
66.000000,0.500000,1285.614570
67.000000,0.500000,1314.409031
68.000000,0.500000,1343.495953
69.000000,0.500000,1372.875338
70.000000,0.500000,1402.547186
71.000000,0.500000,1432.511495
72.000000,0.500000,1462.768267
73.000000,0.500000,1493.317500
74.000000,0.500000,1524.159196
75.000000,0.500000,1555.293355
76.000000,0.500000,1586.719975
77.000000,0.500000,1618.439058
78.000000,0.500000,1650.450602
79.000000,0.500000,1682.754609
80.000000,0.500000,1715.351079
81.000000,0.500000,1748.240010
82.000000,0.500000,1781.146593
83.000000,0.500000,1814.140968
84.000000,0.500000,1847.416877
85.000000,0.500000,1880.974319
86.000000,0.500000,1914.813294
87.000000,0.500000,1948.933801
88.000000,0.500000,1983.335842
89.000000,0.500000,2018.019417
90.000000,0.500000,2052.812346
91.000000,0.500000,2087.006041
92.000000,0.500000,2121.179370
93.000000,0.500000,2155.606362
94.000000,0.500000,2190.287018
95.000000,0.500000,2225.221337
96.000000,0.500000,2260.409319
97.000000,0.500000,2295.850965
98.000000,0.500000,2331.546274
99.000000,0.500000,2367.495246
100.000000,0.500000,2403.697881
40.000000,1.000000,618.004426
41.000000,1.000000,640.068750
42.000000,1.000000,662.484835
43.000000,1.000000,685.252681
44.000000,1.000000,708.372290
45.000000,1.000000,731.843660
46.000000,1.000000,755.666792
47.000000,1.000000,779.841686
48.000000,1.000000,804.368341
49.000000,1.000000,829.246759
50.000000,1.000000,854.476937
51.000000,1.000000,880.058878
52.000000,1.000000,905.820737
53.000000,1.000000,931.857987
54.000000,1.000000,958.238556
55.000000,1.000000,984.962444
56.000000,1.000000,1012.029651
57.000000,1.000000,1039.440177
58.000000,1.000000,1067.194022
59.000000,1.000000,1095.291185
60.000000,1.000000,1123.731668
61.000000,1.000000,1152.515470
62.000000,1.000000,1181.341747
63.000000,1.000000,1209.102782
64.000000,1.000000,1237.157404
65.000000,1.000000,1265.505612
66.000000,1.000000,1294.147406
67.000000,1.000000,1323.082787
68.000000,1.000000,1352.311755
69.000000,1.000000,1381.834309
70.000000,1.000000,1411.650449
71.000000,1.000000,1441.760176
72.000000,1.000000,1472.163489
73.000000,1.000000,1502.860389
74.000000,1.000000,1533.850875
75.000000,1.000000,1565.134947
76.000000,1.000000,1596.712606
77.000000,1.000000,1628.583851
78.000000,1.000000,1660.748683
79.000000,1.000000,1693.207101
80.000000,1.000000,1725.959106
81.000000,1.000000,1759.004697
82.000000,1.000000,1791.940070
83.000000,1.000000,1825.127138
84.000000,1.000000,1858.597723
85.000000,1.000000,1892.351822
86.000000,1.000000,1926.389438
87.000000,1.000000,1960.710569
88.000000,1.000000,1995.315215
89.000000,1.000000,2030.203377
90.000000,1.000000,2065.029121
