weight_g,450.000000
thrust_N,velocity_m_s,power_W
40.000000,0.000000,581.224167
41.000000,0.000000,601.706867
42.000000,0.000000,622.507018
43.000000,0.000000,643.624619
44.000000,0.000000,665.059671
45.000000,0.000000,686.812174
46.000000,0.000000,708.882127
47.000000,0.000000,731.269531
48.000000,0.000000,753.974385
49.000000,0.000000,776.996690
50.000000,0.000000,800.336446
51.000000,0.000000,823.993653
52.000000,0.000000,847.907868
53.000000,0.000000,871.906107
54.000000,0.000000,896.211652
55.000000,0.000000,920.824500
56.000000,0.000000,945.744654
57.000000,0.000000,970.972112
58.000000,0.000000,996.506875
59.000000,0.000000,1022.348942
60.000000,0.000000,1048.498315
61.000000,0.000000,1074.954991
62.000000,0.000000,1101.718973
63.000000,0.000000,1127.821470
64.000000,0.000000,1153.569052
65.000000,0.000000,1179.577168
66.000000,0.000000,1205.845818
67.000000,0.000000,1232.375004
68.000000,0.000000,1259.164725
69.000000,0.000000,1286.214980
70.000000,0.000000,1313.525770
71.000000,0.000000,1341.097095
72.000000,0.000000,1368.928954
73.000000,0.000000,1397.021349
74.000000,0.000000,1425.374278
75.000000,0.000000,1453.987742
76.000000,0.000000,1482.861741
77.000000,0.000000,1511.996274
78.000000,0.000000,1541.391343
79.000000,0.000000,1571.046946
80.000000,0.000000,1600.963084
81.000000,0.000000,1631.139757
82.000000,0.000000,1661.429215
83.000000,0.000000,1691.611542
84.000000,0.000000,1722.042594
85.000000,0.000000,1752.722372
86.000000,0.000000,1783.650876
87.000000,0.000000,1814.828106
88.000000,0.000000,1846.254061
89.000000,0.000000,1877.928742
90.000000,0.000000,1909.852149
91.000000,0.000000,1941.307007
92.000000,0.000000,1972.435757
93.000000,0.000000,2003.786497
94.000000,0.000000,2035.359226
95.000000,0.000000,2067.153945
96.000000,0.000000,2099.170654
97.000000,0.000000,2131.409352
98.000000,0.000000,2163.870040
99.000000,0.000000,2196.552718
100.000000,0.000000,2229.457385
40.000000,0.500000,585.794815
41.000000,0.500000,606.394371
42.000000,0.500000,627.312822
43.000000,0.500000,648.550169
44.000000,0.500000,670.106411
45.000000,0.500000,691.981548
46.000000,0.500000,714.175581
47.000000,0.500000,736.688509
48.000000,0.500000,759.520333
49.000000,0.500000,782.671052
50.000000,0.500000,806.140666
51.000000,0.500000,829.929176
52.000000,0.500000,853.920843
53.000000,0.500000,878.076117
54.000000,0.500000,902.541007
55.000000,0.500000,927.315513
56.000000,0.500000,952.399636
57.000000,0.500000,977.793375
58.000000,0.500000,1003.496730
59.000000,0.500000,1029.509701
60.000000,0.500000,1055.832289
61.000000,0.500000,1082.464493
62.000000,0.500000,1109.256918
63.000000,0.500000,1135.172559
64.000000,0.500000,1161.040343
65.000000,0.500000,1187.169613
66.000000,0.500000,1213.560368
67.000000,0.500000,1240.212608
68.000000,0.500000,1267.126333
69.000000,0.500000,1294.301543
70.000000,0.500000,1321.738238
71.000000,0.500000,1349.436419
72.000000,0.500000,1377.396085
73.000000,0.500000,1405.617236
74.000000,0.500000,1434.099872
75.000000,0.500000,1462.843994
76.000000,0.500000,1491.849600
77.000000,0.500000,1521.116692
78.000000,0.500000,1550.645269
79.000000,0.500000,1580.435331
80.000000,0.500000,1610.486879
81.000000,0.500000,1640.799911
82.000000,0.500000,1671.098614
83.000000,0.500000,1701.453183
84.000000,0.500000,1732.058292
85.000000,0.500000,1762.913941
86.000000,0.500000,1794.020130
87.000000,0.500000,1825.376859
88.000000,0.500000,1856.984129
89.000000,0.500000,1888.841938
90.000000,0.500000,1920.777601
91.000000,0.500000,1952.079844
92.000000,0.500000,1983.329411
93.000000,0.500000,2014.801618
94.000000,0.500000,2046.496464
95.000000,0.500000,2078.413949
96.000000,0.500000,2110.554074
97.000000,0.500000,2142.916839
98.000000,0.500000,2175.502243
99.000000,0.500000,2208.310286
100.000000,0.500000,2241.340969
40.000000,1.000000,590.375140
41.000000,1.000000,611.091770
42.000000,1.000000,632.128743
43.000000,1.000000,653.486058
44.000000,1.000000,675.163716
45.000000,1.000000,697.161717
46.000000,1.000000,719.480060
47.000000,1.000000,742.118746
48.000000,1.000000,765.077775
49.000000,1.000000,788.357146
50.000000,1.000000,811.956860
51.000000,1.000000,835.876916
52.000000,1.000000,859.945676
53.000000,1.000000,884.258521
54.000000,1.000000,908.883302
55.000000,1.000000,933.820020
56.000000,1.000000,959.068674
57.000000,1.000000,984.629264
58.000000,1.000000,1010.501791
59.000000,1.000000,1036.686254
60.000000,1.000000,1063.182654
61.000000,1.000000,1089.990990
62.000000,1.000000,1116.810919
63.000000,1.000000,1142.536653
64.000000,1.000000,1168.524824
65.000000,1.000000,1194.775431
66.000000,1.000000,1221.288476
67.000000,1.000000,1248.063957
68.000000,1.000000,1275.101876
69.000000,1.000000,1302.402231
70.000000,1.000000,1329.965023
71.000000,1.000000,1357.790252
72.000000,1.000000,1385.877917
73.000000,1.000000,1414.228020
74.000000,1.000000,1442.840559
75.000000,1.000000,1471.715535
76.000000,1.000000,1500.852949
77.000000,1.000000,1530.252798
78.000000,1.000000,1559.915085
79.000000,1.000000,1589.839809
80.000000,1.000000,1620.026969
81.000000,1.000000,1650.476567
82.000000,1.000000,1680.783519
83.000000,1.000000,1711.310911
84.000000,1.000000,1742.090664
85.000000,1.000000,1773.122777
86.000000,1.000000,1804.407250
87.000000,1.000000,1835.944084
88.000000,1.000000,1867.733279
89.000000,1.000000,1899.774834
90.000000,1.000000,1931.721801
91.000000,1.000000,1962.869046
92.000000,1.000000,1994.239582
93.000000,1.000000,2025.833408
94.000000,1.000000,2057.650523
95.000000,1.000000,2089.690929
96.000000,1.000000,2121.954624
97.000000,1.000000,2154.441609
98.000000,1.000000,2187.151885
99.000000,1.000000,2220.085450
100.000000,1.000000,2253.242305
40.000000,1.500000,594.984183
41.000000,1.500000,615.818551
42.000000,1.500000,636.974716
43.000000,1.500000,658.452678
44.000000,1.500000,680.252438
45.000000,1.500000,702.373995
46.000000,1.500000,724.817349
47.000000,1.500000,747.582501
48.000000,1.500000,770.669450
49.000000,1.500000,794.078196
50.000000,1.500000,817.808740
51.000000,1.500000,841.841316
52.000000,1.500000,866.034069
53.000000,1.500000,890.507002
54.000000,1.500000,915.294229
55.000000,1.500000,940.395751
56.000000,1.500000,965.811568
57.000000,1.500000,991.541680
58.000000,1.500000,1017.586086
59.000000,1.500000,1043.944788
60.000000,1.500000,1070.617783
61.000000,1.500000,1097.605074
62.000000,1.500000,1124.091476
63.000000,1.500000,1149.937169
64.000000,1.500000,1176.046253
65.000000,1.500000,1202.418731
66.000000,1.500000,1229.054600
67.000000,1.500000,1255.953861
68.000000,1.500000,1283.116515
69.000000,1.500000,1310.542561
70.000000,1.500000,1338.231999
71.000000,1.500000,1366.184829
72.000000,1.500000,1394.401052
73.000000,1.500000,1422.880667
74.000000,1.500000,1451.623674
75.000000,1.500000,1480.630073
76.000000,1.500000,1509.899864
77.000000,1.500000,1539.433048
78.000000,1.500000,1569.229624
79.000000,1.500000,1599.289592
80.000000,1.500000,1629.612952
81.000000,1.500000,1660.100292
82.000000,1.500000,1690.565375
83.000000,1.500000,1721.268634
84.000000,1.500000,1752.226107
85.000000,1.500000,1783.437792
86.000000,1.500000,1814.903691
87.000000,1.500000,1846.623804
88.000000,1.500000,1878.598129
89.000000,1.500000,1910.826667
90.000000,1.500000,1942.433093
91.000000,1.500000,1973.701063
92.000000,1.500000,2005.192974
93.000000,1.500000,2036.908829
94.000000,1.500000,2068.848625
95.000000,1.500000,2101.012364
96.000000,1.500000,2133.400045
97.000000,1.500000,2166.011669
98.000000,1.500000,2198.847235
99.000000,1.500000,2231.906743
100.000000,1.500000,2265.190193
39.000000,2.000000,578.973907
40.000000,2.000000,599.602978
41.000000,2.000000,620.555304
42.000000,2.000000,641.830884
43.000000,2.000000,663.429719
44.000000,2.000000,685.351808
45.000000,2.000000,707.597152
46.000000,2.000000,730.165750
47.000000,2.000000,753.057603
48.000000,2.000000,776.272710
49.000000,2.000000,799.811071
50.000000,2.000000,823.672687
51.000000,2.000000,847.817812
52.000000,2.000000,872.134719
53.000000,2.000000,896.768288
54.000000,2.000000,921.718519
55.000000,2.000000,946.985411
56.000000,2.000000,972.568965
57.000000,2.000000,998.469181
58.000000,2.000000,1024.686059
59.000000,2.000000,1051.219599
60.000000,2.000000,1078.069800
61.000000,2.000000,1105.236663
62.000000,2.000000,1131.384934
63.000000,2.000000,1157.350768
64.000000,2.000000,1183.580951
65.000000,2.000000,1210.075483
66.000000,2.000000,1236.834364
67.000000,2.000000,1263.857594
68.000000,2.000000,1291.145173
69.000000,2.000000,1318.697100
70.000000,2.000000,1346.513377
71.000000,2.000000,1374.594002
72.000000,2.000000,1402.938976
73.000000,2.000000,1431.548299
74.000000,2.000000,1460.421971
75.000000,2.000000,1489.559992
76.000000,2.000000,1518.962361
77.000000,2.000000,1548.629079
78.000000,2.000000,1578.560147
79.000000,2.000000,1608.755563
80.000000,2.000000,1639.215328
81.000000,2.000000,1669.739684
82.000000,2.000000,1700.363332
83.000000,2.000000,1731.243051
84.000000,2.000000,1762.378842
85.000000,2.000000,1793.770706
86.000000,2.000000,1825.418642
87.000000,2.000000,1857.322650
88.000000,2.000000,1889.482731
89.000000,2.000000,1921.898883
90.000000,2.000000,1953.160675
91.000000,2.000000,1984.549519
92.000000,2.000000,2016.162959
93.000000,2.000000,2048.000995
94.000000,2.000000,2080.063626
95.000000,2.000000,2112.350852
96.000000,2.000000,2144.862673
97.000000,2.000000,2177.599090
98.000000,2.000000,2210.560102
99.000000,2.000000,2243.745710
100.000000,2.000000,2277.155913
39.000000,2.500000,583.676229
40.000000,2.500000,604.419530
41.000000,2.500000,625.487378
42.000000,2.500000,646.879772
43.000000,2.500000,668.596713
44.000000,2.500000,690.638202
45.000000,2.500000,713.004237
46.000000,2.500000,735.694819
47.000000,2.500000,758.709947
48.000000,2.500000,782.049623
49.000000,2.500000,805.713846
50.000000,2.500000,829.702615
51.000000,2.500000,853.948069
52.000000,2.500000,878.421137
53.000000,2.500000,903.213112
54.000000,2.500000,928.323994
55.000000,2.500000,953.753784
56.000000,2.500000,979.502482
57.000000,2.500000,1005.570087
58.000000,2.500000,1031.956599
59.000000,2.500000,1058.662019
60.000000,2.500000,1085.686346
61.000000,2.500000,1112.736251
62.000000,2.500000,1138.780062
63.000000,2.500000,1164.864584
64.000000,2.500000,1191.214363
65.000000,2.500000,1217.829398
66.000000,2.500000,1244.709689
67.000000,2.500000,1271.855236
68.000000,2.500000,1299.266040
69.000000,2.500000,1326.942099
70.000000,2.500000,1354.883415
71.000000,2.500000,1383.089987
72.000000,2.500000,1411.561815
73.000000,2.500000,1440.298899
74.000000,2.500000,1469.301239
75.000000,2.500000,1498.568836
76.000000,2.500000,1528.101689
77.000000,2.500000,1557.899798
78.000000,2.500000,1587.963163
79.000000,2.500000,1618.291784
