weight_g,420.000000
thrust_N,velocity_m_s,power_W
36.000000,0.000000,658.256254
37.000000,0.000000,687.439924
38.000000,0.000000,717.223034
39.000000,0.000000,747.605583
40.000000,0.000000,778.587571
41.000000,0.000000,810.168998
42.000000,0.000000,842.349865
43.000000,0.000000,875.130171
44.000000,0.000000,908.509917
45.000000,0.000000,942.489101
46.000000,0.000000,975.820492
47.000000,0.000000,1008.741491
48.000000,0.000000,1042.169813
49.000000,0.000000,1076.105458
50.000000,0.000000,1110.548426
51.000000,0.000000,1145.498718
52.000000,0.000000,1180.956332
53.000000,0.000000,1216.921270
54.000000,0.000000,1253.393531
55.000000,0.000000,1290.373115
56.000000,0.000000,1327.851710
57.000000,0.000000,1365.836853
58.000000,0.000000,1404.329014
59.000000,0.000000,1443.328193
60.000000,0.000000,1482.834389
61.000000,0.000000,1522.847603
62.000000,0.000000,1563.367835
63.000000,0.000000,1604.395085
64.000000,0.000000,1645.901091
65.000000,0.000000,1687.849627
66.000000,0.000000,1730.302320
67.000000,0.000000,1773.259168
68.000000,0.000000,1816.720171
69.000000,0.000000,1860.685330
70.000000,0.000000,1905.154645
71.000000,0.000000,1950.128116
72.000000,0.000000,1994.892163
73.000000,0.000000,2038.997501
74.000000,0.000000,2083.555251
75.000000,0.000000,2128.565415
76.000000,0.000000,2174.027992
77.000000,0.000000,2219.942983
78.000000,0.000000,2266.310386
79.000000,0.000000,2313.130203
80.000000,0.000000,2360.402433
81.000000,0.000000,2408.127077
82.000000,0.000000,2456.304134
83.000000,0.000000,2504.933604
84.000000,0.000000,2554.015487
85.000000,0.000000,2603.549784
86.000000,0.000000,2653.536494
87.000000,0.000000,2703.975617
88.000000,0.000000,2754.867154
89.000000,0.000000,2806.211104
90.000000,0.000000,2858.007467
91.000000,0.000000,2910.256243
92.000000,0.000000,2962.957433
93.000000,0.000000,3016.111036
94.000000,0.000000,3069.717053
95.000000,0.000000,3123.775482
96.000000,0.000000,3178.286325
97.000000,0.000000,3233.249581
98.000000,0.000000,3288.665251
99.000000,0.000000,3344.533333
100.000000,0.000000,3400.853829
36.000000,0.500000,661.925916
37.000000,0.500000,691.229004
38.000000,0.500000,721.133382
39.000000,0.500000,751.639049
40.000000,0.500000,782.746007
41.000000,0.500000,814.454253
42.000000,0.500000,846.763790
43.000000,0.500000,879.674616
44.000000,0.500000,913.186732
45.000000,0.500000,947.300138
46.000000,0.500000,980.498869
47.000000,0.500000,1013.557839
48.000000,0.500000,1047.126488
49.000000,0.500000,1081.204817
50.000000,0.500000,1115.792824
51.000000,0.500000,1150.890509
52.000000,0.500000,1186.497874
53.000000,0.500000,1222.614917
54.000000,0.500000,1259.241639
55.000000,0.500000,1296.370375
56.000000,0.500000,1333.978724
57.000000,0.500000,1372.095207
58.000000,0.500000,1410.720057
59.000000,0.500000,1449.853277
60.000000,0.500000,1489.494865
61.000000,0.500000,1529.644822
62.000000,0.500000,1570.303147
63.000000,0.500000,1611.469841
64.000000,0.500000,1653.121689
65.000000,0.500000,1695.243519
66.000000,0.500000,1737.871825
67.000000,0.500000,1781.006606
68.000000,0.500000,1824.647861
69.000000,0.500000,1868.795592
70.000000,0.500000,1913.449797
71.000000,0.500000,1958.610478
72.000000,0.500000,2003.214975
73.000000,0.500000,2047.451083
74.000000,0.500000,2092.140570
75.000000,0.500000,2137.283436
76.000000,0.500000,2182.879681
77.000000,0.500000,2228.929304
78.000000,0.500000,2275.432306
79.000000,0.500000,2322.388686
80.000000,0.500000,2369.798446
81.000000,0.500000,2417.661584
82.000000,0.500000,2465.978101
83.000000,0.500000,2514.747997
84.000000,0.500000,2563.971271
85.000000,0.500000,2613.647924
86.000000,0.500000,2663.777956
87.000000,0.500000,2714.361366
88.000000,0.500000,2765.398156
89.000000,0.500000,2816.888324
90.000000,0.500000,2868.831871
91.000000,0.500000,2921.228796
92.000000,0.500000,2974.079100
93.000000,0.500000,3027.382783
94.000000,0.500000,3081.139845
95.000000,0.500000,3135.350286
96.000000,0.500000,3190.014105
97.000000,0.500000,3245.131303
98.000000,0.500000,3300.701879
99.000000,0.500000,3356.725835
100.000000,0.500000,3413.203169
35.000000,1.000000,636.782653
36.000000,1.000000,665.602193
37.000000,1.000000,695.024875
38.000000,1.000000,725.050699
39.000000,1.000000,755.679666
40.000000,1.000000,786.911775
41.000000,1.000000,818.747027
42.000000,1.000000,851.185421
43.000000,1.000000,884.226957
44.000000,1.000000,917.871636
45.000000,1.000000,952.119457
46.000000,1.000000,985.183713
47.000000,1.000000,1018.380983
