weight_g,405.000000
thrust_N,velocity_m_s,power_W
36.000000,0.000000,610.138195
37.000000,0.000000,636.161782
38.000000,0.000000,662.692612
39.000000,0.000000,689.730686
40.000000,0.000000,717.276004
41.000000,0.000000,745.328566
42.000000,0.000000,773.888372
43.000000,0.000000,802.955422
44.000000,0.000000,832.529715
45.000000,0.000000,862.611253
46.000000,0.000000,891.875127
47.000000,0.000000,920.575566
48.000000,0.000000,949.687998
49.000000,0.000000,979.212422
50.000000,0.000000,1009.148837
51.000000,0.000000,1039.497245
52.000000,0.000000,1070.257646
53.000000,0.000000,1101.430038
54.000000,0.000000,1133.014422
55.000000,0.000000,1165.010799
56.000000,0.000000,1197.410384
57.000000,0.000000,1230.221151
58.000000,0.000000,1263.443595
59.000000,0.000000,1297.077717
60.000000,0.000000,1331.123516
61.000000,0.000000,1365.580992
62.000000,0.000000,1400.450146
63.000000,0.000000,1435.730977
64.000000,0.000000,1471.392859
65.000000,0.000000,1507.396584
66.000000,0.000000,1543.808964
67.000000,0.000000,1580.629998
68.000000,0.000000,1617.859686
69.000000,0.000000,1655.498029
70.000000,0.000000,1693.545027
71.000000,0.000000,1732.000679
72.000000,0.000000,1770.093889
73.000000,0.000000,1807.340134
74.000000,0.000000,1844.940534
75.000000,0.000000,1882.895090
76.000000,0.000000,1921.203802
77.000000,0.000000,1959.866668
78.000000,0.000000,1998.883690
79.000000,0.000000,2038.254868
80.000000,0.000000,2077.980201
81.000000,0.000000,2118.059689
82.000000,0.000000,2158.493332
83.000000,0.000000,2199.281131
84.000000,0.000000,2240.423086
85.000000,0.000000,2281.919195
86.000000,0.000000,2323.769460
87.000000,0.000000,2365.973881
88.000000,0.000000,2408.532457
89.000000,0.000000,2451.445188
90.000000,0.000000,2494.712074
91.000000,0.000000,2538.333116
92.000000,0.000000,2582.308314
93.000000,0.000000,2626.637666
94.000000,0.000000,2671.321174
95.000000,0.000000,2716.358838
96.000000,0.000000,2761.750656
97.000000,0.000000,2807.496631
98.000000,0.000000,2853.596760
99.000000,0.000000,2900.051045
100.000000,0.000000,2946.859485
36.000000,0.500000,613.213713
37.000000,0.500000,639.332021
38.000000,0.500000,665.958980
39.000000,0.500000,693.094588
40.000000,0.500000,720.738847
41.000000,0.500000,748.891755
42.000000,0.500000,777.553314
43.000000,0.500000,806.723522
44.000000,0.500000,836.402381
45.000000,0.500000,866.589890
46.000000,0.500000,895.677809
47.000000,0.500000,924.489981
48.000000,0.500000,953.716154
49.000000,0.500000,983.356329
50.000000,0.500000,1013.410505
51.000000,0.500000,1043.878683
52.000000,0.500000,1074.760862
53.000000,0.500000,1106.057042
54.000000,0.500000,1137.767224
55.000000,0.500000,1169.883321
56.000000,0.500000,1202.381713
57.000000,0.500000,1235.292510
58.000000,0.500000,1268.615960
59.000000,0.500000,1302.352065
60.000000,0.500000,1336.500823
61.000000,0.500000,1371.062235
62.000000,0.500000,1406.036300
63.000000,0.500000,1441.423020
64.000000,0.500000,1477.197276
65.000000,0.500000,1513.342655
66.000000,0.500000,1549.898690
67.000000,0.500000,1586.865379
68.000000,0.500000,1624.242724
69.000000,0.500000,1662.030724
70.000000,0.500000,1700.229379
71.000000,0.500000,1738.838690
72.000000,0.500000,1776.713386
73.000000,0.500000,1814.055795
74.000000,0.500000,1851.753027
75.000000,0.500000,1889.805082
76.000000,0.500000,1928.211961
77.000000,0.500000,1966.973662
78.000000,0.500000,2006.090187
79.000000,0.500000,2045.561535
80.000000,0.500000,2085.387706
81.000000,0.500000,2125.568701
82.000000,0.500000,2166.104518
83.000000,0.500000,2206.995159
84.000000,0.500000,2248.240623
85.000000,0.500000,2289.840910
86.000000,0.500000,2331.796021
87.000000,0.500000,2374.105954
88.000000,0.500000,2416.770711
89.000000,0.500000,2459.790291
90.000000,0.500000,2503.164694
91.000000,0.500000,2546.893921
92.000000,0.500000,2590.977970
93.000000,0.500000,2635.416843
94.000000,0.500000,2680.210539
95.000000,0.500000,2725.359058
96.000000,0.500000,2770.862400
97.000000,0.500000,2816.720565
98.000000,0.500000,2862.933554
99.000000,0.500000,2909.501366
100.000000,0.500000,2956.424001
35.000000,1.000000,590.590018
36.000000,1.000000,616.293092
37.000000,1.000000,642.506224
38.000000,1.000000,669.229413
39.000000,1.000000,696.462660
40.000000,1.000000,724.205964
41.000000,1.000000,752.459326
42.000000,1.000000,781.222745
43.000000,1.000000,810.496222
44.000000,1.000000,840.279756
45.000000,1.000000,870.573347
46.000000,1.000000,899.483415
47.000000,1.000000,928.407576
48.000000,1.000000,957.747752
49.000000,1.000000,987.503943
50.000000,1.000000,1017.676150
51.000000,1.000000,1048.264372
52.000000,1.000000,1079.268610
53.000000,1.000000,1110.688863
54.000000,1.000000,1142.525131
55.000000,1.000000,1174.761188
56.000000,1.000000,1207.358478
57.000000,1.000000,1240.369399
58.000000,1.000000,1273.793951
59.000000,1.000000,1307.632134
60.000000,1.000000,1341.883948
61.000000,1.000000,1376.549393
62.000000,1.000000,1411.628468
63.000000,1.000000,1447.121174
64.000000,1.000000,1483.007944
65.000000,1.000000,1519.295306
66.000000,1.000000,1555.995329
67.000000,1.000000,1593.108012
68.000000,1.000000,1630.633355
69.000000,1.000000,1668.571360
70.000000,1.000000,1706.922025
