weight_g,415.000000
thrust_N,velocity_m_s,power_W
36.000000,0.000000,598.923880
37.000000,0.000000,624.427536
38.000000,0.000000,650.426048
39.000000,0.000000,676.919419
40.000000,0.000000,703.907646
41.000000,0.000000,731.390731
42.000000,0.000000,759.368673
43.000000,0.000000,787.841472
44.000000,0.000000,816.809129
45.000000,0.000000,846.271643
46.000000,0.000000,874.920124
47.000000,0.000000,903.005402
48.000000,0.000000,931.491023
49.000000,0.000000,960.376988
50.000000,0.000000,989.663296
51.000000,0.000000,1019.349948
52.000000,0.000000,1049.436942
53.000000,0.000000,1079.924281
54.000000,0.000000,1110.811962
55.000000,0.000000,1142.099987
56.000000,0.000000,1173.779671
57.000000,0.000000,1205.858895
58.000000,0.000000,1238.338150
59.000000,0.000000,1271.217436
60.000000,0.000000,1304.496753
61.000000,0.000000,1338.176101
62.000000,0.000000,1372.255480
63.000000,0.000000,1406.734889
64.000000,0.000000,1441.583986
65.000000,0.000000,1476.763919
66.000000,0.000000,1512.340875
67.000000,0.000000,1548.314854
68.000000,0.000000,1584.685858
69.000000,0.000000,1621.453884
70.000000,0.000000,1658.618935
71.000000,0.000000,1696.181008
72.000000,0.000000,1733.375800
73.000000,0.000000,1769.722899
74.000000,0.000000,1806.412778
75.000000,0.000000,1843.445438
76.000000,0.000000,1880.820879
77.000000,0.000000,1918.539100
78.000000,0.000000,1956.600102
79.000000,0.000000,1995.003885
80.000000,0.000000,2033.750448
81.000000,0.000000,2072.839791
82.000000,0.000000,2112.271916
83.000000,0.000000,2152.046821
84.000000,0.000000,2192.164506
85.000000,0.000000,2232.624972
86.000000,0.000000,2273.428219
87.000000,0.000000,2314.574247
88.000000,0.000000,2356.063055
89.000000,0.000000,2397.894643
90.000000,0.000000,2440.069012
91.000000,0.000000,2482.586162
92.000000,0.000000,2525.446093
93.000000,0.000000,2568.648804
94.000000,0.000000,2612.194296
95.000000,0.000000,2656.082568
96.000000,0.000000,2700.313621
97.000000,0.000000,2744.887454
98.000000,0.000000,2789.804068
99.000000,0.000000,2835.063463
100.000000,0.000000,2880.665638
36.000000,0.500000,601.929780
37.000000,0.500000,627.525406
38.000000,0.500000,653.617247
39.000000,0.500000,680.205303
40.000000,0.500000,707.289575
41.000000,0.500000,734.870061
42.000000,0.500000,762.946763
43.000000,0.500000,791.519680
44.000000,0.500000,820.588813
45.000000,0.500000,850.154160
46.000000,0.500000,878.626948
47.000000,0.500000,906.820687
48.000000,0.500000,935.416731
49.000000,0.500000,964.415081
50.000000,0.500000,993.815736
51.000000,0.500000,1023.618697
52.000000,0.500000,1053.823963
53.000000,0.500000,1084.431535
54.000000,0.500000,1115.441411
55.000000,0.500000,1146.845600
56.000000,0.500000,1178.620744
57.000000,0.500000,1210.796610
58.000000,0.500000,1243.373443
59.000000,0.500000,1276.351244
60.000000,0.500000,1309.730012
61.000000,0.500000,1343.509748
62.000000,0.500000,1377.690451
63.000000,0.500000,1412.272122
64.000000,0.500000,1447.229878
65.000000,0.500000,1482.547449
66.000000,0.500000,1518.264000
67.000000,0.500000,1554.379530
68.000000,0.500000,1590.894040
69.000000,0.500000,1627.807529
70.000000,0.500000,1665.119998
71.000000,0.500000,1702.831446
72.000000,0.500000,1739.806819
73.000000,0.500000,1776.246400
74.000000,0.500000,1813.029399
75.000000,0.500000,1850.155814
76.000000,0.500000,1887.625648
77.000000,0.500000,1925.438898
78.000000,0.500000,1963.595566
79.000000,0.500000,2002.095651
80.000000,0.500000,2040.939154
81.000000,0.500000,2080.126074
82.000000,0.500000,2119.656411
83.000000,0.500000,2159.530166
84.000000,0.500000,2199.747338
85.000000,0.500000,2240.307928
86.000000,0.500000,2281.211935
87.000000,0.500000,2322.459359
88.000000,0.500000,2364.050200
89.000000,0.500000,2405.984459
90.000000,0.500000,2448.262136
91.000000,0.500000,2490.883229
92.000000,0.500000,2533.847740
93.000000,0.500000,2577.155669
94.000000,0.500000,2620.807015
95.000000,0.500000,2664.801778
96.000000,0.500000,2709.139958
97.000000,0.500000,2753.821556
98.000000,0.500000,2798.846572
99.000000,0.500000,2844.215004
100.000000,0.500000,2889.926854
35.000000,1.000000,579.749147
36.000000,1.000000,604.939262
37.000000,1.000000,630.626952
38.000000,1.000000,656.812216
39.000000,1.000000,683.495055
40.000000,1.000000,710.675467
41.000000,1.000000,738.353454
42.000000,1.000000,766.529016
43.000000,1.000000,795.202151
44.000000,1.000000,824.372861
45.000000,1.000000,854.041146
46.000000,1.000000,882.336343
47.000000,1.000000,910.638792
48.000000,1.000000,939.345512
49.000000,1.000000,968.456505
50.000000,1.000000,997.971769
51.000000,1.000000,1027.891306
52.000000,1.000000,1058.215115
53.000000,1.000000,1088.943196
54.000000,1.000000,1120.075549
55.000000,1.000000,1151.596131
56.000000,1.000000,1183.466820
57.000000,1.000000,1215.739413
58.000000,1.000000,1248.413911
59.000000,1.000000,1281.490315
60.000000,1.000000,1314.968623
61.000000,1.000000,1348.848836
62.000000,1.000000,1383.130954
63.000000,1.000000,1417.814977
64.000000,1.000000,1452.881521
65.000000,1.000000,1488.337051
66.000000,1.000000,1524.193522
67.000000,1.000000,1560.450931
68.000000,1.000000,1597.109281
69.000000,1.000000,1634.168571
70.000000,1.000000,1671.628801
71.000000,1.000000,1709.489970
72.000000,1.000000,1746.243944
73.000000,1.000000,1782.776078
74.000000,1.000000,1819.652267
75.000000,1.000000,1856.872510
76.000000,1.000000,1894.436808
77.000000,1.000000,1932.345161
78.000000,1.000000,1970.597568
79.000000,1.000000,2009.194029
80.000000,1.000000,2048.134545
81.000000,1.000000,2087.419116
82.000000,1.000000,2127.047741
83.000000,1.000000,2167.020420
84.000000,1.000000,2207.337155
85.000000,1.000000,2247.997943
86.000000,1.000000,2289.002786
87.000000,1.000000,2330.351684
88.000000,1.000000,2372.044637
89.000000,1.000000,2414.081643
90.000000,1.000000,2456.462705
91.000000,1.000000,2499.187821
92.000000,1.000000,2542.256991
93.000000,1.000000,2585.670216
94.000000,1.000000,2629.427496
95.000000,1.000000,2673.528830
96.000000,1.000000,2717.974218
97.000000,1.000000,2762.763661
98.000000,1.000000,2807.897159
99.000000,1.000000,2853.374711
100.000000,1.000000,2899.196318
35.000000,1.500000,582.674559
36.000000,1.500000,607.955561
37.000000,1.500000,633.735498
38.000000,1.500000,660.014372
39.000000,1.500000,686.792181
40.000000,1.500000,714.068925
41.000000,1.500000,741.844606
42.000000,1.500000,770.119222
43.000000,1.500000,798.892774
44.000000,1.500000,828.165262
45.000000,1.500000,857.858105
46.000000,1.500000,886.063183
47.000000,1.500000,914.475270
48.000000,1.500000,943.293609
49.000000,1.500000,972.518201
50.000000,1.500000,1002.149047
51.000000,1.500000,1032.186145
52.000000,1.500000,1062.629497
53.000000,1.500000,1093.479102
54.000000,1.500000,1124.734960
55.000000,1.500000,1156.355352
56.000000,1.500000,1188.321984
57.000000,1.500000,1220.691460
58.000000,1.500000,1253.463779
59.000000,1.500000,1286.638942
60.000000,1.500000,1320.216948
61.000000,1.500000,1354.197798
62.000000,1.500000,1388.581491
63.000000,1.500000,1423.368028
64.000000,1.500000,1458.547684
65.000000,1.500000,1494.123703
66.000000,1.500000,1530.102082
67.000000,1.500000,1566.482822
68.000000,1.500000,1603.265921
69.000000,1.500000,1640.451380
70.000000,1.500000,1678.039200
71.000000,1.500000,1715.977491
72.000000,1.500000,1752.558983
