weight_g,230.000000
thrust_N,velocity_m_s,power_W
36.000000,0.000000,602.587824
37.000000,0.000000,627.302300
38.000000,0.000000,652.476773
39.000000,0.000000,678.111241
40.000000,0.000000,704.205706
41.000000,0.000000,730.760168
42.000000,0.000000,757.774625
43.000000,0.000000,785.249079
44.000000,0.000000,813.183530
45.000000,0.000000,841.577976
46.000000,0.000000,868.969076
47.000000,0.000000,895.641328
48.000000,0.000000,922.673093
49.000000,0.000000,950.064370
50.000000,0.000000,977.815159
51.000000,0.000000,1005.925461
52.000000,0.000000,1034.395275
53.000000,0.000000,1063.224601
54.000000,0.000000,1092.413440
55.000000,0.000000,1121.961791
56.000000,0.000000,1151.860038
57.000000,0.000000,1182.116924
58.000000,0.000000,1212.732992
59.000000,0.000000,1243.708243
60.000000,0.000000,1275.042676
61.000000,0.000000,1306.736292
62.000000,0.000000,1338.789091
63.000000,0.000000,1371.201071
64.000000,0.000000,1403.938227
65.000000,0.000000,1436.957113
66.000000,0.000000,1470.331965
67.000000,0.000000,1504.062785
68.000000,0.000000,1538.149571
69.000000,0.000000,1572.592324
70.000000,0.000000,1607.391044
71.000000,0.000000,1642.545730
72.000000,0.000000,1677.204129
73.000000,0.000000,1710.832483
74.000000,0.000000,1744.759104
75.000000,0.000000,1778.983993
76.000000,0.000000,1813.507150
77.000000,0.000000,1848.328574
78.000000,0.000000,1883.448266
79.000000,0.000000,1918.866226
80.000000,0.000000,1954.582453
81.000000,0.000000,1990.596948
82.000000,0.000000,2026.909710
83.000000,0.000000,2063.520741
84.000000,0.000000,2100.430038
85.000000,0.000000,2137.637604
86.000000,0.000000,2175.143437
87.000000,0.000000,2212.947538
88.000000,0.000000,2251.049907
89.000000,0.000000,2289.450543
90.000000,0.000000,2328.149447
91.000000,0.000000,2367.146618
92.000000,0.000000,2406.442057
93.000000,0.000000,2446.035764
94.000000,0.000000,2485.927739
95.000000,0.000000,2526.117981
96.000000,0.000000,2566.606491
97.000000,0.000000,2607.393268
98.000000,0.000000,2648.478313
99.000000,0.000000,2689.861626
100.000000,0.000000,2731.543207
36.000000,0.500000,605.311388
37.000000,0.500000,630.105890
38.000000,0.500000,655.361531
39.000000,0.500000,681.078308
40.000000,0.500000,707.256223
41.000000,0.500000,733.895276
42.000000,0.500000,760.995466
43.000000,0.500000,788.556794
44.000000,0.500000,816.579259
45.000000,0.500000,845.062862
46.000000,0.500000,872.233375
47.000000,0.500000,899.003276
48.000000,0.500000,926.134523
49.000000,0.500000,953.627115
50.000000,0.500000,981.481052
51.000000,0.500000,1009.696335
52.000000,0.500000,1038.272963
53.000000,0.500000,1067.210936
54.000000,0.500000,1096.510255
55.000000,0.500000,1126.162074
56.000000,0.500000,1156.140586
57.000000,0.500000,1186.478761
58.000000,0.500000,1217.176870
59.000000,0.500000,1248.234913
60.000000,0.500000,1279.652891
61.000000,0.500000,1311.430803
62.000000,0.500000,1343.568650
63.000000,0.500000,1376.066431
64.000000,0.500000,1408.896293
65.000000,0.500000,1442.040068
66.000000,0.500000,1475.541652
67.000000,0.500000,1509.401046
68.000000,0.500000,1543.618250
69.000000,0.500000,1578.193263
70.000000,0.500000,1613.126086
71.000000,0.500000,1648.416718
72.000000,0.500000,1682.801741
73.000000,0.500000,1716.505501
74.000000,0.500000,1750.508018
75.000000,0.500000,1784.809292
76.000000,0.500000,1819.409323
77.000000,0.500000,1854.308111
78.000000,0.500000,1889.505655
79.000000,0.500000,1925.001957
80.000000,0.500000,1960.797016
81.000000,0.500000,1996.890832
82.000000,0.500000,2033.283405
83.000000,0.500000,2069.974735
84.000000,0.500000,2106.964822
