weight_g,450.000000
thrust_N,velocity_m_s,power_W
42.000000,0.000000,620.010832
43.000000,0.000000,640.980537
44.000000,0.000000,662.271171
45.000000,0.000000,683.882735
46.000000,0.000000,705.815228
47.000000,0.000000,728.068652
48.000000,0.000000,750.643006
49.000000,0.000000,773.538290
50.000000,0.000000,796.754503
51.000000,0.000000,820.291647
52.000000,0.000000,844.149720
53.000000,0.000000,868.328724
54.000000,0.000000,891.804536
55.000000,0.000000,914.811703
56.000000,0.000000,938.082702
57.000000,0.000000,961.617534
58.000000,0.000000,985.416197
59.000000,0.000000,1009.478693
60.000000,0.000000,1033.805021
61.000000,0.000000,1058.395181
62.000000,0.000000,1083.249173
63.000000,0.000000,1108.366998
64.000000,0.000000,1133.748654
65.000000,0.000000,1159.394143
66.000000,0.000000,1185.303464
67.000000,0.000000,1211.476618
68.000000,0.000000,1237.913603
69.000000,0.000000,1264.614421
70.000000,0.000000,1291.579071
71.000000,0.000000,1318.807553
72.000000,0.000000,1346.299867
73.000000,0.000000,1374.056014
74.000000,0.000000,1402.075993
75.000000,0.000000,1430.359804
76.000000,0.000000,1457.342940
77.000000,0.000000,1484.535478
78.000000,0.000000,1511.953742
79.000000,0.000000,1539.597733
80.000000,0.000000,1567.467449
81.000000,0.000000,1595.562891
82.000000,0.000000,1623.884058
83.000000,0.000000,1652.430952
84.000000,0.000000,1681.203571
85.000000,0.000000,1710.177585
86.000000,0.000000,1739.210288
87.000000,0.000000,1768.464620
88.000000,0.000000,1797.940584
89.000000,0.000000,1827.638178
90.000000,0.000000,1857.557403
91.000000,0.000000,1887.698259
92.000000,0.000000,1918.060745
93.000000,0.000000,1948.644862
94.000000,0.000000,1979.450609
95.000000,0.000000,2010.477988
96.000000,0.000000,2041.726997
97.000000,0.000000,2073.197636
98.000000,0.000000,2104.889907
99.000000,0.000000,2136.803808
100.000000,0.000000,2168.939339
42.000000,0.500000,625.589761
43.000000,0.500000,646.721722
44.000000,0.500000,668.177109
45.000000,0.500000,689.955921
46.000000,0.500000,712.058159
47.000000,0.500000,734.483821
48.000000,0.500000,757.232910
49.000000,0.500000,780.305423
50.000000,0.500000,803.701362
51.000000,0.500000,827.420726
52.000000,0.500000,851.463516
53.000000,0.500000,875.647148
54.000000,0.500000,898.899156
55.000000,0.500000,922.048056
56.000000,0.500000,945.462163
57.000000,0.500000,969.141478
58.000000,0.500000,993.086001
59.000000,0.500000,1017.295732
60.000000,0.500000,1041.770671
61.000000,0.500000,1066.510817
62.000000,0.500000,1091.516171
63.000000,0.500000,1116.786733
64.000000,0.500000,1142.322503
65.000000,0.500000,1168.123481
66.000000,0.500000,1194.189666
67.000000,0.500000,1220.521059
68.000000,0.500000,1247.117660
69.000000,0.500000,1273.979469
70.000000,0.500000,1301.106486
71.000000,0.500000,1328.498710
72.000000,0.500000,1356.156142
73.000000,0.500000,1384.078782
74.000000,0.500000,1412.266630
75.000000,0.500000,1440.158958
76.000000,0.500000,1467.297775
77.000000,0.500000,1494.655686
78.000000,0.500000,1522.240895
79.000000,0.500000,1550.053401
