weight_g,60.000000
thrust_N,velocity_m_s,power_W
41.000000,0.000000,1990.737564
42.000000,0.000000,2079.853307
43.000000,0.000000,2170.910344
44.000000,0.000000,2263.908674
45.000000,0.000000,2358.848299
46.000000,0.000000,2455.729216
47.000000,0.000000,2554.551427
48.000000,0.000000,2655.314932
49.000000,0.000000,2758.019730
50.000000,0.000000,2862.665822
51.000000,0.000000,2969.253208
52.000000,0.000000,3077.781887
53.000000,0.000000,3187.629426
54.000000,0.000000,3299.015788
55.000000,0.000000,3412.307038
56.000000,0.000000,3527.503175
57.000000,0.000000,3644.604201
58.000000,0.000000,3763.610115
59.000000,0.000000,3884.520917
60.000000,0.000000,4007.336607
61.000000,0.000000,4132.057186
62.000000,0.000000,4258.682652
63.000000,0.000000,4387.213006
64.000000,0.000000,4517.041445
65.000000,0.000000,4648.505736
66.000000,0.000000,4781.848970
67.000000,0.000000,4917.071149
68.000000,0.000000,5054.172272
69.000000,0.000000,5193.152339
70.000000,0.000000,5334.011351
71.000000,0.000000,5476.749307
72.000000,0.000000,5621.366208
73.000000,0.000000,5767.862052
74.000000,0.000000,5916.236842
75.000000,0.000000,6066.490575
76.000000,0.000000,6218.623253
77.000000,0.000000,6372.634875
78.000000,0.000000,6528.525441
79.000000,0.000000,6686.294951
80.000000,0.000000,6845.943406
81.000000,0.000000,7007.470806
82.000000,0.000000,7170.877149
83.000000,0.000000,7335.944525
84.000000,0.000000,7502.481358
85.000000,0.000000,7670.881158
86.000000,0.000000,7841.143925
87.000000,0.000000,8013.269659
88.000000,0.000000,8187.258359
89.000000,0.000000,8363.110026
90.000000,0.000000,8540.824659
91.000000,0.000000,8720.402260
92.000000,0.000000,8901.842632
93.000000,0.000000,9085.145365
94.000000,0.000000,9270.311045
95.000000,0.000000,9457.339674
96.000000,0.000000,9646.231252
97.000000,0.000000,9836.985777
98.000000,0.000000,10029.603251
99.000000,0.000000,10224.083672
100.000000,0.000000,10420.427042
41.000000,0.500000,2017.142279
42.000000,0.500000,2107.131407
43.000000,0.500000,2199.074466
44.000000,0.500000,2292.971455
45.000000,0.500000,2388.822376
46.000000,0.500000,2486.627227
47.000000,0.500000,2586.386010
48.000000,0.500000,2688.098723
49.000000,0.500000,2791.765368
50.000000,0.500000,2897.385943
51.000000,0.500000,3004.960450
52.000000,0.500000,3114.400851
53.000000,0.500000,3225.073384
54.000000,0.500000,3337.479350
55.000000,0.500000,3451.802958
56.000000,0.500000,3568.044211
57.000000,0.500000,3686.203106
58.000000,0.500000,3806.279645
59.000000,0.500000,3928.273827
60.000000,0.500000,4052.185652
61.000000,0.500000,4178.015120
62.000000,0.500000,4305.762232
63.000000,0.500000,4435.272058
64.000000,0.500000,4566.077160
65.000000,0.500000,4698.650409
66.000000,0.500000,4833.114068
67.000000,0.500000,4969.468137
68.000000,0.500000,5107.712617
69.000000,0.500000,5247.847506
70.000000,0.500000,5389.872806
71.000000,0.500000,5533.788515
72.000000,0.500000,5679.594635
73.000000,0.500000,5827.291165
74.000000,0.500000,5976.878105
75.000000,0.500000,6128.355456
76.000000,0.500000,6281.723216
77.000000,0.500000,6436.981386
78.000000,0.500000,6594.129967
79.000000,0.500000,6753.168958
80.000000,0.500000,6914.098359
81.000000,0.500000,7076.918170
82.000000,0.500000,7241.603941
83.000000,0.500000,7407.678682
84.000000,0.500000,7575.427514
85.000000,0.500000,7745.048395
86.000000,0.500000,7916.541326
87.000000,0.500000,8089.906305
88.000000,0.500000,8265.143333
89.000000,0.500000,8442.252411
90.000000,0.500000,8621.233537
91.000000,0.500000,8802.086688
92.000000,0.500000,8984.793524
93.000000,0.500000,9169.371693
94.000000,0.500000,9355.821489
95.000000,0.500000,9544.142914
96.000000,0.500000,9734.335966
97.000000,0.500000,9926.400647
98.000000,0.500000,10120.336955
99.000000,0.500000,10316.144892
100.000000,0.500000,10513.824456
40.000000,1.000000,1954.819031
41.000000,1.000000,2043.718703
42.000000,1.000000,2134.584984
43.000000,1.000000,2227.417875
44.000000,1.000000,2322.217375
45.000000,1.000000,2418.983484
46.000000,1.000000,2517.716202
47.000000,1.000000,2618.415530
48.000000,1.000000,2721.081468
49.000000,1.000000,2825.714014
50.000000,1.000000,2932.313171
51.000000,1.000000,3040.878936
52.000000,1.000000,3151.234113
53.000000,1.000000,3262.733559
54.000000,1.000000,3376.163446
55.000000,1.000000,3491.523774
56.000000,1.000000,3608.814543
57.000000,1.000000,3728.035753
58.000000,1.000000,3849.187404
59.000000,1.000000,3972.269497
60.000000,1.000000,4097.282030
61.000000,1.000000,4224.225004
62.000000,1.000000,4353.098419
63.000000,1.000000,4483.590605
64.000000,1.000000,4615.375194
65.000000,1.000000,4749.061694
66.000000,1.000000,4884.650104
67.000000,1.000000,5022.140425
68.000000,1.000000,5161.532657
69.000000,1.000000,5302.826799
70.000000,1.000000,5446.022852
71.000000,1.000000,5591.120816
72.000000,1.000000,5738.120691
73.000000,1.000000,5887.022477
74.000000,1.000000,6037.826173
75.000000,1.000000,6190.531780
76.000000,1.000000,6345.139298
77.000000,1.000000,6501.648726
78.000000,1.000000,6660.060066
79.000000,1.000000,6820.373316
80.000000,1.000000,6982.588477
81.000000,1.000000,7146.705548
82.000000,1.000000,7312.675353
83.000000,1.000000,7479.758960
84.000000,1.000000,7648.723720
85.000000,1.000000,7819.569634
86.000000,1.000000,7992.296702
87.000000,1.000000,8166.904923
88.000000,1.000000,8343.394297
89.000000,1.000000,8521.764826
90.000000,1.000000,8702.016507
91.000000,1.000000,8884.149291
92.000000,1.000000,9068.126503
93.000000,1.000000,9253.984042
94.000000,1.000000,9441.721908
95.000000,1.000000,9631.340103
96.000000,1.000000,9822.838626
97.000000,1.000000,10016.217476
98.000000,1.000000,10211.476655
99.000000,1.000000,10408.616161
100.000000,1.000000,10607.635996
40.000000,1.500000,1980.833775
41.000000,1.500000,2070.607463
42.000000,1.500000,2162.360602
43.000000,1.500000,2256.093191
44.000000,1.500000,2351.805230
45.000000,1.500000,2449.496720
46.000000,1.500000,2549.167660
47.000000,1.500000,2650.818050
48.000000,1.500000,2754.447891
49.000000,1.500000,2860.057182
50.000000,1.500000,2967.645923
51.000000,1.500000,3077.214115
52.000000,1.500000,3188.315979
53.000000,1.500000,3300.838596
54.000000,1.500000,3415.304628
55.000000,1.500000,3531.714075
56.000000,1.500000,3650.066937
57.000000,1.500000,3770.363214
58.000000,1.500000,3892.602907
59.000000,1.500000,4016.786014
60.000000,1.500000,4142.912536
61.000000,1.500000,4270.982473
62.000000,1.500000,4400.995825
63.000000,1.500000,4532.307490
64.000000,1.500000,4665.203743
65.000000,1.500000,4800.013495
66.000000,1.500000,4936.736746
67.000000,1.500000,5075.373497
68.000000,1.500000,5215.923747
69.000000,1.500000,5358.387496
70.000000,1.500000,5502.764745
71.000000,1.500000,5649.055492
72.000000,1.500000,5797.259739
73.000000,1.500000,5947.377486
74.000000,1.500000,6099.408731
75.000000,1.500000,6253.353476
76.000000,1.500000,6409.211719
77.000000,1.500000,6566.983463
78.000000,1.500000,6726.668705
79.000000,1.500000,6888.267446
80.000000,1.500000,7051.779687
81.000000,1.500000,7217.205427
82.000000,1.500000,7384.129111
83.000000,1.500000,7552.436752
84.000000,1.500000,7722.634909
85.000000,1.500000,7894.723582
86.000000,1.500000,8068.702772
87.000000,1.500000,8244.572477
88.000000,1.500000,8422.332699
89.000000,1.500000,8601.983438
90.000000,1.500000,8783.524692
91.000000,1.500000,8966.921709
92.000000,1.500000,9152.178500
93.000000,1.500000,9339.324371
94.000000,1.500000,9528.359323
95.000000,1.500000,9719.283355
96.000000,1.500000,9912.096467
97.000000,1.500000,10106.798660
98.000000,1.500000,10303.389933
99.000000,1.500000,10501.870286
100.000000,1.500000,10702.239720
40.000000,2.000000,2007.018251
41.000000,2.000000,2097.669740
42.000000,2.000000,2190.313561
43.000000,2.000000,2284.949716
44.000000,2.000000,2381.578203
45.000000,2.000000,2480.199024
46.000000,2.000000,2580.812177
47.000000,2.000000,2683.417664
48.000000,2.000000,2788.015484
49.000000,2.000000,2894.605636
50.000000,2.000000,3003.188122
51.000000,2.000000,3113.762940
52.000000,2.000000,3225.612357
53.000000,2.000000,3339.162490
54.000000,2.000000,3454.669056
55.000000,2.000000,3572.132055
56.000000,2.000000,3691.551485
57.000000,2.000000,3812.927349
58.000000,2.000000,3936.259645
59.000000,2.000000,4061.548373
60.000000,2.000000,4188.793534
61.000000,2.000000,4317.995127
62.000000,2.000000,4449.153153
63.000000,2.000000,4581.285232
64.000000,2.000000,4715.297449
65.000000,2.000000,4851.234788
66.000000,2.000000,4989.097251
67.000000,2.000000,5128.884836
68.000000,2.000000,5270.597545
69.000000,2.000000,5414.235376
70.000000,2.000000,5559.798330
71.000000,2.000000,5707.286407
72.000000,2.000000,5856.699607
73.000000,2.000000,6008.037929
74.000000,2.000000,6161.301375
75.000000,2.000000,6316.489943
76.000000,2.000000,6473.603634
77.000000,2.000000,6632.642448
78.000000,2.000000,6793.606385
