weight_g,420.000000
thrust_N,velocity_m_s,power_W
41.000000,0.000000,616.596093
42.000000,0.000000,639.444971
43.000000,0.000000,662.677406
44.000000,0.000000,686.293396
45.000000,0.000000,710.292942
46.000000,0.000000,734.676044
47.000000,0.000000,759.442702
48.000000,0.000000,784.592916
49.000000,0.000000,810.126685
50.000000,0.000000,836.044011
51.000000,0.000000,862.344892
52.000000,0.000000,889.029330
53.000000,0.000000,915.527588
54.000000,0.000000,942.041417
55.000000,0.000000,968.905982
56.000000,0.000000,996.121284
57.000000,0.000000,1023.687324
58.000000,0.000000,1051.604100
59.000000,0.000000,1079.871613
60.000000,0.000000,1108.489863
61.000000,0.000000,1137.458850
62.000000,0.000000,1166.778574
63.000000,0.000000,1196.449035
64.000000,0.000000,1225.916309
65.000000,0.000000,1255.489013
66.000000,0.000000,1285.389104
67.000000,0.000000,1315.616584
68.000000,0.000000,1346.171452
69.000000,0.000000,1377.053708
70.000000,0.000000,1408.263351
71.000000,0.000000,1439.800383
72.000000,0.000000,1471.664802
73.000000,0.000000,1503.856610
74.000000,0.000000,1536.375805
75.000000,0.000000,1569.222389
76.000000,0.000000,1602.396360
77.000000,0.000000,1635.897719
78.000000,0.000000,1669.726467
79.000000,0.000000,1703.882602
80.000000,0.000000,1738.366125
81.000000,0.000000,1773.177036
82.000000,0.000000,1808.315335
83.000000,0.000000,1843.255977
84.000000,0.000000,1877.538931
85.000000,0.000000,1912.113073
86.000000,0.000000,1946.978404
87.000000,0.000000,1982.134922
88.000000,0.000000,2017.582628
89.000000,0.000000,2053.321522
90.000000,0.000000,2089.351604
91.000000,0.000000,2125.672873
92.000000,0.000000,2162.284866
93.000000,0.000000,2199.186596
94.000000,0.000000,2236.379474
95.000000,0.000000,2273.863497
96.000000,0.000000,2311.638666
97.000000,0.000000,2349.704982
98.000000,0.000000,2388.062444
99.000000,0.000000,2426.711053
100.000000,0.000000,2465.650807
41.000000,0.500000,622.561219
42.000000,0.500000,645.570265
43.000000,0.500000,668.964920
44.000000,0.500000,692.745184
45.000000,0.500000,716.911055
46.000000,0.500000,741.462535
47.000000,0.500000,766.399624
48.000000,0.500000,791.722320
49.000000,0.500000,817.430625
50.000000,0.500000,843.524539
51.000000,0.500000,870.004060
52.000000,0.500000,896.790276
53.000000,0.500000,923.309348
54.000000,0.500000,950.013026
55.000000,0.500000,977.069943
56.000000,0.500000,1004.480100
57.000000,0.500000,1032.243497
58.000000,0.500000,1060.360133
59.000000,0.500000,1088.830010
60.000000,0.500000,1117.653126
61.000000,0.500000,1146.829483
62.000000,0.500000,1176.359079
63.000000,0.500000,1206.103429
64.000000,0.500000,1235.639066
65.000000,0.500000,1265.392087
66.000000,0.500000,1295.474110
67.000000,0.500000,1325.885135
68.000000,0.500000,1356.625163
69.000000,0.500000,1387.694192
70.000000,0.500000,1419.092223
71.000000,0.500000,1450.819257
72.000000,0.500000,1482.875292
73.000000,0.500000,1515.260330
74.000000,0.500000,1547.974369
75.000000,0.500000,1581.017411
76.000000,0.500000,1614.389455
77.000000,0.500000,1648.090501
78.000000,0.500000,1682.120548
79.000000,0.500000,1716.479598
80.000000,0.500000,1751.167650
81.000000,0.500000,1786.184704
82.000000,0.500000,1821.487152
83.000000,0.500000,1856.156070
84.000000,0.500000,1890.640912
85.000000,0.500000,1925.418747
86.000000,0.500000,1960.489577
87.000000,0.500000,1995.853400
88.000000,0.500000,2031.510218
89.000000,0.500000,2067.460030
90.000000,0.500000,2103.702836
91.000000,0.500000,2140.238591
92.000000,0.500000,2177.034657
93.000000,0.500000,2214.122281
94.000000,0.500000,2251.502169
95.000000,0.500000,2289.174322
96.000000,0.500000,2327.138739
97.000000,0.500000,2365.395421
98.000000,0.500000,2403.944368
99.000000,0.500000,2442.785580
100.000000,0.500000,2481.919057
40.000000,1.000000,605.765752
41.000000,1.000000,628.547771
42.000000,1.000000,651.717456
43.000000,1.000000,675.274807
44.000000,1.000000,699.219824
45.000000,1.000000,723.552507
46.000000,1.000000,748.272855
47.000000,1.000000,773.380870
48.000000,1.000000,798.876550
49.000000,1.000000,824.759896
50.000000,1.000000,851.030908
51.000000,1.000000,877.689586
52.000000,1.000000,904.577118
53.000000,1.000000,931.115597
54.000000,1.000000,958.009827
55.000000,1.000000,985.259809
56.000000,1.000000,1012.865543
57.000000,1.000000,1040.827028
58.000000,1.000000,1069.144265
59.000000,1.000000,1097.817254
60.000000,1.000000,1126.845994
61.000000,1.000000,1156.230486
62.000000,1.000000,1185.970730
63.000000,1.000000,1215.788169
64.000000,1.000000,1245.391354
65.000000,1.000000,1275.325159
66.000000,1.000000,1305.589585
67.000000,1.000000,1336.184630
68.000000,1.000000,1367.110294
69.000000,1.000000,1398.366579
70.000000,1.000000,1429.953483
71.000000,1.000000,1461.871007
72.000000,1.000000,1494.119151
73.000000,1.000000,1526.697915
74.000000,1.000000,1559.607299
75.000000,1.000000,1592.847302
76.000000,1.000000,1626.417925
77.000000,1.000000,1660.319168
78.000000,1.000000,1694.551031
79.000000,1.000000,1729.113514
80.000000,1.000000,1764.006616
81.000000,1.000000,1799.230338
82.000000,1.000000,1834.696991
83.000000,1.000000,1869.089591
84.000000,1.000000,1903.776997
